,Rank,"Player (yrs, age)",Range Factor/Game as RF (s.1901),Throws
93,94.,Jose Guillen (14),1.906,R
94,94.,Larry Walker+ (17),1.906,R
95,96.,Magglio Ordonez (15),1.905,R
96,97.,Gus Bell (15),1.898,R
97,98.,J.D. Drew (14),1.897,R
98,98.,Ken Griffey (19),1.897,L
99,100.,"Jason Heyward (11, 30)",1.895,L
100,101.,Von Hayes (12),1.894,R
101,102.,Orlando Merced (13),1.893,R
102,103.,Elmer Valo (20),1.891,R
103,104.,Felix Jose (11),1.889,R
104,105.,Richie Zisk (13),1.887,R
105,106.,Lee Lacy (16),1.886,R
106,107.,Juan Encarnacion (11),1.884,R
107,108.,Frank Baumholtz (10),1.883,L
108,109.,Harry Hooper+ (17),1.882,R
109,110.,Gene Moore (14),1.880,L
110,111.,Joe Carter (16),1.877,R
111,112.,Jay Buhner (15),1.876,R
112,112.,Nick Swisher (12),1.876,L
113,114.,Jeromy Burnitz (14),1.873,R
114,115.,Richard Hidalgo (9),1.870,R
115,116.,Johnny Wyrostek (11),1.869,R
116,117.,Jose Bautista (15),1.863,R
117,118.,Homer Summa (10),1.859,R
118,119.,Rocky Colavito (14),1.858,R
119,119.,Mel Ott+ (22),1.858,R
120,119.,"Gregory Polanco (7, 28)",1.858,L
121,119.,Manny Ramirez (19),1.858,R
122,123.,Torii Hunter (19),1.856,R
123,124.,Roy Cullenbine (10),1.853,R
124,125.,Harry Heilmann+ (17),1.852,R
125,126.,Bill Nicholson (16),1.850,R
126,127.,Joe Orsulak (14),1.849,L
127,128.,Dave Philley (18),1.848,R
128,129.,Jim Northrup (12),1.847,R
129,130.,Curtis Granderson (16),1.845,R
130,130.,Darryl Strawberry (17),1.845,L
131,132.,Casey Stengel+ (14),1.843,L
132,133.,Andre Dawson+ (21),1.840,R
133,134.,Dixie Walker (18),1.839,R
134,135.,Trot Nixon (12),1.836,L
135,136.,Bobby Bonilla (16),1.834,R
136,136.,Willie Kirkland (9),1.834,R
137,138.,Lou Clinton (8),1.833,R
138,138.,Carl Furillo (15),1.833,R
139,138.,Juan Gonzalez (17),1.833,R
140,138.,Dave Robertson (9),1.833,L
141,142.,"Josh Reddick (12, 33)",1.829,R
142,143.,Frank Robinson+ (21),1.827,R
143,144.,Tony Conigliaro (8),1.826,R
144,145.,Michael Cuddyer (15),1.825,R
145,146.,Gary Sheffield (22),1.823,R
146,147.,Earl Webb (7),1.819,R
147,148.,Shano Collins (16),1.817,R
148,149.,George Hendrick (18),1.810,R
149,150.,Jim King (11),1.806,R
150,151.,Pat Kelly (15),1.803,L
151,152.,Roger Maris (12),1.802,R
152,153.,Bob Meusel (11),1.800,R
153,154.,Willie Crawford (14),1.794,L
154,155.,Jack Tobin (13),1.789,L
155,156.,Leroy Stanton (9),1.785,R
156,157.,Terry Puhl (15),1.784,R
157,158.,Max Flack (12),1.780,L
158,158.,"Stephen Piscotty (6, 29)",1.780,R
159,160.,Jeff Burroughs (16),1.772,R
160,161.,Dick Porter (6),1.771,R
161,162.,Ben Chapman (15),1.768,R
162,163.,Ken Singleton (15),1.763,R
163,164.,Derek Bell (11),1.762,R
164,165.,Andre Ethier (12),1.756,L
165,165.,Vada Pinson (18),1.756,L
166,167.,Tommy Griffith (13),1.755,R
167,168.,Jay Johnstone (20),1.750,R
168,169.,Beau Bell (7),1.749,R
169,169.,Al Smith (12),1.749,R
170,171.,Danny Tartabull (14),1.748,R
171,172.,Moises Alou (17),1.743,R
172,172.,Claudell Washington (17),1.743,L
173,174.,Red Murray (11),1.742,R
174,174.,"George Springer (7, 30)",1.742,R
175,176.,Taffy Wright (9),1.741,R
176,177.,Hubie Brooks (15),1.739,R
177,178.,Bob Kennedy (16),1.737,R
178,179.,Enos Slaughter+ (19),1.735,R
179,180.,Don Mueller (12),1.733,R
180,181.,Yasiel Puig (7),1.725,R
181,182.,Danny Bautista (12),1.723,R
182,183.,Jose Cardenal (18),1.717,R
183,183.,Pete Fox (13),1.717,R
184,185.,"Bryce Harper (9, 27)",1.716,R
185,186.,Jerry Morales (15),1.715,R
186,187.,Kevin Bass (14),1.714,R
187,187.,Bruce Campbell (13),1.714,R
188,189.,Ollie Brown (13),1.707,R
189,190.,Elmer Smith (10),1.706,R
190,190.,Al Zarilla (10),1.706,R
191,192.,Felipe Alou (17),1.699,R
192,193.,Brad Hawpe (9),1.692,L
193,194.,Ty Cobb+ (24),1.691,R
194,194.,Braggo Roth (8),1.691,R
195,196.,"Carlos Gonzalez (12, 34)",1.690,L
196,197.,Bobby Murcer (17),1.685,R
197,198.,Michael Tucker (12),1.678,R
198,199.,John Titus (11),1.675,L
199,200.,Sam Mele (10),1.672,R
200,200.,Floyd Robinson (9),1.672,R
201,202.,Shoeless Joe Jackson (13),1.670,R
202,203.,Ron Swoboda (9),1.667,R
203,204.,Gavvy Cravath (11),1.665,R
204,205.,Steve Evans (8),1.654,L
205,206.,Stan Musial+ (22),1.649,L
206,207.,Jesus Alou (15),1.648,R
207,208.,"Matt Kemp (15, 35)",1.647,R
208,209.,Hank Bauer (14),1.643,R
209,209.,Carlos Beltran (20),1.643,R
210,209.,Harry Lumley (7),1.643,L
211,212.,Jim Eisenreich (15),1.630,L
212,213.,Keith Moreland (12),1.629,R
213,214.,"Matthew Joyce (13, 35)",1.628,R
214,215.,Nate Schierholtz (8),1.616,R
215,216.,Matt Stairs (19),1.606,R
216,217.,Ron Northey (12),1.605,R
217,218.,Frank Demaree (12),1.602,R
218,219.,Danny Moeller (7),1.601,R
219,220.,Mike Marshall (11),1.594,R
220,221.,Dave Martinez (16),1.593,L
221,222.,Frank Schulte (15),1.583,R
222,223.,Greg Gross (17),1.582,L
223,224.,Mike Hershberger (11),1.579,R
224,225.,Jim Rivera (10),1.561,L
225,226.,Candy Maldonado (15),1.559,R
226,227.,Elmer Flick+ (13),1.547,R
227,228.,Frank Howard (16),1.542,R
228,229.,Willie McGee (18),1.527,R
229,230.,Will Venable (9),1.522,L
230,231.,Socks Seybold (9),1.499,R
231,232.,George Browne (12),1.493,R
232,233.,Willie Keeler+ (19),1.454,L
233,234.,Eddie Murphy (11),1.453,R
234,235.,Danny Murphy (16),1.451,R
235,236.,Sam Crawford+ (19),1.438,L
236,237.,Ron Fairly (21),1.419,L
237,238.,Doc Gessler (8),1.308,L
