,Rank,"Player (yrs, age)",Total Zone Runs as LF (s.1953),Throws
288,280.,"Rusney Castillo (3, 32)",6,R
289,280.,Gino Cimoli (10),6,R
290,280.,Doug Clemens (9),6,R
291,280.,Vince Coleman (13),6,R
292,280.,"Collin Cowgill (6, 34)",6,L
293,280.,Allen Craig (6),6,R
294,280.,Jeff DaVanon (8),6,R
295,280.,Ron Davis (5),6,R
296,280.,Rob Ducey (13),6,R
297,280.,Brandon Fahey (3),6,R
298,280.,"Adam Frazier (5, 28)",6,R
299,280.,Charles Gipson (8),6,R
300,280.,"Lourdes Gurriel Jr. (3, 26)",6,R
301,280.,Brandon Guyer (7),6,R
302,280.,Carroll Hardy (8),6,R
303,280.,Von Hayes (12),6,R
304,280.,"Enrique Hernandez (7, 28)",6,R
305,280.,Whitey Herzog+ (8),6,L
306,280.,Norris Hopper (3),6,R
307,280.,Brian Hunter (9),6,L
308,280.,Pete Incaviglia (12),6,R
309,280.,Stan Jefferson (6),6,R
310,280.,Ruppert Jones (12),6,L
311,280.,"Tony Kemp (5, 28)",6,R
312,280.,Hector Lopez (12),6,R
313,280.,Ryan Ludwick (12),6,L
314,280.,Angel Mangual (7),6,R
315,280.,Dave May (12),6,R
316,280.,Rick Miller (15),6,L
317,280.,"Dylan Moore (2, 27)",6,R
318,280.,Jarrett Parker (4),6,L
319,280.,Armando Rios (6),6,L
320,280.,Ruben Rivera (9),6,R
321,280.,Shane Robinson (9),6,R
322,280.,Bill Sharp (4),6,L
323,280.,Tom Shopay (7),6,R
324,280.,Norm Siebern (12),6,R
325,280.,Keith Smith (3),6,R
326,280.,Mark Smith (8),6,R
327,280.,Russ Snyder (12),6,R
328,280.,Dernell Stenson (1),6,L
329,280.,Fernando Tatis (11),6,R
330,280.,Ted Uhlaender (8),6,R
331,280.,Mac Williamson (5),6,R
332,280.,Jim Wohlford (15),6,R
333,334.,Lane Adams (3),5,R
334,334.,"Abraham Almonte (8, 31)",5,R
335,334.,Alexi Amarista (7),5,R
336,334.,Marlon Anderson (12),5,R
337,334.,Brian Bixler (4),5,R
338,334.,Gregor Blanco (10),5,L
339,334.,Joe Borchard (6),5,R
340,334.,John Bowker (4),5,L
341,334.,Jerry Browne (10),5,R
342,334.,"Jay Bruce (13, 33)",5,L
343,334.,Scott Bullett (4),5,L
344,334.,Ellis Burks (18),5,R
345,334.,Johnny Callison (16),5,R
346,334.,Gene Clines (10),5,R
347,334.,Ty Cline (12),5,L
348,334.,Bob Coluccio (5),5,R
349,334.,Butch Davis (8),5,R
350,334.,Jim Edmonds (17),5,L
351,334.,Lou Frazier (5),5,R
352,334.,"Joey Gallo (6, 26)",5,R
353,334.,Gary Geiger (12),5,R
354,334.,Sid Gordon (13),5,R
355,334.,Jim Gosger (10),5,L
356,334.,Jerry Hairston (16),5,R
357,334.,Chuck Harmon (4),5,R
358,334.,Chuck Hinton (11),5,R
359,334.,Damon Hollins (4),5,L
360,334.,Mike Huff (7),5,R
361,334.,Brian Hunter (10),5,R
362,334.,Conor Jackson (7),5,R
363,334.,Damian Jackson (11),5,R
364,334.,Andruw Jones (17),5,R
365,334.,"Junior Lake (4, 30)",5,R
366,334.,Norm Larker (6),5,L
367,334.,Rick Leach (10),5,L
368,334.,Steve Lyons (9),5,R
369,334.,Candy Maldonado (15),5,R
370,334.,Rick Manning (13),5,R
371,334.,"Jake Marisnick (8, 29)",5,R
372,334.,Roger Maris (12),5,R
373,334.,Bob Martyn (3),5,R
374,334.,Clyde Mashore (5),5,R
375,334.,"Brandon Nimmo (5, 27)",5,R
376,334.,Stan Palys (4),5,R
377,334.,Rick Peters (5),5,R
378,334.,Shane Peterson (3),5,L
379,334.,Ryan Raburn (12),5,R
380,334.,Colby Rasmus (10),5,L
381,334.,Ben Revere (8),5,R
382,334.,Bill Russell (18),5,R
383,334.,Tsuyoshi Shinjo (3),5,R
384,334.,"Moises Sierra (4, 31)",5,R
385,334.,Ed Stroud (6),5,R
386,334.,"Raimel Tapia (5, 26)",5,L
387,334.,Gary Thurman (9),5,R
388,334.,Kelby Tomlinson (4),5,R
389,334.,Rusty Torres (9),5,R
390,334.,Jim Tyrone (4),5,R
391,334.,John Vander Wal (14),5,L
392,334.,Max Venable (12),5,R
393,334.,Will Venable (9),5,L
394,334.,Larry Walker+ (17),5,R
395,334.,Kevin Ward (2),5,R
396,334.,Dick Williams+ (13),5,R
397,334.,Herm Winningham (9),5,R
398,334.,Dewayne Wise (11),5,L
399,334.,Joel Youngblood (14),5,R
