,Rank,"Player (yrs, age)",Putouts as OF,Throws
121,122.,Ray Lankford (14),3530,L
122,123.,Lance Johnson (14),3509,L
123,124.,Tom Brunansky (14),3506,R
124,125.,Alex Rios (12),3503,R
125,126.,George Van Haltren (17),3502,L
126,127.,Gus Bell (15),3500,R
127,128.,Baby Doll Jacobson (11),3477,R
128,129.,Ben Chapman (15),3476,R
129,130.,Dixie Walker (18),3455,R
130,131.,Billy Hamilton+ (14),3453,R
131,132.,Earle Combs+ (12),3449,R
132,133.,Brian Giles (15),3447,L
133,134.,Ellis Burks (18),3435,R
134,135.,Charlie Jamieson (18),3423,L
135,136.,Coco Crisp (15),3410,R
136,137.,Omar Moreno (12),3405,L
137,138.,Kip Selbach (13),3399,R
138,139.,Hugh Duffy+ (17),3396,R
139,140.,"Andrew McCutchen (12, 33)",3379,R
140,141.,Roy White (15),3356,R
141,142.,Johnny Callison (16),3349,R
142,143.,Bing Miller (16),3342,R
143,144.,Andy Van Slyke (13),3336,R
144,145.,Dave Henderson (14),3334,R
145,145.,Reggie Sanders (17),3334,R
146,147.,Wally Berger (11),3324,R
147,148.,Rocky Colavito (14),3323,R
148,149.,Carl Furillo (15),3322,R
149,150.,Carl Crawford (15),3319,L
150,151.,Larry Walker+ (17),3315,R
151,152.,Otis Nixon (17),3313,R
152,153.,Mark Kotsay (17),3306,L
153,154.,Mike Kreevich (12),3304,R
154,155.,Shawn Green (15),3301,L
155,156.,Roy Thomas (13),3291,L
156,157.,Jim Busby (13),3284,R
157,158.,Minnie Minoso (17),3276,R
158,159.,Bobby Murcer (17),3269,R
159,160.,Jermaine Dye (14),3266,R
160,161.,Hunter Pence (14),3263,R
161,162.,Ken Griffey (19),3258,L
162,163.,Chuck Klein+ (17),3250,R
163,164.,"Justin Upton (14, 32)",3246,R
164,165.,Dave Philley (18),3242,R
165,166.,Melky Cabrera (15),3232,L
166,167.,Gary Matthews (16),3226,R
167,168.,Marlon Byrd (15),3225,R
168,169.,Magglio Ordonez (15),3208,R
169,170.,Manny Ramirez (19),3206,R
170,171.,Robin Yount+ (20),3202,R
171,172.,Andy Pafko (17),3199,R
172,173.,Denard Span (11),3198,L
173,173.,Claudell Washington (17),3198,L
174,175.,Vladimir Guerrero+ (16),3169,R
175,176.,Mickey Rivers (15),3150,L
176,177.,Steve Brodie (12),3142,R
177,178.,Carlos Gomez (13),3141,R
178,179.,Al Oliver (18),3136,L
179,180.,Del Unser (15),3123,L
180,181.,Kevin McReynolds (12),3120,R
181,182.,Terry Moore (11),3117,R
182,183.,Moises Alou (17),3114,R
183,184.,Taylor Douthit (11),3109,R
184,185.,Lenny Dykstra (12),3108,L
185,186.,Jim Rice+ (16),3103,R
186,187.,Eric Davis (17),3097,R
187,187.,Willie Keeler+ (19),3097,L
188,189.,Tony Armas (14),3091,R
189,190.,Mookie Wilson (12),3084,R
190,191.,Brian McRae (10),3083,R
191,192.,Jerry Mumphrey (15),3057,R
192,193.,Ruppert Jones (12),3051,L
193,194.,Carlos Lee (14),3048,R
194,195.,Stan Javier (17),3037,R
195,196.,Ben Oglivie (16),3030,L
196,197.,Dave Martinez (16),3025,L
197,198.,Rusty Staub (23),3018,R
198,199.,Augie Galan (16),2996,R
199,200.,"Jay Bruce (13, 33)",2994,L
200,201.,"Matt Kemp (15, 35)",2990,R
201,202.,Al Bumbry (14),2975,R
202,203.,Joe Vosmik (13),2958,R
203,204.,Ed Delahanty+ (16),2956,R
204,205.,Bill Nicholson (16),2954,R
205,206.,Jesse Barfield (12),2951,R
206,206.,Ruben Sierra (20),2951,R
207,208.,Gary Pettis (11),2948,R
208,208.,Ken Williams (14),2948,R
209,210.,Melvin Upton Jr. (12),2941,R
210,211.,Raul Mondesi (13),2932,R
211,212.,Patsy Donovan (17),2929,L
212,213.,Jim Landis (11),2927,R
213,214.,Gene Woodling (17),2924,R
214,215.,Jeromy Burnitz (14),2913,R
215,216.,Gorman Thomas (13),2905,R
216,217.,Tillie Walker (13),2904,R
217,218.,David DeJesus (13),2903,L
218,219.,Cesar Geronimo (15),2901,L
219,220.,Hi Myers (14),2898,R
220,221.,Roberto Kelly (14),2896,R
221,222.,Chris Young (13),2895,R
222,223.,"Mike Trout (10, 28)",2888,R
223,224.,Felipe Alou (17),2879,R
224,225.,Ralph Kiner+ (10),2875,R
225,226.,Jayson Werth (15),2868,R
226,227.,"Brett Gardner (13, 36)",2864,L
227,227.,Joe Kelley+ (17),2864,R
228,229.,Cy Seymour (16),2855,L
229,230.,Al Cowens (13),2854,R
230,231.,Fred Schulte (11),2853,R
231,232.,Ginger Beaumont (12),2845,R
232,233.,Michael Bourn (11),2844,R
233,233.,J.D. Drew (14),2844,R
234,235.,Matt Holliday (15),2842,R
235,236.,Vince DiMaggio (10),2840,R
236,237.,Aaron Rowand (11),2836,R
237,238.,Amos Strunk (17),2830,L
238,239.,Dante Bichette (14),2829,R
239,240.,Tommy Holmes (11),2823,L
240,241.,Bill North (11),2820,R
241,242.,Ron Gant (16),2819,R
242,242.,Mickey Stanley (15),2819,R
243,244.,Burt Shotton (14),2816,R
244,245.,Hack Wilson+ (12),2810,R
245,246.,George Case (11),2805,R
246,247.,Jose Cruz (12),2800,R
247,248.,Harry Heilmann+ (17),2794,R
248,249.,Pete Fox (13),2793,R
249,250.,Rick Miller (15),2786,L
250,251.,Jacoby Ellsbury (11),2784,L
251,252.,Tony Gonzalez (12),2783,R
252,253.,Darren Lewis (13),2778,R
253,254.,Curt Walker (12),2776,R
254,255.,Gary Sheffield (22),2775,R
255,256.,Elmer Valo (20),2769,R
256,257.,"Alex Gordon (14, 36)",2753,R
257,258.,Ethan Allen (13),2746,R
258,259.,"Jason Heyward (11, 30)",2743,L
259,260.,Jackie Jensen (11),2739,R
260,261.,Ken Berry (14),2722,R
261,262.,Raul Ibanez (19),2716,R
262,263.,Brian Jordan (15),2714,R
263,264.,"Dexter Fowler (13, 34)",2711,R
264,264.,Darryl Hamilton (13),2711,R
265,266.,Jeff Heath (14),2705,R
266,267.,Bill Tuttle (11),2698,R
267,268.,Tim Salmon (14),2695,R
268,269.,Paul Hines (20),2694,R
269,269.,Jimmy Slagle (10),2694,R
270,271.,Frank Schulte (15),2689,R
271,272.,Ken Singleton (15),2684,R
272,273.,Larry Herndon (14),2675,R
273,274.,Ned Hanlon+ (13),2659,R
274,275.,Duffy Lewis (11),2657,R
275,276.,"Ryan Braun (14, 36)",2651,R
276,277.,Roger Maris (12),2649,R
277,278.,Albert Belle (12),2642,R
278,279.,Jose Guillen (14),2636,R
279,280.,"Shin-Soo Choo (16, 37)",2632,L
280,281.,Cliff Heathcote (15),2620,L
281,282.,Jack Tobin (13),2614,L
282,283.,Shane Victorino (12),2613,R
283,284.,Les Mann (16),2610,R
284,285.,Juan Gonzalez (17),2595,R
285,285.,Matt Lawton (12),2595,R
286,287.,Bobby Higginson (11),2588,R
287,288.,"Lorenzo Cain (11, 34)",2585,R
288,288.,Jacque Jones (10),2585,L
289,290.,Stan Spence (9),2582,L
290,291.,Pete Rose (24),2579,R
291,292.,Terry Puhl (15),2576,R
292,293.,Rondell White (15),2567,R
293,294.,Johnny Groth (15),2566,R
294,295.,Chili Davis (19),2565,R
295,296.,Johnny Mostil (10),2561,R
296,297.,Ken Henderson (16),2552,R
297,298.,Tommy Leach (19),2548,R
298,299.,Jeff Francoeur (12),2543,R
299,300.,Carl Reynolds (13),2539,R
300,301.,Juan Beniquez (17),2535,R
301,301.,Jay Payton (12),2535,R
302,303.,Lou Piniella (18),2529,R
303,304.,Jay Buhner (15),2528,R
304,305.,Chick Hafey+ (13),2527,R
305,306.,Kirk Gibson (17),2523,L
306,307.,Bibb Falk (12),2521,L
307,307.,Ron LeFlore (9),2521,R
308,309.,Dan Gladden (11),2520,R
309,310.,Austin Jackson (9),2519,R
310,311.,Greg Vaughn (15),2518,R
311,312.,Darryl Strawberry (17),2515,L
312,313.,Juan Encarnacion (11),2504,R
313,314.,Jo-Jo Moore (12),2501,R
314,315.,Bob Bescher (11),2493,L
315,316.,Barney McCosky (11),2490,R
316,317.,Jack Graney (14),2488,L
317,318.,Bob Allison (13),2486,R
318,318.,Mule Haas (12),2486,R
319,320.,Chad Curtis (10),2482,R
320,320.,Ira Flagstead (13),2482,R
321,322.,Jack Smith (15),2476,L
322,323.,Jim Northrup (12),2470,R
323,324.,Jimmy McAleer (13),2465,R
324,325.,Shannon Stewart (14),2454,R
325,326.,Vince Coleman (13),2452,R
326,327.,Shano Collins (16),2442,R
327,327.,Billy Southworth+ (13),2442,R
328,329.,Hoot Evers (12),2440,R
329,330.,Gary Ward (12),2436,R
330,331.,Chick Stahl (10),2435,L
331,332.,Gary Matthews (12),2431,R
332,333.,Chief Wilson (9),2430,R
333,334.,"Cameron Maybin (14, 33)",2427,R
334,335.,Bob Meusel (11),2426,R
335,336.,Mike Devereaux (12),2410,R
336,337.,Hank Sauer (15),2408,R
337,338.,Sixto Lezcano (12),2401,R
338,339.,John Stone (11),2398,R
339,340.,Rajai Davis (14),2396,R
340,341.,Irish Meusel (11),2391,R
341,342.,Grady Sizemore (10),2390,L
342,343.,Duff Cooley (13),2389,R
343,344.,Lonnie Smith (17),2388,R
344,345.,Hank Bauer (14),2384,R
345,346.,Geoff Jenkins (11),2381,R
346,347.,Elmer Flick+ (13),2373,R
347,347.,Jay Johnstone (20),2373,R
348,349.,Johnny Wyrostek (11),2372,R
349,350.,Tommie Agee (12),2371,R
350,351.,Curt Welch (10),2366,R
351,352.,Shoeless Joe Jackson (13),2362,R
352,353.,George Gore (14),2359,R
353,354.,Jerry Morales (15),2357,R
354,355.,Gerardo Parra (11),2352,L
355,356.,Matty Alou (15),2346,L
356,356.,Tom Goodwin (14),2346,R
357,358.,Corey Patterson (12),2333,R
358,359.,Kevin Bass (14),2332,R
359,359.,Tony Oliva (15),2332,R
360,361.,Nemo Leibold (13),2318,R
361,362.,"Carlos Gonzalez (12, 34)",2304,L
362,363.,Jason Bay (11),2303,R
363,364.,Carson Bigbee (11),2302,R
364,365.,Doug Glanville (9),2299,R
365,366.,Joe Rudi (16),2294,R
366,367.,George Bell (12),2292,R
367,368.,Billy Hatcher (12),2289,R
368,369.,Preston Wilson (10),2287,R
369,370.,Joe Orsulak (14),2284,L
370,371.,Max Flack (12),2282,L
371,372.,Angel Pagan (11),2281,R
372,373.,Dave Collins (16),2275,L
373,374.,Babe Herman (13),2265,L
374,375.,Rob Deer (11),2260,R
375,376.,Jim Russell (10),2255,R
376,377.,Von Hayes (12),2247,R
377,378.,Ralph Garr (13),2237,R
378,379.,Charlie Keller (13),2235,R
379,379.,Jim O'Rourke+ (23),2235,R
380,381.,Roy Johnson (10),2231,R
381,382.,Glenn Wilson (10),2225,R
382,383.,Austin Kearns (12),2219,R
383,384.,Larry Hisle (14),2213,R
384,385.,Andre Ethier (12),2212,L
385,386.,Mike Smith (14),2211,L
386,387.,Dan Ford (11),2206,R
387,387.,Ken Landreaux (11),2206,R
388,389.,Derek Bell (11),2203,R
389,390.,David Justice (14),2196,L
390,391.,Bruce Campbell (13),2186,R
391,392.,Willard Marshall (11),2184,R
392,393.,Darin Erstad (14),2179,L
393,394.,Dave May (12),2177,R
394,395.,Casey Stengel+ (14),2171,L
395,396.,Tommy Harper (15),2168,R
396,396.,Milt Thompson (13),2168,R
397,398.,Sam Thompson+ (15),2167,R
398,399.,Tommy Griffith (13),2164,R
399,400.,Bake McBride (11),2163,R
