,Rank,"Player (yrs, age)",Batting Average,Bats
56,57.,Bill Everitt (7),.3174,L
57,58.,Roberto Clemente+ (18),.3173,R
58,58.,Joe Harris (10),.3173,R
59,60.,Chick Hafey+ (13),.3170,R
60,61.,Joe Kelley+ (17),.3169,R
61,62.,Zack Wheat+ (19),.3167,L
62,63.,Roger Connor+ (18),.3164,B
63,63.,Todd Helton (17),.3164,L
64,63.,Lloyd Waner+ (18),.3164,L
65,66.,George Van Haltren (17),.3163,L
66,67.,Frankie Frisch+ (19),.3161,B
67,68.,Goose Goslin+ (18),.3160,L
68,69.,Lew Fonseca (12),.3158,R
69,70.,Bibb Falk (12),.3145,L
70,71.,Cecil Travis (12),.3142,L
71,72.,Hank Greenberg+ (13),.3135,R
72,73.,Jack Fournier (15),.3132,L
73,74.,"Miguel Cabrera (18, 37)",.3131,R
74,75.,Elmer Flick+ (13),.3130,L
75,76.,Ed Morgan (7),.3128,R
76,77.,Nomar Garciaparra (14),.3127,R
77,77.,Larry Walker+ (17),.3127,L
78,79.,Bill Dickey+ (17),.3125,L
79,80.,Dale Mitchell (11),.3122,L
80,80.,Manny Ramirez (19),.3122,R
81,82.,Johnny Mize+ (15),.3121,L
82,82.,Joe Sewell+ (14),.3121,L
83,84.,Fred Clarke+ (21),.3120,L
84,84.,Deacon White+ (20),.3120,L
85,86.,Bug Holliday (10),.3119,R
86,87.,Barney McCosky (11),.3118,L
87,88.,Hughie Jennings+ (18),.3117,R
88,89.,Edgar Martinez+ (18),.3115,R
89,90.,Johnny Hodapp (9),.3114,R
90,90.,Freddie Lindstrom+ (13),.3114,R
91,92.,Bing Miller (16),.3113,R
92,92.,Jackie Robinson+ (10),.3113,R
93,94.,Baby Doll Jacobson (11),.3112,R
94,94.,Taffy Wright (9),.3112,L
95,96.,"Jose Altuve (10, 30)",.3110,R
96,96.,Rip Radcliff (10),.3110,L
97,96.,Ichiro Suzuki (19),.3110,L
98,99.,Ginger Beaumont (12),.3108,L
99,100.,Mike Tiernan (13),.3107,L
100,101.,Benny Kauff (8),.3106,L
101,102.,Luke Appling+ (20),.3104,R
102,102.,Irish Meusel (11),.3104,R
103,102.,Jim O'Rourke+ (23),.3104,R
104,105.,Denny Lyons (13),.3102,R
105,105.,Mike Smith (14),.3102,L
106,107.,Bobby Veach (14),.3099,L
107,108.,Jim Bottomley+ (16),.3096,L
108,109.,Derek Jeter+ (20),.3095,R
109,109.,John Stone (11),.3095,L
110,111.,Sam Crawford+ (19),.3094,L
111,112.,Bob Meusel (11),.3092,R
112,113.,Magglio Ordonez (15),.3090,R
113,114.,Jack Tobin (13),.3087,L
114,115.,Spud Davis (16),.3083,R
115,116.,Harvey Hendrick (11),.3079,L
116,117.,Mike Piazza+ (16),.3078,R
117,118.,Richie Ashburn+ (15),.3077,L
118,119.,Jake Beckley+ (20),.3076,L
119,120.,Johnny Frederick (6),.3075,L
120,120.,King Kelly+ (16),.3075,R
121,120.,Stuffy McInnis (19),.3075,R
122,120.,Jimmy Ryan (18),.3075,R
123,124.,Don Mattingly (14),.3074,L
124,124.,Joe Vosmik (13),.3074,R
125,126.,Freddy Leach (10),.3073,L
126,126.,Johnny Moore (10),.3073,L
127,128.,Home Run Baker+ (13),.3072,L
128,129.,Matty Alou (15),.3070,L
129,129.,George Burns (16),.3070,R
130,131.,Pat Duncan (7),.3069,R
131,131.,Hack Wilson+ (12),.3069,R
132,133.,Zeke Bonura (7),.3068,R
133,134.,Johnny Pesky (10),.3066,L
134,135.,George Kell+ (15),.3065,R
135,136.,Joe Mauer (15),.3063,L
136,136.,Paul Molitor+ (21),.3063,R
137,138.,Dixie Walker (18),.3062,L
138,139.,Cupid Childs (13),.3061,L
139,139.,Ernie Lombardi+ (17),.3061,R
140,141.,Bob Dillinger (6),.3058,R
141,141.,Ralph Garr (13),.3058,L
142,143.,Hank Aaron+ (23),.3050,R
143,143.,"DJ LeMahieu (10, 31)",.3050,R
144,143.,Chick Stahl (10),.3050,L
145,146.,George Brett+ (21),.3048,L
146,147.,Rusty Greer (9),.3045,L
147,147.,Charlie Hollocher (7),.3045,L
148,147.,Bill Madlock (15),.3045,R
149,150.,Billy Herman+ (15),.3043,R
150,151.,Hal Morris (13),.3042,L
151,151.,Tony Oliva (15),.3042,L
152,153.,Mel Ott+ (22),.3041,L
153,153.,"Joey Votto (14, 36)",.3041,L
154,155.,"Charlie Blackmon (10, 33)",.3040,L
155,155.,Manny Mota (20),.3040,R
156,155.,"Mike Trout (10, 28)",.3040,R
157,158.,Curt Walker (12),.3036,L
158,159.,Will Clark (15),.3034,L
159,159.,Charlie Jamieson (18),.3034,L
160,159.,Chipper Jones+ (19),.3034,B
161,162.,Moises Alou (17),.3033,R
162,163.,Gene DeMontreville (11),.3032,R
163,163.,Mark Grace (16),.3032,L
164,163.,Cy Seymour (16),.3032,L
165,166.,Jake Daubert (15),.3031,L
166,166.,George Harper (11),.3031,L
167,166.,Al Oliver (18),.3031,L
168,169.,Steve Brodie (12),.3030,L
169,169.,Buck Ewing+ (18),.3030,R
170,171.,Henry Larkin (10),.3029,R
171,171.,Pete Rose (24),.3029,B
172,173.,Mike Greenwell (12),.3028,L
173,173.,Buddy Myer (17),.3028,L
174,175.,Harvey Kuenn (15),.3026,R
175,176.,Eddie Brown (7),.3025,R
176,176.,"Robinson Cano (16, 37)",.3025,L
177,176.,Hal Trosky (11),.3025,L
178,179.,Ben Chapman (15),.3023,R
179,179.,George Grantham (13),.3023,L
180,179.,Ed McKean (13),.3023,R
181,182.,Sean Casey (12),.3022,L
182,183.,Paul Hines (20),.3020,R
183,184.,Sammy Hale (10),.3019,R
184,184.,Tommy Holmes (11),.3019,L
185,184.,Carl Reynolds (13),.3019,R
186,187.,Willie Mays+ (22),.3017,R
187,188.,"Buster Posey (11, 33)",.3016,R
188,188.,Homer Summa (10),.3016,L
189,190.,Rube Bressler (19),.3015,R
190,190.,Joe Cronin+ (20),.3015,R
191,192.,Stan Hack (16),.3013,L
192,193.,Frank Thomas+ (19),.3010,R
193,194.,George Gore (14),.3009,L
194,195.,George Stone (7),.3008,L
195,196.,"Mookie Betts (7, 27)",.3007,R
196,197.,Patsy Donovan (17),.3006,L
197,198.,Johnny Mostil (10),.3005,R
198,199.,Roberto Alomar+ (17),.3002,B
199,199.,Wally Berger (11),.3002,R
200,199.,John Kruk (10),.3002,L
201,202.,Pedro Guerrero (15),.3001,R
202,203.,Emmet Heidrick (8),.3000,L
203,204.,Ethan Allen (13),.2999,R
204,204.,Enos Slaughter+ (19),.2999,L
205,204.,Michael Young (14),.2999,R
206,207.,Oyster Burns (11),.2997,R
207,207.,Earl Sheely (9),.2997,R
208,207.,Ed Swartwood (9),.2997,L
209,210.,Billy Goodman (16),.2996,L
210,211.,Frank Demaree (12),.2995,R
211,211.,Carl Furillo (15),.2995,R
212,211.,Hardy Richardson (14),.2995,R
213,214.,"Dustin Pedroia (14, 36)",.2993,R
214,215.,Bake McBride (11),.2992,L
215,216.,Rico Carty (15),.2991,R
216,216.,Jack Doyle (17),.2991,R
217,218.,Matt Holliday (15),.2990,R
218,218.,Kenny Lofton (17),.2990,L
219,218.,Frank McCormick (13),.2990,R
220,218.,Sam West (16),.2990,L
221,222.,Harry Rice (10),.2989,L
222,223.,Joe Start (16),.2988,L
223,224.,Dante Bichette (14),.2987,R
224,224.,Buck Jordan (10),.2987,L
225,226.,Shane Mack (9),.2986,R
226,226.,"Albert Pujols (20, 40)",.2986,R
227,228.,Minnie Minoso (17),.2984,R
228,229.,Cecil Cooper (17),.2983,L
229,230.,Barry Bonds (22),.2981,L
230,230.,Mickey Mantle+ (18),.2981,B
231,230.,Jim Rice+ (16),.2981,R
232,230.,Jose Vidro (12),.2981,B
233,234.,Julio Franco (23),.2980,R
234,234.,Don Hurst (7),.2980,L
235,234.,Charley Jones (12),.2980,R
236,234.,Pepper Martin (13),.2980,R
237,238.,Dom DiMaggio (11),.2979,R
238,238.,Ted Kluszewski (15),.2979,L
239,240.,Joe Judge (20),.2978,L
240,241.,Pete Fox (13),.2977,R
241,242.,Jo-Jo Moore (12),.2976,L
242,243.,Freddy Sanchez (10),.2975,R
243,244.,Joe Torre+ (18),.2974,R
244,245.,Gabby Hartnett+ (20),.2973,R
245,245.,Al Kaline+ (22),.2973,R
246,245.,Billy Southworth+ (13),.2973,L
247,248.,Buddy Lewis (11),.2971,L
248,248.,Russ Wrightstone (9),.2971,L
249,250.,"Michael Brantley (12, 33)",.2969,L
250,250.,Placido Polanco (16),.2969,R
251,250.,Bernie Williams (16),.2969,B
252,253.,Jeff Bagwell+ (15),.2968,R
253,253.,Mike Sweeney (16),.2968,R
254,255.,High Pockets Kelly+ (16),.2967,R
255,256.,Orlando Cepeda+ (17),.2966,R
256,256.,Shannon Stewart (14),.2966,R
257,258.,Beau Bell (7),.2965,R
258,258.,Ivan Rodriguez+ (21),.2965,R
259,260.,"Ryan Braun (14, 36)",.2964,R
260,260.,Ken Griffey (19),.2964,L
261,260.,Bob Johnson (13),.2964,R
262,260.,Roy Johnson (10),.2964,L
263,264.,Frank Chance+ (17),.2963,R
264,264.,Mike Griffin (12),.2963,L
265,264.,Manny Sanguillen (13),.2963,R
266,264.,David Wright (14),.2963,R
267,268.,Ripper Collins (9),.2962,B
268,268.,Johnny Hopp (14),.2962,L
269,268.,"Daniel Murphy (12, 35)",.2962,L
270,268.,"Christian Yelich (8, 28)",.2962,L
271,272.,Jeff Cirillo (14),.2961,R
272,272.,Keith Hernandez (17),.2961,L
273,272.,Don Mueller (12),.2961,L
274,275.,Doc Cramer (20),.2960,L
275,276.,Brian Harper (16),.2955,R
276,276.,Duke Snider+ (18),.2955,L
277,278.,Juan Gonzalez (17),.2953,R
278,278.,Charlie Hickman (12),.2953,R
279,278.,Shanty Hogan (13),.2953,R
280,278.,Pete Reiser (10),.2953,L
281,282.,Bob Watson (19),.2952,R
282,282.,Heinie Zimmerman (13),.2952,R
283,284.,Lou Boudreau+ (15),.2951,R
284,284.,Victor Martinez (16),.2951,B
285,284.,Pinky Whitney (12),.2951,R
286,287.,Kevin Seitzer (12),.2950,R
287,288.,Albert Belle (12),.2949,R
288,288.,"Freddie Freeman (11, 30)",.2949,L
289,288.,Bob Nieman (12),.2949,R
290,288.,John Olerud (17),.2949,L
291,288.,Mickey Rivers (15),.2949,L
292,293.,Clyde Barnhart (9),.2948,R
293,293.,Smoky Burgess (18),.2948,L
294,293.,Barry Larkin+ (19),.2948,R
295,293.,Alex Rodriguez (22),.2948,R
296,297.,Mark Loretta (15),.2947,R
297,297.,Willie McGee (18),.2947,B
298,299.,George Davis+ (20),.2946,B
299,299.,Juan Pierre (14),.2946,L
300,301.,Jimmy Johnston (13),.2945,R
301,302.,Socks Seybold (9),.2944,R
302,303.,"José Abreu (7, 33)",.2942,R
303,303.,Jimmy Collins+ (14),.2942,R
304,303.,Duff Cooley (13),.2942,L
305,303.,Steve Garvey (19),.2942,R
306,303.,Bip Roberts (12),.2942,B
307,308.,Frank Robinson+ (21),.2941,R
308,309.,Joe Stripp (11),.2940,R
309,309.,Gee Walker (15),.2940,R
310,311.,Mike Grady (11),.2939,R
311,312.,Ezra Sutton (18),.2937,R
312,312.,Fred Tenney (17),.2937,L
313,314.,Tommy Davis (18),.2936,R
314,314.,Howie Kendrick (15),.2936,R
315,314.,Tim Raines+ (23),.2936,B
316,317.,Lance Berkman (15),.2935,B
317,317.,Buck Freeman (11),.2935,L
318,317.,Glenn Wright (11),.2935,R
319,320.,Happy Felsch (6),.2934,R
320,320.,Bill Joyce (8),.2934,L
321,322.,Mike Easler (14),.2932,L
322,323.,Danny Green (8),.2931,L
323,323.,Jeff Heath (14),.2931,L
324,323.,Kip Selbach (13),.2931,R
325,326.,"Nolan Arenado (8, 29)",.2929,R
326,326.,"Paul Goldschmidt (10, 32)",.2929,R
327,328.,Luis Polonia (12),.2928,L
328,328.,Mo Vaughn (12),.2928,L
329,330.,Garret Anderson (17),.2927,L
330,330.,Phil Cavarretta (22),.2927,L
331,330.,Curt Flood (15),.2927,R
332,333.,Lou Brock+ (19),.2926,L
333,334.,Debs Garms (12),.2925,L
334,334.,Pinky Higgins (14),.2925,R
335,336.,Birdie Cree (8),.2924,R
336,336.,Del Pratt (13),.2924,R
337,338.,Tony Lazzeri+ (14),.2922,R
338,338.,"Justin Turner (12, 35)",.2922,R
339,338.,Cy Williams (19),.2922,L
340,341.,Heinie Groh (16),.2921,R
341,341.,Mule Haas (12),.2921,L
342,343.,Dick Allen (15),.2919,R
343,343.,Heinie Reitz (7),.2919,L
344,345.,Lave Cross (21),.2918,R
345,346.,Buddy Hassett (7),.2917,L
346,346.,Gary Sheffield (22),.2917,R
347,346.,Dmitri Young (13),.2917,B
348,349.,Fred Dunlap (12),.2916,R
349,349.,Tommy McCarthy+ (13),.2916,R
350,351.,Joe Cunningham (12),.2915,L
351,351.,Sherry Magee (16),.2915,R
352,351.,Chief Meyers (9),.2915,R
353,351.,Thurman Munson (11),.2915,R
354,355.,Fred Schulte (11),.2914,R
355,356.,Bobby Abreu (18),.2913,L
356,356.,Ellis Burks (18),.2913,R
357,356.,David Segui (15),.2913,B
358,359.,Darryl Hamilton (13),.2912,L
359,360.,Frank Catalanotto (14),.2911,L
360,361.,Carlos Baerga (14),.2910,B
361,361.,Jimmy Barrett (10),.2910,L
362,361.,Hal Chase (15),.2910,R
363,361.,Taylor Douthit (11),.2910,R
364,361.,Bill Mueller (11),.2910,B
365,366.,Lance Johnson (14),.2909,L
366,366.,Pete Runnels (14),.2909,L
367,368.,Brian Giles (15),.2906,L
368,368.,Wally Moses (17),.2906,L
369,368.,Lou Piniella (18),.2906,R
370,371.,John Anderson (14),.2905,B
371,371.,Frank Baumholtz (10),.2905,L
372,371.,Travis Jackson+ (15),.2905,R
373,374.,Jim Eisenreich (15),.2904,L
374,374.,Ira Flagstead (13),.2904,R
375,374.,Charlie Grimm (20),.2904,L
376,377.,Brett Butler (17),.2903,L
377,377.,George Selkirk (9),.2903,L
378,377.,Tommy Tucker (13),.2903,B
379,380.,Bruce Campbell (13),.2902,L
380,380.,Luis Castillo (15),.2902,B
381,380.,Carl Crawford (15),.2902,L
382,380.,Jack Glasscock (17),.2902,R
383,380.,Roy Thomas (13),.2902,L
384,380.,Chicken Wolf (11),.2902,R
385,386.,Josh Hamilton (9),.2901,L
386,386.,Mike Hargrove (12),.2901,L
387,386.,"Anthony Rendon (8, 30)",.2901,R
388,389.,"J.D. Martinez (10, 32)",.2900,R
389,390.,Larry Doyle (14),.2899,L
390,390.,Billy Williams+ (18),.2899,L
391,392.,Ferris Fain (9),.2898,L
392,392.,Roberto Kelly (14),.2898,R
393,392.,Dave Parker (19),.2898,L
394,395.,Billy Butler (10),.2897,R
395,395.,Carney Lansford (15),.2897,R
396,395.,Hal McRae (19),.2897,R
397,395.,Gene Richards (8),.2897,L
398,399.,Les Bell (9),.2896,R
399,399.,Jeff Kent (17),.2896,R
400,399.,Troy Tulowitzki (13),.2896,R
401,402.,Danny Murphy (16),.2895,R
402,402.,Johnny Ray (10),.2895,B
403,404.,Al Dark (14),.2894,R
404,404.,Odell Hale (10),.2894,R
405,404.,Moose Solters (9),.2894,R
406,407.,Harold Baines+ (22),.2893,L
407,407.,Greg Colbrunn (13),.2893,R
408,407.,Mark Grudzielanek (15),.2893,R
409,407.,Tom McCreery (9),.2893,B
410,411.,Marty McManus (15),.2892,R
411,412.,"Xander Bogaerts (8, 27)",.2890,R
412,412.,Wally Joyner (16),.2890,L
413,412.,Milt Stock (14),.2890,R
414,412.,Todd Walker (12),.2890,L
415,416.,Bill Buckner (22),.2889,L
416,416.,Chuck Knoblauch (12),.2889,R
417,416.,Wally Moon (12),.2889,L
418,416.,Hanley Ramirez (15),.2889,R
419,420.,Jerry Mumphrey (15),.2888,B
420,420.,Red Rolfe (10),.2888,L
421,420.,Red Schoendienst+ (19),.2888,B
422,423.,Larry Gardner (17),.2887,L
423,423.,Hank Severeid (15),.2887,R
424,423.,Billy Sullivan (12),.2887,L
425,426.,Bob Elliott (15),.2886,R
426,426.,Gregg Jefferies (14),.2886,B
427,426.,John Reilly (10),.2886,R
428,429.,Nellie Fox+ (19),.2885,L
429,429.,Harry Stovey (14),.2885,R
430,431.,Dion James (11),.2884,L
431,431.,Rafael Palmeiro (20),.2884,L
432,431.,George Watkins (7),.2884,L
433,434.,"Lorenzo Cain (11, 34)",.2883,R
434,435.,Andres Galarraga (19),.2882,R
435,436.,Abner Dalrymple (12),.2881,L
436,436.,Hank Leiber (10),.2881,R
437,438.,Bobby Doerr+ (14),.2879,R
438,438.,Alex Johnson (13),.2879,R
439,440.,Dummy Hoy (14),.2878,L
440,440.,Jason Kendall (15),.2878,R
441,440.,Ron LeFlore (9),.2878,R
442,440.,Dave Magadan (16),.2878,L
443,440.,Lonnie Smith (17),.2878,R
444,445.,Tony Fernandez (17),.2877,B
445,446.,"Nick Markakis (15, 36)",.2876,L
446,446.,Paul O'Neill (17),.2876,L
447,448.,Carson Bigbee (11),.2875,L
448,448.,Ken Boyer (15),.2875,R
449,450.,Augie Galan (16),.2874,B
450,451.,Lu Blue (13),.2873,B
451,452.,Adrian Gonzalez (15),.2872,L
452,452.,Reggie Smith (17),.2872,B
453,454.,Javy Lopez (15),.2871,R
454,454.,Eddie Murray+ (21),.2871,B
455,454.,Jack Smith (15),.2871,L
456,454.,Richie Zisk (13),.2871,R
457,458.,Gavvy Cravath (11),.2870,R
458,458.,Lou Finney (15),.2870,L
459,458.,Martin Prado (14),.2870,R
460,461.,Jack McCarthy (12),.2869,L
461,461.,Dave Robertson (9),.2869,L
462,463.,George Burns (15),.2868,R
463,463.,Walter Holke (11),.2868,B
464,465.,Steve Evans (8),.2867,L
465,465.,"Starling Marte (9, 31)",.2867,R
466,467.,Jack Clements (17),.2866,L
467,468.,Greg Gross (17),.2865,L
468,468.,Whitey Kurowski (9),.2865,R
469,468.,Whitey Witt (10),.2865,L
470,471.,Lee Lacy (16),.2864,R
471,471.,Jack Rowe (12),.2864,L
472,473.,Felipe Alou (17),.2863,R
473,473.,Phil Bradley (8),.2863,R
474,473.,Charlie Keller (13),.2863,L
475,476.,Johnny Cooney (20),.2862,R
476,477.,Jocko Milligan (10),.2861,R
477,477.,David Ortiz (20),.2861,L
478,477.,Vern Stephens (15),.2861,R
479,480.,Adrian Beltre (21),.2860,R
480,481.,Tony Gonzalez (12),.2859,L
481,481.,"Dee Strange-Gordon (10, 32)",.2859,L
482,483.,Sparky Adams (13),.2858,R
483,483.,Red Kress (14),.2858,R
484,483.,Vada Pinson (18),.2858,L
485,483.,Edgar Renteria (16),.2858,R
486,483.,Mickey Vernon (20),.2858,L
487,488.,Woody English (12),.2857,R
488,488.,Dick Groat (14),.2857,R
489,488.,Paul Lo Duca (11),.2857,R
490,488.,Bill White (13),.2857,L
491,492.,Dee Fondy (8),.2856,L
492,493.,Cesar Cedeno (17),.2855,R
493,493.,Roy Weatherly (10),.2855,L
494,493.,Willie Wilson (19),.2855,B
495,496.,"Francisco Lindor (6, 26)",.2854,B
496,496.,Clyde Milan (16),.2854,L
497,496.,Andy Pafko (17),.2854,R
498,496.,Al Rosen (10),.2854,R
499,496.,Miguel Tejada (16),.2854,R
500,496.,Alan Trammell+ (20),.2854,R
501,496.,Eddie Waitkus (11),.2854,L
502,496.,Robin Yount+ (20),.2854,R
503,504.,Melky Cabrera (15),.2853,B
504,504.,Adam Comorosky (10),.2853,R
505,506.,Garrett Atkins (8),.2852,R
506,506.,Walker Cooper (18),.2852,R
507,506.,Carl Yastrzemski+ (23),.2852,L
508,509.,Harry Danning (10),.2851,R
509,510.,Nori Aoki (6),.2850,L
510,511.,Jeff Conine (17),.2849,R
511,512.,Andre Ethier (12),.2848,L
512,512.,Carlos Guillen (14),.2848,B
513,512.,Ted Simmons+ (21),.2848,B
514,515.,Lenny Dykstra (12),.2847,L
515,515.,Carlos Lee (14),.2847,R
516,515.,"Andrew McCutchen (12, 33)",.2847,R
517,515.,"Jean Segura (9, 30)",.2847,R
518,519.,Yogi Berra+ (19),.2846,L
519,519.,Max Carey+ (20),.2846,B
520,519.,Fielder Jones (15),.2846,L
521,519.,Garry Maddox (15),.2846,R
522,519.,Ryne Sandberg+ (16),.2846,R
523,524.,Edgardo Alfonzo (12),.2845,R
524,524.,"Carlos Gonzalez (12, 34)",.2845,L
525,526.,Johnny Damon (18),.2844,L
526,526.,Del Ennis (14),.2844,R
527,526.,Johnny Temple (13),.2844,R
528,526.,Randy Winn (13),.2844,B
529,530.,Hub Collins (7),.2843,R
530,530.,Jose Cruz (19),.2843,L
531,530.,Fred McGriff (19),.2843,L
532,530.,Joe Randa (12),.2843,R
533,530.,Ben Revere (8),.2843,L
534,530.,Casey Stengel+ (14),.2843,L
535,536.,Jim Edmonds (17),.2842,L
536,536.,Jimmie Wilson (18),.2842,R
537,538.,Andy High (13),.2841,L
538,538.,"Matt Kemp (15, 35)",.2841,R
539,540.,Shea Hillenbrand (7),.2840,R
540,540.,Braggo Roth (8),.2840,R
541,542.,Patsy Dougherty (10),.2839,L
542,542.,Jacoby Ellsbury (11),.2839,L
543,542.,Dave Nilsson (8),.2839,L
544,545.,Dick Bartell (18),.2838,R
545,545.,"Corey Dickerson (8, 31)",.2838,L
546,545.,Vic Power (12),.2838,R
547,545.,Wally Schang (19),.2838,B
548,549.,Ken Griffey Jr.+ (22),.2837,L
549,549.,Duffy Lewis (11),.2837,R
550,549.,James Loney (11),.2837,L
551,549.,Kevin Mitchell (13),.2837,R
552,549.,Amos Strunk (17),.2837,L
553,549.,Gene Woodling (17),.2837,L
554,555.,Dan McGann (12),.2836,B
555,555.,Rondell White (15),.2836,R
556,557.,Fred Carroll (8),.2835,R
557,557.,Sid Gordon (13),.2835,R
558,559.,Jim Delahanty (13),.2833,R
559,559.,Larry Doby+ (13),.2833,L
560,559.,Don Slaught (16),.2833,R
561,562.,Damaso Garcia (11),.2831,R
562,562.,Aramis Ramirez (18),.2831,R
563,562.,Jose Reyes (16),.2831,B
564,565.,Luis Gonzalez (19),.2830,L
565,565.,Fred Lynn (17),.2830,L
566,567.,Dave Cash (12),.2829,R
567,567.,"Jon Jay (11, 35)",.2829,L
568,567.,Floyd Robinson (9),.2829,L
569,567.,Delmon Young (10),.2829,R
570,567.,Eric Young Sr. (15),.2829,R
571,572.,Glenn Beckert (11),.2828,R
572,572.,Shawn Green (15),.2828,L
573,574.,Dave Winfield+ (22),.2827,R
574,575.,Prince Fielder (12),.2826,L
575,576.,Kent Hrbek (14),.2825,L
576,576.,Mike Kreevich (12),.2825,R
577,576.,John Titus (11),.2825,L
578,579.,Bruce Bochte (12),.2824,L
579,579.,Yunel Escobar (11),.2824,R
580,579.,Jeff Keppinger (9),.2824,R
581,579.,Les Mann (16),.2824,R
582,579.,Elmer Valo (20),.2824,L
583,584.,Tony Boeckel (6),.2823,R
584,584.,"Adam Eaton (9, 31)",.2823,L
585,584.,Guy Hecker (9),.2823,R
586,584.,Bill Skowron (14),.2823,R
587,588.,Ken Singleton (15),.2822,B
588,589.,George Case (11),.2821,R
589,589.,"Ender Inciarte (7, 29)",.2821,L
590,589.,Hideki Matsui (10),.2821,L
591,589.,Tim Salmon (14),.2821,R
592,589.,Fernando Vina (12),.2821,L
593,594.,Tom Paciorek (18),.2820,R
594,595.,Darby O'Brien (6),.2819,R
595,595.,Perry Werden (7),.2819,R
596,597.,Tommy Henrich (11),.2818,L
597,597.,Brian Jordan (15),.2818,R
598,597.,Dick Siebert (11),.2818,L
599,600.,Darin Erstad (14),.2817,L
600,600.,B.J. Surhoff (19),.2817,L
601,602.,Stan Spence (9),.2816,L
602,602.,Willie Stargell+ (21),.2816,L
603,604.,Orator Shafer (13),.2815,L
604,604.,Pat Tabler (12),.2815,R
605,606.,Gus Bell (15),.2814,L
606,606.,Craig Biggio+ (20),.2814,R
607,606.,Al Bumbry (14),.2814,L
608,606.,Derrek Lee (15),.2814,R
609,606.,Gary Matthews (16),.2814,R
610,611.,Ducky Holmes (10),.2813,L
611,611.,Frank LaPorte (11),.2813,R
612,611.,Justin Morneau (14),.2813,L
613,611.,Denard Span (11),.2813,L
614,615.,"Yadier Molina (17, 37)",.2812,R
615,615.,Maury Wills (14),.2812,B
616,617.,Warren Cromartie (10),.2811,L
617,617.,Ival Goodman (10),.2811,L
618,617.,Ed Konetchy (15),.2811,R
619,617.,Danny Litwhiler (11),.2811,R
620,617.,Hi Myers (14),.2811,R
621,622.,Kevin Youkilis (10),.2809,R
622,623.,Willie Kamm (13),.2808,R
623,623.,Scott Rolen (17),.2808,R
624,623.,Steve Sax (14),.2808,R
625,623.,Tillie Walker (13),.2808,R
626,627.,Rick Ferrell+ (18),.2807,R
627,627.,Harry Hooper+ (17),.2807,L
628,627.,Wally Judnich (7),.2807,L
629,627.,Wally Pipp (15),.2807,L
630,627.,"Jose Ramirez (8, 27)",.2807,B
631,627.,Ryan Theriot (8),.2807,R
632,633.,Bernie Friberg (14),.2806,R
633,633.,Cleon Jones (13),.2806,R
634,633.,Scott Podsednik (11),.2806,L
635,636.,Bobby Avila (11),.2805,R
