,Rank,"Player (yrs, age)",Def. Games as RF (s.1901),Throws
189,190.,"Avisail Garcia (9, 29)",597,R
190,191.,"Matthew Joyce (13, 35)",596,R
191,191.,Bob Kennedy (16),596,R
192,193.,Lee Lacy (16),594,R
193,194.,Roy Cullenbine (10),593,R
194,195.,Dick Porter (6),589,R
195,195.,Pete Rose (24),589,R
196,197.,Jim Rivera (10),587,L
197,198.,Bake McBride (11),578,R
198,199.,Jay Johnstone (20),577,R
199,200.,Carl Reynolds (13),576,R
200,201.,Hubie Brooks (15),575,R
201,201.,Bob Meusel (11),575,R
202,203.,Shoeless Joe Jackson (13),570,R
203,204.,Del Ennis (14),568,R
204,205.,Jerry Morales (15),564,R
205,206.,Randy Winn (13),563,R
206,207.,Richard Hidalgo (9),561,R
207,207.,Keith Moreland (12),561,R
208,209.,Will Venable (9),559,L
209,210.,Eddie Murphy (11),558,R
210,210.,Leroy Stanton (9),558,R
211,212.,Socks Seybold (9),557,R
212,213.,Danny Moeller (7),556,R
213,214.,Von Hayes (12),555,R
214,215.,Jose Cardenal (18),551,R
215,216.,Frank Demaree (12),550,R
216,217.,Vada Pinson (18),549,L
217,218.,Ben Chapman (15),548,R
218,218.,Matt Stairs (19),548,R
219,220.,Braggo Roth (8),547,R
220,221.,"Stephen Piscotty (6, 29)",545,R
221,222.,Willie McGee (18),535,R
222,223.,Elmer Flick+ (13),534,R
223,223.,"George Springer (7, 30)",534,R
224,225.,Beau Bell (7),533,R
225,225.,Doc Gessler (8),533,L
226,225.,Frank Howard (16),533,R
227,228.,Leon Roberts (11),531,R
228,229.,Greg Gross (17),524,L
229,229.,"Matt Kemp (15, 35)",524,R
230,229.,Earl Webb (7),524,R
231,232.,Danny Bautista (12),523,R
232,233.,Frank Baumholtz (10),521,L
233,234.,Dave Robertson (9),520,L
234,235.,Ron Swoboda (9),517,R
235,236.,Jacque Jones (10),510,L
236,237.,Curtis Granderson (16),504,R
237,238.,Richie Zisk (13),503,R
238,239.,Jose Cruz (19),495,L
239,240.,Stan Javier (17),493,R
240,240.,"Max Kepler (6, 27)",493,L
241,242.,"J.D. Martinez (10, 32)",492,R
242,243.,Alex Ochoa (8),488,R
243,244.,Ryan Ludwick (12),484,L
244,245.,Pat Sheridan (9),482,R
245,246.,Hosken Powell (6),481,L
246,246.,George Vukovich (6),481,R
247,248.,Chili Davis (19),480,R
248,249.,Oscar Gamble (17),474,R
249,250.,Roy Johnson (10),473,R
250,251.,Lou Finney (15),472,R
