,Rank,"Player (yrs, age)",Double Plays Turned as RF (s.1901),Throws
234,222.,Dale Murphy (18),9,R
235,222.,Alex Ochoa (8),9,R
236,222.,Don Padgett (8),9,R
237,222.,Vada Pinson (18),9,L
238,222.,Dick Porter (6),9,R
239,222.,Yasiel Puig (7),9,R
240,222.,Pete Rose (24),9,R
241,222.,Joe Schultz (11),9,R
242,222.,Al Schweitzer (4),9,R
243,222.,George Selkirk (9),9,R
244,222.,"George Springer (7, 30)",9,R
245,222.,"Giancarlo Stanton (11, 30)",9,R
246,222.,Mark Teahen (7),9,R
247,222.,Andy Van Slyke (13),9,R
248,222.,Shane Victorino (12),9,R
249,222.,Wally Westlake (10),9,R
250,251.,Felipe Alou (17),8,R
251,251.,George Altman (9),8,R
252,251.,Bob Bailor (11),8,R
253,251.,Johnny Barrett (5),8,L
254,251.,Shad Barry (10),8,R
255,251.,Lance Berkman (15),8,L
256,251.,Brian Bogusevic (5),8,L
257,251.,Bernie Carbo (12),8,R
258,251.,Jose Cardenal (18),8,R
259,251.,George Case (11),8,R
260,251.,Lou Clinton (8),8,R
261,251.,Otis Clymer (6),8,R
262,251.,Doc Cook (4),8,R
263,251.,Bob Elliott (15),8,R
264,251.,Del Ennis (14),8,R
265,251.,Lou Finney (15),8,R
266,251.,"Avisail Garcia (9, 29)",8,R
267,251.,Goose Goslin+ (18),8,R
268,251.,Danny Green (8),8,R
269,251.,"Bryce Harper (9, 27)",8,R
270,251.,Brad Hawpe (9),8,L
271,251.,Charlie Hickman (12),8,R
272,251.,Jimmy Johnston (13),8,R
273,251.,Felix Jose (11),8,R
274,251.,Chet Laabs (11),8,R
275,251.,Jim Lemon (12),8,R
276,251.,Rob Mackowiak (8),8,R
277,251.,Cliff Mapes (5),8,R
278,251.,Max Marshall (3),8,R
279,251.,"J.D. Martinez (10, 32)",8,R
280,251.,Irish Meusel (11),8,R
281,251.,Charlie Moore (15),8,R
282,251.,Larry Parrish (15),8,R
283,251.,Cody Ross (12),8,L
284,251.,Jack Rothrock (11),8,R
285,251.,John Stone (11),8,R
286,251.,Ron Swoboda (9),8,R
287,251.,George Vukovich (6),8,R
288,251.,Mark Whiten (11),8,R
289,251.,Walt Williams (10),8,R
290,251.,Smoky Joe Wood (14),8,R
291,251.,Johnny Wyrostek (11),8,R
292,251.,Joel Youngblood (14),8,R
293,294.,Milton Bradley (12),7,R
294,294.,Hubie Brooks (15),7,R
295,294.,Frank Brower (5),7,R
296,294.,Vin Campbell (6),7,R
297,294.,Joe Carter (16),7,R
298,294.,Ryan Church (7),7,L
299,294.,Gino Cimoli (10),7,R
300,294.,Ed Coleman (5),7,R
301,294.,Bob Coulson (4),7,R
302,294.,Jack Dunleavy (3),7,L
303,294.,Andre Ethier (12),7,L
304,294.,Cito Gaston (11),7,R
305,294.,Von Hayes (12),7,R
306,294.,Danny Heep (13),7,L
307,294.,Jay Johnstone (20),7,R
308,294.,"Matthew Joyce (13, 35)",7,R
309,294.,David Justice (14),7,L
310,294.,"Matt Kemp (15, 35)",7,R
311,294.,Wayne Kirby (8),7,R
312,294.,John Lowenstein (16),7,R
313,294.,Ryan Ludwick (12),7,L
314,294.,Billy Maloney (6),7,R
315,294.,Tex McDonald (4),7,R
316,294.,Willie McGee (18),7,R
317,294.,Sam Mele (10),7,R
318,294.,Brandon Moss (11),7,R
319,294.,Pedro Munoz (7),7,R
320,294.,Xavier Nady (12),7,R
321,294.,Bob Nieman (12),7,R
322,294.,Harry Niles (5),7,R
323,294.,Jim Northrup (12),7,R
324,294.,Gerardo Parra (11),7,L
325,294.,Dan Pasqua (10),7,L
326,294.,Hal Peck (7),7,L
327,294.,Hosken Powell (6),7,L
328,294.,Ray Powell (9),7,R
329,294.,Kirby Puckett+ (12),7,R
330,294.,Bill Renna (6),7,R
331,294.,Leon Roberts (11),7,R
332,294.,Burt Shotton (14),7,R
333,294.,Harry Simpson (8),7,R
334,294.,Russ Snyder (12),7,R
335,294.,Leroy Stanton (9),7,R
336,294.,"Justin Upton (14, 32)",7,R
337,294.,Elmer Valo (20),7,R
338,294.,Bill Voss (8),7,L
339,340.,Mike Anderson (9),6,R
340,340.,Larry Biittner (14),6,L
341,340.,Buzz Boyle (5),6,L
342,340.,Max Carey+ (20),6,R
343,340.,Mike Chartak (4),6,L
344,340.,Tony Conigliaro (8),6,R
345,340.,Dick Cox (2),6,R
346,340.,Estel Crabtree (8),6,R
347,340.,Chili Davis (19),6,R
348,340.,Chris Denorfia (10),6,R
349,340.,Cozy Dolan (9),6,L
350,340.,Jim Eisenreich (15),6,L
351,340.,Carl Everett (14),6,R
352,340.,Johnny Frederick (6),6,L
353,340.,Buck Freeman (11),6,L
354,340.,Bob Ganley (5),6,L
355,340.,Charlie Gilbert (6),6,L
356,340.,Charlie Hemphill (11),6,L
357,340.,Dave Henderson (14),6,R
358,340.,Bobby Higginson (11),6,R
359,340.,Steve Hovley (5),6,L
360,340.,Jim Kelly (3),6,R
361,340.,Chet Lemon (16),6,R
362,340.,Elliott Maddox (11),6,R
363,340.,Mike Marshall (11),6,R
364,340.,Pepper Martin (13),6,R
365,340.,Charlie Mead (3),6,R
366,340.,Benny Meyer (4),6,R
367,340.,Rick Miller (15),6,L
368,340.,Willie Montanez (14),6,L
369,340.,Keith Moreland (12),6,R
370,340.,Andy Pafko (17),6,R
371,340.,Timo Perez (8),6,L
372,340.,Wes Schulmerich (4),6,R
373,340.,Mike Shannon (9),6,R
374,340.,Chick Shorten (8),6,L
375,340.,Bud Stewart (9),6,R
376,340.,Ryan Sweeney (9),6,L
377,340.,Nick Swisher (12),6,L
378,340.,Danny Tartabull (14),6,R
379,340.,Tommy Thompson (6),6,R
380,340.,Cesar Tovar (12),6,R
381,340.,Al Wickland (5),6,L
382,340.,Billy Williams+ (18),6,R
383,340.,Hack Wilson+ (12),6,R
384,340.,Randy Winn (13),6,R
385,386.,John Anderson (14),5,R
386,386.,"Mookie Betts (7, 27)",5,R
387,386.,Darren Bragg (11),5,R
388,386.,Mike Brown (5),5,R
389,386.,Pat Carney (4),5,L
390,386.,Mule Haas (12),5,R
391,386.,Mel Hall (13),5,L
392,386.,Lynn Jones (8),5,R
393,386.,Johnny Lindell (12),5,R
394,386.,Les Mann (16),5,R
395,386.,Norm Miller (10),5,R
396,386.,Heinie Mueller (11),5,L
397,386.,Bernie Neis (8),5,R
398,386.,Eric Owens (9),5,R
399,386.,Dewayne Wise (11),5,L
