,Rank,"Player (yrs, age)",Range Factor/Game as CF (s.1901),Throws
99,100.,"Mike Trout (10, 28)",2.488,R
100,101.,Jim Landis (11),2.486,R
101,102.,Del Unser (15),2.483,L
102,103.,Eddie Milner (9),2.480,L
103,104.,Ty Cobb+ (24),2.479,R
104,104.,Bill Virdon (12),2.479,R
105,106.,Kenny Lofton (17),2.468,L
106,107.,Ken Griffey Jr.+ (22),2.465,L
107,108.,Dode Paskert (15),2.462,R
108,109.,Eric Davis (17),2.461,R
109,109.,Hack Wilson+ (12),2.461,R
110,111.,Johnny Damon (18),2.458,L
111,111.,Bobby Tolan (13),2.458,L
112,111.,Chris Young (13),2.458,R
113,114.,Tillie Walker (13),2.456,R
114,115.,Otis Nixon (17),2.455,R
115,116.,George Hendrick (18),2.454,R
116,117.,Roberto Kelly (14),2.448,R
117,117.,Willy Taveras (7),2.448,R
118,119.,Ken Henderson (16),2.446,R
119,120.,David DeJesus (13),2.442,L
120,121.,Melvin Upton Jr. (12),2.441,R
121,122.,Vince DiMaggio (10),2.439,R
122,123.,Curt Flood (15),2.438,R
123,123.,Marquis Grissom (17),2.438,R
124,125.,Paul Blair (17),2.427,R
125,126.,Mark Kotsay (17),2.426,L
126,127.,Austin Jackson (9),2.425,R
127,128.,Tony Scott (11),2.422,R
128,129.,Bobby Del Greco (9),2.421,R
129,129.,Curtis Granderson (16),2.421,R
130,131.,Willie Davis (18),2.418,L
131,132.,Ben Chapman (15),2.416,R
132,133.,Chris Singleton (6),2.415,L
133,134.,Nemo Leibold (13),2.412,R
134,135.,Aaron Rowand (11),2.411,R
135,136.,Coco Crisp (15),2.410,R
136,136.,Benny Kauff (8),2.410,L
137,138.,"Kevin Pillar (8, 31)",2.408,R
138,139.,Andy Pafko (17),2.407,R
139,140.,"Odubel Herrera (5, 28)",2.406,R
140,141.,Milt Thompson (13),2.396,R
141,142.,Doug Glanville (9),2.390,R
142,142.,Carlos Gomez (13),2.390,R
143,144.,Brian McRae (10),2.389,R
144,145.,Angel Pagan (11),2.387,R
145,146.,Bobby Murcer (17),2.386,R
146,147.,Darrin Jackson (12),2.382,R
147,148.,Oddibe McDowell (7),2.380,L
148,149.,Cesar Geronimo (15),2.378,L
149,150.,Larry Hisle (14),2.376,R
150,151.,Michael Bourn (11),2.375,R
151,151.,Doc Cramer (20),2.375,R
152,151.,Stan Javier (17),2.375,R
153,154.,Jack Smith (15),2.372,L
154,155.,Rebel Oakes (7),2.370,R
155,155.,Rondell White (15),2.370,R
156,157.,Steve Finley (19),2.366,L
157,158.,Mickey Mantle+ (18),2.365,R
158,159.,Joe Birmingham (9),2.362,R
159,159.,Wally Judnich (7),2.362,L
160,161.,Tommie Agee (12),2.361,R
161,162.,Brady Anderson (15),2.360,L
162,162.,"Aaron Hicks (8, 30)",2.360,R
163,164.,Jacoby Ellsbury (11),2.359,L
164,164.,"Cameron Maybin (14, 33)",2.359,R
165,166.,Solly Hofman (14),2.358,R
166,167.,Fred Snodgrass (9),2.357,R
167,168.,Duke Snider+ (18),2.354,R
168,169.,Gary Matthews (12),2.353,R
169,170.,"Jackie Bradley Jr. (8, 30)",2.352,R
170,171.,Bill Tuttle (11),2.349,R
171,172.,Gerald Young (8),2.348,R
172,173.,Amos Strunk (17),2.346,L
173,174.,Tom Goodwin (14),2.345,R
174,175.,Cy Seymour (16),2.342,L
175,176.,Melky Cabrera (15),2.341,L
176,177.,Vada Pinson (18),2.339,L
177,178.,Darren Lewis (13),2.334,R
178,179.,Harry Walker (11),2.333,R
179,180.,Dale Murphy (18),2.332,R
180,180.,Vernon Wells (15),2.332,R
181,182.,Kiki Cuyler+ (18),2.329,R
182,182.,Jay Payton (12),2.329,R
183,182.,Shane Victorino (12),2.329,R
184,185.,Jose Cardenal (18),2.328,R
185,186.,Juan Pierre (14),2.324,L
186,186.,Jim Wynn (15),2.324,R
187,188.,Terry Moore (11),2.319,R
188,189.,Preston Wilson (10),2.317,R
189,190.,Ken Berry (14),2.316,R
190,190.,Mickey Stanley (15),2.316,R
191,192.,Clyde Milan (16),2.312,R
192,193.,Jose Cruz (12),2.310,R
193,194.,Chuck Diering (9),2.306,R
194,194.,"Billy Hamilton (8, 29)",2.306,R
195,196.,Albie Pearson (9),2.302,L
196,197.,Marlon Byrd (15),2.297,R
197,198.,Nate McLouth (10),2.294,R
198,199.,Gary Geiger (12),2.287,R
199,200.,Brian Hunter (10),2.285,R
200,201.,Ellis Burks (18),2.270,R
201,201.,"Andrew McCutchen (12, 33)",2.270,R
202,203.,Don Lock (8),2.252,R
203,204.,Colby Rasmus (10),2.250,L
204,205.,"Jarrod Dyson (11, 35)",2.249,R
205,205.,Darryl Hamilton (13),2.249,R
206,207.,Johnny Bates (9),2.237,L
207,208.,Rick Monday (19),2.228,L
208,209.,Barney McCosky (11),2.224,R
209,210.,Vic Davalillo (16),2.215,L
210,211.,Charlie Hemphill (11),2.214,L
211,212.,Drew Stubbs (9),2.210,R
212,213.,John Shelby (11),2.200,R
213,214.,Damon Buford (9),2.199,R
214,214.,"Jon Jay (11, 35)",2.199,L
215,214.,Fielder Jones (15),2.199,R
216,217.,Adolfo Phillips (8),2.196,R
217,217.,Johnny Rucker (6),2.196,R
218,219.,Bob Dernier (10),2.195,R
219,220.,Dave Roberts (10),2.185,L
220,221.,Ted Uhlaender (8),2.184,R
221,222.,Johnny Cooney (20),2.173,L
222,223.,Jerry Morales (15),2.171,R
223,224.,Danny Hoffman (9),2.167,L
224,225.,Jackie Brandt (11),2.164,R
225,226.,"AJ Pollock (9, 32)",2.163,R
226,227.,Billy Hatcher (12),2.151,R
227,228.,Jo-Jo White (9),2.150,R
228,229.,Jay Johnstone (20),2.148,R
229,230.,"Brett Gardner (13, 36)",2.145,L
230,231.,Ginger Beaumont (12),2.137,R
231,232.,Dave Martinez (16),2.135,L
232,233.,"Matt Kemp (15, 35)",2.128,R
233,234.,Ping Bodie (9),2.125,R
234,235.,Lenny Green (12),2.117,L
235,236.,"Charlie Blackmon (10, 33)",2.107,L
236,237.,Corey Patterson (12),2.106,R
237,238.,Ken Landreaux (11),2.104,R
238,239.,Rajai Davis (14),2.102,R
239,240.,Endy Chavez (13),2.101,L
240,241.,Marvell Wynne (8),2.099,L
241,242.,Tony Gonzalez (12),2.086,R
242,243.,"Dexter Fowler (13, 34)",2.081,R
243,244.,Carl Everett (14),2.077,R
244,245.,Rowland Office (11),2.025,L
245,246.,Peter Bourjos (10),2.022,R
246,247.,"Juan Lagares (8, 31)",2.021,R
247,248.,Matty Alou (15),1.996,L
248,249.,Hank Leiber (10),1.977,R
249,250.,Rube Oldring (13),1.971,R
250,251.,"Jake Marisnick (8, 29)",1.920,R
251,252.,Don Demeter (11),1.902,R
252,253.,Herm Winningham (9),1.777,R
