,Rank,"Player (yrs, age)",Fielding % as RF (s.1901),Throws
111,111.,Ken Singleton (15),.9788,R
112,113.,Cliff Heathcote (15),.9786,L
113,113.,Mel Ott+ (22),.9786,R
114,115.,Jeff Burroughs (16),.9784,R
115,116.,Harold Baines+ (22),.9781,L
116,117.,Leon Roberts (11),.9780,R
117,118.,Brad Hawpe (9),.9779,L
118,118.,Manny Ramirez (19),.9779,R
119,120.,Jack Clark (18),.9778,R
120,121.,Carl Furillo (15),.9777,R
121,122.,Mike Marshall (11),.9776,R
122,123.,Keith Moreland (12),.9775,R
123,124.,Ollie Brown (13),.9774,R
124,124.,Rocky Colavito (14),.9774,R
125,126.,"Matt Kemp (15, 35)",.9773,R
126,126.,Tim Salmon (14),.9773,R
127,126.,Glenn Wilson (10),.9773,R
128,129.,Jim Northrup (12),.9772,R
129,130.,Bobby Bonds (14),.9771,R
130,131.,Bobby Higginson (11),.9769,R
131,131.,Bill Nicholson (16),.9769,R
132,133.,Jay Johnstone (20),.9768,R
133,134.,Jeromy Burnitz (14),.9767,R
134,135.,David Justice (14),.9765,L
135,135.,Darryl Strawberry (17),.9765,L
136,137.,Bobby Bonilla (16),.9764,R
137,138.,Raul Mondesi (13),.9763,R
138,139.,Bobby Murcer (17),.9760,R
139,140.,Dante Bichette (14),.9759,R
140,141.,Pat Kelly (15),.9758,L
141,142.,Jackie Jensen (11),.9757,R
142,143.,Derek Bell (11),.9755,R
143,143.,Kiki Cuyler+ (18),.9755,R
144,145.,Willie Kirkland (9),.9754,R
145,146.,Tony Oliva (15),.9753,R
146,147.,Rob Deer (11),.9749,R
147,148.,Ival Goodman (10),.9747,R
148,149.,Vic Wertz (17),.9746,R
149,150.,Sam Crawford+ (19),.9744,L
150,151.,Ron Swoboda (9),.9740,R
151,152.,Sammy Sosa (18),.9739,R
152,153.,Reggie Smith (17),.9736,R
153,154.,Paul Waner+ (20),.9734,L
154,155.,Roberto Clemente+ (18),.9730,R
155,156.,Danny Tartabull (14),.9729,R
156,156.,Al Zarilla (10),.9729,R
157,158.,Pete Fox (13),.9728,R
158,158.,Candy Maldonado (15),.9728,R
159,158.,Ellis Valentine (10),.9728,R
160,161.,Al Smith (12),.9727,R
161,162.,Willie McGee (18),.9726,R
162,163.,Jim Rivera (10),.9724,L
163,164.,George Harper (11),.9720,R
164,164.,Dick Porter (6),.9720,R
165,166.,Dan Ford (11),.9719,R
166,167.,Jose Guillen (14),.9718,R
167,168.,Jose Canseco (17),.9717,R
168,169.,Max Flack (12),.9714,L
169,169.,Bing Miller (16),.9714,R
170,171.,Gene Moore (14),.9711,L
171,171.,Taffy Wright (9),.9711,R
172,173.,Elmer Valo (20),.9710,R
173,174.,Wally Post (15),.9709,R
174,175.,Wally Moses (17),.9706,L
175,176.,Frank Howard (16),.9705,R
176,177.,Bob Allison (13),.9702,R
177,178.,Sam Rice+ (20),.9699,R
178,178.,Rusty Staub (23),.9699,R
179,180.,Lance Richbourg (8),.9696,R
180,181.,Ruben Sierra (20),.9694,R
181,182.,Billy Southworth+ (13),.9691,R
182,182.,Johnny Wyrostek (11),.9691,R
183,184.,"Justin Upton (14, 32)",.9690,R
184,185.,Danny Murphy (16),.9689,R
185,185.,Leroy Stanton (9),.9689,R
186,185.,Dixie Walker (18),.9689,R
187,188.,Beau Bell (7),.9688,R
188,189.,Mark Whiten (11),.9686,R
189,190.,Chief Wilson (9),.9684,R
190,191.,Claudell Washington (17),.9681,L
191,192.,Buddy Lewis (11),.9679,R
192,193.,Reggie Jackson+ (21),.9675,L
193,193.,Frank Schulte (15),.9675,R
194,195.,Roy Cullenbine (10),.9674,R
195,196.,Hubie Brooks (15),.9671,R
196,196.,Ben Chapman (15),.9671,R
197,198.,Ron Northey (12),.9670,R
198,199.,Carl Reynolds (13),.9669,R
199,200.,Harry Hooper+ (17),.9664,R
200,201.,Jose Cardenal (18),.9663,R
201,202.,Jesus Alou (15),.9659,R
202,203.,Dave Parker (19),.9657,R
203,204.,Shano Collins (16),.9654,R
204,205.,Mike Davis (10),.9646,L
205,206.,Babe Ruth+ (22),.9643,L
206,207.,Socks Seybold (9),.9642,R
207,208.,Mike Mitchell (8),.9638,R
208,209.,Del Ennis (14),.9637,R
209,210.,Vladimir Guerrero+ (16),.9634,R
210,210.,Casey Stengel+ (14),.9634,L
211,212.,Harry Heilmann+ (17),.9628,R
212,213.,Willie Keeler+ (19),.9612,L
213,214.,Curt Walker (12),.9608,R
214,215.,Chuck Klein+ (17),.9607,R
215,216.,Homer Summa (10),.9603,R
216,217.,Elmer Smith (10),.9590,R
217,218.,John Titus (11),.9584,L
218,219.,Babe Herman (13),.9582,L
219,220.,Tommy Griffith (13),.9570,R
220,221.,Red Murray (11),.9569,R
221,222.,Jack Tobin (13),.9550,L
222,223.,Earl Webb (7),.9549,R
223,224.,Ty Cobb+ (24),.9546,R
224,224.,Steve Evans (8),.9546,L
225,226.,Elmer Flick+ (13),.9538,R
226,227.,Shoeless Joe Jackson (13),.9520,R
227,227.,Dave Robertson (9),.9520,L
228,227.,Ross Youngs+ (10),.9520,R
229,230.,Braggo Roth (8),.9507,R
230,231.,Bruce Campbell (13),.9505,R
231,232.,Bob Meusel (11),.9478,R
232,233.,Harry Lumley (7),.9457,L
233,234.,Gavvy Cravath (11),.9447,R
234,235.,Doc Gessler (8),.9432,L
235,236.,Eddie Murphy (11),.9430,R
236,237.,Danny Moeller (7),.9378,R
237,238.,George Browne (12),.9298,R
