,Rank,"Player (yrs, age)",Range Factor/9Inn as 3B,Throws
106,107.,"Todd Frazier (10, 34)",2.543,R
107,108.,Martin Prado (14),2.538,R
108,109.,Fernando Tatis (11),2.537,R
109,110.,"Edwin Encarnacion (16, 37)",2.536,R
110,111.,Garrett Atkins (8),2.531,R
111,112.,Kevin Kouzmanoff (7),2.516,R
112,113.,Chris Sabo (9),2.509,R
113,114.,Wes Helms (13),2.507,R
114,115.,"Eugenio Suarez (7, 28)",2.505,R
115,116.,"Jake Lamb (7, 29)",2.496,R
116,116.,Ed Sprague (11),2.496,R
117,118.,Alex Rodriguez (22),2.485,R
118,118.,"Justin Turner (12, 35)",2.485,R
119,120.,Luis Valbuena (11),2.483,R
120,121.,Dave Hollins (12),2.481,R
121,121.,"Pablo Sandoval (13, 33)",2.481,R
122,123.,David Freese (11),2.465,R
123,124.,"Kris Bryant (6, 28)",2.463,R
124,125.,"Anthony Rendon (8, 30)",2.449,R
125,126.,"Matt Carpenter (10, 34)",2.440,R
126,127.,"Miguel Cabrera (18, 37)",2.424,R
127,128.,Chipper Jones+ (19),2.423,R
128,129.,Dean Palmer (14),2.421,R
129,130.,Aramis Ramirez (18),2.413,R
130,131.,Mike Blowers (11),2.410,R
131,132.,"Jose Ramirez (8, 27)",2.397,R
132,133.,"Maikel Franco (7, 27)",2.390,R
133,134.,Howard Johnson (14),2.375,R
134,135.,"Nicholas Castellanos (8, 28)",2.366,R
135,136.,Mark Reynolds (13),2.350,R
136,137.,"Eduardo Escobar (10, 31)",2.318,R
137,138.,Russ Davis (8),2.313,R
138,139.,Casey McGehee (8),2.274,R
139,140.,Chris Johnson (8),2.188,R
