,Rank,"Player (yrs, age)",Wins Above Replacement,Bats/Throws
105,106.,Rick Reuschel (19),69.5,R
106,107.,Tim Raines+ (23),69.4,B
107,108.,Manny Ramirez (19),69.3,R
108,109.,Tony Gwynn+ (20),69.2,L
109,110.,"Robinson Cano (16, 37)",69.1,L
110,111.,John Smoltz+ (21),69.0,R
111,112.,Eddie Murray+ (21),68.7,B
112,112.,Ivan Rodriguez+ (21),68.7,R
113,114.,Red Ruffing+ (22),68.6,R
114,115.,Jim Palmer+ (19),68.5,R
115,116.,Carlton Fisk+ (24),68.4,R
116,116.,Kenny Lofton (17),68.4,L
117,116.,Edgar Martinez+ (18),68.4,R
118,119.,Carl Hubbell+ (16),68.2,R
119,119.,Pee Wee Reese+ (16),68.2,R
120,121.,Graig Nettles (22),68.0,L
121,121.,Ryne Sandberg+ (16),68.0,R
122,121.,Al Simmons+ (20),68.0,R
123,124.,Ernie Banks+ (19),67.8,R
124,124.,Kevin Brown (19),67.8,R
125,124.,Fred Clarke+ (21),67.8,L
126,127.,Don Drysdale+ (14),67.1,R
127,127.,Dwight Evans (20),67.1,R
128,129.,Roberto Alomar+ (17),67.0,B
129,130.,Tony Mullane (13),66.7,B
130,130.,Don Sutton+ (23),66.7,R
131,132.,Buddy Bell (18),66.3,R
132,133.,Goose Goslin+ (18),66.2,L
133,134.,Luis Tiant (19),66.1,R
134,135.,Duke Snider+ (18),66.0,L
135,136.,Willie Randolph (18),65.9,R
136,137.,Amos Rusie+ (10),65.8,R
137,137.,Ed Walsh+ (14),65.8,R
138,139.,Craig Biggio+ (20),65.5,R
139,140.,Andre Dawson+ (21),64.8,R
140,141.,Reggie Smith (17),64.6,B
141,142.,Willie McCovey+ (22),64.5,L
142,143.,Richie Ashburn+ (15),64.4,L
143,143.,Chase Utley (16),64.4,L
144,145.,Roy Halladay+ (16),64.2,R
145,145.,Dave Winfield+ (22),64.2,R
146,147.,Joe Cronin+ (20),64.1,R
147,148.,Red Faber+ (20),64.0,B
148,149.,Billy Williams+ (18),63.7,L
149,150.,Vic Willis+ (13),63.6,R
150,151.,Bob Feller+ (18),63.4,R
151,152.,Billy Hamilton+ (14),63.3,L
152,153.,Lou Boudreau+ (15),63.0,R
153,153.,Clark Griffith+ (21),63.0,R
154,155.,Ken Boyer (15),62.9,R
155,155.,Juan Marichal+ (16),62.9,R
156,157.,Home Run Baker+ (13),62.7,L
157,157.,Andruw Jones (17),62.7,R
158,157.,Hal Newhouser+ (17),62.7,L
159,160.,CC Sabathia (19),62.5,L
160,161.,David Cone (17),62.3,L
161,161.,"Max Scherzer (13, 35)",62.3,R
162,161.,John Ward+ (17),62.3,L
163,161.,Mickey Welch+ (13),62.3,R
164,165.,Mark McGwire (16),62.2,R
165,166.,Dennis Eckersley+ (24),62.1,R
166,166.,Shoeless Joe Jackson (13),62.1,L
167,166.,"Joey Votto (14, 36)",62.1,L
168,169.,Todd Helton (17),61.8,L
169,170.,Jackie Robinson+ (10),61.7,R
170,171.,Jack Glasscock (17),61.6,R
171,171.,Tommy John (26),61.6,R
172,173.,Sal Bando (16),61.5,R
173,174.,Stan Coveleski+ (14),61.4,R
174,175.,Jake Beckley+ (20),61.3,L
175,176.,Early Wynn+ (23),61.1,B
176,177.,Tommy Bond (10),60.9,R
177,178.,Willie Davis (18),60.8,L
178,179.,Charlie Buffinton (11),60.7,R
179,180.,Gary Sheffield (22),60.5,R
180,181.,Jim Edmonds (17),60.4,L
181,181.,Harmon Killebrew+ (22),60.4,R
182,183.,Keith Hernandez (17),60.3,L
183,183.,Al Spalding+ (8),60.3,R
184,185.,Bobby Abreu (18),60.2,L
185,185.,Andy Pettitte (18),60.2,L
186,187.,Dazzy Vance+ (16),60.1,R
187,187.,Zack Wheat+ (19),60.1,L
188,189.,Wes Ferrell (15),60.0,R
189,190.,Jesse Burkett+ (16),59.7,L
190,190.,Ichiro Suzuki (19),59.7,L
191,192.,Bob Caruthers (10),59.6,L
192,192.,Mike Piazza+ (16),59.6,R
193,194.,Yogi Berra+ (19),59.5,L
194,194.,Jim Bunning+ (17),59.5,R
195,194.,Vladimir Guerrero+ (16),59.5,R
196,197.,"Cole Hamels (15, 36)",59.4,L
197,197.,Sherry Magee (16),59.4,R
198,199.,Mark Buehrle (16),59.1,L
199,200.,Bret Saberhagen (16),58.9,R
200,201.,Dick Allen (15),58.8,R
201,201.,Darrell Evans (21),58.8,L
202,203.,Urban Shocker (13),58.7,R
203,204.,Eddie Cicotte (14),58.6,B
204,204.,Jack Quinn (23),58.6,R
205,204.,Sammy Sosa (18),58.6,R
206,207.,Mordecai Brown+ (14),58.4,B
207,208.,Joe McGinnity+ (10),58.3,R
208,208.,Rube Waddell+ (13),58.3,R
209,210.,John Olerud (17),58.1,L
210,211.,Bobby Bonds (14),57.9,R
211,211.,Chuck Finley (17),57.9,L
212,211.,Tim Hudson (17),57.9,R
213,214.,Joe Torre+ (18),57.6,R
214,215.,Willie Stargell+ (21),57.5,L
215,216.,Bill Dickey+ (17),57.3,L
216,217.,Frank Tanana (21),57.2,L
217,218.,Whitey Ford+ (16),57.1,L
218,219.,Enos Slaughter+ (19),57.0,L
219,220.,Gabby Hartnett+ (20),56.9,R
220,221.,"Evan Longoria (13, 34)",56.7,R
221,222.,Will Clark (15),56.5,L
222,223.,George Sisler+ (15),56.4,L
223,223.,Dave Stieb (16),56.4,R
224,225.,Johnny Damon (18),56.3,L
225,225.,Mariano Rivera+ (19),56.3,R
226,227.,Robin Ventura (16),56.1,L
227,227.,Jim Whitney (10),56.1,L
228,229.,Billy Herman+ (15),56.0,R
229,229.,Orel Hershiser (18),56.0,R
230,231.,Luis Aparicio+ (18),55.9,R
231,232.,Eppa Rixey+ (21),55.8,R
232,232.,Bill Terry+ (14),55.8,L
233,232.,Jim Wynn (15),55.8,R
234,235.,Joe Gordon+ (11),55.7,R
235,235.,Hank Greenberg+ (13),55.7,R
236,237.,Chet Lemon (16),55.6,R
237,237.,George Uhle (17),55.6,R
238,239.,Jack Powell (16),55.5,R
239,240.,Jeff Kent (17),55.4,R
240,241.,Bob Johnson (13),55.3,R
241,241.,Joe Mauer (15),55.3,L
242,241.,David Ortiz (20),55.3,L
243,244.,Ian Kinsler (14),55.2,R
244,245.,Bobby Mathews (15),55.1,R
245,246.,Stan Hack (16),54.8,L
246,247.,Kevin Appier (16),54.5,R
247,247.,Max Carey+ (20),54.5,B
248,249.,Jose Cruz (19),54.4,L
249,250.,Willie Keeler+ (19),54.3,L
250,250.,Joe Medwick+ (17),54.3,R
251,252.,Vada Pinson (18),54.2,L
252,253.,Tony Perez+ (23),54.0,R
253,254.,Joe Sewell+ (14),53.9,L
254,255.,Ron Cey (17),53.8,R
255,256.,Wilbur Cooper (15),53.7,R
256,257.,Jerry Koosman (19),53.6,R
257,258.,David Wells (21),53.5,L
258,259.,Jimmy Collins+ (14),53.4,R
259,259.,Sam Rice+ (20),53.4,L
260,261.,Harry Hooper+ (17),53.3,L
261,261.,Billy Pierce (18),53.3,L
262,263.,Joe Tinker+ (15),53.2,R
263,263.,Bucky Walters (19),53.2,R
264,265.,Bert Campaneris (19),53.1,R
265,265.,Jack Clark (18),53.1,R
266,267.,Elmer Flick+ (13),53.0,L
267,267.,Dwight Gooden (16),53.0,R
268,269.,Cesar Cedeno (17),52.8,R
269,269.,Burleigh Grimes+ (19),52.8,R
270,271.,Fred McGriff (19),52.6,L
271,272.,Babe Adams (19),52.5,L
272,272.,Bid McPhee+ (18),52.5,R
273,274.,Waite Hoyt+ (21),52.2,R
274,274.,Jim O'Rourke+ (23),52.2,R
275,276.,Lance Berkman (15),52.0,B
276,276.,Norm Cash (17),52.0,L
277,276.,Larry Jackson (14),52.0,R
278,279.,Luis Gonzalez (19),51.7,L
279,279.,Johan Santana (12),51.7,L
280,281.,"Dustin Pedroia (14, 36)",51.6,R
281,282.,Brian Downing (20),51.5,R
282,283.,Toby Harrah (17),51.4,R
283,284.,Al Orth (15),51.3,L
284,285.,Earl Averill+ (13),51.1,L
285,285.,Bobby Doerr+ (14),51.1,R
286,285.,Brian Giles (15),51.1,L
287,285.,Carl Mays (15),51.1,L
288,285.,Kirby Puckett+ (12),51.1,R
289,290.,Tony Phillips (18),50.9,B
290,291.,Torii Hunter (19),50.7,R
291,292.,Mark Teixeira (14),50.6,B
292,293.,Theodore Breitenstein (11),50.5,L
293,293.,Bob Elliott (15),50.5,R
294,293.,Jason Giambi (20),50.5,L
295,293.,Jim Kaat (25),50.5,L
296,293.,Joe Kelley+ (17),50.5,R
297,293.,Kenny Rogers (20),50.5,L
298,299.,Silver King (10),50.4,R
299,300.,Tommy Bridges (16),50.3,R
300,300.,Ted Simmons+ (21),50.3,B
301,302.,Fred Lynn (17),50.2,L
302,302.,Minnie Minoso (17),50.2,R
303,304.,Orlando Cepeda+ (17),50.1,R
304,304.,"Felix Hernandez (15, 34)",50.1,R
305,304.,Mark Langston (16),50.1,R
306,307.,Roy Oswalt (13),50.0,R
307,307.,Wilbur Wood (17),50.0,R
308,309.,Ellis Burks (18),49.8,R
309,309.,Jamie Moyer (25),49.8,L
310,309.,Eddie Rommel (13),49.8,R
311,309.,Dizzy Trout (15),49.8,R
312,313.,Brett Butler (17),49.7,L
313,313.,Jimmy Sheckard (17),49.7,L
314,315.,Bernie Williams (16),49.6,B
315,316.,Nellie Fox+ (19),49.5,L
316,317.,Larry Doby+ (13),49.3,L
317,318.,David Wright (14),49.2,R
318,319.,Dave Bancroft+ (16),49.1,B
319,319.,Mickey Cochrane+ (13),49.1,L
320,321.,Jimmy Key (15),48.9,R
321,321.,Sandy Koufax+ (12),48.9,R
322,323.,Dutch Leonard (20),48.8,R
323,324.,Jim Fregosi (18),48.7,R
324,324.,Dennis Martinez (23),48.7,R
325,326.,Jack Stivetts (11),48.5,R
326,327.,Larry Gardner (17),48.2,L
327,327.,Bob Lemon+ (15),48.2,L
328,329.,Chief Bender+ (16),48.1,R
329,329.,Heinie Groh (16),48.1,R
330,329.,Dolf Luque (20),48.1,R
331,332.,Mickey Lolich (16),48.0,B
332,333.,Buck Ewing+ (18),47.9,R
333,333.,Ralph Kiner+ (10),47.9,R
334,333.,Wally Schang (19),47.9,B
335,336.,Ron Guidry (14),47.8,L
336,336.,Buddy Myer (17),47.8,L
337,336.,Bobby Veach (14),47.8,L
338,339.,Johnny Evers+ (18),47.7,L
339,339.,Jim Rice+ (16),47.7,R
340,341.,Bobo Newsom (20),47.6,R
341,341.,Jimmy Rollins (17),47.6,B
342,343.,George Mullin (14),47.5,R
343,344.,Tony Lazzeri+ (14),47.3,R
344,344.,Devon White (17),47.3,B
345,346.,Joe Judge (20),47.2,L
346,346.,Heinie Manush+ (17),47.2,L
347,348.,Tommy Leach (19),47.1,R
348,348.,Nap Rucker (10),47.1,R
349,348.,Jesse Tannehill (15),47.1,B
350,348.,Miguel Tejada (16),47.1,R
351,348.,Doc White (13),47.1,L
352,353.,Kiki Cuyler+ (18),47.0,R
353,353.,Art Fletcher (13),47.0,R
354,353.,Curtis Granderson (16),47.0,L
355,353.,Frank Viola (15),47.0,L
356,357.,"Ryan Braun (14, 36)",46.9,R
357,358.,Gene Tenace (15),46.8,R
358,358.,Roy White (15),46.8,B
359,358.,Hoyt Wilhelm+ (21),46.8,R
360,361.,Mike Cameron (17),46.7,R
361,361.,Bob Shawkey (15),46.7,R
362,363.,Lave Cross (21),46.6,R
363,363.,Matt Williams (17),46.6,R
364,365.,Dale Murphy (18),46.5,R
365,365.,Hippo Vaughn (13),46.5,B
366,367.,Mark Grace (16),46.4,L
367,367.,Ed Konetchy (15),46.4,R
368,369.,Murry Dickson (18),46.2,R
369,370.,Willie Wilson (19),46.1,B
370,371.,Dizzy Dean+ (12),46.0,R
371,371.,King Kelly+ (16),46.0,R
372,371.,Chuck Klein+ (17),46.0,L
373,371.,Thurman Munson (11),46.0,R
374,371.,Vern Stephens (15),46.0,R
375,376.,Frank Chance+ (17),45.8,R
376,376.,"Bartolo Colon (21, 47)",45.8,R
377,376.,Rusty Staub (23),45.8,L
378,379.,John McGraw+ (17),45.7,L
379,379.,Herb Pennock+ (22),45.7,B
380,379.,Lon Warneke (15),45.7,R
381,382.,Javier Vazquez (14),45.6,R
382,382.,Omar Vizquel (24),45.6,B
383,384.,Del Pratt (13),45.5,R
384,384.,Deacon White+ (20),45.5,L
385,386.,"Mookie Betts (7, 27)",45.4,R
386,386.,Lou Brock+ (19),45.4,L
387,386.,Addie Joss+ (9),45.4,R
388,386.,Brad Radke (12),45.4,R
389,390.,Tony Fernandez (17),45.3,B
390,390.,"Chris Sale (10, 31)",45.3,L
391,392.,Larry French (14),45.2,R
392,393.,Vida Blue (17),45.1,B
393,393.,Larry Doyle (14),45.1,L
394,393.,"Paul Goldschmidt (10, 32)",45.1,R
395,393.,Claude Passeau (13),45.1,R
396,393.,Edd Roush+ (18),45.1,L
397,398.,Harry Stovey (14),45.0,R
398,399.,Rocky Colavito (14),44.9,R
399,399.,J.D. Drew (14),44.9,L
400,399.,Paul Hines (20),44.9,R
401,399.,Roger Peckinpaugh (17),44.9,R
402,403.,Bill Freehan (15),44.7,R
403,403.,Augie Galan (16),44.7,B
404,403.,Steve Rogers (13),44.7,R
405,406.,Chuck Knoblauch (12),44.6,R
406,406.,"Jon Lester (15, 36)",44.6,L
407,406.,Red Lucas (16),44.6,L
408,406.,"Andrew McCutchen (12, 33)",44.6,R
409,406.,Ben Zobrist (14),44.6,B
410,411.,Troy Tulowitzki (13),44.5,R
411,412.,Carlos Delgado (17),44.4,L
412,412.,Noodles Hahn (8),44.4,L
413,412.,Matt Holliday (15),44.4,R
414,412.,Sam Thompson+ (15),44.4,L
415,416.,Cupid Childs (13),44.3,L
416,416.,Nomar Garciaparra (14),44.3,R
417,418.,Steve Finley (19),44.2,L
418,418.,George Foster (18),44.2,R
419,418.,Mel Harder (20),44.2,R
420,418.,Red Schoendienst+ (19),44.2,B
421,418.,Dixie Walker (18),44.2,L
422,423.,Lonny Frey (14),44.0,L
423,424.,Earle Combs+ (12),43.9,L
424,424.,Gil Hodges (18),43.9,R
425,424.,Fred Tenney (17),43.9,L
426,424.,Carlos Zambrano (12),43.9,B
427,428.,Al Dark (14),43.8,R
428,429.,Travis Jackson+ (15),43.7,R
429,429.,Al Oliver (18),43.7,L
430,429.,Milt Pappas (17),43.7,R
431,429.,Bob Welch (17),43.7,R
432,433.,Julio Franco (23),43.6,R
433,433.,Adrian Gonzalez (15),43.6,L
434,435.,Bill Donovan (18),43.5,B
435,435.,Charlie Keller (13),43.5,L
436,435.,Jack Morris+ (18),43.5,R
437,435.,Jimmy Ryan (18),43.5,R
438,439.,Curt Simmons (20),43.3,L
439,440.,Dolph Camilli (12),43.2,L
440,440.,Fielder Jones (15),43.2,L
441,440.,Cliff Lee (13),43.2,L
442,443.,Hugh Duffy+ (17),43.1,R
443,443.,Tony Oliva (15),43.1,L
444,443.,Mel Stottlemyre (11),43.1,R
445,446.,"Brett Gardner (13, 36)",43.0,L
446,446.,Ned Garver (14),43.0,R
447,448.,Roger Bresnahan+ (17),42.9,R
448,448.,Jack Chesbro+ (11),42.9,R
449,448.,Rabbit Maranville+ (23),42.9,R
450,451.,Sad Sam Jones (22),42.8,R
451,451.,Amos Otis (17),42.8,R
452,453.,Jorge Posada (17),42.7,B
453,454.,Mike Smith (14),42.6,L
454,455.,Wally Berger (11),42.5,R
455,455.,Lenny Dykstra (12),42.5,L
456,455.,Ken Williams (14),42.5,L
457,458.,Jose Canseco (17),42.4,R
458,458.,Davey Lopes (16),42.4,R
459,458.,Don Mattingly (14),42.4,L
460,461.,Felipe Alou (17),42.3,R
461,461.,Hughie Jennings+ (18),42.3,R
462,461.,Schoolboy Rowe (15),42.3,R
463,464.,Harry Brecheen (12),42.2,L
464,464.,Darryl Strawberry (17),42.2,L
465,466.,Gary Gaetti (20),42.1,R
466,467.,Phil Rizzuto+ (13),42.0,R
467,468.,John Candelaria (19),41.9,L
468,468.,Ben Chapman (15),41.9,R
469,468.,Curt Flood (15),41.9,R
470,468.,Placido Polanco (16),41.9,R
471,472.,Sam McDowell (15),41.8,L
472,472.,"Buster Posey (11, 33)",41.8,R
473,472.,Ken Singleton (15),41.8,B
474,475.,Doug DeCinces (15),41.7,R
475,475.,Jason Kendall (15),41.7,R
476,475.,Bill Nicholson (16),41.7,L
477,478.,Jim Perry (17),41.6,B
478,479.,Harlond Clift (12),41.5,R
479,479.,"Josh Donaldson (10, 34)",41.5,R
480,479.,Kid Gleason (22),41.5,B
481,479.,Mike Tiernan (13),41.5,L
482,479.,Fernando Valenzuela (17),41.5,L
483,484.,George Van Haltren (17),41.3,L
484,484.,Andy Van Slyke (13),41.3,L
485,486.,Claude Osteen (18),41.2,L
486,487.,Tom Candiotti (16),41.1,R
487,487.,Rich Gossage+ (22),41.1,R
488,487.,Eddie Stanky (11),41.1,R
489,490.,Frank Dwyer (12),41.0,R
490,490.,Jack Fournier (15),41.0,L
491,490.,Hardy Richardson (14),41.0,R
492,490.,"Giancarlo Stanton (11, 30)",41.0,R
493,490.,"Adam Wainwright (15, 38)",41.0,R
494,495.,Mark Belanger (18),40.9,R
495,495.,Jim Gilliam (14),40.9,B
496,495.,Catfish Hunter+ (15),40.9,R
497,495.,Sam Leever (13),40.9,R
498,495.,Camilo Pascual (18),40.9,R
499,495.,Darrell Porter (17),40.9,L
500,501.,Hooks Dauss (15),40.8,R
501,501.,Bob Friend (16),40.8,R
502,501.,Mike Griffin (12),40.8,L
503,501.,Gil McDougald (10),40.8,R
504,501.,Sadie McMahon (9),40.8,R
505,506.,Cy Seymour (16),40.7,L
506,507.,David Justice (14),40.6,L
507,507.,Tim Salmon (14),40.6,R
508,507.,Roy Thomas (13),40.6,L
509,510.,Dick Bartell (18),40.5,R
510,510.,Jim Sundberg (16),40.5,R
511,510.,Virgil Trucks (17),40.5,R
512,513.,Pete Browning (13),40.4,R
513,513.,Carney Lansford (15),40.4,R
514,513.,"Yadier Molina (17, 37)",40.4,R
515,516.,Andy Messersmith (12),40.2,R
516,517.,Albert Belle (12),40.1,R
517,517.,Dave Concepcion (19),40.1,R
518,517.,Dave Parker (19),40.1,L
519,520.,Pink Hawley (10),40.0,L
520,520.,Al Leiter (19),40.0,L
521,520.,Clyde Milan (16),40.0,L
522,520.,Smoky Joe Wood (14),40.0,R
523,524.,Moises Alou (17),39.9,R
524,524.,George Gore (14),39.9,L
525,526.,Danny Darwin (21),39.8,R
526,526.,"Manny Machado (9, 27)",39.8,R
527,526.,Reggie Sanders (17),39.8,R
528,526.,Maury Wills (14),39.8,B
529,526.,Tom Zachary (19),39.8,L
530,531.,"Nelson Cruz (16, 39)",39.7,R
531,532.,Bill Dinneen (12),39.5,L
532,532.,Rafael Furcal (14),39.5,B
533,532.,Ernie Lombardi+ (17),39.5,R
534,532.,Lance Parrish (19),39.5,R
535,536.,Jesse Barfield (12),39.4,R
536,536.,George Burns (15),39.4,R
537,536.,Nig Cuppy (10),39.4,R
538,536.,Jon Matlack (13),39.4,L
539,536.,"David Price (12, 34)",39.4,L
540,541.,Donie Bush (16),39.3,B
541,541.,Babe Herman (13),39.3,L
542,543.,Tommy Henrich (11),39.2,L
543,543.,Jake Peavy (15),39.2,R
544,545.,"Nolan Arenado (8, 29)",39.1,R
545,545.,Carl Crawford (15),39.1,L
546,545.,Jake Daubert (15),39.1,L
547,545.,Howard Ehmke (15),39.1,R
548,545.,Rico Petrocelli (13),39.1,R
549,545.,Boog Powell (17),39.1,L
550,551.,Curt Davis (13),39.0,R
551,552.,Bill Hutchison (9),38.9,R
552,553.,Charlie Bennett (15),38.8,R
553,553.,"Freddie Freeman (11, 30)",38.8,L
554,553.,Russell Martin (14),38.8,R
555,553.,Paul O'Neill (17),38.8,L
556,553.,Magglio Ordonez (15),38.8,R
557,558.,Harold Baines+ (22),38.7,L
558,558.,Juan Gonzalez (17),38.7,R
559,558.,Ed McKean (13),38.7,R
560,558.,Bill White (13),38.7,L
561,562.,Kent Hrbek (14),38.6,L
562,563.,Lefty Gomez+ (14),38.5,L
563,563.,Lonnie Smith (17),38.5,R
564,563.,Tim Wallach (17),38.5,R
565,563.,"Ryan Zimmerman (15, 35)",38.5,R
566,567.,Johnny Callison (16),38.4,L
567,567.,Harry Davis (22),38.4,R
568,567.,Kirk Gibson (17),38.4,L
569,567.,"Jason Heyward (11, 30)",38.4,L
570,567.,Charlie Hough (25),38.4,R
571,567.,Ed Morris (7),38.4,B
572,573.,Eric Chavez (17),38.3,L
573,573.,Chili Davis (19),38.3,B
574,573.,Sid Gordon (13),38.3,R
575,573.,Roger Maris (12),38.3,L
576,577.,Ray Lankford (14),38.2,L
577,577.,Bill Madlock (15),38.2,R
578,577.,Hack Wilson+ (12),38.2,R
579,580.,"Jacob deGrom (7, 32)",38.1,L
580,580.,Steve Garvey (19),38.1,R
581,580.,Troy Glaus (13),38.1,R
582,580.,Jeff Pfeffer (13),38.1,R
583,584.,Hanley Ramirez (15),37.9,R
584,585.,Terry Turner (17),37.8,R
585,585.,Gus Weyhing (14),37.8,R
586,587.,Paul Blair (17),37.7,R
587,587.,Don Newcombe (10),37.7,L
588,589.,Jeff Heath (14),37.6,L
589,589.,Frank Howard (16),37.6,R
590,589.,George Kell+ (15),37.6,R
591,589.,Dick McAuliffe (16),37.6,L
592,593.,Jim Maloney (12),37.5,L
593,594.,Bullet Joe Bush (17),37.4,R
594,594.,Mark Gubicza (14),37.4,R
595,594.,Charlie Root (17),37.4,R
596,597.,Max Bishop (12),37.3,L
597,597.,Guy Hecker (9),37.3,R
598,597.,John Lackey (15),37.3,R
599,597.,Pie Traynor+ (17),37.3,R
600,601.,Jay Bell (18),37.2,R
601,601.,Cy Williams (19),37.2,L
602,603.,Herman Long (16),37.1,L
603,604.,Dusty Baker (19),37.0,R
604,604.,Fred Dunlap (12),37.0,R
605,604.,Jose Reyes (16),37.0,B
606,607.,Dick Groat (14),36.9,R
607,607.,Kip Selbach (13),36.9,R
608,609.,Phil Cavarretta (22),36.8,L
609,609.,Dutch Leonard (11),36.8,L
610,609.,Garry Maddox (15),36.8,R
611,609.,"Andrelton Simmons (9, 30)",36.8,R
612,613.,Jose Bautista (15),36.7,R
613,613.,Lu Blue (13),36.7,B
614,613.,Bill Bradley (14),36.7,R
615,613.,Andy Pafko (17),36.7,R
616,617.,Rube Walberg (15),36.6,L
617,617.,Earl Whitehill (17),36.6,L
618,619.,"Jose Altuve (10, 30)",36.5,R
619,619.,"Madison Bumgarner (12, 30)",36.5,R
620,619.,Bill Mazeroski+ (17),36.5,R
621,619.,Don Money (16),36.5,R
622,619.,Jose Rijo (14),36.5,R
623,619.,George Scott (14),36.5,R
624,625.,"Lorenzo Cain (11, 34)",36.4,R
625,626.,Ray Caldwell (12),36.3,L
626,626.,Rick Wise (18),36.3,R
