,Rank,"Player (yrs, age)",Slugging %,Bats
105,106.,Jim Bottomley+ (16),.5002,L
106,107.,"Carlos Gonzalez (12, 34)",.4999,L
107,107.,Alfonso Soriano (16),.4999,R
108,109.,Goose Goslin+ (18),.4997,L
109,110.,Roy Campanella+ (10),.4996,R
110,110.,Jeff Kent (17),.4996,R
111,112.,Ernie Banks+ (19),.4995,R
112,113.,Orlando Cepeda+ (17),.4994,R
113,114.,Bob Horner (10),.4993,R
114,115.,Dante Bichette (14),.4988,R
115,115.,Andres Galarraga (19),.4988,R
116,117.,Frank Howard (16),.4986,R
117,118.,Tim Salmon (14),.4985,R
118,119.,Travis Hafner (12),.4983,L
119,120.,Ted Kluszewski (15),.4977,L
120,121.,"Corey Dickerson (8, 31)",.4973,L
121,122.,"Yoenis Céspedes (8, 34)",.4970,R
122,123.,Will Clark (15),.4966,L
123,123.,Bob Meusel (11),.4966,R
124,125.,"Edwin Encarnacion (16, 37)",.4963,R
125,126.,Hank Sauer (15),.4962,R
126,127.,Danny Tartabull (14),.4959,R
127,128.,Al Rosen (10),.4950,R
128,128.,Troy Tulowitzki (13),.4950,R
129,130.,Derrek Lee (15),.4947,R
130,131.,"Khris Davis (8, 32)",.4945,R
131,131.,Shawn Green (15),.4945,L
132,131.,"Jose Ramirez (8, 27)",.4945,B
133,134.,Jay Buhner (15),.4935,R
134,135.,Aramis Ramirez (18),.4921,R
135,136.,Billy Williams+ (18),.4919,L
136,137.,Ripper Collins (9),.4918,B
137,138.,Dolph Camilli (12),.4917,L
138,139.,"Robinson Cano (16, 37)",.4915,L
139,140.,"George Springer (7, 30)",.4914,R
140,141.,Tommy Henrich (11),.4912,L
141,142.,Javy Lopez (15),.4911,R
142,143.,David Wright (14),.4910,R
143,144.,Scott Rolen (17),.4904,R
144,145.,"Anthony Rendon (8, 30)",.4902,R
145,146.,Larry Doby+ (13),.4901,L
146,146.,Reggie Jackson+ (21),.4901,L
147,148.,Geoff Jenkins (11),.4900,L
148,149.,Adam Dunn (14),.4898,L
149,150.,Richard Hidalgo (9),.4897,R
150,151.,J.D. Drew (14),.4895,L
151,151.,Troy Glaus (13),.4895,R
152,153.,Dick Stuart (10),.4894,R
153,154.,Reggie Smith (17),.4890,B
154,155.,Gabby Hartnett+ (20),.4888,R
155,156.,Matt Williams (17),.4886,R
156,157.,Rocky Colavito (14),.4885,R
157,158.,"Christian Yelich (8, 28)",.4884,L
158,159.,Norm Cash (17),.4883,L
159,160.,Jermaine Dye (14),.4882,R
160,161.,"Manny Machado (9, 27)",.4880,R
161,162.,"Francisco Lindor (6, 26)",.4876,B
162,163.,Zeke Bonura (7),.4874,R
163,163.,George Brett+ (21),.4874,L
164,163.,Reggie Sanders (17),.4874,R
165,166.,Gil Hodges (18),.4868,R
166,167.,Paul Konerko (18),.4865,R
167,168.,Carlos Beltran (20),.4864,B
168,169.,Jim Gentile (9),.4863,L
169,170.,Hanley Ramirez (15),.4861,R
170,171.,Bill Dickey+ (17),.4860,L
171,172.,Roger Connor+ (18),.4858,B
172,172.,Brad Fullmer (8),.4858,L
173,172.,Gus Zernial (11),.4858,R
174,175.,Mike Sweeney (16),.4857,R
175,176.,Andruw Jones (17),.4856,R
176,177.,Joe Adcock (17),.4852,R
177,177.,Wally Post (15),.4852,R
178,177.,"Anthony Rizzo (10, 30)",.4852,L
179,180.,Russell Branyan (14),.4850,L
180,181.,Adrian Gonzalez (15),.4849,L
181,181.,Raul Mondesi (13),.4849,R
182,183.,Tony Clark (15),.4846,B
183,184.,"Matt Kemp (15, 35)",.4841,R
184,185.,Fred Lynn (17),.4840,L
185,186.,Carlos Quentin (9),.4835,R
186,187.,Jack Fournier (15),.4833,L
187,187.,Rudy York (13),.4833,R
188,189.,Carlos Lee (14),.4828,R
