,Rank,"Player (yrs, age)",Home Runs,Bats,HR Log
89,90.,Luis Gonzalez (19),354,L,HR Log
90,90.,Lee May (18),354,R,HR Log
91,92.,Torii Hunter (19),353,R,HR Log
92,93.,"Ryan Braun (14, 36)",352,R,HR Log
93,93.,Ellis Burks (18),352,R,HR Log
94,95.,Dick Allen (15),351,R,HR Log
95,96.,Chili Davis (19),350,B,HR Log
96,97.,George Foster (18),348,R,HR Log
97,98.,Jose Bautista (15),344,R,HR Log
98,98.,Curtis Granderson (16),344,L,HR Log
99,100.,Ron Santo+ (15),342,R,HR Log
100,101.,Jack Clark (18),340,R,HR Log
101,102.,Tino Martinez (16),339,L,HR Log
102,102.,Dave Parker (19),339,L,HR Log
103,102.,Boog Powell (17),339,L,HR Log
104,105.,Don Baylor (19),338,R,HR Log
105,106.,Joe Adcock (17),336,R,HR Log
106,107.,Darryl Strawberry (17),335,L,HR Log
107,108.,"Robinson Cano (16, 37)",334,L,HR Log
108,109.,Moises Alou (17),332,R,HR Log
109,109.,Bobby Bonds (14),332,R,HR Log
110,111.,Hank Greenberg+ (13),331,R,HR Log
111,111.,Derrek Lee (15),331,R,HR Log
112,113.,Shawn Green (15),328,L,HR Log
113,113.,Mo Vaughn (12),328,L,HR Log
114,115.,Jermaine Dye (14),325,R,HR Log
115,115.,Willie Horton (18),325,R,HR Log
116,117.,Gary Carter+ (19),324,R,HR Log
117,117.,Lance Parrish (19),324,R,HR Log
118,119.,Ron Gant (16),321,R,HR Log
119,120.,Vinny Castilla (16),320,R,HR Log
120,120.,Troy Glaus (13),320,R,HR Log
121,122.,Cecil Fielder (13),319,R,HR Log
122,122.,Prince Fielder (12),319,L,HR Log
123,124.,"Jay Bruce (13, 33)",318,L,HR Log
124,124.,Roy Sievers (17),318,R,HR Log
125,126.,George Brett+ (21),317,L,HR Log
126,126.,Adrian Gonzalez (15),317,L,HR Log
127,128.,Ron Cey (17),316,R,HR Log
128,128.,Matt Holliday (15),316,R,HR Log
129,128.,Scott Rolen (17),316,R,HR Log
130,131.,Jeromy Burnitz (14),315,L,HR Log
131,132.,Reggie Smith (17),314,B,HR Log
132,133.,"Giancarlo Stanton (11, 30)",312,R,HR Log
133,134.,Ivan Rodriguez+ (21),311,R,HR Log
134,135.,Jay Buhner (15),310,R,HR Log
135,136.,Edgar Martinez+ (18),309,R,HR Log
136,137.,Greg Luzinski (15),307,R,HR Log
137,137.,Al Simmons+ (20),307,R,HR Log
138,137.,Miguel Tejada (16),307,R,HR Log
139,137.,"Justin Upton (14, 32)",307,R,HR Log
140,141.,Fred Lynn (17),306,L,HR Log
141,141.,Richie Sexson (12),306,R,HR Log
142,141.,Ruben Sierra (20),306,B,HR Log
143,144.,Raul Ibanez (19),305,L,HR Log
144,144.,David Justice (14),305,L,HR Log
145,144.,Reggie Sanders (17),305,R,HR Log
146,147.,Steve Finley (19),304,L,HR Log
147,147.,"Evan Longoria (13, 34)",304,R,HR Log
148,149.,"Mike Trout (10, 28)",302,R,HR Log
149,150.,Rogers Hornsby+ (23),301,R,HR Log
150,151.,Chuck Klein+ (17),300,L,HR Log
151,152.,Tim Salmon (14),299,R,HR Log
152,153.,Mark Reynolds (13),298,R,HR Log
153,154.,Rickey Henderson+ (25),297,R,HR Log
154,155.,"Chris Davis (13, 34)",295,L,HR Log
155,155.,"Joey Votto (14, 36)",295,L,HR Log
156,157.,Magglio Ordonez (15),294,R,HR Log
157,157.,Robin Ventura (16),294,L,HR Log
158,159.,Kent Hrbek (14),293,L,HR Log
159,160.,Pat Burrell (12),292,R,HR Log
160,160.,Rusty Staub (23),292,L,HR Log
161,162.,Craig Biggio+ (20),291,R,HR Log
162,162.,Jim Wynn (15),291,R,HR Log
163,164.,Bobby Abreu (18),288,L,HR Log
164,164.,Del Ennis (14),288,R,HR Log
165,164.,Bob Johnson (13),288,R,HR Log
166,164.,Hank Sauer (15),288,R,HR Log
167,168.,Garret Anderson (17),287,L,HR Log
168,168.,Bobby Bonilla (16),287,B,HR Log
169,168.,Brian Giles (15),287,L,HR Log
170,168.,"Matt Kemp (15, 35)",287,R,HR Log
171,168.,Bernie Williams (16),287,B,HR Log
172,173.,Carlos Pena (14),286,L,HR Log
173,173.,Frank Thomas (16),286,R,HR Log
174,175.,Will Clark (15),284,L,HR Log
175,175.,Eric Karros (14),284,R,HR Log
176,177.,Ken Boyer (15),282,R,HR Log
177,177.,Eric Davis (17),282,R,HR Log
178,177.,Adam Jones (14),282,R,HR Log
179,177.,Brian McCann (15),282,L,HR Log
180,177.,Ryne Sandberg+ (16),282,R,HR Log
181,182.,Paul O'Neill (17),281,L,HR Log
182,183.,Ted Kluszewski (15),279,L,HR Log
183,184.,Mike Cameron (17),278,R,HR Log
184,184.,Ryan Klesko (16),278,L,HR Log
185,186.,Rudy York (13),277,R,HR Log
186,187.,Brian Downing (20),275,R,HR Log
187,187.,Roger Maris (12),275,L,HR Log
188,187.,Dean Palmer (14),275,R,HR Log
189,187.,Jorge Posada (17),275,B,HR Log
190,191.,Dante Bichette (14),274,R,HR Log
191,192.,Steve Garvey (19),272,R,HR Log
192,193.,Tom Brunansky (14),271,R,HR Log
193,193.,Raul Mondesi (13),271,R,HR Log
194,193.,Hanley Ramirez (15),271,R,HR Log
195,193.,George Scott (14),271,R,HR Log
196,197.,Vernon Wells (15),270,R,HR Log
197,197.,"Ryan Zimmerman (15, 35)",270,R,HR Log
198,199.,Joe Morgan+ (22),268,L,HR Log
199,199.,Brooks Robinson+ (23),268,R,HR Log
200,199.,Gorman Thomas (13),268,R,HR Log
201,202.,George Hendrick (18),267,R,HR Log
202,202.,Mike Napoli (12),267,R,HR Log
203,204.,Vic Wertz (17),266,L,HR Log
204,205.,George Bell (12),265,R,HR Log
205,205.,Matt Stairs (19),265,L,HR Log
206,207.,Bobby Thomson (15),264,R,HR Log
207,208.,Danny Tartabull (14),262,R,HR Log
208,209.,Eric Chavez (17),260,L,HR Log
209,209.,Derek Jeter+ (20),260,R,HR Log
210,209.,Javy Lopez (15),260,R,HR Log
211,209.,Tim Wallach (17),260,R,HR Log
212,213.,Chase Utley (16),259,L,HR Log
213,214.,Ian Kinsler (14),257,R,HR Log
214,215.,Bob Allison (13),256,R,HR Log
215,215.,Larry Parrish (15),256,R,HR Log
216,215.,Vada Pinson (18),256,L,HR Log
217,218.,Kirk Gibson (17),255,L,HR Log
218,218.,Adam LaRoche (12),255,L,HR Log
219,218.,John Mayberry (15),255,L,HR Log
220,218.,John Olerud (17),255,L,HR Log
221,222.,Larry Doby+ (13),253,L,HR Log
222,222.,Joe Gordon+ (11),253,R,HR Log
223,222.,Andre Thornton (14),253,R,HR Log
224,222.,Todd Zeile (16),253,R,HR Log
225,226.,Bret Boone (14),252,R,HR Log
226,226.,Bobby Murcer (17),252,L,HR Log
227,226.,Joe Torre+ (18),252,R,HR Log
228,229.,Tony Armas (14),251,R,HR Log
229,229.,Tony Clark (15),251,B,HR Log
230,229.,Cy Williams (19),251,L,HR Log
231,229.,Robin Yount+ (20),251,R,HR Log
232,233.,"Paul Goldschmidt (10, 32)",249,R,HR Log
233,233.,Jose Valentin (16),249,B,HR Log
234,235.,Goose Goslin+ (18),248,L,HR Log
235,235.,Ted Simmons+ (21),248,B,HR Log
236,237.,Justin Morneau (14),247,L,HR Log
237,237.,Vern Stephens (15),247,R,HR Log
238,239.,Victor Martinez (16),246,B,HR Log
239,239.,Ken Singleton (15),246,B,HR Log
240,241.,Deron Johnson (16),245,R,HR Log
241,241.,Nick Swisher (12),245,B,HR Log
242,241.,Mickey Tettleton (14),245,B,HR Log
243,244.,Hunter Pence (14),244,R,HR Log
244,244.,Lou Whitaker (19),244,L,HR Log
245,244.,Hack Wilson+ (12),244,R,HR Log
246,247.,"Andrew McCutchen (12, 33)",243,R,HR Log
247,248.,Dusty Baker (19),242,R,HR Log
248,248.,Sal Bando (16),242,R,HR Log
249,248.,Wally Berger (11),242,R,HR Log
250,248.,Roy Campanella+ (10),242,R,HR Log
251,248.,J.D. Drew (14),242,L,HR Log
252,248.,Aubrey Huff (13),242,L,HR Log
253,248.,David Wright (14),242,R,HR Log
254,255.,Jesse Barfield (12),241,R,HR Log
255,255.,Cecil Cooper (17),241,L,HR Log
256,255.,Rick Monday (19),241,L,HR Log
257,258.,Jeff Burroughs (16),240,R,HR Log
258,258.,Roberto Clemente+ (18),240,R,HR Log
259,258.,"Freddie Freeman (11, 30)",240,L,HR Log
260,258.,"Carlos Santana (11, 34)",240,B,HR Log
261,262.,Dolph Camilli (12),239,L,HR Log
262,262.,Ken Caminiti (15),239,B,HR Log
263,264.,Earl Averill+ (13),238,L,HR Log
264,264.,Ray Lankford (14),238,L,HR Log
265,264.,"J.D. Martinez (10, 32)",238,R,HR Log
266,267.,Doug DeCinces (15),237,R,HR Log
267,267.,Gus Zernial (11),237,R,HR Log
268,269.,Gabby Hartnett+ (20),236,R,HR Log
269,270.,"Nolan Arenado (8, 29)",235,R,HR Log
270,270.,Johnny Damon (18),235,L,HR Log
271,270.,Bill Nicholson (16),235,L,HR Log
272,270.,Ben Oglivie (16),235,L,HR Log
273,270.,Dan Uggla (10),235,R,HR Log
274,275.,"Carlos Gonzalez (12, 34)",234,L,HR Log
275,275.,Gary Matthews (16),234,R,HR Log
276,275.,Kevin Mitchell (13),234,R,HR Log
277,275.,Paul Molitor+ (21),234,R,HR Log
278,279.,Cliff Floyd (17),233,L,HR Log
279,280.,"Bryce Harper (9, 27)",232,L,HR Log
280,281.,Jimmy Rollins (17),231,B,HR Log
281,282.,Rob Deer (11),230,R,HR Log
282,283.,Nomar Garciaparra (14),229,R,HR Log
283,283.,"Anthony Rizzo (10, 30)",229,L,HR Log
284,283.,Jayson Werth (15),229,R,HR Log
285,286.,Howard Johnson (14),228,B,HR Log
286,286.,Dick Stuart (10),228,R,HR Log
287,286.,Hal Trosky (11),228,L,HR Log
288,289.,Marquis Grissom (17),227,R,HR Log
289,290.,Johnny Callison (16),226,L,HR Log
290,291.,"Josh Donaldson (10, 34)",225,R,HR Log
291,291.,Troy Tulowitzki (13),225,R,HR Log
292,293.,Bobby Grich (17),224,R,HR Log
293,294.,Bobby Doerr+ (14),223,R,HR Log
294,294.,Travis Fryman (13),223,R,HR Log
295,294.,Mike Lowell (13),223,R,HR Log
296,294.,"Manny Machado (9, 27)",223,R,HR Log
297,298.,Jason Bay (11),222,R,HR Log
298,298.,Don Mattingly (14),222,L,HR Log
299,300.,Tony Batista (11),221,R,HR Log
300,300.,Geoff Jenkins (11),221,L,HR Log
301,302.,Tony Oliva (15),220,L,HR Log
302,303.,Jim Bottomley+ (16),219,L,HR Log
303,303.,Al Oliver (18),219,L,HR Log
304,303.,Joe Pepitone (12),219,L,HR Log
305,306.,"Shin-Soo Choo (16, 37)",218,L,HR Log
306,306.,"Khris Davis (8, 32)",218,R,HR Log
307,306.,"Todd Frazier (10, 34)",218,R,HR Log
308,306.,Bob Horner (10),218,R,HR Log
309,306.,Mark Trumbo (10),218,R,HR Log
310,311.,Benito Santiago (20),217,R,HR Log
311,312.,Ron Fairly (21),215,L,HR Log
312,312.,Pedro Guerrero (15),215,R,HR Log
313,312.,Chet Lemon (16),215,R,HR Log
314,312.,Mike Sweeney (16),215,R,HR Log
315,316.,Jeff Conine (17),214,R,HR Log
316,316.,Jose Guillen (14),214,R,HR Log
317,318.,Travis Hafner (12),213,L,HR Log
318,318.,Kendrys Morales (13),213,B,HR Log
319,318.,Andy Pafko (17),213,R,HR Log
320,321.,Kevin McReynolds (12),211,R,HR Log
321,321.,Brandon Phillips (17),211,R,HR Log
322,321.,Bill Skowron (14),211,R,HR Log
323,321.,Leon Wagner (12),211,L,HR Log
324,325.,Roberto Alomar+ (17),210,B,HR Log
325,325.,Brady Anderson (15),210,L,HR Log
326,325.,Rico Petrocelli (13),210,R,HR Log
327,325.,Wally Post (15),210,R,HR Log
328,329.,Phil Nevin (12),208,R,HR Log
329,329.,Jason Thompson (11),208,L,HR Log
330,329.,Devon White (17),208,B,HR Log
331,332.,Kirby Puckett+ (12),207,R,HR Log
332,332.,"Kyle Seager (10, 32)",207,L,HR Log
333,332.,Richie Zisk (13),207,R,HR Log
334,335.,Felipe Alou (17),206,R,HR Log
335,335.,Gus Bell (15),206,L,HR Log
336,335.,Pete Incaviglia (12),206,R,HR Log
337,338.,Joe Medwick+ (17),205,R,HR Log
338,339.,Rico Carty (15),204,R,HR Log
339,339.,Jose Cruz (12),204,B,HR Log
340,339.,Wally Joyner (16),204,L,HR Log
341,342.,Richie Hebner (18),203,L,HR Log
342,343.,Bill Dickey+ (17),202,L,HR Log
343,343.,Carl Everett (14),202,B,HR Log
344,343.,Sid Gordon (13),202,R,HR Log
345,343.,Todd Hundley (14),202,B,HR Log
346,343.,Jhonny Peralta (15),202,R,HR Log
347,343.,Bill White (13),202,L,HR Log
348,349.,Buddy Bell (18),201,R,HR Log
349,349.,Gene Tenace (15),201,R,HR Log
350,351.,Bill Freehan (15),200,R,HR Log
351,351.,Oscar Gamble (17),200,L,HR Log
352,351.,Josh Hamilton (9),200,L,HR Log
353,351.,Adam Lind (12),200,L,HR Log
354,351.,Don Mincher (13),200,L,HR Log
355,356.,Cesar Cedeno (17),199,R,HR Log
356,356.,Jackie Jensen (11),199,R,HR Log
357,356.,Juan Uribe (16),199,R,HR Log
358,359.,"José Abreu (7, 33)",198,R,HR Log
359,359.,Barry Larkin+ (19),198,R,HR Log
360,359.,Rondell White (15),198,R,HR Log
361,362.,Michael Cuddyer (15),197,R,HR Log
362,362.,Dave Henderson (14),197,R,HR Log
363,362.,Dick McAuliffe (16),197,L,HR Log
364,365.,Cliff Johnson (15),196,R,HR Log
365,365.,"Justin Smoak (11, 33)",196,B,HR Log
366,365.,Ken Williams (14),196,L,HR Log
367,368.,Jay Bell (18),195,R,HR Log
368,368.,Toby Harrah (17),195,R,HR Log
369,368.,Josh Willingham (11),195,R,HR Log
370,371.,Russell Branyan (14),194,L,HR Log
371,371.,Jeff Heath (14),194,L,HR Log
372,373.,Amos Otis (17),193,R,HR Log
373,373.,Jason Varitek (15),193,B,HR Log
374,375.,"Brian Dozier (9, 33)",192,R,HR Log
375,375.,Ray Durham (14),192,B,HR Log
376,375.,Carl Furillo (15),192,R,HR Log
377,375.,Al Rosen (10),192,R,HR Log
378,379.,Russell Martin (14),191,R,HR Log
379,379.,Hal McRae (19),191,R,HR Log
380,379.,Chris Young (13),191,R,HR Log
381,382.,Glenn Davis (10),190,R,HR Log
382,382.,"Alex Gordon (14, 36)",190,L,HR Log
383,382.,Willie Jones (15),190,R,HR Log
384,382.,Ernie Lombardi+ (17),190,R,HR Log
385,382.,"Mike Moustakas (10, 31)",190,L,HR Log
386,387.,Bob Bailey (17),189,R,HR Log
387,387.,Charlie Keller (13),189,L,HR Log
388,387.,"Nick Markakis (15, 36)",189,L,HR Log
389,387.,J.T. Snow (16),189,L,HR Log
390,387.,Preston Wilson (10),189,R,HR Log
391,392.,"Asdrubal Cabrera (14, 34)",188,B,HR Log
392,392.,J.J. Hardy (13),188,R,HR Log
393,392.,A.J. Pierzynski (19),188,L,HR Log
394,392.,Darrell Porter (17),188,L,HR Log
395,392.,B.J. Surhoff (19),188,L,HR Log
396,397.,Bobby Higginson (11),187,L,HR Log
397,397.,Mike Stanley (15),187,R,HR Log
398,399.,Rich Aurilia (15),186,R,HR Log
399,399.,Glenallen Hill (13),186,R,HR Log
400,399.,Minnie Minoso (17),186,R,HR Log
401,402.,Chris Chambliss (17),185,L,HR Log
402,402.,Alan Trammell+ (20),185,R,HR Log
403,402.,Michael Young (14),185,R,HR Log
404,405.,Charlie Gehringer+ (19),184,L,HR Log
405,405.,Brian Jordan (15),184,R,HR Log
406,405.,Bob Watson (19),184,R,HR Log
407,408.,Harry Heilmann+ (17),183,R,HR Log
408,408.,Tommy Henrich (11),183,L,HR Log
409,410.,Willie Davis (18),182,L,HR Log
410,411.,Steve Balboni (11),181,R,HR Log
411,411.,"Ian Desmond (11, 34)",181,R,HR Log
412,411.,Babe Herman (13),181,L,HR Log
413,414.,Sam Chapman (11),180,R,HR Log
414,415.,Del Crandall (16),179,R,HR Log
415,415.,Jim Gentile (9),179,L,HR Log
416,415.,Woodie Held (14),179,R,HR Log
417,415.,Joe Rudi (16),179,R,HR Log
418,419.,"Charlie Blackmon (10, 33)",178,L,HR Log
419,419.,Harlond Clift (12),178,R,HR Log
420,419.,Tony Lazzeri+ (14),178,R,HR Log
421,422.,"Eric Hosmer (10, 30)",176,L,HR Log
422,422.,Ron Kittle (10),176,R,HR Log
423,422.,Don Money (16),176,R,HR Log
424,422.,"Mitch Moreland (11, 34)",176,L,HR Log
425,426.,Hideki Matsui (10),175,L,HR Log
426,427.,Bill Buckner (22),174,L,HR Log
427,427.,"George Springer (7, 30)",174,R,HR Log
428,429.,Nate Colbert (10),173,R,HR Log
429,429.,Walker Cooper (18),173,R,HR Log
430,429.,Julio Franco (23),173,R,HR Log
431,429.,Mark Grace (16),173,L,HR Log
432,433.,Eddie Robinson (13),172,L,HR Log
433,433.,Mickey Vernon (20),172,L,HR Log
434,435.,Richard Hidalgo (9),171,R,HR Log
435,435.,Melvin Mora (13),171,R,HR Log
436,435.,Dmitri Young (13),171,B,HR Log
437,438.,Joe Cronin+ (20),170,R,HR Log
438,438.,Bob Elliott (15),170,R,HR Log
439,438.,Jim Ray Hart (12),170,R,HR Log
440,438.,Kevin Millar (12),170,R,HR Log
441,438.,Tim Raines+ (23),170,B,HR Log
442,443.,Ramon Hernandez (15),169,R,HR Log
443,443.,Lloyd Moseby (12),169,L,HR Log
444,443.,Pete O'Brien (12),169,L,HR Log
445,443.,Alex Rios (12),169,R,HR Log
446,443.,Enos Slaughter+ (19),169,L,HR Log
447,443.,Ty Wigginton (12),169,R,HR Log
448,449.,Jose Hernandez (15),168,R,HR Log
449,450.,Casey Blake (13),167,R,HR Log
450,450.,Elston Howard (14),167,R,HR Log
451,450.,Charles Johnson (12),167,R,HR Log
452,450.,Gus Triandos (13),167,R,HR Log
453,450.,Ben Zobrist (14),167,B,HR Log
454,455.,Tony Conigliaro (8),166,R,HR Log
455,455.,Larry Hisle (14),166,R,HR Log
456,455.,Dwayne Murphy (12),166,L,HR Log
457,455.,"Marcell Ozuna (8, 29)",166,R,HR Log
458,455.,Colby Rasmus (10),166,L,HR Log
459,455.,Bill Robinson (16),166,R,HR Log
460,455.,Paul Sorrento (11),166,L,HR Log
461,462.,"Yoenis Céspedes (8, 34)",165,R,HR Log
462,462.,Jose Cruz (19),165,L,HR Log
463,462.,Jacque Jones (10),165,L,HR Log
464,465.,Hank Bauer (14),164,R,HR Log
465,465.,Chick Hafey+ (13),164,R,HR Log
466,465.,Jim Lemon (12),164,R,HR Log
467,465.,Andy Seminick (15),164,R,HR Log
468,465.,Al Smith (12),164,R,HR Log
469,465.,Melvin Upton Jr. (12),164,R,HR Log
470,465.,Andy Van Slyke (13),164,L,HR Log
471,465.,Claudell Washington (17),164,L,HR Log
472,473.,Don Demeter (11),163,R,HR Log
473,473.,Damion Easley (17),163,R,HR Log
474,473.,Ken Keltner (13),163,R,HR Log
475,473.,Bill Madlock (15),163,R,HR Log
476,473.,Roy Smalley (13),163,B,HR Log
477,478.,Pedro Alvarez (9),162,L,HR Log
478,478.,Clete Boyer (16),162,R,HR Log
479,478.,Andre Ethier (12),162,L,HR Log
480,478.,Jonny Gomes (13),162,R,HR Log
481,478.,Corey Hart (11),162,R,HR Log
482,478.,Keith Hernandez (17),162,L,HR Log
483,478.,Aaron Hill (13),162,R,HR Log
484,478.,Terry Steinbach (14),162,R,HR Log
485,478.,"Eugenio Suarez (7, 28)",162,R,HR Log
486,487.,Juan Samuel (16),161,R,HR Log
487,487.,Rickie Weeks (14),161,R,HR Log
488,489.,Alvin Davis (9),160,L,HR Log
489,489.,Jeff Francoeur (12),160,R,HR Log
490,489.,Bill Melton (10),160,R,HR Log
491,489.,"Yadier Molina (17, 37)",160,R,HR Log
492,489.,Brandon Moss (11),160,L,HR Log
493,489.,Tony Phillips (18),160,B,HR Log
494,489.,Henry Rodriguez (11),160,L,HR Log
495,489.,Pete Rose (24),160,B,HR Log
496,489.,Frank White (18),160,R,HR Log
497,489.,Roy White (15),160,B,HR Log
498,499.,Marlon Byrd (15),159,R,HR Log
499,499.,Donn Clendenon (12),159,R,HR Log
500,499.,Jim Hickman (13),159,R,HR Log
501,502.,"Chris Carter (8, 33)",158,R,HR Log
502,503.,Alex Gonzalez (16),157,R,HR Log
503,504.,"Kole Calhoun (9, 32)",156,L,HR Log
504,504.,Lucas Duda (10),156,L,HR Log
505,504.,Juan Encarnacion (11),156,R,HR Log
506,504.,Ken McMullen (16),156,R,HR Log
507,504.,Bob Meusel (11),156,R,HR Log
508,509.,Ed Bailey (14),155,L,HR Log
509,509.,"Mookie Betts (7, 27)",155,R,HR Log
510,509.,Kelly Johnson (11),155,L,HR Log
511,509.,Sherm Lollar (18),155,R,HR Log
512,509.,Davey Lopes (16),155,R,HR Log
513,509.,Doug Rader (11),155,R,HR Log
514,515.,Jeff King (11),154,R,HR Log
515,515.,Ryan Ludwick (12),154,R,HR Log
516,515.,Carlos Quentin (9),154,R,HR Log
517,515.,Bill Terry+ (14),154,L,HR Log
518,519.,Hank Blalock (9),153,L,HR Log
519,519.,Tommy Davis (18),153,R,HR Log
520,519.,Dan Driessen (15),153,L,HR Log
521,519.,Jim Northrup (12),153,L,HR Log
522,519.,Tom Tresh (9),153,B,HR Log
523,524.,"Matt Carpenter (10, 34)",152,L,HR Log
524,524.,Walt Dropo (13),152,R,HR Log
525,524.,Ken Griffey (19),152,L,HR Log
526,524.,Brandon Inge (13),152,R,HR Log
527,524.,"Salvador Perez (9, 30)",152,R,HR Log
528,524.,Ed Sprague (11),152,R,HR Log
529,530.,Ray Boone (13),151,R,HR Log
530,530.,Jim Fregosi (18),151,R,HR Log
531,530.,Chris Hoiles (10),151,R,HR Log
532,530.,Carney Lansford (15),151,R,HR Log
533,530.,Lyle Overbay (14),151,L,HR Log
534,530.,"Christian Yelich (8, 28)",151,L,HR Log
535,536.,Shawon Dunston (18),150,R,HR Log
536,536.,"Jason Heyward (11, 30)",150,L,HR Log
537,536.,Mike Lieberthal (14),150,R,HR Log
538,536.,Grady Sizemore (10),150,L,HR Log
539,536.,Kevin Youkilis (10),150,R,HR Log
540,541.,Lou Brock+ (19),149,L,HR Log
541,541.,Hubie Brooks (15),149,R,HR Log
542,541.,"Yasmani Grandal (9, 31)",149,B,HR Log
543,541.,"Pablo Sandoval (13, 33)",149,B,HR Log
544,541.,Cory Snyder (9),149,R,HR Log
545,541.,Earl Torgeson (15),149,L,HR Log
546,541.,"Neil Walker (12, 34)",149,B,HR Log
547,548.,High Pockets Kelly+ (16),148,R,HR Log
548,548.,Willie Kirkland (9),148,L,HR Log
549,548.,Sixto Lezcano (12),148,R,HR Log
550,548.,Mike Marshall (11),148,R,HR Log
551,548.,Charlie Maxwell (14),148,L,HR Log
552,553.,Billy Butler (10),147,R,HR Log
553,553.,Leon Durham (10),147,L,HR Log
554,553.,Ruppert Jones (12),147,L,HR Log
