,Rank,"Player (yrs, age)",Errors Committed as 1B,Throws
172,172.,Tony Clark (15),75,R
173,172.,Ed Delahanty+ (16),75,R
174,172.,James Loney (11),75,L
175,176.,Nate Colbert (10),74,R
176,176.,Mike Grady (11),74,R
177,176.,Kevin Young (12),74,R
178,179.,Lew Brown (7),73,R
179,179.,Dude Esterbrook (11),73,R
180,179.,Jim Gentile (9),73,L
181,179.,Dave Kingman (16),73,R
182,179.,Gerald Perry (13),73,R
183,184.,Zeke Bonura (7),72,R
184,184.,Shano Collins (16),72,R
185,184.,Ed Kranepool (18),72,L
186,184.,Eddie Waitkus (11),72,L
187,188.,Dale Alexander (5),71,R
188,188.,Carlos Pena (14),71,L
189,190.,Mike Epstein (9),70,L
190,190.,Adam LaRoche (12),70,L
191,190.,Joe Quinn (17),70,R
192,190.,Roy Sievers (17),70,R
193,190.,Ed Swartwood (9),70,R
194,195.,Sid Bream (12),69,L
195,195.,Glenn Davis (10),69,R
196,195.,Cecil Fielder (13),69,R
197,195.,"Eric Hosmer (10, 30)",69,L
198,195.,Harmon Killebrew+ (22),69,R
199,200.,Ripper Collins (9),68,L
200,200.,Pop Dillon (5),68,R
201,200.,Buck Jordan (10),68,R
202,200.,Tommy McCraw (13),68,L
203,200.,Lyle Overbay (14),68,L
204,205.,Alvin Davis (9),67,R
205,205.,Al Oliver (18),67,L
206,205.,Jumbo Schoeneck (3),67,R
207,205.,Willie Stargell+ (21),67,L
208,209.,Ed Bouchee (7),66,L
209,209.,Jack Burns (7),66,L
210,209.,Jack Carney (3),66,R
211,209.,Buck Ewing+ (18),66,R
212,209.,Buck Freeman (11),66,L
213,209.,Vic Power (12),66,R
214,215.,Steve Balboni (11),64,R
215,215.,Del Gainer (10),64,R
216,215.,Don Mattingly (14),64,L
217,215.,Jim Thome+ (22),64,R
218,215.,Bob Unglaub (6),64,R
219,220.,Jeff Conine (17),63,R
220,220.,Pedro Guerrero (15),63,R
221,220.,Sam Leslie (10),63,L
222,220.,J.T. Snow (16),63,L
223,220.,Vic Wertz (17),63,R
224,225.,Jim Devlin (5),62,R
225,225.,Hughie Jennings+ (18),62,R
226,227.,"Miguel Cabrera (18, 37)",61,R
227,227.,Willie Clark (5),61,L
228,227.,George Decker (8),61,L
229,227.,Klondike Douglass (9),61,R
230,227.,Joe Pepitone (12),61,L
231,227.,Richie Sexson (12),61,R
232,227.,Norm Siebern (12),61,R
233,234.,"Freddie Freeman (11, 30)",60,R
234,234.,Dick Gernert (11),60,R
235,234.,Deacon White+ (20),60,R
236,237.,George Grantham (13),59,R
237,237.,Lee Stevens (10),59,L
238,239.,Dick Burrus (6),58,L
239,239.,Dan Driessen (15),58,R
240,239.,Babe Young (8),58,L
241,242.,Shad Barry (10),57,R
242,242.,Jack Clark (18),57,R
243,242.,Darrell Evans (21),57,R
244,242.,Wes Fisler (6),57,R
245,242.,Joe Hauser (6),57,L
246,247.,"José Abreu (7, 33)",56,R
247,247.,Joe Harris (10),56,R
248,247.,Mike Sweeney (16),56,R
249,250.,Fred Beck (5),55,L
250,250.,Mike Lehane (2),55,
251,250.,Jim Spencer (15),55,L
252,250.,Mark Teixeira (14),55,R
253,254.,Jay Faatz (4),54,R
254,255.,Sean Casey (12),53,R
255,255.,Harvey Hendrick (11),53,R
256,255.,Johnny Hopp (14),53,L
257,255.,Gene Paulette (6),53,R
258,259.,Gordy Coleman (9),52,R
259,259.,"Chris Davis (13, 34)",52,R
260,259.,Luke Easter (6),52,R
261,259.,Ray Grimes (6),52,R
262,259.,Hal Morris (13),52,L
263,259.,Dick Sisler (8),52,R
264,259.,Lew Whistler (4),52,R
265,266.,Greg Brock (10),51,R
266,266.,Adam Dunn (14),51,R
267,266.,Joe Kelley+ (17),51,R
268,266.,Mike Napoli (12),51,R
269,266.,"Anthony Rizzo (10, 30)",51,L
270,266.,Pete Rose (24),51,R
271,266.,Andre Thornton (14),51,R
272,266.,Farmer Vaughn (13),51,R
273,274.,"Brandon Belt (10, 32)",50,L
274,274.,Deron Johnson (16),50,R
275,274.,Bill Joyce (8),50,R
276,274.,Al McCauley (3),50,L
277,274.,Ray Sanders (7),50,R
278,279.,Ed Cogswell (3),49,R
279,279.,Joe Collins (10),49,L
280,279.,Nick Johnson (10),49,L
281,279.,Justin Morneau (14),49,R
282,279.,"Carlos Santana (11, 34)",49,R
283,279.,Joe Torre+ (18),49,R
284,279.,Fred Whitfield (9),49,L
285,286.,"Yonder Alonso (10, 33)",48,R
286,286.,Jerry Freeman (2),48,R
287,286.,Tony Horton (7),48,R
288,289.,Del Howard (5),47,R
289,289.,Frank Howard (16),47,R
290,289.,Ryan Klesko (16),47,L
291,289.,Hap Myers (5),47,R
292,289.,Joe Nealon (2),47,R
293,289.,Harry Swacina (4),47,R
294,289.,Honus Wagner+ (21),47,R
295,296.,Dave Bergman (17),46,L
296,296.,Charlie Levis (2),46,
297,296.,Chris Lindsay (2),46,R
298,296.,Franklin Stubbs (10),46,L
299,296.,Lee Thomas (8),46,R
300,301.,Joe Gerhardt (15),45,R
301,301.,Jake Goodman (2),45,
302,301.,Tony Lupien (6),45,L
303,301.,Wes Parker (9),45,L
304,301.,Mark Reynolds (13),45,R
305,301.,Greg Walker (9),45,R
306,307.,Scoops Carey (4),44,R
307,307.,Clyde Engle (8),44,R
308,307.,Tito Francona (15),44,L
309,307.,"Paul Goldschmidt (10, 32)",44,R
310,307.,Gail Harris (6),44,L
311,307.,Mike Jorgensen (17),44,L
312,307.,Fritz Mollwitz (7),44,R
313,307.,Pat Tabler (12),44,R
314,315.,Nippy Jones (8),43,R
315,315.,Jocko Milligan (10),43,R
316,315.,Howie Schultz (6),43,R
317,315.,David Segui (15),43,L
318,315.,Dmitri Young (13),43,R
319,320.,Willie Aikens (8),42,R
320,320.,Greg Colbrunn (13),42,R
321,320.,Charlie Householder (2),42,L
322,320.,Paul Sorrento (11),42,R
323,324.,Lance Berkman (15),41,L
324,324.,Paul Cook (7),41,R
325,324.,Duff Cooley (13),41,R
326,324.,Ken Harrelson (9),41,R
327,324.,Babe Herman (13),41,L
328,324.,Lamar Johnson (9),41,R
329,324.,Randy Milligan (8),41,R
330,324.,Tom O'Brien (4),41,
331,324.,Dave Revering (5),41,R
332,324.,Carl Yastrzemski+ (23),41,R
333,334.,Boileryard Clarke (13),40,R
334,334.,Ike Davis (7),40,L
335,334.,Scott Hatteberg (14),40,R
336,334.,Dick Kryhoski (7),40,L
337,334.,Dan Meyer (12),40,R
338,334.,Frank Thomas (16),40,R
339,340.,Steve Brady (6),39,
340,340.,Danny Cater (12),39,R
341,340.,Bud Clancy (9),39,L
342,340.,Lou Finney (15),39,R
343,340.,Johnny McCarthy (11),39,L
344,340.,Kevin Millar (12),39,R
345,340.,Jack O'Brien (8),39,R
346,340.,"Justin Smoak (11, 33)",39,L
347,348.,Bill Abstein (3),38,R
348,348.,Ben Broussard (7),38,L
349,348.,Enos Cabell (15),38,R
350,348.,Don Kolloway (12),38,R
351,348.,Chappy Lane (2),38,
352,348.,John Milner (12),38,L
353,348.,Rip Russell (6),38,R
354,355.,"Matt Adams (9, 31)",37,R
355,355.,Jim Carleton (2),37,
356,355.,Leon Durham (10),37,L
357,355.,Solly Hofman (14),37,R
358,355.,Ron Jackson (10),37,R
359,355.,Garrett Jones (8),37,L
360,355.,Jimmy Knowles (5),37,
361,355.,Nap Lajoie+ (21),37,R
362,355.,Jack Manning (12),37,R
363,355.,Rusty Staub (23),37,R
364,355.,Sy Sutcliffe (7),37,L
365,366.,Daric Barton (8),36,R
366,366.,"Josh Bell (5, 27)",36,R
367,366.,Steve Bilko (10),36,R
368,366.,Bob Boyd (9),36,L
369,366.,George Crowe (9),36,L
370,366.,Harry Davis (3),36,L
371,366.,Mike Donlin (12),36,L
372,366.,Doc Gessler (8),36,L
373,366.,Billy Goodman (16),36,R
374,366.,Moose Grimshaw (3),36,R
375,366.,Red Kress (14),36,R
376,366.,Harry Luff (4),36,
377,366.,George Moriarty (13),36,R
378,366.,Butch Schmidt (4),36,L
379,366.,Gene Tenace (15),36,R
380,366.,Jimmy Wasdell (11),36,L
381,366.,Todd Zeile (16),36,R
382,383.,Phil Baker (3),35,L
383,383.,"Chris Carter (8, 33)",35,R
384,383.,Norm Larker (6),35,L
385,383.,Dale Murphy (18),35,R
386,383.,Pat Newnam (2),35,R
387,383.,Frank Robinson+ (21),35,R
388,389.,Felipe Alou (17),34,R
389,389.,William Brown (7),34,R
390,389.,Joe Cunningham (12),34,L
391,389.,Art Griggs (7),34,R
392,389.,Von Hayes (12),34,R
393,389.,Conor Jackson (7),34,R
394,389.,Ricky Jordan (8),34,R
395,389.,Fergy Malone (7),34,L
396,389.,George Metkovich (10),34,L
397,389.,"Mitch Moreland (11, 34)",34,L
398,389.,Ezra Sutton (18),34,R
399,400.,Mike Jacobs (7),33,R
