,Rank,"Player (yrs, age)",Def. Games as SS,Throws
183,184.,Toby Harrah (17),813,R
184,184.,"Adeiny Hechavarria (9, 31)",813,R
185,186.,Chico Fernandez (8),810,R
186,187.,"Freddy Galvis (9, 30)",801,R
187,188.,Bill Gleason (8),796,R
188,189.,Michael Young (14),793,R
189,190.,"José Iglesias (9, 30)",778,R
190,191.,"Marcus Semien (8, 29)",775,R
191,192.,Rico Petrocelli (13),774,R
192,193.,Heinie Sand (6),772,R
193,194.,Frank Fennelly (7),769,R
194,195.,Willy Miranda (9),768,R
195,196.,"Francisco Lindor (6, 26)",763,R
196,197.,Charlie Hollocher (7),751,R
197,198.,Harvey Kuenn (15),748,R
198,199.,Mark Koenig (12),747,R
199,200.,"Zack Cozart (9, 34)",741,R
200,200.,Terry Turner (17),741,R
201,202.,Charley O'Leary (11),737,R
202,202.,U L Washington (11),737,R
203,204.,Brendan Ryan (10),721,R
204,205.,Johnny Lipon (9),717,R
205,206.,Davy Force (15),716,R
206,207.,Julio Franco (23),715,R
207,208.,Larry Brown (12),712,R
208,208.,Billy Myers (7),712,R
209,210.,Cecil Travis (12),710,R
210,211.,Angel Berroa (9),706,R
211,212.,Ruben Amaro (11),705,R
212,212.,Rabbit Warstler (11),705,R
213,214.,Kurt Stillwell (9),690,R
214,215.,Luis Rivera (11),684,R
215,216.,Enzo Hernandez (8),683,R
216,216.,Marco Scutaro (13),683,R
217,218.,Charlie Gelbert (9),680,R
218,219.,George Strickland (10),679,R
219,220.,Don Buddin (6),678,R
220,220.,Khalil Greene (7),678,R
221,222.,Alex Grammas (10),671,R
222,223.,Eric McNair (14),669,R
223,224.,Dick McAuliffe (16),666,R
224,225.,Larry Kopf (10),664,R
225,226.,Jose Pagan (15),662,R
226,227.,Topper Rigney (6),660,R
227,227.,Dick Schofield (19),660,R
228,229.,Jack Rowe (12),657,R
229,230.,Hal Lanier (10),655,R
230,231.,Ronny Cedeno (10),653,R
231,231.,Billy Urbanski (7),653,R
232,233.,Bill Knickerbocker (10),649,R
233,234.,Fred Stanley (14),648,R
234,235.,"Nick Ahmed (7, 30)",646,R
235,236.,Rafael Santana (7),639,R
236,237.,Sonny Jackson (12),630,R
237,238.,Felipe Lopez (11),627,R
238,239.,Mark Grudzielanek (15),626,R
239,239.,Jackie Tavener (6),626,R
240,241.,Alvaro Espinoza (12),624,R
241,241.,Ernie Johnson (10),624,R
242,243.,Darrel Chaney (11),621,R
243,244.,Andre Rodgers (11),619,R
244,245.,Bill Almon (15),616,R
245,245.,Alex Cora (14),616,R
246,247.,Glenn Hoffman (9),615,R
247,248.,Eddie Lake (11),609,R
248,248.,Cliff Pennington (11),609,R
249,250.,Jose Offerman (15),607,R
250,251.,Mario Mendoza (9),606,R
251,252.,Bob Allen (7),605,R
252,253.,Bobby Crosby (8),604,R
253,253.,Steve Jeltz (8),604,R
254,255.,"Carlos Correa (6, 25)",601,R
255,255.,Lennie Merullo (7),601,R
256,257.,Andujar Cedeno (7),599,R
257,258.,"Trevor Story (5, 27)",595,R
258,259.,Dale Berra (11),591,R
259,259.,Johnny Pesky (10),591,R
260,261.,Rudy Hulswitt (7),590,R
261,261.,John McDonald (16),590,R
262,263.,John Valentin (11),580,R
263,264.,Mario Guerrero (8),576,R
264,264.,Jim Mason (9),576,R
265,266.,Juan Castro (17),571,R
