,Rank,"Player (yrs, age)",Errors Committed,Throws
79,80.,Bobby Lowe (18),508,R
80,81.,Rogers Hornsby+ (23),500,R
81,82.,Fred Dunlap (12),499,R
82,83.,Tom Brown (17),498,R
83,84.,George McBride (16),489,R
84,85.,Freddy Parent (12),488,R
85,86.,Jake Beckley+ (20),482,L
86,87.,Joe Mulvey (12),479,R
87,88.,Jimmy Collins+ (14),478,R
88,89.,Silver Flint (13),471,R
89,89.,Harry Stovey (14),471,R
90,91.,Al Myers (8),463,R
91,91.,Harry Steinfeldt (14),463,R
92,93.,Doc Lavan (12),461,R
93,94.,Mike McGeary (11),460,R
94,95.,Ross Barnes (9),459,R
95,95.,Tommy Leach (19),459,R
96,97.,George Pinkney (10),458,R
97,97.,George Van Haltren (17),458,L
98,99.,John Peters (11),455,R
99,100.,Eddie Collins+ (25),452,R
100,101.,Wally Gerber (15),450,R
101,101.,Frank Shugart (8),450,R
102,103.,Art Whitney (11),448,R
103,104.,Johnny Evers+ (18),447,R
104,105.,Larry Doyle (14),443,R
105,106.,Danny Richardson (11),442,R
106,106.,George Wright+ (12),442,R
107,108.,Bill Holbert (12),440,R
108,108.,Claude Ritchey (13),440,R
109,110.,Charlie Bennett (15),439,R
110,110.,Gene DeMontreville (11),439,R
111,112.,Jimmy Ryan (18),436,L
112,113.,Tom Carey (9),434,R
113,113.,Ed Delahanty+ (16),434,R
114,113.,Wilbert Robinson+ (17),434,R
115,116.,Joe Start (16),433,L
116,117.,Sadie Houck (8),432,R
117,118.,Jimmy Dykes (22),429,R
118,119.,Jimmy Williams (11),427,R
119,120.,Joe Quest (10),425,R
120,121.,Hal Chase (15),423,L
121,121.,John Clapp (11),423,R
122,121.,Travis Jackson+ (15),423,R
123,124.,Barry McCormick (10),422,R
124,125.,Frankie Crosetti (17),421,R
125,126.,Charlie Comiskey+ (13),417,R
126,126.,Arky Vaughan+ (14),417,R
127,128.,Pete Browning (13),414,R
128,128.,Jack Clements (17),414,L
129,130.,John McGraw+ (17),413,R
130,131.,Doc Bushong (13),412,R
131,132.,Joe Sewell+ (14),408,R
132,133.,Buck Herzog (13),407,R
133,133.,Pee Wee Reese+ (16),407,R
134,135.,Del Pratt (13),406,R
135,135.,Harry Schafer (8),406,R
136,137.,Charley Bassett (9),404,R
137,138.,Heinie Wagner (12),402,R
138,139.,Jack Boyle (13),401,R
139,140.,Tommy Tucker (13),399,R
140,141.,Jimmy Austin (18),395,R
141,141.,Buck Weaver (9),395,R
142,143.,Al Bridwell (11),394,R
143,143.,Dummy Hoy (14),394,R
144,145.,Frank Hankinson (10),393,R
145,146.,Jesse Burkett+ (16),388,L
146,146.,Bert Campaneris (19),388,R
147,148.,Garry Templeton (16),386,R
148,149.,Harry Davis (22),385,R
149,150.,Chippy McGarr (10),383,R
150,151.,Heinie Zimmerman (13),381,R
151,152.,Miller Huggins+ (13),380,R
152,153.,George Gore (14),376,R
153,153.,Dick Groat (14),376,R
154,155.,Bill Wambsganss (13),375,R
155,156.,Frankie Frisch+ (19),371,R
156,156.,Patsy Tebeau (13),371,R
157,158.,Ned Hanlon+ (13),370,R
158,159.,Joe Battin (10),367,R
159,160.,Luis Aparicio+ (18),366,R
160,161.,Billy Herman+ (15),365,R
161,162.,Jumbo Davis (7),363,R
162,163.,Fred Tenney (17),361,L
163,164.,Ray Chapman (9),358,R
164,165.,Charlie Hickman (12),357,R
165,165.,Eddie Joost (17),357,R
166,165.,Glenn Wright (11),357,R
167,168.,Fred Carroll (8),356,R
168,168.,Pinky Higgins (14),356,R
169,168.,Henry Larkin (10),356,R
170,171.,Bill Bradley (14),355,R
171,171.,Nat Hicks (6),355,R
172,171.,Bill Russell (18),355,R
173,174.,Tommy Dowd (10),352,R
174,174.,Mark Koenig (12),352,R
175,174.,Jocko Milligan (10),352,R
176,177.,Don Kessinger (16),350,R
177,178.,Bill Sweeney (8),349,R
178,179.,Eddie Foster (13),348,R
179,179.,Alfredo Griffin (18),348,R
180,179.,Pie Traynor+ (17),348,R
181,179.,Bill White (5),348,R
182,183.,Jack Barry (11),347,R
183,184.,Red Kress (14),343,R
184,185.,Bill Craver (7),342,R
185,185.,Al Dark (14),342,R
186,185.,Tommy McCarthy+ (13),342,R
187,185.,Levi Meyerle (8),342,R
188,185.,Bill Phillips (10),342,R
189,190.,Billy Clingman (10),340,R
190,190.,Chief Zimmer (19),340,R
191,192.,Wid Conroy (11),337,R
192,193.,Oyster Burns (11),336,R
193,193.,George Creamer (7),336,R
194,193.,Jim Donnelly (11),336,R
195,193.,Barney Gilligan (10),336,R
196,197.,Larry Gardner (17),335,R
197,198.,Granny Hamner (17),334,R
198,199.,Billy Jurges (17),333,R
199,200.,Doc Casey (10),331,R
200,200.,Maury Wills (14),331,R
201,202.,Bob Allen (7),330,R
202,202.,Reddy Mack (6),330,
203,202.,Jack Manning (12),330,R
204,205.,Darrell Evans (21),329,R
205,206.,Mike Schmidt+ (18),328,R
206,207.,Kid Baldwin (7),327,R
207,207.,Hobe Ferris (9),327,R
208,207.,Ron Santo+ (15),327,R
209,210.,Dave Concepcion (19),326,R
210,210.,John Reilly (10),326,R
211,212.,Leo Durocher+ (17),325,R
212,213.,Lew Brown (7),324,R
213,213.,Billy Rogell (14),324,R
214,215.,Dick Higham (8),323,R
215,215.,Lou Say (7),323,R
216,217.,Home Run Baker+ (13),322,R
217,217.,Red Dooin (15),322,R
