,Rank,"Player (yrs, age)",Games Finished,Throws
328,327.,Rob Murphy (11),181,L
329,327.,Sammy Stewart (10),181,R
330,331.,Al Brazle (10),180,L
331,331.,Edward Mujica (11),180,R
332,331.,Scott Radinsky (11),180,L
333,334.,Harry Gumbert (15),179,R
334,334.,"Brad Hand (10, 30)",179,L
335,334.,Chuck McElroy (13),179,L
336,334.,Dave Schmidt (12),179,R
337,338.,Ken Forsch (16),177,R
338,339.,Marv Grissom (10),176,R
339,339.,Kerry Ligtenberg (8),176,R
340,339.,John Rocker (6),176,L
341,342.,Doug Brocail (15),175,R
342,342.,Graeme Lloyd (10),175,L
343,342.,Bob Patterson (13),175,L
344,342.,"Felipe Vazquez (5, 28)",175,L
345,346.,Ernesto Frieri (8),174,R
346,346.,Luke Gregerson (11),174,R
347,348.,Dennis Lamp (16),173,R
348,348.,Steve Mingori (10),173,L
349,348.,Frank Smith (7),173,R
350,351.,Al Benton (14),172,R
351,351.,Dave Heaverlo (7),172,R
352,351.,Waite Hoyt+ (21),172,R
353,351.,Enrique Romo (6),172,R
354,351.,Rick White (12),172,R
355,356.,Danny Darwin (21),171,R
356,356.,Dutch Leonard (20),171,R
357,356.,"Blake Treinen (7, 32)",171,R
358,359.,Rick Camp (9),170,R
359,359.,Matt Thornton (13),170,L
360,361.,George Caster (12),169,R
361,361.,Xavier Hernandez (10),169,R
362,363.,Mark Guthrie (15),168,L
363,363.,Matt Lindstrom (8),168,R
364,363.,Derek Lowe (17),168,R
365,363.,"Hector Neris (7, 31)",168,R
366,363.,Russ Springer (18),168,R
367,363.,Salomon Torres (12),168,R
368,363.,Ron Villone (15),168,L
369,370.,Felix Rodriguez (11),167,R
370,370.,Fernando Salas (10),167,R
371,372.,Tom Buskey (8),166,R
372,372.,"Kelvin Herrera (10, 30)",166,R
373,374.,Juan Acevedo (8),165,R
374,374.,Fritz Dorish (10),165,R
375,374.,Fred Scherman (8),165,L
376,377.,Miguel Batista (18),164,R
377,377.,Cecilio Guante (9),164,R
378,377.,Greg McMichael (8),164,R
379,377.,Bill Sherdel (15),164,L
380,381.,Gary Bell (12),163,R
381,381.,Sarge Connally (12),163,R
382,381.,Chuck Crim (8),163,R
383,381.,Javier Lopez (14),163,L
384,381.,Billy McCool (7),163,L
385,386.,Jeremy Affeldt (14),162,L
386,386.,Scott Garrelts (10),162,R
387,386.,Jason Motte (9),162,R
388,389.,Luis Ayala (9),161,R
389,389.,Bobby Bolin (13),161,R
390,389.,Chief Hogsett (11),161,L
391,389.,"Brandon Kintzler (11, 35)",161,R
392,389.,Wilcy Moore (6),161,R
393,389.,Jay Powell (11),161,R
394,389.,Arthur Rhodes (20),161,L
395,389.,Pete Richert (13),161,L
396,389.,Doug Sisk (9),161,R
397,389.,"Joe Smith (13, 36)",161,R
398,399.,Woodie Fryman (18),160,L
399,399.,Mike Garman (9),160,R
400,399.,Mudcat Grant (14),160,R
401,399.,David Riske (11),160,R
402,399.,Vicente Romo (8),160,R
403,399.,Bruce Ruffin (12),160,L
404,405.,Jim Acker (10),159,R
405,405.,Joe Haynes (14),159,R
406,405.,Bill Landrum (8),159,R
407,405.,Rudy Seanez (17),159,R
408,409.,Keith Atherton (7),158,R
409,410.,Juan Berenguer (15),157,R
410,410.,Kent Mercker (18),157,L
411,410.,Bob Smith (15),157,R
412,413.,Scott Linebrink (12),156,R
413,413.,Paul Shuey (11),156,R
414,413.,Don Stanhouse (10),156,R
415,413.,Derrick Turnbow (7),156,R
416,413.,Luis Vizcaino (11),156,R
417,418.,Lee Guetterman (11),155,L
418,418.,Shawn Kelley (11),155,R
419,418.,Lance McCullers (7),155,R
420,418.,Orlando Pena (14),155,R
421,418.,Jeff Robinson (9),155,R
422,423.,Tom House (8),154,L
423,423.,Allen Russell (11),154,R
424,425.,Alan Mills (12),153,R
425,425.,Gene Nelson (13),153,R
426,427.,Bob Lee (5),152,R
427,428.,Steve Karsay (11),151,R
428,428.,"Darren O'Day (13, 37)",151,R
429,428.,Tom Wilhelmsen (7),151,R
430,431.,Jakie May (14),150,L
431,431.,Horacio Pina (8),150,R
432,431.,Alberto Reyes (13),150,R
433,434.,Tony Fossas (12),149,L
434,434.,Mike Maddux (15),149,R
435,436.,Murry Dickson (18),148,R
436,436.,Ray Moore (11),148,R
437,436.,Don Mossi (12),148,L
438,436.,Hal Reniff (7),148,R
439,440.,Jumbo Brown (12),147,R
440,440.,Danny Kolb (9),147,R
441,442.,Guy Bush (17),146,R
442,442.,Doc Crandall (10),146,R
443,442.,Jeff Fassero (16),146,L
444,442.,Terry Fox (7),146,R
445,442.,Rich Rodriguez (13),146,L
446,442.,Ed Vande Berg (7),146,L
447,442.,Rube Walberg (15),146,L
448,449.,Matt Albers (14),145,R
449,449.,Ken Dayley (11),145,L
450,449.,Rod Scurry (8),145,L
451,452.,Matt Belisle (15),144,R
452,452.,Ryne Duren (10),144,R
453,452.,"Jeremy Jeffress (11, 32)",144,R
454,452.,Jose Veras (9),144,R
455,456.,Shawn Camp (11),143,R
456,457.,Joey McLaughlin (7),142,R
457,457.,Hal White (12),142,R
458,457.,Mark Williamson (8),142,R
459,460.,David Aardsma (9),141,R
460,460.,Lloyd Brown (12),141,L
461,460.,"Andrew Miller (15, 35)",141,L
462,460.,Chris Ray (6),141,R
463,460.,Eduardo Rodriguez (7),141,R
464,460.,"Pedro Strop (12, 35)",141,R
465,466.,"Brad Boxberger (9, 32)",140,R
466,466.,Sam Dyson (8),140,R
467,466.,Lerrin LaGrow (10),140,R
468,466.,Antonio Osuna (11),140,R
469,466.,Joel Peralta (12),140,R
470,466.,Shane Rawley (12),140,L
471,466.,Stan Williams (14),140,R
472,473.,Pete Ladd (6),139,R
473,473.,George Zuverink (8),139,R
474,475.,"Brad Brach (10, 34)",138,R
475,475.,Mordecai Brown+ (14),138,R
476,475.,Tex Clevenger (8),138,R
477,475.,Terry Leach (11),138,R
478,475.,Dyar Miller (7),138,R
479,475.,George Sherrill (9),138,L
480,475.,Dave Tomlin (13),138,L
481,475.,Kerry Wood (14),138,R
482,483.,Craig Breslow (12),137,L
483,483.,"Jesse Chavez (13, 36)",137,R
484,483.,Wayne Gomes (6),137,R
485,483.,Damaso Marte (11),137,L
486,483.,Billy O'Dell (13),137,L
487,483.,Scott Williamson (9),137,R
488,489.,Chad Kimsey (6),136,R
489,490.,Herb Pennock+ (22),135,L
490,491.,Red Faber+ (20),134,R
491,491.,Art Fowler (9),134,R
492,491.,Dizzy Trout (15),134,R
493,491.,Jim Willoughby (8),134,R
494,495.,Tim Crabtree (7),133,R
495,495.,Trever Miller (13),133,L
496,495.,Kenny Rogers (20),133,L
497,495.,Chuck Taylor (8),133,R
498,495.,Jamey Wright (19),133,R
499,500.,Manny Corpas (7),132,R
500,500.,Kelvim Escobar (12),132,R
501,500.,Tom Gorman (8),132,R
502,500.,"Shane Greene (7, 31)",132,R
503,500.,Aaron Heilman (9),132,R
504,500.,Don Larsen (14),132,R
505,500.,Ray Narleski (6),132,R
506,500.,Mike Ryba (10),132,R
507,508.,Tom Hall (10),131,L
508,508.,Bob Lacey (7),131,L
509,508.,"Bryan Shaw (10, 32)",131,R
510,508.,Mike Stanton (7),131,R
511,512.,Garland Braxton (10),130,L
512,512.,Jeanmar Gomez (10),130,R
513,512.,Billy Hoeft (15),130,L
514,515.,Joe Beimel (13),129,L
515,515.,"David Hernandez (10, 35)",129,R
516,515.,"Jared Hughes (10, 34)",129,R
517,515.,Rich Loiselle (6),129,R
518,515.,"Jake McGee (11, 33)",129,L
519,520.,Huck Betts (10),128,R
520,520.,Lew Burdette (18),128,R
521,520.,Jason Christiansen (11),128,L
522,520.,Victor Cruz (5),128,R
523,520.,Felix Heredia (10),128,L
524,520.,Dolf Luque (20),128,R
525,520.,Terry Mulholland (20),128,L
526,520.,Ricardo Rincon (11),128,L
527,520.,J.C. Romero (14),128,L
528,520.,Wes Stock (9),128,R
529,520.,Scott Sullivan (10),128,R
530,531.,Joe Beggs (9),127,R
531,531.,George Culver (9),127,R
532,531.,Jason Grimsley (15),127,R
533,531.,Walter Johnson+ (21),127,R
534,531.,Al Levine (10),127,R
535,531.,Luis Sanchez (5),127,R
536,531.,Jamie Walker (10),127,L
