,Rank,"Player (yrs, age)",Earned Run Average,Throws
198,199.,Greg Minton (16),3.096,R
199,199.,Togie Pittinger (8),3.096,R
200,201.,Dupee Shaw (6),3.100,L
201,202.,Patsy Flaherty (9),3.102,L
202,203.,Bob Groom (10),3.105,R
203,203.,Gaylord Perry+ (22),3.105,R
204,205.,Joe Horlen (12),3.106,R
205,205.,Alejandro Pena (15),3.106,R
206,207.,George Suggs (8),3.111,R
207,208.,Jim Bagby (9),3.113,R
208,208.,Irv Young (6),3.113,L
209,210.,Don Gullett (9),3.114,L
210,211.,Darold Knowles (16),3.115,L
211,211.,Jack Warhop (8),3.115,R
212,213.,"Kyle Hendricks (7, 30)",3.119,R
213,214.,John Tudor (12),3.120,L
214,215.,Tom Seaton (6),3.123,R
215,216.,Roger Clemens (24),3.125,R
216,217.,Al McBean (10),3.131,R
217,217.,Guy Morton (11),3.131,R
218,219.,Dave Dravecky (8),3.134,L
219,219.,Lefty Williams (7),3.134,L
220,221.,Leon Cadore (10),3.135,R
221,222.,Bert Gallia (9),3.136,R
222,223.,Tug McGraw (19),3.137,L
223,224.,Mike Cuellar (15),3.138,L
224,225.,Mike Marshall (14),3.141,R
225,226.,Don Wilson (9),3.145,R
226,227.,Eppa Rixey+ (21),3.148,L
227,228.,Red Faber+ (20),3.149,R
228,228.,J.R. Richard (10),3.149,R
229,230.,Sal Maglie (10),3.150,R
230,231.,Elmer Knetzer (8),3.153,R
231,232.,Jeff Reardon (16),3.155,R
232,233.,Greg Maddux+ (23),3.156,R
233,234.,"Corey Kluber (10, 34)",3.157,R
234,235.,Earl Hamilton (14),3.158,L
235,236.,Jesse Orosco (24),3.161,L
236,237.,Frank Kitson (10),3.168,R
237,238.,Urban Shocker (13),3.172,R
238,239.,Sam McDowell (15),3.174,L
239,240.,Steve Rogers (13),3.175,R
240,241.,Dan Casey (7),3.176,L
241,242.,Silver King (10),3.180,R
242,242.,Jon Matlack (13),3.180,L
243,244.,Lon Warneke (15),3.183,R
244,245.,Bill Duggleby (8),3.184,R
245,246.,Jim Maloney (12),3.188,R
246,247.,Pete Richert (13),3.189,L
247,248.,"Stephen Strasburg (11, 31)",3.192,R
248,249.,Nolan Ryan+ (27),3.193,R
249,250.,"Gerrit Cole (8, 29)",3.194,R
250,251.,Johan Santana (12),3.203,L
251,252.,"Madison Bumgarner (12, 30)",3.204,L
252,252.,Art Nehf (15),3.204,L
253,254.,Buster Brown (9),3.205,R
254,255.,Eddie Lopat (12),3.206,L
255,256.,Bill James (8),3.207,R
256,257.,Sonny Siebert (12),3.208,R
257,258.,"Max Scherzer (13, 35)",3.211,R
258,259.,Sam Weaver (6),3.214,R
259,260.,Jesse Barnes (13),3.215,R
260,260.,Steve Carlton+ (24),3.215,L
261,262.,Johnny Niggeling (9),3.217,R
262,263.,Al Downing (17),3.218,L
263,263.,Harry McIntire (9),3.218,R
264,265.,Ray Caldwell (12),3.219,R
265,266.,Jim Turner (9),3.220,R
266,267.,Doc Newton (8),3.221,L
267,268.,George Mogridge (15),3.226,L
268,269.,Tom Burgmeier (17),3.232,L
269,269.,Terry Forster (16),3.232,L
270,271.,Dizzy Trout (15),3.233,R
271,272.,Bob Lemon+ (15),3.234,R
272,273.,Jose Rijo (14),3.236,R
273,273.,Ben Sanders (5),3.236,R
274,273.,Wilbur Wood (17),3.236,L
275,276.,Dave McNally (14),3.237,L
276,277.,Dazzy Vance+ (16),3.240,R
277,278.,Stu Miller (16),3.242,R
278,279.,Dolf Luque (20),3.245,R
279,280.,Hank Aguirre (16),3.246,L
280,280.,Bernie Boland (7),3.246,R
281,282.,Gary Peters (14),3.248,L
282,283.,Dutch Leonard (20),3.250,R
283,284.,Bob Feller+ (18),3.255,R
284,285.,Catfish Hunter+ (15),3.256,R
285,286.,Don Sutton+ (23),3.261,R
286,287.,Vida Blue (17),3.265,L
287,287.,Mike Garcia (14),3.265,R
288,289.,Brandon Webb (7),3.267,R
289,290.,Jim Bunning+ (17),3.269,R
290,290.,Billy Pierce (18),3.269,L
291,292.,Kevin Brown (19),3.275,R
292,293.,Paul Lindblad (14),3.285,L
293,294.,Ron Guidry (14),3.288,L
294,295.,Jack Quinn (23),3.290,R
295,296.,Randy Johnson+ (22),3.293,L
296,297.,Billy O'Dell (13),3.294,L
297,298.,Toad Ramsey (6),3.295,L
298,299.,Ewell Blackwell (10),3.298,R
299,299.,Claude Osteen (18),3.298,L
300,299.,Fritz Peterson (11),3.298,L
301,302.,Roger McDowell (12),3.300,R
302,303.,Doug Jones (16),3.302,R
303,303.,Bucky Walters (19),3.302,R
304,305.,Allie Reynolds (13),3.304,R
305,305.,Luis Tiant (19),3.304,R
306,307.,Hooks Dauss (15),3.305,R
307,307.,Larry Dierker (14),3.305,R
308,309.,Al Brazle (10),3.307,L
309,310.,"David Price (12, 34)",3.308,L
310,311.,Allan Sothoron (11),3.310,R
311,312.,Clark Griffith+ (21),3.312,R
312,313.,Bert Blyleven+ (22),3.314,R
313,314.,Dick Hall (19),3.315,R
314,315.,Claude Passeau (13),3.319,R
315,315.,Sherry Smith (14),3.319,L
316,317.,Ferdie Schupp (10),3.322,L
317,318.,John Smoltz+ (21),3.327,R
318,318.,Lee Viau (5),3.327,R
319,320.,"Justin Verlander (16, 37)",3.328,R
320,321.,Tom Phoebus (7),3.329,R
321,322.,John Candelaria (19),3.332,L
322,323.,Bob Harmon (9),3.334,R
323,324.,Johnny Antonelli (12),3.338,L
324,324.,Gene Garber (19),3.338,R
