,Rank,"Player (yrs, age)",AB per HR,Bats
512,512.,"Jackie Bradley Jr. (8, 30)",29.58,L
513,514.,John Briggs (12),29.62,L
514,515.,Andre Ethier (12),29.63,L
515,516.,Victor Martinez (16),29.66,B
516,517.,Danny Espinosa (8),29.69,B
517,518.,Ryne Sandberg+ (16),29.73,R
518,519.,Ryan Doumit (10),29.74,B
519,520.,John Olerud (17),29.77,L
520,521.,Austin Kearns (12),29.80,R
521,522.,Russell Martin (14),29.85,R
522,522.,J.T. Snow (16),29.85,L
523,524.,Dave Hollins (12),29.88,B
524,525.,Todd Zeile (16),29.93,R
525,526.,Gene Freese (12),29.97,R
526,526.,John Lowenstein (16),29.97,L
527,528.,Juan Encarnacion (11),30.03,R
528,528.,Ruppert Jones (12),30.03,L
529,530.,"Ian Desmond (11, 34)",30.07,R
530,531.,"Jorge Cantu (8, 38)",30.08,R
531,532.,Tommie Agee (12),30.09,R
532,533.,Garret Anderson (17),30.10,L
533,533.,Zeke Bonura (7),30.10,R
534,535.,Jim Morrison (12),30.13,R
535,536.,Miguel Montero (13),30.17,L
536,537.,Ramon Hernandez (15),30.21,R
537,538.,Richie Hebner (18),30.27,L
538,539.,"Avisail Garcia (9, 29)",30.34,R
539,540.,Bill Freehan (15),30.37,R
540,541.,Ray Boone (13),30.39,R
541,541.,Pedro Feliz (11),30.39,R
542,543.,Felix Mantilla (11),30.42,R
543,544.,"Pablo Sandoval (13, 33)",30.44,B
544,545.,Whitey Kurowski (9),30.46,R
545,546.,Cecil Cooper (17),30.49,L
546,546.,"Eric Hosmer (10, 30)",30.49,L
547,548.,"Eduardo Escobar (10, 31)",30.54,B
548,548.,Gary Matthews (16),30.54,R
549,550.,Ed Taubensee (11),30.57,L
550,551.,George Altman (9),30.60,L
551,552.,Willie Jones (15),30.66,R
552,553.,Jim Northrup (12),30.67,L
553,554.,Aaron Boone (12),30.72,R
554,555.,Rich Aurilia (15),30.76,R
555,555.,Bobby Grich (17),30.76,R
556,555.,"Neil Walker (12, 34)",30.76,B
557,558.,Vince DiMaggio (10),30.79,R
558,559.,Drew Stubbs (9),30.80,R
559,560.,Ernie Lombardi+ (17),30.82,R
560,561.,Ivan Rodriguez+ (21),30.84,R
561,562.,Danny Valencia (9),30.86,R
562,563.,J.J. Hardy (13),30.88,R
563,564.,Steve Finley (19),30.91,L
564,565.,Brady Anderson (15),30.95,L
565,566.,Babe Herman (13),30.96,L
566,566.,Wally Judnich (7),30.96,L
567,566.,Juan Uribe (16),30.96,R
568,569.,Bob Oliver (8),31.00,R
569,570.,Joe Rudi (16),31.04,R
570,571.,Randy Jackson (10),31.10,R
571,572.,Steve Buechele (11),31.14,R
572,573.,Tim Wallach (17),31.15,R
573,574.,Mike Easler (14),31.16,L
574,575.,Bill Dickey+ (17),31.19,L
575,576.,Steve Kemp (11),31.22,L
576,576.,Pete Ward (9),31.22,L
577,578.,Joe Torre+ (18),31.25,R
578,579.,Franklin Gutierrez (12),31.26,R
579,580.,"Jason Castro (10, 33)",31.30,L
580,581.,Lee Thomas (8),31.36,L
581,582.,Hank Bauer (14),31.37,R
582,583.,Dick McAuliffe (16),31.40,L
583,584.,Gus Bell (15),31.45,L
584,585.,Darrin Fletcher (14),31.47,L
585,586.,Don Mattingly (14),31.55,L
586,586.,Melvin Upton Jr. (12),31.55,R
587,588.,Troy O'Leary (11),31.57,L
588,589.,John Valentin (11),31.59,R
589,590.,Mel Hall (13),31.62,L
590,591.,Melvin Mora (13),31.71,R
591,592.,Randy Bush (12),31.72,L
592,593.,"Xander Bogaerts (8, 27)",31.76,R
593,594.,Bobby Doerr+ (14),31.81,R
594,595.,Ivan Calderon (10),31.85,R
595,596.,"Marwin Gonzalez (9, 31)",31.94,B
596,596.,Chet Lemon (16),31.94,R
597,598.,Benito Santiago (20),32.03,R
598,599.,Elston Howard (14),32.11,R
599,600.,Al Martin (11),32.14,L
600,601.,Aaron Rowand (11),32.16,R
601,602.,Pete O'Brien (12),32.17,L
602,603.,Bob Bailey (17),32.18,R
603,603.,Rusty Greer (9),32.18,L
604,605.,Harlond Clift (12),32.19,R
605,606.,Nate McLouth (10),32.25,L
606,607.,Kevin Elster (13),32.32,R
607,608.,Steve Garvey (19),32.48,R
608,609.,Jeff Conine (17),32.51,R
609,610.,Travis Lee (9),32.52,L
610,611.,Todd Hollandsworth (12),32.56,L
611,611.,Willard Marshall (11),32.56,L
612,613.,Carlos Gomez (13),32.58,R
613,614.,George Brett+ (21),32.65,L
614,614.,Danny Litwhiler (11),32.65,R
615,616.,Al Smith (12),32.66,R
616,616.,Michael Tucker (12),32.66,L
617,618.,Jhonny Peralta (15),32.67,R
618,619.,"Buster Posey (11, 33)",32.68,R
619,620.,Max Alvis (9),32.69,R
620,621.,Scott Spiezio (12),32.76,B
621,622.,Ron Coomer (9),32.82,R
622,623.,Jeff Francoeur (12),32.88,R
623,624.,Ken McMullen (16),32.89,R
624,625.,Mike Davis (10),32.96,L
625,626.,Brandon Inge (13),32.99,R
626,627.,Joe Oliver (13),33.01,R
627,628.,Shea Hillenbrand (7),33.06,R
628,629.,Terry Steinbach (14),33.14,R
629,630.,Gavvy Cravath (11),33.20,R
630,631.,Carl Furillo (15),33.22,R
631,632.,David Freese (11),33.26,R
632,633.,Rusty Staub (23),33.29,L
633,634.,Nick Hundley (12),33.30,R
634,635.,David Murphy (10),33.34,L
635,636.,Earl Torgeson (15),33.35,L
636,637.,Ron Fairly (21),33.41,L
637,638.,Bengie Molina (13),33.42,R
638,639.,Doug Rader (11),33.46,R
639,640.,Bob Watson (19),33.61,R
640,641.,"Yonder Alonso (10, 33)",33.62,L
641,641.,Jim Spencer (15),33.62,L
642,643.,"Asdrubal Cabrera (14, 34)",33.63,B
643,644.,Damion Easley (17),33.64,R
644,644.,"Alex Gordon (14, 36)",33.64,L
645,646.,"Jason Heyward (11, 30)",33.78,L
646,646.,Chris James (10),33.78,R
647,648.,Lyle Overbay (14),33.79,L
648,649.,Norm Siebern (12),33.95,L
649,650.,"Starling Marte (9, 31)",33.99,R
650,651.,Jim Bottomley+ (16),34.11,L
651,651.,Ed Herrmann (11),34.11,L
652,651.,Wally Moon (12),34.11,L
653,654.,Hector Lopez (12),34.15,R
654,655.,Derek Bell (11),34.16,R
655,656.,Willie Upshaw (10),34.17,L
656,657.,Cito Gaston (11),34.29,R
657,658.,Dan Ford (11),34.41,R
658,658.,Lloyd Moseby (12),34.41,L
659,660.,Bernard Gilkey (12),34.42,R
660,661.,Gary Ward (12),34.45,R
661,662.,Earl Battey (13),34.48,R
662,663.,Matt Lawton (12),34.51,L
663,664.,Sherm Lollar (18),34.52,R
664,665.,Sid Bream (12),34.53,L
665,666.,Joe Morgan+ (22),34.62,L
666,667.,Roy Smalley (13),34.71,B
667,668.,Billy Butler (10),34.73,R
668,669.,Max West (7),34.75,L
669,670.,Jackie Brandt (11),34.78,R
670,671.,Andy Van Slyke (13),34.82,L
671,672.,Aaron Hill (13),34.85,R
672,673.,Ken Keltner (13),34.87,R
673,673.,David Segui (15),34.87,B
674,675.,Goose Goslin+ (18),34.90,L
675,676.,Jay Payton (12),34.91,R
676,677.,Wally Joyner (16),34.94,L
