,Rank,"Player (yrs, age)",Errors Committed as CF (s.1901),Throws
96,97.,Gary Pettis (11),44,R
97,97.,Johnny Rucker (6),44,R
98,97.,Bobby Thomson (15),44,R
99,100.,Mookie Wilson (12),43,R
100,101.,Jim Busby (13),42,R
101,101.,Carlos Gomez (13),42,R
102,101.,Dave Henderson (14),42,R
103,101.,Solly Hofman (14),42,R
104,101.,Rube Oldring (13),42,R
105,101.,Amos Otis (17),42,R
106,101.,Kirby Puckett+ (12),42,R
107,101.,Harry Walker (11),42,R
108,109.,Juan Beniquez (17),41,R
109,109.,Lenny Dykstra (12),41,L
110,109.,Fielder Jones (15),41,R
111,109.,Ray Lankford (14),41,L
112,109.,Al Oliver (18),41,L
113,109.,Willie Wilson (19),41,R
114,115.,Mel Almada (7),40,L
115,115.,Gorman Thomas (13),40,R
116,117.,Andruw Jones (17),39,R
117,117.,Dale Murphy (18),39,R
118,117.,Stan Spence (9),39,L
119,120.,Matty Alou (15),38,L
120,120.,Eddie Brown (7),38,R
121,120.,Brett Butler (17),38,L
122,120.,Preston Wilson (10),38,R
123,124.,"Dexter Fowler (13, 34)",37,R
124,124.,Hank Leiber (10),37,R
125,124.,Billy Maloney (6),37,R
126,124.,"Andrew McCutchen (12, 33)",37,R
127,128.,Al Burch (6),36,R
128,128.,Ellis Burks (18),36,R
129,128.,"Lorenzo Cain (11, 34)",36,R
130,128.,Mike Donlin (12),36,L
131,128.,Mule Haas (12),36,R
132,128.,Les Mann (16),36,R
133,128.,Heinie Mueller (11),36,L
134,128.,Al Shaw (5),36,R
135,128.,Roy Thomas (13),36,L
136,128.,Del Unser (15),36,L
137,128.,Melvin Upton Jr. (12),36,R
138,139.,Charlie Jones (6),35,R
139,139.,Ruppert Jones (12),35,L
140,139.,Don Lock (8),35,R
141,139.,Bernie Neis (8),35,R
142,143.,Johnny Groth (15),34,R
143,143.,Armando Marsans (8),34,R
144,143.,Dave Philley (18),34,R
145,143.,Jimmy Slagle (10),34,R
146,147.,Ethan Allen (13),33,R
147,147.,Tony Armas (14),33,R
148,147.,Brian Hunter (10),33,R
149,147.,Roberto Kelly (14),33,R
150,147.,Chick Stahl (10),33,L
151,152.,Johnny Frederick (6),32,L
152,152.,Larry Herndon (14),32,R
153,152.,Sam Jethroe (4),32,R
154,152.,Brian McRae (10),32,R
155,152.,John Shelby (11),32,R
156,152.,Denny Sothern (5),32,R
157,152.,Andy Van Slyke (13),32,R
158,159.,Gus Bell (15),31,R
159,159.,Sam Crawford+ (19),31,L
160,159.,Chili Davis (19),31,R
161,159.,Gary Matthews (12),31,R
162,159.,Jim Piersall (17),31,R
163,159.,Roy Weatherly (10),31,R
164,159.,Frank Welch (9),31,R
165,166.,Jackie Brandt (11),30,R
166,166.,Shano Collins (16),30,R
167,166.,Torii Hunter (19),30,R
168,166.,Jim Landis (11),30,R
169,166.,Andy Pafko (17),30,R
170,166.,Angel Pagan (11),30,R
171,166.,Homer Smoot (5),30,R
172,166.,Ken Williams (14),30,R
173,174.,Chad Curtis (10),29,R
174,174.,John Dobbs (5),29,R
175,174.,Carl Everett (14),29,R
176,174.,Cito Gaston (11),29,R
177,174.,Myril Hoag (13),29,R
178,174.,Joe Kelly (5),29,R
179,174.,Joe Marty (5),29,R
180,174.,Elmer Miller (7),29,R
181,174.,Colby Rasmus (10),29,L
182,174.,Jimmy Welsh (6),29,R
183,184.,Al Bumbry (14),28,R
184,184.,Alex Cole (7),28,L
185,184.,Austin Jackson (9),28,R
186,184.,Dave Martinez (16),28,L
187,184.,George Metkovich (10),28,L
188,184.,Rick Miller (15),28,L
189,184.,Juan Pierre (14),28,L
190,184.,Bobby Tolan (13),28,L
191,192.,Michael Bourn (11),27,R
192,192.,Johnny Damon (18),27,L
193,192.,Bobby Del Greco (9),27,R
194,192.,Cesar Geronimo (15),27,L
195,192.,Mark Kotsay (17),27,L
196,192.,Bobby Murcer (17),27,R
197,192.,Aaron Rowand (11),27,R
198,199.,Bob Dernier (10),26,R
199,199.,Hoot Evers (12),26,R
200,199.,Larry Hisle (14),26,R
201,199.,"Matt Kemp (15, 35)",26,R
202,199.,Ken Landreaux (11),26,R
203,199.,Hersh Martin (6),26,R
204,199.,Dave May (12),26,R
205,199.,Alex Metzler (6),26,R
206,199.,Corey Patterson (12),26,R
207,199.,Albie Pearson (9),26,L
208,199.,Adolfo Phillips (8),26,R
209,199.,Pete Reiser (10),26,R
210,199.,Alex Sanchez (5),26,L
211,199.,Billy Southworth+ (13),26,R
212,213.,Frank Demaree (12),25,R
213,213.,"Jarrod Dyson (11, 35)",25,R
214,213.,Johnny Watwood (6),25,L
215,213.,Whitey Witt (10),25,R
216,213.,Robin Yount+ (20),25,R
217,213.,Dutch Zwilling (4),25,L
218,219.,Ken Berry (14),24,R
219,219.,Fred Brickell (8),24,R
220,219.,Marlon Byrd (15),24,R
221,219.,Rip Cannell (2),24,R
222,219.,Zip Collins (5),24,L
223,219.,Eric Davis (17),24,R
224,219.,Kiddo Davis (8),24,R
225,219.,Tony Gonzalez (12),24,R
226,219.,Rickey Henderson+ (25),24,L
227,219.,Hal Jeffcoat (12),24,R
228,219.,Otis Nixon (17),24,R
229,219.,Dixie Walker (18),24,R
230,219.,Chris Young (13),24,R
231,232.,Brady Anderson (15),23,L
232,232.,George Case (11),23,R
233,232.,Vern Duncan (3),23,R
234,232.,Gus Felix (5),23,R
235,232.,Jay Johnstone (20),23,R
236,232.,Pepper Martin (13),23,R
237,232.,"Cameron Maybin (14, 33)",23,R
238,232.,Barney McCosky (11),23,R
239,232.,Jim Rivera (10),23,L
240,232.,Casey Stengel+ (14),23,L
241,232.,Willy Taveras (7),23,R
242,232.,Johnny Wyrostek (11),23,R
243,244.,Daryl Boston (11),22,L
244,244.,Birdie Cree (8),22,R
245,244.,Wilbur Good (11),22,L
246,244.,Lenny Green (12),22,L
247,244.,Chick Hafey+ (13),22,R
248,244.,George Hendrick (18),22,R
249,244.,Bris Lord (8),22,R
250,244.,Heinie Manush+ (17),22,L
251,244.,Red Murray (11),22,R
252,244.,Braggo Roth (8),22,R
253,244.,Tuck Stainback (13),22,R
254,244.,Marvell Wynne (8),22,L
255,256.,Buster Adams (6),21,R
256,256.,Derek Bell (11),21,R
257,256.,Rick Bosetti (7),21,R
258,256.,Coco Crisp (15),21,R
259,256.,Ken Henderson (16),21,R
260,256.,Von Joshua (10),21,L
261,256.,Freddy Leach (10),21,R
262,256.,Terrence Long (8),21,L
263,256.,Lee Magee (9),21,R
264,256.,Leonys Martín (9),21,R
265,256.,Lee Mazzilli (14),21,R
266,256.,Oddibe McDowell (7),21,L
267,256.,Earl McNeely (8),21,R
268,256.,Eddie Milner (9),21,L
269,256.,Rowland Office (11),21,L
270,256.,Tom Oliver (4),21,R
271,256.,Tony Scott (11),21,R
272,256.,Willie Tasby (6),21,R
273,256.,Herm Winningham (9),21,R
274,275.,Harry Bay (8),20,L
275,275.,Johnny Cooney (20),20,L
276,275.,Harry Craft (6),20,R
277,275.,Vic Davalillo (16),20,L
278,275.,Bill Davidson (3),20,R
279,275.,"Delino DeShields (6, 27)",20,R
280,275.,Liz Funk (4),20,L
281,275.,Curtis Granderson (16),20,R
282,275.,Mack Jones (10),20,R
283,275.,Chet Laabs (11),20,R
284,275.,Wid Matthews (3),20,L
285,275.,Jay Payton (12),20,R
286,275.,"Kevin Pillar (8, 31)",20,R
287,275.,Mickey Stanley (15),20,R
288,275.,Drew Stubbs (9),20,R
289,275.,Vernon Wells (15),20,R
290,275.,Chief Wilson (9),20,R
291,292.,Felipe Alou (17),19,R
292,292.,Red Barnes (4),19,R
293,292.,Jacob Brumfield (7),19,R
294,292.,Samuel Byrd (8),19,R
295,292.,Chuck Carr (8),19,R
296,292.,Mike Devereaux (12),19,R
297,292.,Phil Geier (5),19,R
298,292.,Tom Goodwin (14),19,R
299,292.,Jimmie Hall (8),19,R
300,292.,Oris Hockett (7),19,R
301,292.,Wally Judnich (7),19,L
302,292.,"Juan Lagares (8, 31)",19,R
303,292.,Peanuts Lowrey (13),19,R
304,292.,Irv Noren (11),19,L
305,292.,Carl Reynolds (13),19,R
306,292.,Ruben Rivera (9),19,R
307,292.,Chris Singleton (6),19,L
308,292.,Russ Snyder (12),19,R
309,292.,Denard Span (11),19,L
310,292.,Cesar Tovar (12),19,R
311,292.,Thurman Tucker (9),19,R
312,292.,George Watkins (7),19,R
313,314.,Rocco Baldelli (7),18,R
314,314.,Leon Culberson (6),18,R
315,314.,Milt Cuyler (8),18,R
316,314.,Chuck Diering (9),18,R
317,314.,Chick Fullis (8),18,R
318,314.,Doug Glanville (9),18,R
319,314.,"Odubel Herrera (5, 28)",18,R
320,314.,Jim Hickman (13),18,R
321,314.,Shoeless Joe Jackson (13),18,R
322,314.,Gabe Kapler (12),18,R
323,314.,"Kevin Kiermaier (8, 30)",18,R
324,314.,Bing Miller (16),18,R
325,314.,Jake Powell (11),18,R
326,314.,Jim Russell (10),18,R
327,314.,Gary Thomasson (9),18,L
328,314.,Milt Thompson (13),18,R
329,314.,George Wright (5),18,R
330,331.,Beals Becker (8),17,L
331,331.,Rich Becker (8),17,L
332,331.,"Jackie Bradley Jr. (8, 30)",17,R
333,331.,Joe Carter (16),17,R
334,331.,Jack Dalton (4),17,R
335,331.,Carden Gillenwater (5),17,R
336,331.,Stan Javier (17),17,R
337,331.,Rudy Law (7),17,L
338,331.,John O'Neill (2),17,R
339,331.,Ollie Pickering (8),17,R
340,331.,Tike Redman (6),17,L
341,331.,Sammy Sosa (18),17,R
342,331.,Mitch Webster (13),17,L
343,331.,Wally Westlake (10),17,R
344,345.,Rick Ankiel (11),16,L
345,345.,Johnny Barrett (5),16,L
346,345.,Frank Baumholtz (10),16,L
347,345.,"Charlie Blackmon (10, 33)",16,L
348,345.,Bobby Bonds (14),16,R
349,345.,Milton Bradley (12),16,R
350,345.,Gino Cimoli (10),16,R
351,345.,Jose Cruz (12),16,R
352,345.,Gary Geiger (12),16,R
353,345.,Larry Harlow (6),16,L
354,345.,Billy Hatcher (12),16,R
355,345.,Jim Hickman (5),16,R
356,345.,"Ender Inciarte (7, 29)",16,L
357,345.,Bob Johnson (13),16,R
358,345.,Roy Johnson (10),16,R
359,345.,Nelson Mathews (6),16,R
360,345.,Quinton McCracken (12),16,R
361,345.,Jerry Morales (15),16,R
362,345.,Joe Pepitone (12),16,L
363,345.,Deion Sanders (9),16,L
364,345.,Evar Swanson (5),16,R
365,345.,"Mike Trout (10, 28)",16,R
366,345.,Guy Zinn (5),16,R
367,368.,Hank Aaron+ (23),15,R
368,368.,Marvin Benard (9),15,L
369,368.,Barry Bonnell (10),15,R
370,368.,George Burns (15),15,R
371,368.,Bert Daniels (5),15,R
372,368.,Rajai Davis (14),15,R
373,368.,David DeJesus (13),15,L
374,368.,Josh Devore (7),15,R
375,368.,Jacoby Ellsbury (11),15,L
376,368.,Juan Encarnacion (11),15,R
377,368.,Dan Ford (11),15,R
378,368.,Paul Lehner (7),15,L
379,368.,Willie Montanez (14),15,L
380,368.,Jim Northrup (12),15,R
381,368.,Luis Olmo (6),15,R
382,368.,Fred Osborn (3),15,R
383,368.,Ben Revere (8),15,R
384,368.,Alex Rios (12),15,R
385,368.,Ted Uhlaender (8),15,R
386,368.,Gerald Williams (14),15,R
387,368.,Harry Wolter (7),15,R
388,389.,John Briggs (12),14,L
389,389.,John Cangelosi (13),14,L
390,389.,Ryan Christenson (6),14,R
391,389.,Ray Demmitt (7),14,R
392,389.,Carl Furillo (15),14,R
393,389.,Johnny Grubb (16),14,R
394,389.,Mike Mitchell (8),14,R
395,389.,Bill Robinson (16),14,R
396,389.,Roy Sievers (17),14,R
397,389.,Tom Tresh (9),14,R
398,389.,Jimmy Walsh (6),14,R
399,389.,Claudell Washington (17),14,L
