,Rank,"Player (yrs, age)",Outs Made,Bats
638,639.,Jayson Werth (15),4195,R
639,640.,Pete Fox (13),4194,R
640,641.,Dom DiMaggio (11),4186,R
641,641.,Cristian Guzman (11),4186,B
642,643.,"Brett Gardner (13, 36)",4185,L
643,643.,Rick Manning (13),4185,L
644,643.,Melvin Mora (13),4185,R
645,646.,Tom Daly (17),4182,B
646,647.,Luke Sewell (20),4180,R
647,648.,Tom Herr (13),4176,B
648,648.,Terry Steinbach (14),4176,R
649,650.,Melvin Upton Jr. (12),4171,R
650,651.,Bill Nicholson (16),4168,L
651,652.,Billy Hamilton+ (14),4166,L
652,653.,Duffy Lewis (11),4163,R
653,654.,Duke Farrell (18),4161,B
654,655.,Shannon Stewart (14),4160,R
655,656.,Al Smith (12),4147,R
656,657.,Elston Howard (14),4144,R
657,658.,Joe Randa (12),4142,R
658,659.,Doug Rader (11),4137,R
659,660.,Charlie Hayes (14),4131,R
660,661.,Carlos Baerga (14),4130,B
661,661.,Johnny Logan (13),4130,R
662,663.,Eric Davis (17),4122,R
663,663.,Yunel Escobar (11),4122,R
664,663.,Freddie Lindstrom+ (13),4122,R
665,666.,Zoilo Versalles (12),4114,R
666,667.,Von Hayes (12),4113,L
667,668.,Mo Vaughn (12),4111,L
668,669.,Don Blasingame (12),4108,L
669,669.,Jeff Francoeur (12),4108,R
670,671.,Martin Prado (14),4105,R
671,671.,Mike Tiernan (13),4105,L
672,673.,Cy Seymour (16),4101,L
673,673.,Del Unser (15),4101,L
674,675.,Joe Dugan (14),4099,R
675,676.,Jeff Cirillo (14),4098,R
676,676.,Jimmy Williams (11),4098,R
677,678.,Pete Suder (13),4096,R
678,679.,Tony Armas (14),4094,R
679,680.,"Kurt Suzuki (14, 36)",4093,R
680,681.,Otis Nixon (17),4089,B
681,682.,Ron Hunt (12),4086,R
682,683.,Tommy Dowd (10),4084,R
683,683.,Lance Johnson (14),4084,L
684,685.,Omar Infante (15),4083,R
685,685.,Jackie Jensen (11),4083,R
686,685.,King Kelly+ (16),4083,R
687,685.,Ken McMullen (16),4083,R
688,689.,Brandon Inge (13),4082,R
689,690.,"Eric Hosmer (10, 30)",4076,L
690,691.,Thurman Munson (11),4075,R
691,691.,Rondell White (15),4075,R
692,693.,Rick Burleson (13),4074,R
693,694.,Denis Menke (13),4073,R
694,695.,Ginger Beaumont (12),4067,L
695,695.,Nomar Garciaparra (14),4067,R
696,697.,Edgardo Alfonzo (12),4066,R
697,698.,Cecil Fielder (13),4065,R
698,699.,Steve Brodie (12),4062,L
699,700.,Alex Gonzalez (13),4058,R
700,701.,"Erick Aybar (12, 36)",4056,B
701,701.,Wally Gerber (15),4056,R
702,703.,Del Crandall (16),4053,R
703,704.,Denard Span (11),4052,L
704,705.,Bruce Bochte (12),4047,L
705,705.,Omar Moreno (12),4047,L
706,707.,Bob Meusel (11),4044,R
707,708.,Neifi Perez (12),4040,B
708,709.,Danny Murphy (16),4037,R
709,710.,Javy Lopez (15),4034,R
710,711.,Jack O'Connor (21),4033,R
711,712.,Ted Sizemore (12),4032,R
712,713.,David DeJesus (13),4029,L
713,713.,Brian McRae (10),4029,B
714,715.,Alexei Ramírez (9),4027,R
715,716.,George Stovall (12),4026,R
716,717.,Earle Combs+ (12),4025,L
717,717.,Pedro Guerrero (15),4025,R
718,719.,Sam Thompson+ (15),4023,L
719,720.,Dolph Camilli (12),4020,L
720,720.,Cliff Floyd (17),4020,L
721,722.,Baby Doll Jacobson (11),4018,R
722,723.,Johnny Temple (13),4017,R
723,724.,Matt Stairs (19),4016,L
724,725.,Larry Doby+ (13),4011,L
725,725.,Mickey Stanley (15),4011,R
726,727.,Wally Schang (19),4010,B
727,728.,Bill Doran (12),4009,B
728,728.,Max Flack (12),4009,L
729,730.,Ramon Hernandez (15),4008,R
730,731.,Jason Varitek (15),4004,B
731,732.,Babe Herman (13),4000,L
732,733.,Cupid Childs (13),3991,L
733,734.,Mark Ellis (12),3990,R
734,735.,Dave Henderson (14),3987,R
735,735.,Joe Pepitone (12),3987,L
736,737.,Bones Ely (14),3983,R
737,737.,Kevin Seitzer (12),3983,R
738,739.,Spike Owen (13),3978,B
739,740.,Bob Allison (13),3976,R
740,740.,Jeffrey Leonard (14),3976,R
741,742.,Elmer Flick+ (13),3966,L
742,743.,Johnny Ray (10),3965,B
743,744.,Hardy Richardson (14),3963,R
744,745.,Glenn Beckert (11),3959,R
745,746.,Lonnie Smith (17),3958,R
746,747.,Wid Conroy (11),3955,R
747,747.,Tony Gonzalez (12),3955,L
748,747.,Jo-Jo Moore (12),3955,L
749,750.,Jay Buhner (15),3953,R
750,751.,Stan Javier (17),3947,B
751,751.,Carlos Pena (14),3947,L
752,753.,Heinie Zimmerman (13),3946,R
753,754.,Ski Melillo (12),3945,R
754,755.,Lyle Overbay (14),3941,L
755,756.,"Daniel Murphy (12, 35)",3940,L
756,757.,Billy Rogell (14),3939,B
757,758.,Joe Vosmik (13),3933,R
758,759.,Chase Headley (12),3931,B
759,759.,Brian Jordan (15),3931,R
