,Rank,"Player (yrs, age)",Stolen Bases Allowed as C,Throws
138,139.,Tommy Clarke (10),559,R
139,140.,Ted Easterly (7),556,R
140,140.,Scott Servais (11),556,R
141,142.,Miguel Montero (13),555,R
142,143.,Mike Matheny (13),552,R
143,144.,Red Kleinow (8),551,R
144,145.,Mike Macfarlane (13),546,R
145,146.,Doggie Miller (13),540,R
146,147.,Con Daily (12),538,R
147,147.,Gabby Street (8),538,R
148,149.,Jarrod Saltalamacchia (12),536,R
149,150.,Mike González (17),534,R
150,150.,Mike Stanley (15),534,R
151,152.,Bill Dickey+ (17),533,R
152,152.,Thurman Munson (11),533,R
153,154.,Charles Johnson (12),530,R
154,155.,Hank Gowdy (17),525,R
155,156.,Jack Boyle (13),524,R
156,157.,Brian Harper (16),521,R
157,158.,Brian Downing (20),519,R
158,158.,Charlie Ganzel (14),519,R
159,158.,"Yadier Molina (17, 37)",519,R
160,161.,Gene Tenace (15),515,R
161,162.,Bob Brenly (9),514,R
162,163.,Rollie Hemsley (19),505,R
163,163.,Greg Myers (18),505,R
164,165.,Manny Sanguillen (13),504,R
165,166.,Fred Kendall (12),502,R
166,167.,John Stearns (11),500,R
167,167.,Jimmie Wilson (18),500,R
168,169.,Jocko Milligan (10),499,R
169,170.,Nig Clarke (9),497,R
170,171.,Ed Herrmann (11),496,R
171,171.,Tom Pagnozzi (12),496,R
172,173.,John Buck (11),495,R
173,174.,Alex Trevino (13),494,R
174,175.,Matt Nokes (11),492,R
175,176.,Rod Barajas (14),491,R
176,177.,"Buster Posey (11, 33)",490,R
177,178.,Charlie Moore (15),487,R
178,179.,Tom Haller (12),486,R
179,180.,"Alex Avila (12, 33)",485,R
180,181.,Fred Jacklitsch (13),479,R
181,182.,Jim Stephens (6),477,R
182,183.,Dioner Navarro (13),476,R
183,184.,Dave Valle (13),474,R
184,185.,Dave Duncan (11),472,R
185,186.,"Jeff Mathis (16, 37)",471,R
186,187.,Walter Blair (7),467,R
187,188.,Buck Martinez (17),464,R
188,189.,Miguel Olivo (13),459,R
189,190.,Spud Davis (16),458,R
190,190.,Geovany Soto (13),458,R
191,190.,B.J. Surhoff (19),458,R
192,193.,Sam Agnew (7),457,R
193,194.,Junior Ortiz (13),455,R
194,195.,Yorvit Torrealba (13),454,R
195,196.,Chad Kreuter (16),453,R
196,196.,Damian Miller (11),453,R
197,196.,Charlie O'Brien (15),453,R
198,199.,Joe Ferguson (14),452,R
199,199.,Walter Schmidt (10),452,R
200,201.,Fritz Buelow (9),449,R
201,201.,Gabby Hartnett+ (20),449,R
202,201.,Tubby Spencer (9),449,R
203,204.,Boss Schmidt (6),447,R
204,205.,Dave Rader (10),443,R
205,206.,"Matt Wieters (12, 34)",441,R
206,207.,John Bateman (10),440,R
207,208.,Ray Fosse (12),437,R
208,208.,Peaches Graham (7),437,R
209,210.,"Tyler Flowers (12, 34)",436,R
210,211.,Craig Biggio+ (20),434,R
211,212.,Yogi Berra+ (19),426,R
212,212.,Chris Widger (10),426,R
213,214.,Al Lopez+ (19),425,R
214,215.,Ernie Lombardi+ (17),423,R
215,216.,Kelly Stinnett (14),421,R
216,217.,Matt Walbeck (11),420,R
217,218.,Tim Laudner (9),415,R
218,219.,Butch Henline (11),414,R
219,220.,Hank DeBerry (11),412,R
220,220.,Mike Kahoe (11),412,R
221,222.,Paul Bako (12),409,R
222,223.,Klondike Douglass (9),408,R
223,223.,Lew McCarty (9),408,R
224,225.,Johnny Bassler (9),407,R
225,225.,Bob Stinson (12),407,R
226,225.,Zack Taylor (16),407,R
227,225.,Ira Thomas (10),407,R
228,229.,Brook Fordyce (10),406,R
229,229.,John Roseboro (14),406,R
230,231.,"Jason Castro (10, 33)",405,R
231,231.,Brian Schneider (13),405,R
232,233.,George Mitterwald (11),404,R
233,234.,Jim Essian (12),402,R
234,234.,Andy Seminick (15),402,R
235,236.,Ron Karkovice (12),401,R
236,237.,Damon Berryhill (10),399,R
237,237.,Randy Hundley (14),399,R
238,239.,Bubbles Hargrave (12),398,R
239,240.,"Yasmani Grandal (9, 31)",395,R
240,240.,Mike Simon (7),395,R
241,242.,Marty Bergen (4),392,R
242,243.,Jack Bliss (5),391,R
243,244.,Jose Molina (15),390,R
244,245.,Andy Etchebarren (15),388,R
245,245.,"Wilson Ramos (11, 32)",388,R
246,245.,Parke Wilson (7),388,R
247,248.,Gerald Laird (13),387,R
248,248.,Biff Pocoroba (10),387,R
249,250.,Rick Wilkins (11),386,R
250,251.,Francisco Cervelli (13),383,R
251,252.,Mike Redmond (13),382,R
252,253.,Joe Nolan (11),381,R
253,254.,Grover Hartley (14),380,R
254,255.,Glenn Myatt (16),377,R
255,256.,Scott Hatteberg (14),375,R
256,257.,Marc Hill (14),374,R
257,258.,Bob Melvin (10),373,R
258,259.,Smoky Burgess (18),372,R
259,259.,Del Crandall (16),372,R
260,261.,Sherm Lollar (18),371,R
261,261.,Bob Tillman (9),371,R
262,263.,Einar Diaz (11),370,R
263,263.,William Fischer (5),370,R
264,263.,David Ross (15),370,R
265,266.,Phil Masi (14),364,R
266,266.,Joe Mauer (15),364,R
267,268.,Bill Wilson (3),361,R
268,269.,Henry Blanco (16),360,R
269,270.,Grover Land (7),359,R
270,271.,Josh Bard (10),358,R
271,271.,Charlie Bennett (15),358,R
272,273.,Gus Mancuso (17),357,R
273,274.,Lenny Webster (12),356,R
274,275.,Duffy Dyer (14),354,R
275,275.,Jack O'Neill (5),354,R
276,277.,Geno Petralli (12),353,R
277,278.,Ryan Doumit (10),351,R
278,278.,Chris Snyder (10),351,R
279,280.,"Salvador Perez (9, 30)",349,R
280,280.,Bob Wood (7),349,R
281,282.,Earl Smith (12),346,R
282,283.,Roxy Walters (11),344,R
283,284.,Doug Mirabelli (12),343,R
284,285.,Mickey O'Neil (9),342,R
285,286.,Barry Foote (10),340,R
286,287.,Jerry Harrington (4),339,R
287,288.,Joe Torre+ (18),338,R
288,289.,Bill Haselman (13),337,R
289,290.,Tim Blackwell (10),334,R
290,290.,Ellie Rodriguez (9),334,R
291,292.,Jim Hegan (17),333,R
292,293.,Phil Roof (15),330,R
293,294.,Lew Drill (4),329,R
294,295.,Mike Napoli (12),328,R
295,296.,Ron Hodges (12),326,R
296,297.,Johnny Estrada (8),322,R
297,297.,Jorge Fabregas (9),322,R
298,297.,Derek Norris (6),322,R
299,297.,Jamie Quirk (18),322,R
300,301.,Clay Dalrymple (12),321,R
301,302.,Ronny Paulino (8),320,R
302,302.,Pinch Thomas (10),320,R
303,304.,Birdie Tebbetts (14),318,R
304,305.,Hick Cady (7),315,R
305,305.,Frank Roth (6),315,R
306,307.,Paul Casanova (10),314,R
307,308.,John Wathan (10),313,R
308,309.,"Welington Castillo (10, 33)",312,R
309,309.,Toby Hall (9),312,R
310,311.,Ed Ott (8),309,R
311,311.,Harry Smith (10),309,R
312,313.,King Kelly+ (16),308,R
313,314.,Walker Cooper (18),307,R
314,315.,Jack Doyle (17),305,R
315,316.,Scott Bradley (9),304,R
316,316.,Jim Pagliaroni (11),304,R
317,318.,Jason LaRue (12),297,R
318,318.,Greg Olson (5),297,R
319,318.,Duke Sims (11),297,R
320,321.,John Romano (10),296,R
321,321.,Mike Tresh (12),296,R
322,323.,"Yan Gomes (9, 32)",294,R
323,323.,Johnny Gooch (11),294,R
324,325.,Ed Bailey (14),293,R
325,325.,Vic Correll (8),293,R
326,325.,Bob Swift (14),293,R
327,328.,Andy Allanson (8),292,R
328,329.,Lave Cross (21),290,R
329,329.,Tex Erwin (6),290,R
330,331.,"Travis d'Arnaud (8, 31)",288,R
331,331.,Earl Williams (8),288,R
332,333.,Ed Burns (7),287,R
333,333.,A.J. Ellis (11),287,R
334,335.,"Mike Zunino (8, 29)",286,R
335,336.,Elston Howard (14),285,R
336,337.,Glenn Borgmann (9),283,R
337,337.,Tony Eusebio (9),283,R
338,337.,Del Rice (17),283,R
339,337.,Buck Rodgers (9),283,R
340,341.,Larry Woodall (10),282,R
341,342.,Brayan Pena (12),281,R
342,343.,Mike Difelice (13),280,R
343,344.,Clint Courtney (11),278,R
344,344.,Steve Swisher (9),278,R
345,346.,Earl Battey (13),276,R
346,347.,Fred Payne (6),274,R
347,348.,Verne Clemons (7),273,R
348,348.,Dick Dietz (8),273,R
349,350.,"Robinson Chirinos (9, 36)",272,R
350,351.,Doc Marshall (5),270,R
351,352.,Tom Lampkin (13),269,R
352,353.,Terry Humphrey (9),265,R
353,353.,Wickey McAvoy (6),265,R
354,353.,Eddie Perez (11),265,R
355,356.,Mark Bailey (7),263,R
356,356.,Hal Wagner (12),263,R
357,358.,Russ Nixon (12),262,R
358,358.,Luis Pujols (9),262,R
359,360.,Shanty Hogan (13),261,R
360,360.,Mickey Owen (13),261,R
361,362.,Frankie Pytlak (12),260,R
362,362.,Sammy White (11),260,R
363,364.,"Tucker Barnhart (7, 29)",259,R
364,364.,Elrod Hendricks (12),259,R
365,366.,Gary Bennett (13),257,R
366,366.,Chris Cannizzaro (13),257,R
367,368.,Todd Pratt (14),256,R
368,369.,Brian Johnson (8),255,R
369,369.,Mark Parent (13),255,R
370,371.,Al Todd (11),254,R
371,372.,Charlie Berry (11),253,R
372,373.,Gene Desautels (13),252,R
373,373.,Joel Skinner (9),252,R
374,375.,Tom Daly (17),251,R
375,375.,Johnny Oates (11),251,R
376,377.,Bert Adams (8),250,R
377,378.,Clyde McCullough (15),249,R
378,378.,"J.T. Realmuto (7, 29)",249,R
379,380.,John Baker (7),248,R
380,381.,Hank Conger (7),247,R
381,381.,Ray Hayworth (15),247,R
382,381.,Sy Sutcliffe (7),247,L
383,381.,Matt Treanor (9),247,R
384,381.,Gus Triandos (13),247,R
385,386.,Chad Moeller (11),246,R
386,386.,Jeff Newman (9),246,R
387,388.,Joe Azcue (11),244,R
388,389.,Chris Bando (9),242,R
389,389.,Dann Bilardello (8),242,R
390,389.,Carlos Hernandez (10),242,R
391,389.,Dave Nilsson (8),242,R
392,393.,Aleck Smith (9),241,R
393,394.,Ryan Hanigan (11),240,R
394,395.,Claude Berry (5),239,R
395,395.,Buck Ewing+ (18),239,R
396,395.,John Munyan (3),239,
397,398.,Ernie Krueger (8),237,R
398,399.,Bill Schroeder (8),236,R
399,400.,Rip Williams (7),235,R
