,Rank,"Player (yrs, age)",Adj. Batting Wins,Bats
67,68.,Todd Helton (17),42.4,L
68,69.,Rod Carew+ (19),42.0,L
69,70.,Larry Walker+ (17),41.9,L
70,71.,Carlos Delgado (17),41.0,L
71,72.,Pete Rose (24),40.5,B
72,73.,Pete Browning (13),40.2,R
73,74.,Fred Clarke+ (21),39.9,L
74,74.,Mike Piazza+ (16),39.9,R
75,76.,Will Clark (15),39.7,L
76,76.,Duke Snider+ (18),39.7,L
77,78.,Jack Clark (18),39.1,R
78,79.,Bobby Abreu (18),39.0,L
79,80.,Sherry Magee (16),38.6,R
80,81.,Bob Johnson (13),38.2,R
81,82.,Brian Giles (15),37.9,L
82,83.,Norm Cash (17),37.8,L
83,84.,Elmer Flick+ (13),37.7,L
84,85.,Ralph Kiner+ (10),37.4,R
85,86.,Roberto Clemente+ (18),37.0,R
86,87.,Frank Howard (16),36.9,R
87,88.,Jim O'Rourke+ (23),36.8,R
88,89.,Rusty Staub (23),36.7,L
89,90.,Reggie Smith (17),36.6,B
90,91.,John Olerud (17),36.5,L
91,92.,Ken Singleton (15),36.4,B
92,93.,Dwight Evans (20),36.2,R
93,93.,Harry Stovey (14),36.2,R
94,95.,Arky Vaughan+ (14),36.1,L
95,96.,Al Simmons+ (20),35.5,R
96,97.,Zack Wheat+ (19),35.2,L
97,98.,Orlando Cepeda+ (17),35.0,R
98,98.,Sam Thompson+ (15),35.0,L
99,100.,Albert Belle (12),34.2,R
100,101.,Paul Molitor+ (21),33.9,R
101,102.,Keith Hernandez (17),33.2,L
102,102.,Tim Raines+ (23),33.2,B
103,104.,Joe Kelley+ (17),33.1,R
104,104.,Boog Powell (17),33.1,L
105,106.,Goose Goslin+ (18),33.0,L
106,107.,Matt Holliday (15),32.9,R
107,108.,Joe Medwick+ (17),32.8,R
108,109.,Charlie Gehringer+ (19),32.7,L
109,110.,Chuck Klein+ (17),32.0,L
110,111.,Joe Torre+ (18),31.6,R
111,112.,Jim Edmonds (17),31.5,L
112,112.,Bill Terry+ (14),31.5,L
113,114.,King Kelly+ (16),31.2,R
114,115.,Ron Santo+ (15),30.9,R
115,116.,Mike Tiernan (13),30.8,L
116,116.,Jim Wynn (15),30.8,R
117,118.,Jose Canseco (17),30.7,R
118,118.,Jack Fournier (15),30.7,L
119,120.,Babe Herman (13),30.6,L
120,120.,Sammy Sosa (18),30.6,R
121,122.,"Ryan Braun (14, 36)",30.5,R
122,123.,Adrian Gonzalez (15),30.4,L
123,124.,"Paul Goldschmidt (10, 32)",30.3,R
124,125.,Prince Fielder (12),30.2,L
125,126.,"Andrew McCutchen (12, 33)",30.0,R
126,127.,"Robinson Cano (16, 37)",29.9,L
127,127.,Minnie Minoso (17),29.9,R
128,129.,Jake Beckley+ (20),29.7,L
129,129.,Willie Keeler+ (19),29.7,L
130,131.,Rocky Colavito (14),29.6,R
131,132.,"Freddie Freeman (11, 30)",29.5,L
132,132.,Charlie Keller (13),29.5,L
133,132.,Hack Wilson+ (12),29.5,R
134,135.,Gavvy Cravath (11),29.4,R
135,135.,Jim Rice+ (16),29.4,R
136,137.,David Wright (14),29.3,R
137,138.,George Gore (14),29.1,L
138,139.,Earl Averill+ (13),28.7,L
139,139.,Paul Hines (20),28.7,R
140,139.,Fred Lynn (17),28.7,L
141,142.,Dolph Camilli (12),28.6,L
142,143.,Darryl Strawberry (17),28.5,L
143,143.,Bernie Williams (16),28.5,B
144,145.,Tony Perez+ (23),28.4,R
145,146.,Pedro Guerrero (15),28.3,R
146,146.,Greg Luzinski (15),28.3,R
147,148.,"Nelson Cruz (16, 39)",28.2,R
148,148.,Enos Slaughter+ (19),28.2,L
149,150.,Bobby Bonds (14),28.1,R
150,150.,Darrell Evans (21),28.1,L
151,152.,Larry Doby+ (13),28.0,L
152,152.,Jimmy Ryan (18),28.0,R
153,154.,Moises Alou (17),27.9,R
154,154.,Brian Downing (20),27.9,R
155,156.,Harold Baines+ (22),27.8,L
156,157.,Home Run Baker+ (13),27.5,L
157,157.,Jeff Kent (17),27.5,R
158,159.,Bobby Grich (17),27.4,R
159,160.,Johnny Bench+ (17),27.1,R
160,160.,Gene Tenace (15),27.1,R
161,162.,Henry Larkin (10),27.0,R
162,162.,John McGraw+ (17),27.0,L
163,164.,Joe Mauer (15),26.7,L
164,165.,Jimmy Sheckard (17),26.6,L
165,165.,Roy Thomas (13),26.6,L
166,167.,George Sisler+ (15),26.5,L
167,167.,"Giancarlo Stanton (11, 30)",26.5,R
168,169.,Carlos Beltran (20),26.3,B
169,170.,Edd Roush+ (18),26.2,L
170,171.,Juan Gonzalez (17),26.1,R
171,172.,Chili Davis (19),26.0,B
172,172.,Denny Lyons (13),26.0,R
173,174.,Don Mattingly (14),25.9,L
174,175.,Mark Teixeira (14),25.8,B
175,176.,Ernie Banks+ (19),25.7,R
176,176.,Rico Carty (15),25.7,R
177,178.,Ellis Burks (18),25.6,R
178,178.,Bob Elliott (15),25.6,R
179,178.,Luis Gonzalez (19),25.6,L
180,178.,Jeff Heath (14),25.6,L
181,178.,Tony Oliva (15),25.6,L
182,178.,Tim Salmon (14),25.6,R
183,184.,Wally Berger (11),25.5,R
184,184.,George Davis+ (20),25.5,B
185,184.,Mark Grace (16),25.5,L
186,187.,Bill Nicholson (16),25.4,L
187,188.,Stan Hack (16),25.3,L
188,188.,Tip O'Neill (10),25.3,R
189,188.,Bob Watson (19),25.3,R
190,191.,Bobby Bonilla (16),25.2,B
191,192.,Kiki Cuyler+ (18),25.1,R
192,192.,Kent Hrbek (14),25.1,L
193,194.,Jackie Robinson+ (10),25.0,R
194,195.,George Van Haltren (17),24.9,L
195,196.,Mo Vaughn (12),24.8,L
196,197.,Frank Chance+ (17),24.7,R
197,197.,Adam Dunn (14),24.7,L
198,197.,Al Oliver (18),24.7,L
199,197.,Dave Parker (19),24.7,L
200,197.,Ken Williams (14),24.7,L
201,202.,Bobby Veach (14),24.4,L
202,203.,Jim Bottomley+ (16),24.2,L
203,203.,Mickey Cochrane+ (13),24.2,L
204,203.,Derek Jeter+ (20),24.2,R
205,203.,Magglio Ordonez (15),24.2,R
206,203.,Scott Rolen (17),24.2,R
207,208.,David Justice (14),24.1,L
208,209.,Danny Tartabull (14),24.0,R
209,210.,"Bryce Harper (9, 27)",23.8,L
210,210.,Dave Orr (8),23.8,R
211,212.,Bobby Murcer (17),23.7,L
212,213.,Jose Cruz (19),23.6,L
213,213.,"Edwin Encarnacion (16, 37)",23.6,R
214,213.,Topsy Hartsel (14),23.6,L
215,213.,Ryan Klesko (16),23.6,L
216,217.,Yogi Berra+ (19),23.5,L
217,217.,Bill Joyce (8),23.5,L
218,217.,Cy Williams (19),23.5,L
219,220.,Adrian Beltre (21),23.4,R
220,220.,Ed Konetchy (15),23.4,R
221,220.,Kevin Mitchell (13),23.4,R
222,223.,Charley Jones (12),23.3,R
223,224.,Gabby Hartnett+ (20),23.2,R
224,225.,Cesar Cedeno (17),23.1,R
225,225.,Ron Cey (17),23.1,R
226,225.,George Foster (18),23.1,R
227,228.,Bill Dickey+ (17),23.0,L
228,229.,Larry Doyle (14),22.9,L
229,230.,Hal McRae (19),22.8,R
230,230.,Deacon White+ (20),22.8,L
231,232.,Joe Cronin+ (20),22.7,R
232,233.,Rick Monday (19),22.6,L
233,233.,Roy White (15),22.6,B
234,235.,Derrek Lee (15),22.5,R
235,235.,Dale Murphy (18),22.5,R
236,235.,Lou Whitaker (19),22.5,L
237,238.,Mike Donlin (12),22.4,L
238,238.,Augie Galan (16),22.4,B
239,238.,Benny Kauff (8),22.4,L
240,241.,Jose Bautista (15),22.3,R
241,241.,Andre Dawson+ (21),22.3,R
242,243.,Kirby Puckett+ (12),22.2,R
243,243.,Hardy Richardson (14),22.2,R
244,245.,Roy Cullenbine (10),22.1,B
245,246.,John Titus (11),22.0,L
246,247.,Mike Griffin (12),21.9,L
247,248.,Luke Appling+ (20),21.8,R
248,248.,Mike Hargrove (12),21.8,L
249,248.,Ted Simmons+ (21),21.8,B
250,251.,Roberto Alomar+ (17),21.7,B
251,252.,Don Baylor (19),21.6,R
252,252.,Bill Madlock (15),21.6,R
253,252.,Paul O'Neill (17),21.6,L
254,252.,Ross Youngs+ (10),21.6,L
255,256.,"Shin-Soo Choo (16, 37)",21.5,L
256,257.,Oyster Burns (11),21.3,R
257,257.,Earle Combs+ (12),21.3,L
258,257.,Sid Gordon (13),21.3,R
259,257.,Hanley Ramirez (15),21.3,R
260,257.,Dixie Walker (18),21.3,L
261,262.,Craig Biggio+ (20),21.2,R
262,262.,Roy Sievers (17),21.2,R
263,262.,Robin Yount+ (20),21.2,R
264,265.,Gene Woodling (17),21.1,L
265,266.,Sal Bando (16),21.0,R
266,266.,Cupid Childs (13),21.0,L
267,266.,Hugh Duffy+ (17),21.0,R
268,266.,John Kruk (10),21.0,L
269,270.,Roger Bresnahan+ (17),20.8,R
270,270.,Ron Fairly (21),20.8,L
271,270.,Tommy Henrich (11),20.8,L
272,273.,Chet Lemon (16),20.7,R
273,274.,Paul Konerko (18),20.6,R
274,274.,Heinie Manush+ (17),20.6,L
275,276.,Joe Adcock (17),20.5,R
276,276.,"Josh Donaldson (10, 34)",20.5,R
277,278.,"Anthony Rizzo (10, 30)",20.4,L
278,278.,Riggs Stephenson (14),20.4,R
279,280.,Travis Hafner (12),20.3,L
280,281.,Chick Hafey+ (13),20.2,R
281,281.,Jorge Posada (17),20.2,B
282,283.,Al Rosen (10),20.0,R
283,284.,Bob Allison (13),19.9,R
284,284.,Lou Boudreau+ (15),19.9,R
285,284.,Harry Hooper+ (17),19.9,L
286,287.,Ernie Lombardi+ (17),19.8,R
287,288.,J.D. Drew (14),19.7,L
288,288.,Carlton Fisk+ (24),19.7,R
289,288.,"J.D. Martinez (10, 32)",19.7,R
290,288.,Kip Selbach (13),19.7,R
291,292.,Victor Martinez (16),19.6,B
292,292.,Lefty O'Doul (11),19.6,L
293,294.,Shawn Green (15),19.5,L
294,294.,Gil Hodges (18),19.5,R
295,294.,Cal Ripken Jr.+ (21),19.5,R
296,294.,Hal Trosky (11),19.5,L
297,298.,Heinie Groh (16),19.4,R
298,298.,Ray Lankford (14),19.4,L
299,298.,"Christian Yelich (8, 28)",19.4,L
300,301.,"Buster Posey (11, 33)",19.3,R
301,302.,Buck Ewing+ (18),19.2,R
302,302.,Andres Galarraga (19),19.2,R
303,302.,Barry Larkin+ (19),19.2,R
304,302.,Mickey Vernon (20),19.2,L
305,306.,Phil Cavarretta (22),19.0,L
306,306.,Cecil Cooper (17),19.0,L
307,306.,Tony Lazzeri+ (14),19.0,R
308,306.,Gary Matthews (16),19.0,R
309,306.,John Mayberry (15),19.0,L
310,311.,Eric Davis (17),18.9,R
311,311.,Eddie Yost (18),18.9,R
312,313.,Ross Barnes (9),18.8,R
313,313.,Wally Joyner (16),18.8,L
314,315.,"Evan Longoria (13, 34)",18.6,R
315,315.,George Stone (7),18.6,L
316,315.,Andre Thornton (14),18.6,R
317,318.,"José Abreu (7, 33)",18.5,R
318,318.,George Burns (15),18.5,R
319,318.,Alvin Davis (9),18.5,L
320,318.,Kirk Gibson (17),18.5,L
321,318.,Roger Maris (12),18.5,L
322,323.,Richie Ashburn+ (15),18.4,L
323,324.,Ryan Howard (13),18.3,L
324,324.,Vic Wertz (17),18.3,L
325,324.,Richie Zisk (13),18.3,R
326,327.,Toby Harrah (17),18.2,R
327,328.,Willie Horton (18),18.1,R
328,328.,Mike Smith (14),18.1,L
329,330.,Ken Griffey (19),18.0,L
330,331.,Joe Judge (20),17.9,L
331,331.,"Carlos Santana (11, 34)",17.9,B
332,331.,Rudy York (13),17.9,R
333,334.,Jake Daubert (15),17.8,L
334,334.,Fred Dunlap (12),17.8,R
335,336.,Jeff Burroughs (16),17.6,R
336,337.,Ferris Fain (9),17.5,L
337,337.,Ted Kluszewski (15),17.5,L
338,337.,Wally Schang (19),17.5,B
339,340.,Nomar Garciaparra (14),17.4,R
340,341.,"Matt Kemp (15, 35)",17.3,R
341,342.,"Jose Altuve (10, 30)",17.2,R
342,342.,Ginger Beaumont (12),17.2,L
343,342.,"Matt Carpenter (10, 34)",17.2,L
344,342.,Chase Utley (16),17.2,L
345,346.,"Mookie Betts (7, 27)",17.1,R
346,346.,George Grantham (13),17.1,L
347,346.,Ed Swartwood (9),17.1,L
348,346.,"Justin Upton (14, 32)",17.1,R
349,350.,Jay Buhner (15),17.0,R
350,350.,Steve Garvey (19),17.0,R
351,352.,Oscar Gamble (17),16.9,L
352,352.,Richie Hebner (18),16.9,L
353,352.,Danny Murphy (16),16.9,R
354,355.,Harry Davis (22),16.8,R
355,356.,Ken Boyer (15),16.7,R
356,356.,Mickey Tettleton (14),16.7,B
357,356.,Jason Thompson (11),16.7,L
358,359.,Gary Carter+ (19),16.5,R
359,360.,Don Mincher (13),16.4,L
360,361.,Elbie Fletcher (12),16.3,L
361,361.,Robin Ventura (16),16.3,L
362,363.,Buck Freeman (11),16.1,L
363,363.,Jackie Jensen (11),16.1,R
364,365.,Dusty Baker (19),16.0,R
365,365.,Earl Torgeson (15),16.0,L
366,367.,Justin Morneau (14),15.9,L
367,367.,Aramis Ramirez (18),15.9,R
368,369.,Harlond Clift (12),15.8,R
369,370.,Andre Ethier (12),15.7,L
370,370.,Bob Nieman (12),15.7,R
371,370.,Sam Rice+ (20),15.7,L
372,370.,Chick Stahl (10),15.7,L
373,374.,Jim Gentile (9),15.6,L
374,374.,Ryne Sandberg+ (16),15.6,R
375,376.,Del Ennis (14),15.3,R
376,376.,Tommy Holmes (11),15.3,L
377,376.,Lonnie Smith (17),15.3,R
378,376.,Vern Stephens (15),15.3,R
379,376.,Andy Van Slyke (13),15.3,L
380,381.,Troy Glaus (13),15.2,R
381,381.,Joe Gordon+ (11),15.2,R
382,381.,Fielder Jones (15),15.2,L
383,381.,Amos Otis (17),15.2,R
384,381.,Socks Seybold (9),15.2,R
385,386.,Brett Butler (17),15.1,L
386,386.,Cal McVey (9),15.1,R
387,386.,"Anthony Rendon (8, 30)",15.1,R
388,386.,Elmer Valo (20),15.1,L
389,390.,Josh Hamilton (9),15.0,L
390,390.,Billy Herman+ (15),15.0,R
391,390.,Charlie Hickman (12),15.0,R
392,390.,Dummy Hoy (14),15.0,L
393,390.,John Reilly (10),15.0,R
394,395.,Steve Evans (8),14.9,L
395,395.,"Justin Turner (12, 35)",14.9,R
396,397.,Fred Carroll (8),14.8,R
397,397.,Joe Harris (10),14.8,R
398,397.,Cliff Johnson (15),14.8,R
399,397.,Tony Phillips (18),14.8,B
400,401.,Cliff Floyd (17),14.7,L
401,401.,George Hendrick (18),14.7,R
402,403.,Ben Chapman (15),14.6,R
403,403.,Lenny Dykstra (12),14.6,L
404,403.,Julio Franco (23),14.6,R
405,403.,Hank Sauer (15),14.6,R
406,407.,Sixto Lezcano (12),14.5,R
407,408.,Jake Stenzel (9),14.4,R
408,408.,"Ryan Zimmerman (15, 35)",14.4,R
409,410.,Pat Burrell (12),14.3,R
410,410.,Ken Caminiti (15),14.3,B
411,410.,Jayson Werth (15),14.3,R
412,413.,"Kris Bryant (6, 28)",14.2,R
413,413.,Jim Ray Hart (12),14.2,R
414,413.,Ben Oglivie (16),14.2,L
415,416.,Jason Bay (11),14.1,R
416,416.,Bobby Doerr+ (14),14.1,R
417,416.,Bill White (13),14.1,L
418,416.,Kevin Youkilis (10),14.1,R
419,420.,Jim Delahanty (13),14.0,R
420,420.,Stan Spence (9),14.0,L
421,420.,Fred Tenney (17),14.0,L
422,423.,Andy Pafko (17),13.9,R
423,424.,Johnny Bates (9),13.8,L
424,424.,Mike Sweeney (16),13.8,R
425,426.,Johnny Grubb (16),13.7,L
426,426.,"George Springer (7, 30)",13.7,R
427,428.,Carlos Lee (14),13.5,R
428,428.,Lee May (18),13.5,R
429,428.,Wally Moon (12),13.5,L
430,428.,Ben Zobrist (14),13.5,B
431,432.,Roy Campanella+ (10),13.4,R
432,432.,Mike Greenwell (12),13.4,L
433,432.,Dan McGann (12),13.4,B
434,435.,John Briggs (12),13.3,L
435,435.,Doc Gessler (8),13.3,L
436,435.,Miller Huggins+ (13),13.3,B
437,438.,"Brandon Belt (10, 32)",13.2,L
438,438.,Kal Daniels (7),13.2,L
439,438.,Hughie Jennings+ (18),13.2,R
440,438.,Norm Siebern (12),13.2,L
441,442.,Bob Caruthers (10),13.1,L
442,442.,Bill Dahlen (21),13.1,R
443,442.,Nick Etten (9),13.1,L
444,442.,Curtis Granderson (16),13.1,L
445,442.,Bob Horner (10),13.1,R
446,447.,Lu Blue (13),13.0,B
447,447.,Frank McCormick (13),13.0,R
448,447.,Lip Pike (10),13.0,L
449,447.,Richie Sexson (12),13.0,R
450,451.,Johnny Callison (16),12.9,L
451,451.,Mike Epstein (9),12.9,L
452,451.,Larry Hisle (14),12.9,R
453,451.,Howard Johnson (14),12.9,B
454,451.,Carlos Pena (14),12.9,L
455,451.,Matt Stairs (19),12.9,L
456,457.,"Alex Bregman (5, 26)",12.8,R
457,457.,Joe Cunningham (12),12.8,L
458,459.,Ripper Collins (9),12.7,B
459,459.,"Manny Machado (9, 27)",12.7,R
460,459.,Cy Seymour (16),12.7,L
461,459.,Bill Skowron (14),12.7,R
462,463.,Max Carey+ (20),12.6,B
463,463.,Cecil Fielder (13),12.6,R
464,463.,Jim Fregosi (18),12.6,R
465,463.,Frankie Frisch+ (19),12.6,B
466,463.,Eddie Stanky (11),12.6,R
467,468.,"Nick Markakis (15, 36)",12.5,L
468,468.,George Scott (14),12.5,R
469,468.,Josh Willingham (11),12.5,R
470,471.,"Dustin Pedroia (14, 36)",12.4,R
471,471.,Alan Trammell+ (20),12.4,R
472,471.,Troy Tulowitzki (13),12.4,R
473,474.,Graig Nettles (22),12.3,L
474,475.,Darrell Porter (17),12.2,L
475,475.,Heinie Zimmerman (13),12.2,R
476,477.,Billy Butler (10),12.1,R
477,477.,Bernie Carbo (12),12.1,L
478,477.,Leon Durham (10),12.1,L
479,477.,Bug Holliday (10),12.1,R
480,477.,Steve Kemp (11),12.1,L
481,477.,Ed McKean (13),12.1,R
482,477.,Reggie Sanders (17),12.1,R
483,477.,Joe Start (16),12.1,L
484,477.,Casey Stengel+ (14),12.1,L
485,477.,Ezra Sutton (18),12.1,R
486,487.,Felipe Alou (17),12.0,R
487,487.,Don Buford (10),12.0,B
488,487.,Abner Dalrymple (12),12.0,L
489,487.,Dan Driessen (15),12.0,L
490,487.,Dwayne Murphy (12),12.0,L
491,487.,Joe Sewell+ (14),12.0,L
492,493.,Bruce Bochte (12),11.9,L
493,493.,Bob Meusel (11),11.9,R
494,493.,Leon Wagner (12),11.9,L
495,496.,"Nolan Arenado (8, 29)",11.8,R
496,496.,Thurman Munson (11),11.8,R
497,498.,"Michael Brantley (12, 33)",11.7,L
498,498.,Carney Lansford (15),11.7,R
499,498.,Hideki Matsui (10),11.7,L
500,498.,Red Smith (9),11.7,R
501,502.,Dave Magadan (16),11.6,L
502,503.,Lou Brock+ (19),11.5,L
503,503.,Doug DeCinces (15),11.5,R
504,503.,Mike Grady (11),11.5,R
505,503.,Rusty Greer (9),11.5,L
506,503.,Vada Pinson (18),11.5,L
507,508.,Glenn Davis (10),11.4,R
508,508.,Jack Glasscock (17),11.4,R
509,508.,Aubrey Huff (13),11.4,L
510,508.,Nick Johnson (10),11.4,L
511,508.,George Kell+ (15),11.4,R
512,508.,Mike Stanley (15),11.4,R
513,514.,Charlie Bennett (15),11.3,R
514,514.,Eric Chavez (17),11.3,L
515,514.,Von Hayes (12),11.3,L
516,514.,George Selkirk (9),11.3,L
517,518.,Danny Green (8),11.2,L
518,518.,Torii Hunter (19),11.2,R
519,518.,Tino Martinez (16),11.2,L
520,518.,Buddy Myer (17),11.2,L
521,518.,Hunter Pence (14),11.2,R
522,518.,Frank Schulte (15),11.2,L
523,518.,Nick Swisher (12),11.2,B
524,525.,"Aaron Judge (5, 28)",11.1,R
525,526.,Bob Bailey (17),11.0,R
526,526.,Buddy Bell (18),11.0,R
527,526.,Smoky Burgess (18),11.0,L
528,526.,Mike Napoli (12),11.0,R
529,526.,Pete Reiser (10),11.0,L
530,526.,George Wood (13),11.0,L
531,532.,Whitey Kurowski (9),10.9,R
532,532.,Irish Meusel (11),10.9,R
533,534.,Zeke Bonura (7),10.8,R
534,534.,Bill Freehan (15),10.8,R
535,534.,Tony Gonzalez (12),10.8,L
536,534.,Willie Randolph (18),10.8,R
537,534.,Gus Suhr (11),10.8,L
538,539.,Patsy Dougherty (10),10.7,L
539,539.,Al Smith (12),10.7,R
540,541.,Raul Ibanez (19),10.6,L
541,541.,Harry Lumley (7),10.6,L
542,543.,Jimmy Collins+ (14),10.5,R
543,543.,Dave Kingman (16),10.5,R
544,543.,Kevin McReynolds (12),10.5,R
545,546.,Del Pratt (13),10.4,R
546,546.,Chicken Wolf (11),10.4,R
547,548.,Phil Bradley (8),10.3,R
548,548.,Merv Rettenmund (13),10.3,R
549,548.,Dick Wakefield (9),10.3,L
550,551.,"Cody Bellinger (4, 24)",10.2,L
551,551.,George Burns (16),10.2,R
552,551.,Carl Furillo (15),10.2,R
553,551.,Bill Lange (7),10.2,R
554,551.,Randy Milligan (8),10.2,R
555,551.,Orator Shafer (13),10.2,L
556,551.,Ned Williamson (13),10.2,R
557,558.,"Yoenis Céspedes (8, 34)",10.1,R
558,558.,Dom DiMaggio (11),10.1,R
559,558.,Levi Meyerle (8),10.1,R
560,558.,Ron Northey (12),10.1,L
561,558.,Burt Shotton (14),10.1,L
562,558.,Jimmy Williams (11),10.1,R
563,564.,John Anderson (14),10.0,B
564,564.,Jesse Barfield (12),10.0,R
565,564.,Ival Goodman (10),10.0,L
566,564.,Bobby Higginson (11),10.0,L
567,564.,Andruw Jones (17),10.0,R
568,564.,Jim McTamany (7),10.0,R
569,564.,Clyde Milan (16),10.0,L
570,564.,Alfonso Soriano (16),10.0,R
571,572.,Dale Alexander (5),9.9,R
572,572.,Brady Anderson (15),9.9,L
573,572.,Tim Jordan (7),9.9,L
574,572.,Wally Moses (17),9.9,L
575,572.,"Daniel Murphy (12, 35)",9.9,L
576,572.,"Kyle Seager (10, 32)",9.9,L
577,572.,Greg Vaughn (15),9.9,R
578,572.,Tom York (15),9.9,L
579,580.,Jimmy Barrett (10),9.8,L
580,580.,Fred Luderus (12),9.8,L
581,580.,Kevin Seitzer (12),9.8,R
582,580.,John Stone (11),9.8,L
583,584.,Donn Clendenon (12),9.7,R
584,584.,Ron Gant (16),9.7,R
585,584.,Tommy Leach (19),9.7,R
586,587.,"Jose Ramirez (8, 27)",9.6,B
587,587.,Braggo Roth (8),9.6,R
588,587.,Amos Strunk (17),9.6,L
589,590.,Michael Cuddyer (15),9.5,R
590,590.,Bobby Estalella (9),9.5,R
591,590.,Monte Irvin+ (8),9.5,R
592,590.,Kenny Lofton (17),9.5,L
593,590.,Dode Paskert (15),9.5,R
594,590.,John Romano (10),9.5,R
595,596.,Birdie Cree (8),9.4,R
596,596.,Mack Jones (10),9.4,L
597,596.,Bid McPhee+ (18),9.4,R
598,596.,Jim Northrup (12),9.4,L
599,600.,Dick Dietz (8),9.3,R
600,601.,Ray Boone (13),9.2,R
601,601.,Jack Clements (17),9.2,L
602,601.,Raul Mondesi (13),9.2,R
603,601.,Ken Phelps (11),9.2,L
604,601.,Yasiel Puig (7),9.2,R
605,601.,Floyd Robinson (9),9.2,L
606,601.,Vic Saier (8),9.2,L
607,608.,Max Bishop (12),9.1,L
608,608.,"Charlie Blackmon (10, 33)",9.1,L
609,608.,"Michael Conforto (6, 27)",9.1,L
610,608.,Mike Easler (14),9.1,L
611,608.,Dmitri Young (13),9.1,B
612,613.,Hal Chase (15),9.0,R
613,613.,George Harper (11),9.0,L
614,613.,Terry Puhl (15),9.0,L
615,613.,Pete Runnels (14),9.0,L
616,613.,Gorman Thomas (13),9.0,R
617,618.,Ray Blades (10),8.9,R
618,618.,Darren Daulton (14),8.9,L
619,618.,Art Devlin (10),8.9,R
620,618.,Matt Williams (17),8.9,R
621,622.,Jeromy Burnitz (14),8.8,L
622,622.,Jocko Milligan (10),8.8,R
623,622.,Grady Sizemore (10),8.8,L
624,622.,"Juan Soto (3, 21)",8.8,L
625,626.,Hank Bauer (14),8.7,R
626,626.,"Carlos Correa (6, 25)",8.7,R
627,626.,Wes Covington (11),8.7,L
628,626.,Joe Ferguson (14),8.7,R
629,626.,Adam LaRoche (12),8.7,L
630,626.,Buddy Lewis (11),8.7,L
631,626.,Dick McAuliffe (16),8.7,L
632,626.,Wes Parker (9),8.7,B
633,626.,Jake Stahl (9),8.7,R
