,Rank,"Player (yrs, age)",Bases On Balls per 9 IP,Throws
163,164.,Bill Duggleby (8),2.1914,R
164,165.,Ricky Nolasco (12),2.1932,R
165,166.,Doug Bird (11),2.1950,R
166,167.,Bill Sherdel (15),2.1957,L
167,168.,Scott Sanderson (19),2.1958,R
168,169.,Tim Keefe+ (14),2.1976,R
169,170.,Pedro Borbon (12),2.2003,R
170,171.,Kevin Tapani (13),2.2013,R
171,172.,Jesse Petty (7),2.2047,L
172,173.,Urban Shocker (13),2.2050,R
173,174.,Doc Crandall (10),2.2054,R
174,175.,Wilbur Cooper (15),2.2060,L
175,176.,Dick Donovan (15),2.2084,R
176,177.,Joe Benz (9),2.2108,R
177,178.,Jock Menefee (9),2.2109,R
178,179.,Jeff Pfeffer (13),2.2132,R
179,180.,Vern Ruhle (13),2.2192,R
180,181.,Gary Nolan (10),2.2195,R
181,182.,Red Barrett (11),2.2227,R
182,183.,Ray Kremer (10),2.2239,R
183,184.,Bob Friend (16),2.2282,R
184,185.,Clint Brown (15),2.2293,R
185,186.,Mike Caldwell (14),2.2307,L
186,187.,Don Mossi (12),2.2384,L
187,188.,Hal Carlson (14),2.2388,R
188,189.,Ben Cantwell (11),2.2412,R
189,190.,Don Drysdale+ (14),2.2421,R
190,191.,Warren Hacker (12),2.2442,R
191,192.,George Mogridge (15),2.2444,L
192,193.,Jim Turner (9),2.2500,R
193,194.,Jose Lima (13),2.2562,R
194,195.,"Clayton Kershaw (13, 32)",2.2568,L
195,196.,Kid Nichols+ (15),2.2592,R
196,197.,Ray Kolp (12),2.2607,R
197,198.,Luke Hamlin (9),2.2612,R
198,199.,Jim Bagby (9),2.2628,R
199,199.,Schoolboy Rowe (15),2.2628,R
200,201.,Charlie Buffinton (11),2.2632,R
201,202.,Frank Miller (7),2.2634,R
202,203.,Joe Lake (6),2.2671,R
203,204.,Bill Hands (11),2.2696,R
204,205.,Gene Packard (8),2.2718,L
205,206.,Larry Jackson (14),2.2730,R
206,207.,Russ Ford (7),2.2752,R
207,208.,Nick Cullop (6),2.2764,L
208,209.,"Wei-Yin Chen (8, 34)",2.2824,L
209,210.,Patsy Flaherty (9),2.2868,L
210,211.,Frank Mountain (7),2.2876,R
211,212.,Don Sutton+ (23),2.2882,R
212,213.,George McQuillan (10),2.2895,R
213,214.,Dave Foutz (13),2.2981,R
214,215.,Ron Reed (19),2.2997,R
215,216.,Eddie Cicotte (14),2.3072,R
216,217.,Herb Pennock+ (22),2.3082,L
217,218.,Rick Wise (18),2.3138,R
218,219.,Jimmy Key (15),2.3197,L
219,220.,Gaylord Perry+ (22),2.3198,R
220,221.,"Carlos Carrasco (11, 33)",2.3255,R
221,222.,Dave Bush (9),2.3280,R
222,223.,Dick Bosman (11),2.3306,R
223,224.,Nelson Briles (14),2.3313,R
224,225.,Rheal Cormier (16),2.3353,L
225,225.,Rube Marquard+ (18),2.3353,L
226,227.,"David Price (12, 34)",2.3368,L
227,228.,Larry French (14),2.3385,L
228,229.,Henry Porter (6),2.3387,R
229,230.,John Smiley (12),2.3400,L
230,231.,Stan Coveleski+ (14),2.3420,R
231,231.,Randy Jones (10),2.3420,L
232,233.,Hugh Daily (6),2.3470,R
233,234.,Jack Kralick (9),2.3498,L
234,235.,Charlie Smith (10),2.3545,R
235,236.,"Gerrit Cole (8, 29)",2.3565,R
236,236.,"Stephen Strasburg (11, 31)",2.3565,R
237,238.,Freddie Fitzsimmons (19),2.3619,R
238,239.,John Clarkson+ (12),2.3629,R
239,240.,Roy Face (16),2.3695,R
240,240.,Preacher Roe (12),2.3695,L
241,242.,Moose Haas (12),2.3710,R
242,243.,Rick Reuschel (19),2.3715,R
243,244.,Harry Howell (13),2.3730,R
244,245.,Brandon McCarthy (13),2.3756,R
245,246.,Joe Blanton (13),2.3777,R
246,247.,Fred Toney (12),2.3785,R
247,248.,"Brett Anderson (12, 32)",2.3786,L
248,249.,John Burkett (15),2.3789,R
249,250.,John Tudor (12),2.3790,L
250,251.,Terry Mulholland (20),2.3796,L
251,252.,George Stone (9),2.3808,L
252,253.,Ron Guidry (14),2.3817,L
253,254.,Oil Can Boyd (10),2.3833,R
254,255.,Fred Hutchinson (11),2.3852,R
255,256.,Harry Staley (8),2.3863,R
256,257.,Pol Perritt (10),2.3883,R
257,258.,Lon Warneke (15),2.3904,R
258,259.,Jim Bunning+ (17),2.3934,R
259,260.,Bert Blyleven+ (22),2.3940,R
260,261.,Tom Browning (12),2.3941,L
261,262.,Atlee Hammaker (12),2.3946,L
262,263.,Eddie Lopat (12),2.3982,L
263,264.,Jered Weaver (12),2.3987,R
264,265.,Waite Hoyt+ (21),2.3993,R
265,266.,Nig Cuppy (10),2.4008,R
266,267.,Bob Ewing (11),2.4016,R
267,268.,Gerry Staley (15),2.4025,R
268,269.,Tommy John (26),2.4056,L
269,270.,Doc Ayers (9),2.4064,R
270,271.,Paul Quantrill (14),2.4083,R
271,272.,Claude Passeau (13),2.4091,R
272,273.,Virgil Barnes (9),2.4104,R
273,274.,Javier Vazquez (14),2.4180,R
274,275.,Pedro Martinez+ (18),2.4192,R
275,276.,Tully Sparks (12),2.4193,R
276,277.,Harvey Haddix (14),2.4201,L
277,278.,Cory Lidle (9),2.4224,R
278,279.,Milt Pappas (17),2.4237,R
279,280.,Ted Lyons+ (21),2.4247,R
280,281.,Bill Dinneen (12),2.4266,R
281,282.,Wilbur Wood (17),2.4277,L
282,283.,Jon Matlack (13),2.4300,L
283,284.,Casey Patten (8),2.4307,L
284,285.,Mickey Welch+ (13),2.4309,R
285,286.,Tex Hughson (8),2.4337,R
286,287.,Frank Dwyer (12),2.4392,R
287,288.,Rube Waddell+ (13),2.4405,L
288,289.,Bobby Jones (10),2.4416,R
289,290.,Bronson Arroyo (16),2.4425,R
290,291.,Jesse Haines+ (19),2.4431,R
291,292.,Claude Osteen (18),2.4446,L
292,293.,Jack Scott (12),2.4451,R
293,294.,Rick Aguilera (16),2.4463,R
294,295.,"Max Scherzer (13, 35)",2.4473,R
295,296.,"Adam Wainwright (15, 38)",2.4519,R
296,297.,Jimmy Callahan (13),2.4535,R
297,298.,"Ivan Nova (11, 33)",2.4576,R
298,299.,Bill Lee (14),2.4579,L
299,300.,Bob Barr (5),2.4595,R
300,301.,Warren Spahn+ (21),2.4613,L
301,302.,Glenn Abbott (11),2.4635,R
302,303.,"Bartolo Colon (21, 47)",2.4647,R
303,304.,Ray Fisher (10),2.4657,R
304,305.,Ross Grimsley (11),2.4670,L
305,306.,Kyle Lohse (16),2.4671,R
306,307.,Jack Pfiester (8),2.4706,L
307,308.,Turk Farrell (14),2.4709,R
308,309.,Carl Weilman (8),2.4734,L
309,310.,Ken Forsch (16),2.4792,R
310,311.,Bob Stanley (13),2.4833,R
311,312.,Ed Heusser (9),2.4839,R
312,313.,Dick Ellsworth (13),2.4842,L
313,314.,Pascual Perez (11),2.4881,R
314,315.,Catfish Hunter+ (15),2.4892,R
315,316.,Cy Blanton (9),2.4895,R
316,317.,Kevin Brown (19),2.4902,R
317,318.,Joe Horlen (12),2.4905,R
318,319.,Joel Pineiro (12),2.4984,R
319,320.,Doug Drabek (13),2.4994,R
320,321.,Charlie Root (17),2.5024,R
321,322.,Jack Russell (15),2.5060,R
322,323.,Jack Taylor (9),2.5093,R
323,324.,Barney Pelty (10),2.5094,R
324,325.,Rick Langford (11),2.5111,R
325,326.,Fred Heimach (13),2.5142,L
326,327.,George Blaeholder (11),2.5152,R
327,328.,Bob Muncrief (12),2.5176,R
328,329.,Johan Santana (12),2.5192,L
329,330.,Bill Phillips (7),2.5234,R
330,331.,Jeff Weaver (11),2.5267,R
331,332.,George Bell (5),2.5276,R
332,333.,Harry Brecheen (12),2.5287,L
333,334.,Craig Lefferts (12),2.5295,L
334,335.,Chris Bosio (11),2.5316,R
335,336.,Clarence Mitchell (18),2.5332,L
336,337.,Larry Christenson (11),2.5345,R
337,338.,Trevor Hoffman+ (18),2.5364,R
338,339.,Matt Morris (11),2.5365,R
339,340.,Tomo Ohka (10),2.5402,R
340,341.,"Jose Quintana (9, 31)",2.5405,L
341,342.,Mike Smithson (8),2.5414,R
342,343.,Chris Carpenter (15),2.5427,R
343,344.,Bob Wicker (6),2.5437,R
344,345.,Rube Benton (15),2.5456,L
345,346.,Lee Stange (10),2.5461,R
346,347.,Eddie Rommel (13),2.5483,R
347,347.,Dazzy Vance+ (16),2.5483,R
348,349.,Jack Warhop (8),2.5484,R
349,350.,Jamie Moyer (25),2.5515,L
350,351.,Charlie Leibrandt (14),2.5581,L
351,352.,"Cole Hamels (15, 36)",2.5586,L
352,353.,Dennis Leonard (12),2.5597,R
353,354.,Geoff Zahn (13),2.5603,L
354,355.,Eddie Fisher (15),2.5620,R
355,356.,"Justin Verlander (16, 37)",2.5633,R
356,357.,Frank Lary (12),2.5639,R
357,358.,Dolf Luque (20),2.5656,R
358,359.,James Shields (13),2.5665,R
359,360.,Ismael Valdez (12),2.5759,R
360,361.,Eric Milton (11),2.5766,L
361,362.,Joe Genewich (9),2.5812,R
362,363.,John Lackey (15),2.5824,R
363,364.,Bob Shaw (11),2.5866,R
364,365.,Stubby Overmire (10),2.5870,L
365,366.,Dummy Taylor (9),2.5878,R
366,367.,Ed Karger (6),2.5887,L
367,368.,Kyle Kendrick (10),2.5897,R
368,369.,Esteban Loaiza (14),2.5898,R
369,370.,Jeremy Guthrie (13),2.6001,R
370,371.,Rollie Fingers+ (17),2.6027,R
371,372.,Lefty Stewart (10),2.6028,L
372,373.,"Johnny Cueto (13, 34)",2.6067,R
373,374.,Brian Moehler (14),2.6070,R
374,375.,Danny Darwin (21),2.6075,R
375,376.,Doyle Alexander (19),2.6137,R
376,377.,John Thomson (10),2.6143,R
377,378.,Willie Sudhoff (10),2.6150,R
378,379.,Denny McLain (10),2.6151,R
379,380.,Tom Seaver+ (20),2.6155,R
380,381.,Odalis Perez (10),2.6157,L
381,382.,"Mike Minor (9, 32)",2.6164,L
382,383.,Dana Fillingim (8),2.6172,R
383,384.,John Smoltz+ (21),2.6173,R
384,385.,Johnny Sain (11),2.6208,R
385,386.,Lindy McDaniel (21),2.6209,R
386,387.,Dennis Martinez (23),2.6215,R
387,388.,Kaiser Wilhelm (9),2.6265,R
388,389.,Hardie Henderson (6),2.6270,R
389,390.,Bob Rhoads (8),2.6282,R
390,391.,"Dallas Keuchel (9, 32)",2.6301,L
391,391.,Pat Ragan (11),2.6301,R
392,393.,Tom Zachary (19),2.6312,L
393,394.,Ray Washburn (10),2.6331,R
394,395.,Lefty Williams (7),2.6332,L
395,396.,Mike Cuellar (15),2.6346,L
396,397.,Andy Coakley (9),2.6354,R
397,398.,Orlando Pena (14),2.6356,R
398,399.,Ed Cushman (6),2.6361,L
399,400.,Al Jackson (10),2.6365,L
400,401.,Dave Roberts (13),2.6370,L
401,402.,Larry Gura (16),2.6380,L
402,403.,Tom Morgan (12),2.6384,R
403,403.,Jim Tobin (9),2.6384,R
404,405.,Tim Hudson (17),2.6396,R
405,406.,Smoky Joe Wood (14),2.6416,R
406,407.,"Tanner Roark (8, 33)",2.6420,R
407,408.,Joe Shaute (13),2.6431,L
408,409.,Ryan Franklin (12),2.6453,R
409,409.,Claude Hendrix (10),2.6453,R
410,411.,"Mike Fiers (10, 35)",2.6488,R
411,412.,Mark Clark (10),2.6502,R
412,413.,Gene Garber (19),2.6523,R
413,414.,Ned Garvin (7),2.6537,R
414,415.,"Felix Hernandez (15, 34)",2.6542,R
415,416.,Nap Rucker (10),2.6560,L
416,417.,Mark Hendrickson (10),2.6561,L
417,418.,Marty Pattin (13),2.6620,R
418,419.,"Patrick Corbin (8, 30)",2.6629,L
419,420.,Pat Jarvis (8),2.6636,R
420,421.,Elmer Dessens (14),2.6670,R
421,422.,Dave Dravecky (8),2.6678,L
422,423.,Cliff Melton (8),2.6684,L
423,424.,Bruce Sutter+ (12),2.6689,R
424,425.,Hank Wyse (8),2.6692,R
425,426.,Red Faber+ (20),2.6714,R
426,427.,Bob Moose (10),2.6724,R
427,428.,Derek Lowe (17),2.6751,R
428,429.,Frank Smith (11),2.6755,R
429,430.,Jim Colborn (10),2.6763,R
430,431.,Jeff Francis (11),2.6770,L
431,432.,Dick Drago (13),2.6784,R
432,433.,Bob Forsch (16),2.6794,R
433,434.,Craig Swan (12),2.6803,R
434,435.,Jake Peavy (15),2.6807,R
435,436.,Andy Ashby (14),2.6841,R
436,437.,Bob Smith (15),2.6844,R
437,438.,"Jeff Samardzija (13, 35)",2.6858,R
438,439.,Hippo Vaughn (13),2.6934,L
439,440.,Frank Tanana (21),2.6968,L
440,441.,Charles Nagy (14),2.6982,R
441,442.,Dennis Lamp (16),2.6990,R
442,443.,Paul Minner (10),2.6993,L
443,444.,Reggie Cleveland (13),2.7015,R
444,445.,Art Fowler (9),2.7070,R
445,446.,Larry Benton (13),2.7074,R
446,447.,Si Johnson (17),2.7103,R
447,448.,Lefty Grove+ (17),2.7110,L
448,449.,Harry Coveleski (9),2.7115,L
449,449.,Burt Hooton (15),2.7115,R
450,451.,Lefty Leifield (12),2.7127,L
451,452.,Ed Killian (8),2.7141,L
452,453.,Bill Carrick (5),2.7177,R
453,454.,Mickey Lolich (16),2.7186,L
454,455.,Lee Meadows (15),2.7222,R
455,456.,John Harkins (5),2.7228,R
456,457.,Dave McNally (14),2.7231,L
457,458.,Dutch Leonard (11),2.7263,L
458,459.,Doug Rau (9),2.7264,L
459,460.,Bob Bruce (9),2.7265,R
460,461.,Mike Scott (13),2.7278,R
461,462.,Cy Falkenberg (12),2.7297,R
462,462.,Vic Willis+ (13),2.7297,R
463,464.,Jeremy Hellickson (10),2.7298,R
464,465.,Bud Black (15),2.7307,L
465,466.,Kirk Rueter (13),2.7310,L
466,467.,Ray Herbert (14),2.7316,R
467,468.,Ed Seward (6),2.7321,R
468,469.,Eric Rasmussen (8),2.7327,R
469,470.,Jim Perry (17),2.7337,R
470,471.,Zane Smith (13),2.7338,L
471,472.,Win Mercer (9),2.7348,R
472,473.,Mel Stottlemyre (11),2.7358,R
473,474.,Silver King (10),2.7362,R
474,475.,Rick Honeycutt (21),2.7375,L
475,476.,Billy Rhines (9),2.7414,R
476,477.,Frank Viola (15),2.7416,L
477,478.,Larry Dierker (14),2.7420,R
478,479.,Shaun Marcum (9),2.7437,R
479,480.,Aaron Cook (11),2.7454,R
480,481.,Tom Burgmeier (17),2.7458,L
481,482.,Steve Gromek (17),2.7462,R
482,483.,Jarrod Washburn (12),2.7478,L
483,484.,Paul Splittorff (15),2.7479,L
484,485.,Red Ehret (11),2.7480,R
485,486.,Tom Bradley (7),2.7504,R
486,487.,Bill Doak (16),2.7524,R
487,488.,Billy O'Dell (13),2.7540,L
488,489.,Mat Latos (9),2.7546,R
489,490.,Bruce Hurst (15),2.7551,L
490,491.,Jack Fisher (11),2.7560,R
491,492.,John Buzhardt (11),2.7592,R
492,493.,Flint Rhem (12),2.7595,R
493,494.,Aaron Harang (14),2.7597,R
494,495.,Josh Beckett (14),2.7601,R
495,496.,Ed Daily (7),2.7633,R
496,497.,Jerry Reuss (22),2.7640,L
497,498.,CC Sabathia (19),2.7649,L
498,499.,Pedro Ramos (15),2.7661,R
499,500.,Wally Bunker (9),2.7697,R
500,501.,Rodrigo Lopez (11),2.7720,R
501,502.,Zach Duke (15),2.7728,L
502,503.,Roger Wolff (7),2.7737,R
503,504.,Frank Corridon (6),2.7755,R
504,505.,Jon Niese (9),2.7772,L
505,506.,Steve Rogers (13),2.7783,R
506,507.,Rick Rhoden (16),2.7795,R
507,508.,Jason Vargas (14),2.7827,L
508,509.,Matt Kilroy (10),2.7861,L
509,510.,George Uhle (17),2.7868,R
510,511.,Burleigh Grimes+ (19),2.7883,R
511,512.,Kevin Millwood (16),2.7890,R
512,513.,Mort Cooper (11),2.7919,R
513,514.,Jack Dunn (8),2.7920,R
514,515.,Colby Lewis (11),2.7926,R
515,516.,John Montefusco (13),2.7942,R
516,517.,Rick Mahler (13),2.7950,R
517,518.,Tony Mullane (13),2.7965,R
518,519.,LaTroy Hawkins (21),2.7969,R
519,520.,Andy Pettitte (18),2.7983,L
520,521.,Glendon Rusch (12),2.8023,L
521,522.,Ervin Santana (15),2.8026,R
522,523.,Ed Whitson (15),2.8045,R
523,524.,Spud Chandler (11),2.8061,R
524,525.,Bill Lee (14),2.8062,R
525,526.,Jerry Koosman (19),2.8083,L
526,527.,Doc Medich (11),2.8127,R
527,528.,Freddy Garcia (15),2.8145,R
528,529.,Johnny Marcum (7),2.8163,R
529,530.,Alejandro Pena (15),2.8166,R
530,531.,Mike Timlin (18),2.8173,R
531,532.,Hugh McQuillan (10),2.8181,R
532,533.,Jason Hammel (13),2.8188,R
533,534.,Mark Mulder (9),2.8219,L
534,535.,Alex Fernandez (10),2.8222,R
535,536.,Pat Dobson (11),2.8227,R
536,537.,Clyde Shoun (14),2.8252,L
537,538.,Ed Halicki (7),2.8278,R
538,539.,Denny Neagle (13),2.8281,L
539,540.,Howie Camnitz (11),2.8312,R
540,541.,Jim Hughey (7),2.8313,R
541,542.,Hooks Dauss (15),2.8322,R
542,543.,Wayne Garland (9),2.8385,R
543,544.,Guy Bush (17),2.8402,R
544,545.,Marco Estrada (12),2.8410,R
545,546.,Otto Hess (10),2.8434,L
546,547.,Don Cardwell (14),2.8446,R
547,548.,Jeff Reardon (16),2.8455,R
548,549.,Jersey Bakley (6),2.8474,R
549,550.,Paul Lindblad (14),2.8476,L
550,551.,Joe Saunders (10),2.8479,L
551,552.,Bob Knepper (15),2.8482,L
552,553.,Scott Feldman (13),2.8500,R
553,553.,Luis Tiant (19),2.8500,R
554,555.,Dave Goltz (12),2.8505,R
555,556.,Dock Ellis (12),2.8506,R
556,557.,Bill Swift (13),2.8525,R
557,558.,Dick Coffman (15),2.8535,R
558,559.,Frank Castillo (13),2.8546,R
559,559.,Braden Looper (12),2.8546,R
560,561.,Ken Holtzman (15),2.8563,L
561,562.,Curt Simmons (20),2.8572,L
562,563.,Jake Miller (9),2.8607,L
563,564.,Clyde Wright (10),2.8635,L
564,565.,Ed Willett (10),2.8675,R
565,566.,Ray Benge (12),2.8699,R
566,567.,Ad Gumbert (9),2.8718,R
567,568.,Toad Ramsey (6),2.8748,L
568,569.,Egyptian Healy (8),2.8752,R
569,570.,R.A. Dickey (15),2.8775,R
570,571.,Vic Aldridge (9),2.8788,R
571,572.,Brett Tomko (14),2.8844,R
572,573.,Jesse Duryea (5),2.8869,R
573,574.,Jack McDowell (12),2.8872,R
574,574.,Woody Williams (15),2.8872,R
575,576.,Teddy Higuera (9),2.8891,L
576,577.,Mike Flanagan (18),2.8917,L
577,578.,Roger Clemens (24),2.8922,R
578,579.,Jim McGlothlin (9),2.8931,R
579,580.,Brad Penny (14),2.8940,R
580,581.,Sonny Siebert (12),2.8941,R
581,582.,Gene Conley (11),2.8949,R
582,583.,Orel Hershiser (18),2.8952,R
583,584.,Jim Scott (9),2.8969,R
584,585.,"Jon Lester (15, 36)",2.8988,L
585,586.,Danny MacFayden (17),2.9002,R
586,587.,Tom Hughes (13),2.9036,R
587,588.,Frank Sullivan (11),2.9047,R
588,589.,Dan Casey (7),2.9084,L
589,590.,Pink Hawley (10),2.9097,R
590,591.,Red Ames (17),2.9099,R
591,592.,Willis Hudlin (16),2.9135,R
592,593.,Chris Capuano (12),2.9147,L
593,594.,Tom Candiotti (16),2.9163,R
594,595.,Erik Hanson (11),2.9164,R
595,596.,Jaime Garcia (10),2.9260,L
596,597.,Brett Myers (12),2.9263,R
597,598.,Phil Regan (13),2.9308,R
598,599.,Willie Blair (12),2.9317,R
599,600.,Max Butcher (10),2.9351,R
600,601.,Sal Maglie (10),2.9356,R
601,602.,Mel Harder (20),2.9367,R
602,603.,Clay Carroll (15),2.9394,R
603,604.,John Danks (10),2.9395,L
604,605.,Harry McIntire (9),2.9400,R
605,606.,Jake Westbrook (13),2.9405,R
606,607.,Tommy Thomas (12),2.9444,R
607,608.,Wiley Piatt (6),2.9453,L
608,609.,Bob Rush (13),2.9457,R
609,610.,Frank Killen (10),2.9458,L
610,611.,Sam Gray (10),2.9472,R
611,612.,Paul Maholm (10),2.9492,L
612,613.,Johnny Podres (15),2.9523,L
613,614.,Don Robinson (15),2.9551,R
614,615.,Ivy Andrews (8),2.9568,R
615,616.,Bob Klinger (8),2.9569,R
