,Rank,"Player (yrs, age)",Base-Out Wins Added (REW),Bats
448,449.,"Brandon Belt (10, 32)",13.57,L
449,450.,Carl Crawford (15),13.56,L
450,450.,Alfonso Soriano (16),13.56,R
451,452.,Joe Kuhel (18),13.51,L
452,453.,Bibb Falk (12),13.50,L
453,454.,Ichiro Suzuki (19),13.42,L
454,455.,Ron Hunt (12),13.37,R
455,455.,"Dustin Pedroia (14, 36)",13.37,R
456,457.,Tito Francona (15),13.34,L
457,458.,J.T. Snow (16),13.26,L
458,459.,Greg Vaughn (15),13.25,R
459,460.,"Carlos Gonzalez (12, 34)",13.22,L
460,461.,Geoff Jenkins (11),13.10,L
461,462.,Adam LaRoche (12),13.07,L
462,463.,Merv Rettenmund (13),13.03,R
463,464.,George Burns (15),13.02,R
464,465.,Ival Goodman (10),13.00,L
465,466.,Stan Spence (9),12.98,L
466,467.,Bernie Carbo (12),12.95,L
467,467.,Joe Harris (10),12.95,R
468,469.,Ed Bailey (14),12.92,L
469,470.,Mack Jones (10),12.87,L
470,471.,Dave Magadan (16),12.85,L
471,471.,Eddie Robinson (13),12.85,L
472,473.,Spud Davis (16),12.83,R
473,473.,Dave Kingman (16),12.83,R
474,475.,Don Hurst (7),12.82,L
475,476.,Dante Bichette (14),12.80,R
476,476.,Carl Everett (14),12.80,B
477,478.,Benny Kauff (8),12.78,L
478,479.,Bob Nieman (12),12.70,R
479,480.,Shoeless Joe Jackson (13),12.68,L
480,481.,Orlando Merced (13),12.63,B
481,482.,Jose Cardenal (18),12.54,R
482,483.,Steve Finley (19),12.53,L
483,484.,Johnny Hopp (14),12.51,L
484,485.,"Jason Heyward (11, 30)",12.50,L
485,485.,Carlos May (10),12.50,L
486,487.,Josh Willingham (11),12.47,R
487,488.,Glenn Davis (10),12.43,R
488,489.,Kevin Seitzer (12),12.34,R
489,490.,Nick Johnson (10),12.33,L
490,491.,Joe Judge (20),12.32,L
491,491.,Irish Meusel (11),12.32,R
492,493.,"Dexter Fowler (13, 34)",12.25,B
493,494.,Carney Lansford (15),12.24,R
494,495.,Bruce Bochte (12),12.22,L
495,496.,Bill Freehan (15),12.17,R
496,496.,Manny Mota (20),12.17,R
497,498.,Grady Sizemore (10),12.15,L
498,499.,Lee Mazzilli (14),12.14,B
499,500.,Gil McDougald (10),12.13,R
500,501.,Monte Irvin+ (8),12.12,R
501,502.,Andruw Jones (17),12.11,R
502,503.,"Alex Bregman (5, 26)",12.08,R
503,504.,Pete Runnels (14),12.06,L
504,505.,John Milner (12),12.04,L
505,506.,Eric Chavez (17),11.98,L
506,507.,"Eric Hosmer (10, 30)",11.97,L
507,508.,"Jose Ramirez (8, 27)",11.96,B
508,508.,Jose Vidro (12),11.96,B
509,510.,Chuck Knoblauch (12),11.92,R
510,511.,"Starling Marte (9, 31)",11.90,R
511,512.,Dick Dietz (8),11.86,R
512,513.,Willie Randolph (18),11.83,R
513,514.,Buddy Bell (18),11.78,R
514,515.,"Manny Machado (9, 27)",11.67,R
515,516.,Mike Stanley (15),11.64,R
516,517.,"Marcell Ozuna (8, 29)",11.58,R
517,518.,Davey Johnson (13),11.54,R
518,519.,Gavvy Cravath (11),11.51,R
519,519.,"Neil Walker (12, 34)",11.51,B
520,521.,Michael Young (14),11.48,R
521,522.,Pat Kelly (15),11.46,L
522,523.,Hank Leiber (10),11.45,R
523,524.,Pete Ward (9),11.43,L
524,525.,Aubrey Huff (13),11.42,L
525,526.,Chet Lemon (16),11.40,R
526,526.,Adam Lind (12),11.40,L
527,528.,Bill Doran (12),11.39,B
528,528.,Joe Rudi (16),11.39,R
529,530.,Brady Anderson (15),11.37,L
530,531.,"Jose Altuve (10, 30)",11.36,R
531,531.,"Cody Bellinger (4, 24)",11.36,L
532,533.,Miguel Tejada (16),11.31,R
533,534.,Mike Epstein (9),11.30,L
534,535.,Billy Southworth+ (13),11.25,L
535,536.,Barney McCosky (11),11.19,L
536,536.,Wes Parker (9),11.19,B
537,536.,Carlos Quentin (9),11.19,R
538,539.,Bobby Higginson (11),11.15,L
539,539.,Dwayne Murphy (12),11.15,L
540,539.,Al Smith (12),11.15,R
541,542.,Jay Bell (18),11.10,R
542,543.,Cesar Tovar (12),11.09,R
543,544.,Jim Gilliam (14),11.08,B
544,545.,Willie McGee (18),11.06,B
545,545.,Cecil Travis (12),11.06,L
546,545.,Troy Tulowitzki (13),11.06,R
547,548.,Curt Flood (15),10.93,R
548,549.,Willie Crawford (14),10.89,L
549,550.,Ed Morgan (7),10.85,R
550,551.,Cleon Jones (13),10.84,R
551,552.,Rube Bressler (19),10.83,R
552,552.,Matt Lawton (12),10.83,L
553,554.,Wally Moses (17),10.78,L
554,555.,Wally Pipp (15),10.72,L
555,556.,Tommy Harper (15),10.67,R
556,557.,Dick Stuart (10),10.65,R
557,558.,"Aaron Judge (5, 28)",10.60,R
558,559.,Jerry Mumphrey (15),10.58,B
559,560.,"Michael Conforto (6, 27)",10.57,L
560,561.,Billy Butler (10),10.55,R
561,562.,Grady Hatton (12),10.54,L
562,563.,Wally Judnich (7),10.52,L
563,564.,Taffy Wright (9),10.51,L
564,565.,Red Rolfe (10),10.50,L
565,566.,Nate Colbert (10),10.49,R
566,567.,Brad Hawpe (9),10.44,L
567,568.,Raul Mondesi (13),10.33,R
568,569.,Bob Bailey (17),10.28,R
569,569.,"Corey Seager (6, 26)",10.28,L
570,571.,Gregg Jefferies (14),10.27,B
571,571.,Wally Post (15),10.27,R
572,571.,Bobby Veach (14),10.27,L
573,574.,Donn Clendenon (12),10.19,R
574,575.,Harry Rice (10),10.16,L
575,576.,Del Bissonette (5),10.15,L
576,576.,Ray Sanders (7),10.15,L
577,578.,Phil Bradley (8),10.10,R
578,578.,Jeff Conine (17),10.10,R
579,580.,Heinie Groh (16),10.08,R
580,581.,Danny Taylor (9),10.06,R
581,582.,Ray Grimes (6),10.03,R
582,583.,Roy Johnson (10),9.97,L
583,584.,John Romano (10),9.91,R
584,585.,Phil Nevin (12),9.89,R
585,586.,Ron Northey (12),9.84,L
586,587.,Denis Menke (13),9.82,R
587,588.,Ken Keltner (13),9.79,R
588,588.,Denard Span (11),9.79,L
589,590.,Tony Conigliaro (8),9.78,R
590,591.,Mickey Rivers (15),9.77,L
591,592.,Jeff Blauser (13),9.72,R
592,592.,Mike Easler (14),9.72,L
593,594.,Curt Blefary (8),9.71,L
594,594.,Lee Maye (13),9.71,L
595,596.,Mike Napoli (12),9.65,R
596,597.,Joe Vosmik (13),9.64,R
597,598.,John Jaha (10),9.61,R
598,599.,Ray Blades (10),9.57,R
599,600.,Jacoby Ellsbury (11),9.53,L
600,601.,Willie Jones (15),9.50,R
601,602.,Randy Milligan (8),9.45,R
602,603.,George Harper (11),9.44,L
603,604.,Erubiel Durazo (7),9.42,L
604,604.,Dale Mitchell (11),9.42,L
605,606.,Steve Braun (15),9.37,L
606,607.,"Eugenio Suarez (7, 28)",9.35,R
607,608.,Shane Victorino (12),9.28,R
608,609.,Jimmy Rollins (17),9.27,B
609,610.,Irv Noren (11),9.26,L
610,611.,Nick Swisher (12),9.23,B
611,612.,Tom Haller (12),9.22,L
612,613.,Carlos Guillen (14),9.21,B
613,614.,Mike Andrews (8),9.19,R
614,614.,Tony Clark (15),9.19,B
615,616.,Carl Reynolds (13),9.17,R
616,616.,"Juan Soto (3, 21)",9.17,L
617,618.,Walker Cooper (18),9.14,R
618,619.,Pinky Higgins (14),9.11,R
619,620.,Bob Cerv (12),9.09,R
620,621.,Dave Bancroft+ (16),9.08,B
621,622.,Claudell Washington (17),9.07,L
622,623.,Terry Puhl (15),9.02,L
623,624.,Dale Alexander (5),8.98,R
624,624.,Tim McCarver (21),8.98,L
625,626.,Michael Cuddyer (15),8.96,R
626,627.,Rico Petrocelli (13),8.90,R
627,627.,Elmer Smith (10),8.90,L
628,629.,"Carlos Correa (6, 25)",8.88,R
629,629.,Buddy Lewis (11),8.88,L
630,631.,Torii Hunter (19),8.84,R
631,631.,Jo-Jo Moore (12),8.84,L
632,633.,Jerry Lynch (13),8.81,L
