,Rank,"Player (yrs, age)",Hits per 9 IP,Throws
111,112.,Luis Tiant (19),7.9381,R
112,113.,Rudy May (16),7.9428,L
113,114.,"Julio Teheran (10, 29)",7.9435,R
114,115.,Jeff Reardon (16),7.9482,R
115,116.,"Trevor Bauer (9, 29)",7.9487,R
116,117.,Ray Culp (11),7.9507,R
117,118.,Hank Aguirre (16),7.9573,L
118,119.,"Madison Bumgarner (12, 30)",7.9574,L
119,120.,John Smoltz+ (21),7.9660,R
120,121.,Fred Glade (6),7.9708,R
121,122.,Matt Cain (13),7.9787,R
122,123.,Bill Donovan (18),7.9871,R
123,124.,Howie Camnitz (11),7.9930,R
124,125.,Don Sutton+ (23),7.9942,R
125,126.,Juan Pizarro (18),7.9943,L
126,127.,Johnny Niggeling (9),7.9949,R
127,127.,Dave Stieb (16),7.9949,R
128,129.,"Kyle Hendricks (7, 30)",8.0003,R
129,130.,Ferdie Schupp (10),8.0095,L
130,131.,Vean Gregg (8),8.0115,L
131,132.,Gary Bell (12),8.0129,R
132,133.,Earl Moore (14),8.0209,R
133,134.,Sonny Siebert (12),8.0256,R
134,135.,Ramon Martinez (14),8.0283,R
135,136.,Lefty Tyler (12),8.0314,L
136,137.,Phil Marchildon (9),8.0340,R
137,138.,Jean Dubuc (9),8.0383,R
138,139.,"David Price (12, 34)",8.0393,L
139,140.,Hal Newhouser+ (17),8.0408,L
140,141.,Spud Chandler (11),8.0424,R
141,142.,Jason Isringhausen (16),8.0473,R
142,143.,Hideo Nomo (12),8.0513,R
143,144.,Claude Hendrix (10),8.0575,R
144,145.,Tim Lincecum (10),8.0583,R
145,146.,Steve Carlton+ (24),8.0588,L
146,147.,Hooks Wiltse (12),8.0612,L
147,148.,"Jake Odorizzi (9, 30)",8.0646,R
148,149.,Tom Gordon (21),8.0650,R
149,150.,Amos Rusie+ (10),8.0719,R
150,151.,Willie Mitchell (11),8.0735,L
151,152.,Larry Corcoran (8),8.0771,R
152,153.,Jake Peavy (15),8.0799,R
153,154.,Bill Singer (14),8.0810,R
154,155.,Bob Lemon+ (15),8.0811,R
155,156.,Eddie Cicotte (14),8.0821,R
156,157.,Mike Scott (13),8.0835,R
157,158.,Orlando Hernandez (9),8.0849,R
158,159.,"Cole Hamels (15, 36)",8.0860,L
159,160.,Don Drysdale+ (14),8.0874,R
160,161.,Gary Nolan (10),8.0882,R
161,162.,Stu Miller (16),8.0894,R
162,163.,Marco Estrada (12),8.0914,R
163,164.,Juan Marichal+ (16),8.0915,R
164,165.,Wally Bunker (9),8.0934,R
165,166.,C.J. Wilson (11),8.0981,L
166,167.,Al Leiter (19),8.1004,L
167,168.,Doc White (13),8.1033,L
168,169.,Charlie Sweeney (6),8.1035,R
169,170.,Virgil Trucks (17),8.1064,R
170,171.,Russ Ford (7),8.1085,R
171,172.,Joe Benz (9),8.1086,R
172,173.,Hippo Vaughn (13),8.1132,L
173,174.,Art Fromme (10),8.1175,R
174,175.,"Gio Gonzalez (13, 34)",8.1200,L
175,176.,Blue Moon Odom (13),8.1233,R
176,177.,Kirby Higbe (12),8.1272,R
177,178.,Mat Latos (9),8.1312,R
178,179.,Jim Shaw (9),8.1321,R
179,180.,Mike Cuellar (15),8.1346,L
180,181.,Billy Pierce (18),8.1354,L
181,182.,Frank Corridon (6),8.1414,R
182,183.,Tom Sturdivant (10),8.1451,R
183,184.,Mort Cooper (11),8.1460,R
184,185.,Red Ames (17),8.1501,R
185,186.,Lady Baldwin (6),8.1504,L
186,187.,Greg Harris (15),8.1534,R
187,188.,Vic Willis+ (13),8.1554,R
188,189.,Al Worthington (14),8.1578,R
189,190.,Alejandro Pena (15),8.1604,R
190,191.,"Johnny Cueto (13, 34)",8.1624,R
191,192.,Harry Brecheen (12),8.1665,L
192,193.,"Oliver Perez (18, 38)",8.1667,L
193,194.,Earl Wilson (11),8.1724,R
194,195.,Kent Tekulve (16),8.1752,R
195,196.,Jim Bibby (12),8.1763,R
196,197.,Eddie Fisher (15),8.1772,R
197,198.,Jimmy Lavender (6),8.1775,R
198,199.,"Francisco Liriano (14, 36)",8.1829,L
199,200.,Ernie Broglio (8),8.1834,R
200,201.,Brandon Webb (7),8.1839,R
201,202.,Steve Barber (15),8.1851,L
202,203.,Jose Rijo (14),8.1862,R
203,204.,George Brunet (15),8.1912,L
204,205.,Gary Peters (14),8.1913,L
205,206.,Dave Davenport (6),8.1919,R
206,207.,Lefty Leifield (12),8.1921,L
207,208.,Dave Dravecky (8),8.1982,L
208,209.,"Felix Hernandez (15, 34)",8.1999,R
209,210.,Willie Hernandez (13),8.2017,L
210,211.,Bob Ewing (11),8.2021,R
211,212.,Dave McNally (14),8.2022,L
212,213.,Dan Plesac (18),8.2024,L
213,214.,"Chris Archer (8, 31)",8.2130,R
214,215.,Larry Dierker (14),8.2145,R
215,216.,Frank Owen (8),8.2151,R
216,217.,Jim Bunning+ (17),8.2166,R
217,218.,Jim Bouton (10),8.2177,R
218,219.,Joe Horlen (12),8.2223,R
219,220.,Jack Chesbro+ (11),8.2243,R
220,221.,Skip Lockwood (13),8.2282,R
221,222.,Teddy Higuera (9),8.2304,L
222,223.,Dick Hall (19),8.2307,R
223,224.,Lefty Gomez+ (14),8.2341,L
224,225.,Mel Stottlemyre (11),8.2346,R
225,226.,Ed Killian (8),8.2380,L
226,227.,Dwight Gooden (16),8.2395,R
227,228.,Vic Raschi (10),8.2430,R
228,229.,Diego Segui (15),8.2449,R
229,230.,Carl Weilman (8),8.2485,L
230,231.,Juan Guzman (10),8.2517,R
231,232.,Dave Righetti (16),8.2520,L
232,233.,Ben McDonald (9),8.2659,R
233,234.,Cy Falkenberg (12),8.2681,R
234,235.,Ron Guidry (14),8.2701,L
235,236.,Pat Jarvis (8),8.2710,R
236,237.,Cy Seymour (16),8.2717,L
237,238.,Mark Langston (16),8.2719,L
238,239.,Curt Schilling (20),8.2741,R
239,240.,"Lance Lynn (9, 33)",8.2766,R
240,241.,Max Lanier (14),8.2812,L
241,242.,Fergie Jenkins+ (19),8.2828,R
242,243.,Sam Leever (13),8.2840,R
243,244.,Warren Spahn+ (21),8.2900,L
244,245.,Darold Knowles (16),8.2912,L
245,246.,Ed Seward (6),8.2932,R
246,247.,Ted Lilly (15),8.2934,L
247,248.,Ed Morris (7),8.2942,L
248,249.,Tom Seaton (6),8.2948,R
249,250.,Paul Foytack (11),8.2971,R
250,251.,Eric Show (11),8.2985,R
251,252.,A.J. Burnett (17),8.3003,R
252,253.,Camilo Pascual (18),8.3008,R
253,254.,Dutch Leonard (11),8.3020,L
254,255.,Dave Foutz (13),8.3046,R
255,256.,Jay Hughes (4),8.3051,R
256,257.,Fred Norman (16),8.3056,L
257,258.,Steve Rogers (13),8.3065,R
258,259.,Gaylord Perry+ (22),8.3069,R
259,260.,Tex Hughson (8),8.3087,R
260,261.,Sal Maglie (10),8.3105,R
261,261.,Fred Toney (12),8.3105,R
262,263.,Clay Kirby (8),8.3140,R
263,264.,Mike Marshall (14),8.3142,R
264,265.,Toad Ramsey (6),8.3159,L
265,266.,Barry Zito (15),8.3166,L
266,267.,Ralph Branca (12),8.3208,R
267,268.,Jason Schmidt (14),8.3223,R
268,269.,Wayne Twitchell (10),8.3227,R
269,270.,Jered Weaver (12),8.3238,R
270,271.,Josh Beckett (14),8.3242,R
271,272.,Mickey Lolich (16),8.3263,L
272,273.,Gary Lavelle (13),8.3281,L
273,274.,Charlie Ferguson (4),8.3305,R
274,275.,Tony Mullane (13),8.3320,R
275,276.,Van Mungo (14),8.3355,R
276,277.,Bill Campbell (15),8.3387,R
277,278.,"Jhoulys Chacin (12, 32)",8.3406,R
278,279.,Bob Shawkey (15),8.3412,R
279,280.,Barry Latman (11),8.3429,R
280,281.,Ed Karger (6),8.3432,L
281,282.,Bobby Shantz (16),8.3460,L
282,283.,Fernando Valenzuela (17),8.3488,L
283,284.,Johnny Rigney (8),8.3526,R
284,285.,"Zack Greinke (17, 36)",8.3539,R
285,286.,Bob Wicker (6),8.3605,R
286,287.,Shaun Marcum (9),8.3621,R
287,288.,Wilson Alvarez (14),8.3632,L
288,289.,Sparky Lyle (16),8.3635,L
289,290.,Tony Cloninger (12),8.3653,R
290,291.,George Bell (5),8.3702,R
291,292.,Pete Harnisch (14),8.3706,R
292,293.,Jack Sanford (12),8.3749,R
293,294.,Don Larsen (14),8.3837,R
294,295.,Ray Caldwell (12),8.3858,R
295,296.,Bert Blyleven+ (22),8.3879,R
296,297.,"Mike Minor (9, 32)",8.3882,L
297,298.,"Masahiro Tanaka (7, 31)",8.3911,R
298,299.,Ray Collins (7),8.3937,L
299,300.,Guy Morton (11),8.3944,R
300,301.,Mark Davis (15),8.3948,L
301,302.,Jack Morris+ (18),8.3951,R
302,303.,Chuck Dobson (9),8.3968,R
303,304.,John Tudor (12),8.3990,L
304,305.,Phil Niekro+ (24),8.4004,R
305,306.,Ron Perranoski (13),8.4049,L
306,307.,Billy O'Dell (13),8.4056,L
307,308.,Kevin Appier (16),8.4093,R
308,309.,Frank Miller (7),8.4119,R
309,310.,Terry Forster (16),8.4166,L
310,311.,Roberto Hernandez (17),8.4175,R
311,312.,Bruce Kison (15),8.4198,R
312,313.,Jim Rooker (13),8.4217,L
313,314.,Bob Welch (17),8.4237,R
314,315.,Melido Perez (9),8.4242,R
315,316.,John Franco (21),8.4244,L
316,317.,Dennis Eckersley+ (24),8.4257,R
317,318.,Grant Jackson (18),8.4259,L
318,319.,Joaquin Andujar (13),8.4273,R
319,320.,George Winter (8),8.4348,R
320,321.,"Carlos Carrasco (11, 33)",8.4398,R
321,322.,Pascual Perez (11),8.4407,R
322,323.,Pete Alexander+ (20),8.4416,R
323,324.,Vinegar Bend Mizell (9),8.4427,L
324,325.,Mudcat Grant (14),8.4472,R
325,326.,Johnny Antonelli (12),8.4474,L
326,327.,Matt Clement (9),8.4479,R
327,328.,Lew Krausse (12),8.4485,R
328,329.,Orel Hershiser (18),8.4499,R
329,330.,Dennis Cook (15),8.4514,L
330,331.,Chan Ho Park (17),8.4536,R
331,332.,Ubaldo Jimenez (12),8.4561,R
332,333.,Steve Gromek (17),8.4566,R
333,334.,Early Wynn+ (23),8.4617,R
334,335.,Joe Coleman (15),8.4629,R
335,336.,Jim Deshaies (12),8.4630,L
336,337.,Joe Gibbon (13),8.4641,L
337,338.,John Ward+ (17),8.4692,R
338,339.,Pete Schneider (6),8.4702,R
339,340.,Tom Griffin (14),8.4721,R
340,341.,Burt Hooton (15),8.4740,R
341,342.,Bill James (8),8.4757,R
342,343.,Buster Brown (9),8.4813,R
343,344.,Ned Garvin (7),8.4817,R
344,345.,Harry McIntire (9),8.4818,R
345,346.,Johnny Murphy (13),8.4833,R
346,347.,"Jon Lester (15, 36)",8.4886,L
347,348.,Johnny Lush (7),8.4892,L
348,349.,Greg Maddux+ (23),8.4926,R
349,350.,Joe Dobson (14),8.4940,R
350,351.,Bob Groom (10),8.4941,R
351,352.,Noodles Hahn (8),8.4974,L
352,353.,Joey Jay (13),8.4975,R
353,354.,Scott Kazmir (12),8.5011,L
354,355.,"J.A. Happ (14, 37)",8.5021,L
355,356.,"Jeff Samardzija (13, 35)",8.5059,R
356,357.,Lefty Williams (7),8.5067,L
357,358.,Ralph Terry (12),8.5068,R
358,359.,Ted Gray (9),8.5079,L
359,360.,Bob Buhl (15),8.5095,R
360,361.,Kevin Brown (19),8.5099,R
361,362.,Steve Busby (8),8.5107,R
362,363.,Tim Hudson (17),8.5116,R
363,364.,Don Cardwell (14),8.5167,R
364,365.,Tommy Bridges (16),8.5181,R
365,366.,Bob Caruthers (10),8.5206,R
366,367.,Jerry Koosman (19),8.5210,L
367,368.,John Clarkson+ (12),8.5212,R
368,369.,Dazzy Vance+ (16),8.5217,R
369,370.,Ed Halicki (7),8.5259,R
370,371.,Bert Gallia (9),8.5278,R
371,372.,"Ian Kennedy (14, 35)",8.5284,R
372,373.,Turk Lown (11),8.5291,R
373,374.,Al Demaree (8),8.5323,R
374,375.,Johnny Allen (13),8.5324,R
375,376.,Marty Pattin (13),8.5335,R
376,377.,Bob Rhoads (8),8.5336,R
377,378.,Jim Nash (7),8.5340,R
378,379.,Harry Howell (13),8.5350,R
379,380.,Babe Adams (19),8.5363,R
380,381.,Andy Benes (14),8.5390,R
381,382.,Ray Fisher (10),8.5455,R
382,383.,Doc Ayers (9),8.5485,R
383,384.,John Candelaria (19),8.5486,L
384,385.,Jeremy Hellickson (10),8.5509,R
385,386.,Nick Cullop (6),8.5518,L
386,387.,Dave Stewart (16),8.5528,R
387,388.,Ron Darling (13),8.5564,R
388,389.,Hiroki Kuroda (7),8.5565,R
389,390.,CC Sabathia (19),8.5639,L
390,391.,Elmer Knetzer (8),8.5644,R
391,392.,Jim Perry (17),8.5654,R
392,393.,Phil Douglas (9),8.5662,R
393,394.,Joe McGinnity+ (10),8.5676,R
394,395.,Elmer Riddle (10),8.5689,R
395,396.,Andy Coakley (9),8.5692,R
396,397.,"Adam Wainwright (15, 38)",8.5713,R
397,398.,Carl Erskine (12),8.5723,R
398,399.,Denny Lemaster (11),8.5737,L
399,400.,Chris Short (15),8.5742,L
400,401.,Erik Bedard (11),8.5743,L
401,402.,"Danny Duffy (10, 31)",8.5762,L
402,403.,Paul Lindblad (14),8.5798,L
403,404.,Billy Loes (11),8.5816,R
404,405.,Jack Taylor (10),8.5819,R
405,406.,Dan Petry (13),8.5832,R
406,407.,Dave Wickersham (10),8.5833,R
407,408.,George Mullin (14),8.5882,R
408,409.,Dan Schatzeder (15),8.5900,L
409,410.,Bill Bailey (11),8.5905,L
410,411.,Steve Stone (11),8.5907,R
411,412.,Ron Villone (15),8.5916,L
412,413.,Clay Buchholz (13),8.5924,R
413,414.,Rick Aguilera (16),8.5934,R
414,415.,David Palmer (10),8.5935,R
415,416.,Britt Burns (8),8.5943,L
416,417.,Turk Farrell (14),8.5952,R
417,418.,"Trevor Cahill (12, 32)",8.5981,R
418,419.,Mickey Welch+ (13),8.5989,R
419,420.,Otto Hess (10),8.6001,L
420,421.,John Buzhardt (11),8.6035,R
421,422.,Old Hoss Radbourn+ (12),8.6037,R
422,423.,Milt Pappas (17),8.6045,R
423,423.,Bill Stoneman (8),8.6045,R
424,425.,Whit Wyatt (16),8.6065,R
425,426.,Jim O'Toole (10),8.6081,L
426,427.,Bret Saberhagen (16),8.6113,R
427,428.,Greg Minton (16),8.6126,R
428,429.,Jim McCormick (10),8.6134,R
429,430.,Bob Harmon (9),8.6144,R
430,431.,Clay Carroll (15),8.6187,R
431,432.,Mike McCormick (16),8.6244,L
432,433.,Ron Reed (19),8.6246,R
433,434.,Chad Billingsley (9),8.6263,R
434,435.,Bob Miller (17),8.6268,R
435,436.,Jim McGlothlin (9),8.6309,R
436,437.,Roy Parmelee (10),8.6358,R
437,438.,Chuck Finley (17),8.6388,L
438,439.,Tully Sparks (12),8.6403,R
439,440.,"Dallas Keuchel (9, 32)",8.6418,L
440,441.,Ellis Kinder (12),8.6432,R
441,442.,Ervin Santana (15),8.6456,R
442,443.,Jim Wilson (12),8.6491,R
443,444.,Nick Altrock (19),8.6493,L
444,445.,Ken Johnson (13),8.6512,R
445,446.,Bill Doak (16),8.6550,R
446,447.,Mark Baldwin (7),8.6553,R
447,448.,Bill Dinneen (12),8.6556,R
448,449.,Alex Fernandez (10),8.6557,R
449,450.,Dick Rudolph (13),8.6574,R
450,451.,Wilbur Wood (17),8.6580,L
451,452.,Roy Halladay+ (16),8.6617,R
452,453.,Bryn Smith (13),8.6667,R
453,454.,Bucky Walters (19),8.6676,R
454,455.,Sammy Ellis (7),8.6683,R
455,456.,Jon Matlack (13),8.6686,L
456,457.,Bud Black (15),8.6698,L
457,458.,Pol Perritt (10),8.6714,R
458,459.,Dave Giusti (15),8.6715,R
459,460.,Pat Dobson (11),8.6717,R
460,461.,Alan Foster (10),8.6723,R
461,462.,Jeff Pfeffer (13),8.6735,R
462,463.,Harvey Haddix (14),8.6738,L
463,464.,Carl Mays (15),8.6743,R
464,464.,Lee Stange (10),8.6743,R
465,466.,Carl Hubbell+ (16),8.6758,L
466,467.,Mickey Haefner (8),8.6768,L
467,468.,Cy Young+ (22),8.6770,R
468,469.,Mike Smith (14),8.6778,L
469,470.,"Tanner Roark (8, 33)",8.6786,R
470,471.,Don Mossi (12),8.6802,L
471,472.,Stan Bahnsen (16),8.6833,R
472,473.,Pete Falcone (10),8.6844,L
473,474.,Jim Gott (14),8.6866,R
474,475.,Bob Rush (13),8.6876,R
475,476.,John Smiley (12),8.6902,L
476,477.,Doug Drabek (13),8.6911,R
477,478.,Deacon Phillippe (13),8.6928,R
478,479.,Clem Labine (13),8.6944,R
479,480.,Vern Bickford (7),8.6962,R
480,481.,Hank Borowy (10),8.7012,R
481,482.,Pat Ragan (11),8.7016,R
482,483.,Jack Warhop (8),8.7027,R
483,484.,Joe Niekro (22),8.7029,R
484,485.,"Mike Fiers (10, 35)",8.7031,R
485,486.,Craig Lefferts (12),8.7041,L
486,487.,Don Robinson (15),8.7043,R
487,488.,Slim Sallee (14),8.7044,L
488,489.,Tiny Bonham (10),8.7099,R
489,490.,Jeff Russell (14),8.7163,R
490,491.,Dizzy Trout (15),8.7204,R
491,492.,Bullet Joe Bush (17),8.7219,R
492,493.,Ed Willett (10),8.7242,R
493,494.,Kelvim Escobar (12),8.7253,R
494,495.,Gene Garber (19),8.7258,R
495,496.,Mike Timlin (18),8.7285,R
496,497.,Ice Box Chamberlain (10),8.7299,R
497,498.,Frank Tanana (21),8.7307,L
498,499.,Charlie Smith (10),8.7310,R
499,500.,Craig Swan (12),8.7329,R
500,501.,Dupee Shaw (6),8.7344,L
501,502.,John Montefusco (13),8.7367,R
502,503.,Bob McClure (19),8.7385,L
503,504.,Will White (10),8.7392,R
504,505.,Mike Mussina+ (18),8.7406,R
505,506.,Clyde Wright (10),8.7414,L
506,507.,Bill Hands (11),8.7417,R
507,508.,Dock Ellis (12),8.7420,R
508,509.,Floyd Bannister (15),8.7437,L
509,510.,Jimmy Key (15),8.7442,L
510,511.,Ken Holtzman (15),8.7478,L
511,512.,Roy Patterson (7),8.7495,R
512,513.,Kid Nichols+ (15),8.7543,R
513,514.,Bob Ojeda (15),8.7548,L
514,515.,Johnny Klippstein (18),8.7591,R
515,516.,Ken Forsch (16),8.7617,R
516,517.,Monte Pearson (10),8.7629,R
517,518.,Len Barker (11),8.7643,R
518,519.,Tom Glavine+ (22),8.7648,L
519,520.,Jim Lonborg (15),8.7650,R
520,520.,Eddie Smith (10),8.7650,L
521,522.,Russ Ortiz (12),8.7652,R
522,523.,Silver King (10),8.7661,R
523,524.,"Charlie Morton (13, 36)",8.7666,R
524,525.,John Denny (13),8.7668,R
525,526.,Dan Haren (13),8.7669,R
526,527.,Pat Zachry (10),8.7681,R
527,528.,Johnny Schmitz (13),8.7683,L
528,529.,Yovani Gallardo (12),8.7688,R
529,530.,Dennis Martinez (23),8.7690,R
530,531.,Atlee Hammaker (12),8.7692,L
531,532.,Jose Guzman (8),8.7697,R
532,533.,"Edinson Volquez (15, 36)",8.7711,R
533,534.,Mike Stanton (19),8.7738,L
534,535.,Dennis Rasmussen (12),8.7741,L
535,536.,Jim Hearn (13),8.7746,R
536,537.,Steve Blass (10),8.7784,R
537,538.,Dizzy Dean+ (12),8.7789,R
538,539.,Art Ditmar (9),8.7800,R
539,539.,Don Newcombe (10),8.7800,R
540,541.,Steve Hargan (12),8.7849,R
541,542.,Dick Tidrow (13),8.7853,R
542,543.,Ken Brett (14),8.7858,L
543,544.,Hal Schumacher (13),8.7885,R
544,545.,Lefty Grove+ (17),8.7906,L
545,546.,Tom Candiotti (16),8.7919,R
546,547.,Tim Wakefield (19),8.7926,R
547,548.,Dennis Leonard (12),8.7942,R
548,549.,Robin Roberts+ (19),8.7953,R
549,550.,Orlando Pena (14),8.7978,R
550,551.,Steve Renko (15),8.7979,R
551,552.,Rube Marquard+ (18),8.7995,L
552,553.,"Anibal Sanchez (15, 36)",8.7998,R
553,554.,Walt Masterson (14),8.8000,R
554,555.,Tom Burgmeier (17),8.8022,L
555,556.,Don Aase (13),8.8026,R
556,557.,Danny Darwin (21),8.8041,R
557,558.,Mel Parnell (10),8.8066,L
558,559.,Tom Brewer (8),8.8132,R
559,560.,Roy Oswalt (13),8.8143,R
560,561.,Dummy Taylor (9),8.8153,R
561,562.,Cal Eldred (14),8.8158,R
562,563.,Roy Face (16),8.8167,R
563,564.,Lon Warneke (15),8.8178,R
564,565.,Tom Underwood (11),8.8184,L
565,566.,Mike Witt (12),8.8193,R
566,567.,Jumbo McGinnis (6),8.8223,
567,568.,Javier Vazquez (14),8.8225,R
568,569.,Mike Boddicker (14),8.8234,R
569,570.,R.A. Dickey (15),8.8235,R
570,571.,Doc Newton (8),8.8302,L
571,572.,Cliff Lee (13),8.8303,L
572,572.,Lindy McDaniel (21),8.8303,R
573,574.,Wilbur Cooper (15),8.8319,L
574,575.,Jack McDowell (12),8.8332,R
575,576.,Ted Lewis (6),8.8335,R
576,577.,Woodie Fryman (18),8.8345,L
577,578.,Tom Bradley (7),8.8349,R
578,579.,Frank Lary (12),8.8363,R
579,580.,Rube Benton (15),8.8379,L
580,581.,Ken Hill (14),8.8403,R
581,582.,Ray Sadecki (18),8.8404,L
582,583.,Charlie Buffinton (11),8.8414,R
583,584.,Gene Nelson (13),8.8417,R
584,585.,Larry Jackson (14),8.8437,R
585,586.,Matt Garza (12),8.8439,R
586,587.,Frank Sullivan (11),8.8441,R
587,588.,Irv Young (6),8.8462,L
588,589.,Ed Crane (9),8.8491,R
589,590.,Ryan Dempster (16),8.8492,R
590,591.,"Jose Quintana (9, 31)",8.8495,L
591,592.,Ed Daily (7),8.8497,R
592,593.,Justin Masterson (8),8.8501,R
593,594.,Steve Avery (11),8.8514,L
594,595.,Jack Powell (16),8.8565,R
595,596.,Jack Harper (8),8.8619,R
596,597.,Hugh Daily (6),8.8664,R
597,598.,Billy Hoeft (15),8.8668,L
598,599.,Dick Donovan (15),8.8691,R
599,600.,Jason Bere (11),8.8704,R
600,601.,Joe Magrane (8),8.8714,L
601,602.,Darryl Kile (12),8.8739,R
602,603.,Kent Mercker (18),8.8755,L
603,604.,Red Ruffing+ (22),8.8757,R
604,605.,Steve McCatty (9),8.8763,R
605,606.,Andrew Cashner (10),8.8796,R
606,606.,James Shields (13),8.8796,R
607,608.,Al McBean (10),8.8797,R
608,609.,Rick Sutcliffe (18),8.8810,R
609,610.,Larry Gura (16),8.8813,L
610,611.,Tom Murphy (12),8.8816,R
611,612.,Tom Hughes (13),8.8843,R
