,Rank,"Player (yrs, age)",Range Factor/Game as 2B,Throws
61,62.,Nellie Fox+ (19),5.431,R
62,63.,Aaron Ward (12),5.429,R
63,64.,Dick Padden (9),5.421,R
64,64.,Eddie Stanky (11),5.421,R
65,66.,Del Pratt (13),5.417,R
66,67.,Alex Kampouris (9),5.415,R
67,68.,Rennie Stennett (11),5.403,R
68,69.,Gene DeMontreville (11),5.398,R
69,70.,Billy Gilbert (8),5.380,R
70,71.,Red Schoendienst+ (19),5.376,R
71,72.,Connie Ryan (12),5.372,R
72,73.,Max Bishop (12),5.368,R
73,74.,Tom Daly (17),5.366,R
74,75.,Rogers Hornsby+ (23),5.363,R
75,76.,Morrie Rath (6),5.357,R
76,76.,Claude Ritchey (13),5.357,R
77,78.,Bill Hallman (14),5.356,R
78,79.,Tony Lazzeri+ (14),5.354,R
79,80.,Ralph Young (9),5.347,R
80,81.,Eddie Collins+ (25),5.342,R
81,82.,Snuffy Stirnweiss (10),5.339,R
82,83.,Manny Trillo (17),5.337,R
83,84.,Jimmy Williams (11),5.330,R
84,85.,Eddie Mayo (9),5.327,R
85,86.,Horace Clarke (10),5.319,R
86,87.,Miller Huggins+ (13),5.309,R
87,88.,Johnny Rawlings (12),5.308,R
88,89.,Yank Robinson (10),5.291,R
89,90.,Wayne Terwilliger (9),5.286,R
90,91.,Dave Cash (12),5.283,R
91,92.,Frankie Gustine (12),5.281,R
92,93.,Pedro Garcia (5),5.279,R
93,94.,Danny Murtaugh (9),5.269,R
94,95.,Joe Gedeon (7),5.261,R
95,96.,Tito Fuentes (13),5.255,R
96,97.,Tommy Helms (14),5.248,R
97,98.,Jackie Robinson+ (10),5.246,R
98,99.,Ray Mack (9),5.245,R
99,100.,Don Gutteridge (12),5.221,R
100,101.,Emil Verban (7),5.203,R
101,102.,Willie Randolph (18),5.202,R
102,103.,Don Heffner (11),5.200,R
103,104.,Danny O'Connell (10),5.198,R
104,105.,Ted Sizemore (12),5.193,R
105,106.,Julio Cruz (10),5.190,R
106,107.,Bobby Knoop (9),5.183,R
107,108.,Pete Suder (13),5.181,R
108,109.,Pete Coscarart (9),5.174,R
109,109.,Germany Schaefer (15),5.174,R
110,111.,Glenn Beckert (11),5.171,R
111,112.,Jim Gantner (17),5.166,R
112,113.,Johnny Evers+ (18),5.119,R
113,114.,Frank White (18),5.112,R
114,115.,Billy Goodman (16),5.111,R
115,116.,Otto Knabe (11),5.106,R
116,117.,Johnny Ray (10),5.104,R
117,118.,Ryne Sandberg+ (16),5.098,R
118,119.,Bobby Avila (11),5.091,R
119,120.,Bobby Young (8),5.089,R
120,121.,Jose Lind (9),5.084,R
121,122.,Pokey Reese (8),5.077,R
122,123.,Dick Egan (9),5.076,R
123,124.,Pete Runnels (14),5.075,R
124,125.,Jody Reed (11),5.069,R
125,126.,Felix Millan (12),5.063,R
126,127.,Don Blasingame (12),5.050,R
127,128.,Orlando Hudson (11),5.038,R
128,129.,John Hummel (12),5.035,R
129,130.,Joe Morgan+ (22),5.029,R
130,131.,Phil Garner (16),5.009,R
131,132.,Tony Bernazard (10),5.001,R
132,133.,Davey Johnson (13),5.000,R
133,134.,Steve Sax (14),4.991,R
134,135.,Harold Reynolds (12),4.990,R
135,136.,Carlos Baerga (14),4.965,R
136,137.,Ron Hunt (12),4.957,R
137,138.,Dots Miller (12),4.955,R
138,138.,Johnny Temple (13),4.955,R
139,140.,Jerry Remy (10),4.953,R
140,141.,Quilvio Veras (7),4.952,R
141,142.,Chuck Schilling (5),4.950,R
142,142.,Lou Whitaker (19),4.950,R
143,144.,Ron Oester (13),4.943,R
144,145.,Robby Thompson (11),4.938,R
145,146.,Davey Lopes (16),4.916,R
146,147.,Marty Barrett (10),4.910,R
147,148.,Damaso Garcia (11),4.908,R
148,149.,Bobby Richardson (12),4.907,R
149,150.,Frank Bolling (12),4.903,R
150,151.,Marcus Giles (7),4.895,R
151,151.,Tom Herr (13),4.895,R
152,153.,Fernando Vina (12),4.893,R
153,154.,Billy Gardner (10),4.882,R
154,155.,Juan Samuel (16),4.881,R
155,156.,Rod Carew+ (19),4.868,R
156,157.,Jim Delahanty (13),4.854,R
157,157.,Duane Kuiper (12),4.854,R
158,159.,Frank LaPorte (11),4.847,R
159,160.,Gil McDougald (10),4.846,R
160,161.,Jack Brohamer (9),4.831,R
161,161.,Jerry Lumpe (12),4.831,R
162,163.,Julian Javier (13),4.828,R
163,164.,Derrel Thomas (15),4.827,R
164,165.,Mark Ellis (12),4.823,R
165,166.,Jerry Coleman (9),4.820,R
166,166.,Dick Green (12),4.820,R
167,168.,Mike Andrews (8),4.815,R
168,169.,Sandy Alomar (15),4.810,R
169,169.,Mark McLemore (19),4.810,R
170,171.,Doug Griffin (8),4.805,R
171,171.,Eric Young Sr. (15),4.805,R
172,173.,Larry Doyle (14),4.798,R
173,174.,Placido Polanco (16),4.796,R
174,175.,Cookie Rojas (16),4.785,R
175,176.,Jim Gilliam (14),4.783,R
176,177.,Jerry Adair (13),4.775,R
177,177.,Danny Murphy (16),4.775,R
178,179.,Billy Ripken (12),4.762,R
179,180.,Jim Lefebvre (8),4.759,R
180,181.,Tony Womack (13),4.756,R
181,182.,Craig Biggio+ (20),4.746,R
182,183.,Julio Franco (23),4.744,R
183,184.,Roberto Alomar+ (17),4.734,R
184,184.,Tony Taylor (19),4.734,R
185,186.,Pete Rose (24),4.733,R
186,187.,Carlos Garcia (10),4.726,R
187,188.,Denny Doyle (8),4.715,R
188,188.,Jeff Kent (17),4.715,R
189,190.,Ian Kinsler (14),4.713,R
190,191.,Jose Lopez (9),4.710,R
191,192.,Ronnie Belliard (13),4.703,R
192,193.,Aaron Hill (13),4.698,R
193,193.,Jose Oquendo (12),4.698,R
194,193.,Jorge Orta (16),4.698,R
195,196.,Jeff Frye (8),4.694,R
196,196.,Mike Lansing (9),4.694,R
197,198.,Randy Velarde (16),4.691,R
198,199.,Damion Easley (17),4.686,R
199,200.,Jerry Kindall (9),4.681,R
200,201.,Alfonso Soriano (16),4.679,R
201,202.,Granny Hamner (17),4.674,R
202,203.,Charlie Neal (8),4.662,R
203,204.,Billy Martin (11),4.660,R
204,205.,Mike Tyson (10),4.655,R
205,206.,Luis Alicea (13),4.653,R
206,207.,Scott Fletcher (15),4.642,R
207,208.,Ray Morgan (8),4.640,R
208,209.,Rob Wilfong (11),4.635,R
209,210.,Brandon Phillips (17),4.628,R
210,211.,Rich Dauer (10),4.621,R
211,212.,Luis Castillo (15),4.617,R
212,213.,Delino DeShields (13),4.616,R
213,214.,Bill Doran (12),4.614,R
214,215.,Pat Kelly (9),4.608,R
215,216.,Jerry Hairston (16),4.605,R
216,217.,"DJ LeMahieu (10, 31)",4.602,R
217,218.,Chuck Knoblauch (12),4.598,R
218,219.,Dan Uggla (10),4.589,R
219,220.,Dick McAuliffe (16),4.587,R
220,221.,"Gordon Beckham (11, 33)",4.581,R
221,222.,Mark Grudzielanek (15),4.577,R
222,223.,"Robinson Cano (16, 37)",4.575,R
223,223.,Ray Durham (14),4.575,R
224,225.,Chase Utley (16),4.567,R
225,226.,Steve Yerkes (7),4.564,R
226,227.,Bret Boone (14),4.556,R
227,228.,Gary Sutherland (13),4.548,R
228,229.,Craig Counsell (16),4.542,R
229,230.,Brian Roberts (14),4.526,R
230,231.,Doug Flynn (11),4.511,R
231,232.,Bernie Allen (12),4.498,R
232,232.,Danny Espinosa (8),4.498,R
233,234.,Chuck Hiller (8),4.489,R
234,235.,Mickey Morandini (11),4.486,R
235,236.,Adam Kennedy (14),4.479,R
236,237.,Mark Lemke (11),4.473,R
237,238.,"Neil Walker (12, 34)",4.468,R
238,239.,Freddy Sanchez (10),4.464,R
239,240.,"Rougned Odor (7, 26)",4.462,R
240,241.,Miguel Cairo (17),4.442,R
241,241.,Jose Offerman (15),4.442,R
242,243.,Omar Infante (15),4.411,R
243,244.,"Dustin Pedroia (14, 36)",4.409,R
244,245.,"Jonathan Schoop (8, 28)",4.400,R
245,246.,"Brian Dozier (9, 33)",4.399,R
246,247.,Howie Kendrick (15),4.375,R
247,248.,"Kolten Wong (8, 29)",4.372,R
248,249.,"Dee Strange-Gordon (10, 32)",4.368,R
249,249.,Tony Phillips (18),4.368,R
250,251.,Jose Vidro (12),4.366,R
251,252.,Kelly Johnson (11),4.358,R
252,253.,Mark Loretta (15),4.353,R
253,254.,Jerry Browne (10),4.347,R
254,255.,Edgardo Alfonzo (12),4.341,R
255,256.,Rickie Weeks (14),4.340,R
256,257.,Mariano Duncan (12),4.328,R
257,258.,Todd Walker (12),4.327,R
258,259.,Marlon Anderson (12),4.319,R
259,260.,Jeff Treadway (9),4.309,R
260,261.,Tim Flannery (11),4.289,R
261,262.,"Joe Panik (7, 29)",4.275,R
262,263.,Tony Graffanino (13),4.260,R
263,264.,Nelson Liriano (11),4.239,R
264,265.,Joey Cora (11),4.231,R
265,266.,Ken Boswell (11),4.219,R
266,267.,Tim Teufel (11),4.177,R
267,268.,Bip Roberts (12),4.176,R
268,269.,Mike Gallego (13),4.173,R
269,270.,Scooter Gennett (7),4.167,R
270,271.,Marco Scutaro (13),4.161,R
271,272.,Darwin Barney (8),4.108,R
272,273.,"Cesar Hernandez (8, 30)",4.081,R
273,274.,"Daniel Murphy (12, 35)",4.071,R
274,275.,Wally Backman (14),4.065,R
275,276.,"Jason Kipnis (10, 33)",4.057,R
276,277.,"Jose Altuve (10, 30)",4.037,R
277,278.,Jamey Carroll (12),3.988,R
278,279.,Luis Rivas (8),3.983,R
279,280.,Aaron Miles (9),3.966,R
280,281.,Alex Cora (14),3.904,R
281,282.,"Starlin Castro (11, 30)",3.862,R
282,283.,Keith Lockhart (10),3.771,R
283,284.,"Logan Forsythe (10, 33)",3.747,R
284,285.,Ben Zobrist (14),3.732,R
