,Rank,"Player (yrs, age)",Fielding % as 1B,Throws
118,117.,Rich Reese (10),.9923,L
119,120.,"José Abreu (7, 33)",.9922,R
120,120.,Daric Barton (8),.9922,R
121,120.,Darrell Evans (21),.9922,R
122,120.,Ryan Klesko (16),.9922,L
123,120.,Tony Muser (9),.9922,L
124,120.,Bill Skowron (14),.9922,R
125,126.,"Matt Adams (9, 31)",.9921,R
126,126.,Norm Cash (17),.9921,L
127,126.,Alvin Davis (9),.9921,R
128,126.,Carlos Delgado (17),.9921,R
129,130.,Jeff Conine (17),.9920,R
130,130.,Jason Giambi (20),.9920,R
131,130.,High Pockets Kelly+ (16),.9920,R
132,130.,Randy Milligan (8),.9920,R
133,130.,Bill Terry+ (14),.9920,L
134,130.,Kevin Young (12),.9920,R
135,136.,Ripper Collins (9),.9919,L
136,136.,Fred McGriff (19),.9919,L
137,136.,Willie Montanez (14),.9919,L
138,136.,Norm Siebern (12),.9919,R
139,140.,Prince Fielder (12),.9918,R
140,140.,Stan Musial+ (22),.9918,L
141,140.,Phil Todt (8),.9918,L
142,143.,Dave Bergman (17),.9917,L
143,143.,Sid Bream (12),.9917,L
144,143.,Bill Buckner (22),.9917,L
145,143.,Jimmie Foxx+ (20),.9917,R
146,143.,Chick Gandil (9),.9917,R
147,143.,Joe Kuhel (18),.9917,L
148,143.,Johnny Mize+ (15),.9917,R
149,143.,Lee Stevens (10),.9917,L
150,143.,Gus Suhr (11),.9917,R
151,152.,Bruce Bochte (12),.9916,L
152,152.,Ben Broussard (7),.9916,L
153,152.,Cecil Cooper (17),.9916,L
154,152.,Wally Pipp (15),.9916,L
155,156.,Glenn Davis (10),.9915,R
156,156.,Walt Dropo (13),.9915,R
157,156.,Cecil Fielder (13),.9915,R
158,156.,Nick Johnson (10),.9915,L
159,156.,Harmon Killebrew+ (22),.9915,R
160,161.,Jake Daubert (15),.9914,L
161,161.,John Milner (12),.9914,L
162,161.,Bob Watson (19),.9914,R
163,164.,Earl Sheely (9),.9913,R
164,164.,Willie Stargell+ (21),.9913,L
165,166.,Willie Aikens (8),.9912,R
166,166.,Nate Colbert (10),.9912,R
167,168.,Andres Galarraga (19),.9911,R
168,168.,Ryan Howard (13),.9911,L
169,168.,Boog Powell (17),.9911,R
170,168.,Ray Sanders (7),.9911,R
171,168.,Roy Sievers (17),.9911,R
172,173.,Rod Carew+ (19),.9910,R
173,173.,Mike Napoli (12),.9910,R
174,175.,Ron Fairly (21),.9909,L
175,175.,Hank Greenberg+ (13),.9909,R
176,177.,Mike Epstein (9),.9907,L
177,177.,Lou Gehrig+ (17),.9907,L
178,177.,Mike Hargrove (12),.9907,L
179,177.,Hal Trosky (11),.9907,R
180,181.,Frank Thomas+ (19),.9906,R
181,182.,Dolph Camilli (12),.9905,L
182,182.,Tommy McCraw (13),.9905,L
183,182.,Don Mincher (13),.9905,R
184,185.,Gordy Coleman (9),.9904,R
185,186.,Joe Collins (10),.9902,L
186,186.,Joe Hauser (6),.9902,L
187,186.,Ed Konetchy (15),.9902,R
188,186.,Mickey Vernon (20),.9902,L
189,186.,Rudy York (13),.9902,R
190,191.,Babe Dahlgren (12),.9901,R
191,191.,Jim Gentile (9),.9901,L
192,191.,George Scott (14),.9901,R
193,194.,Phil Cavarretta (22),.9900,L
194,194.,Dick Siebert (11),.9900,L
195,194.,Willie Upshaw (10),.9900,L
196,194.,Fred Whitfield (9),.9900,L
197,198.,Buck Jordan (10),.9898,R
198,199.,Jack Clark (18),.9897,R
199,199.,Eddie Robinson (13),.9897,R
200,201.,Orlando Cepeda+ (17),.9896,R
201,201.,Tony Horton (7),.9896,R
202,201.,Mike Sweeney (16),.9896,R
203,204.,Dick Gernert (11),.9895,R
204,204.,Al Oliver (18),.9895,L
205,206.,Steve Balboni (11),.9894,R
206,206.,Joe Harris (10),.9894,R
207,206.,Sam Leslie (10),.9894,L
208,209.,Doc Johnston (11),.9891,L
209,209.,Whitey Lockman (15),.9891,R
210,209.,Babe Young (8),.9891,L
211,212.,Franklin Stubbs (10),.9890,L
212,213.,Vic Wertz (17),.9888,R
213,214.,Dick Allen (15),.9887,R
214,214.,Lu Blue (13),.9887,L
215,214.,Earl Torgeson (15),.9887,L
216,217.,Dale Alexander (5),.9885,R
217,217.,Jim Bottomley+ (16),.9885,L
218,217.,Dan McGann (12),.9885,R
219,220.,Dale Long (10),.9884,L
220,221.,Adam Dunn (14),.9883,R
221,222.,Mo Vaughn (12),.9882,R
222,223.,Dee Fondy (8),.9880,L
223,224.,George Grantham (13),.9879,R
224,225.,Ed Bouchee (7),.9878,L
225,225.,Pedro Guerrero (15),.9878,R
226,225.,Dots Miller (12),.9878,R
227,225.,Gerald Perry (13),.9878,R
228,229.,Del Bissonette (5),.9877,L
229,229.,Donn Clendenon (12),.9877,R
230,229.,Nick Etten (9),.9877,L
231,232.,Willie McCovey+ (22),.9875,L
232,233.,Frank Chance+ (17),.9873,R
233,233.,Jiggs Donahue (9),.9873,L
234,233.,Don Hurst (7),.9873,L
235,236.,John Ganzel (7),.9872,R
236,237.,Ferris Fain (9),.9870,L
237,237.,George Sisler+ (15),.9870,L
238,239.,George Burns (16),.9866,R
239,239.,Dick Hoblitzell (11),.9866,R
240,241.,Frank Isbell (10),.9863,R
241,242.,George Stovall (12),.9859,R
242,243.,Fred Luderus (12),.9858,R
243,244.,Ed Morgan (7),.9855,R
244,244.,Vic Saier (8),.9855,R
245,246.,Buddy Hassett (7),.9854,L
246,247.,Dave Kingman (16),.9853,R
247,248.,Fred Merkle (16),.9847,R
248,249.,Jack Fournier (15),.9844,R
249,249.,Tom Jones (8),.9844,R
250,249.,Patsy Tebeau (13),.9844,R
251,252.,Candy LaChance (12),.9841,R
252,253.,Charlie Carr (7),.9836,R
253,254.,Jake Stahl (9),.9835,R
254,255.,Fred Tenney (17),.9833,L
255,256.,Kitty Bransfield (12),.9829,R
256,257.,John Anderson (14),.9825,R
257,258.,Dick Stuart (10),.9817,R
258,259.,Jake Beckley+ (20),.9812,L
259,260.,Harry Davis (22),.9798,R
260,261.,Hal Chase (15),.9795,L
261,261.,Tim Jordan (7),.9795,R
262,263.,Roger Connor+ (18),.9778,L
263,263.,Perry Werden (7),.9778,R
264,265.,Tommy Tucker (13),.9776,R
265,266.,Dave Foutz (13),.9770,R
266,267.,Jack Doyle (17),.9751,R
267,268.,Sid Farrar (8),.9742,R
268,269.,Dave Orr (8),.9730,R
269,270.,Charlie Comiskey+ (13),.9727,R
270,271.,John Reilly (10),.9725,R
271,272.,Cap Anson+ (27),.9718,R
272,273.,Henry Larkin (10),.9712,R
273,274.,John Morrill (15),.9710,R
274,274.,Bill Phillips (10),.9710,R
275,276.,Dan Brouthers+ (19),.9708,L
276,277.,Joe Start (16),.9635,L
277,278.,Harry Stovey (14),.9607,R
