,Rank,"Player (yrs, age)",Singles,Bats
771,771.,Marco Scutaro (13),988,R
772,773.,"Michael Brantley (12, 33)",987,L
773,774.,Lloyd Moseby (12),986,L
774,775.,Wally Moon (12),985,L
775,776.,George Browne (12),984,L
776,776.,Jacoby Ellsbury (11),984,L
777,776.,Kirk Gibson (17),984,L
778,776.,Justin Morneau (14),984,L
779,780.,Greg Gagne (15),983,R
780,781.,David DeJesus (13),982,L
781,781.,Hank Severeid (15),982,R
782,783.,Javy Lopez (15),981,R
783,784.,Mike Cameron (17),980,R
784,784.,Mike Kreevich (12),980,R
785,784.,Billy Southworth+ (13),980,L
786,784.,Rennie Stennett (11),980,R
787,788.,Hans Lobert (14),979,R
788,788.,Les Mann (16),979,R
789,790.,Ethan Allen (13),978,R
790,790.,Ron Gant (16),978,R
791,792.,Wid Conroy (11),977,R
792,792.,Pete O'Brien (12),977,L
793,794.,Michael Bourn (11),976,L
794,795.,Juan Beniquez (17),975,R
795,795.,Frank Chance+ (17),975,R
796,797.,Hank Bauer (14),974,R
797,797.,Carson Bigbee (11),974,L
798,797.,Oyster Burns (11),974,R
799,800.,Dale Mitchell (11),973,L
800,800.,David Segui (15),973,B
801,802.,Whitey Witt (10),971,L
802,803.,Rip Radcliff (10),970,L
803,804.,Bobby Byrne (11),969,R
804,804.,Spud Davis (16),969,R
805,804.,Walt Weiss (14),969,B
806,807.,Charlie Hayes (14),968,R
807,807.,"DJ LeMahieu (10, 31)",968,R
808,809.,Larry Doby+ (13),967,L
809,809.,Roy Hartzell (11),967,L
810,809.,Blondie Purcell (12),967,R
811,812.,Brian Jordan (15),966,R
812,813.,Larry Herndon (14),965,R
813,813.,George Pinkney (10),965,L
814,813.,Pete Suder (13),965,R
815,816.,Steve O'Neill (17),964,R
816,816.,Billy Werber (11),964,R
817,818.,Tom Burns (13),963,R
818,818.,Lee Lacy (16),963,R
819,818.,Joe Rudi (16),963,R
820,821.,David Justice (14),962,L
821,821.,Omar Moreno (12),962,L
822,823.,Joe Gordon+ (11),961,R
823,823.,Rollie Hemsley (19),961,R
824,823.,Russell Martin (14),961,R
825,823.,"Buster Posey (11, 33)",961,R
826,827.,Jackie Jensen (11),960,R
827,827.,Jack McCarthy (12),960,L
828,827.,Rube Oldring (13),960,R
829,827.,Paul Radford (12),960,R
830,827.,Reggie Sanders (17),960,R
831,827.,Gus Suhr (11),960,L
832,833.,Denny Lyons (13),959,R
833,834.,Mike Donlin (12),958,L
834,834.,Elbie Fletcher (12),958,L
835,836.,Mike Greenwell (12),957,L
836,837.,Mark Ellis (12),956,R
837,837.,Bip Roberts (12),956,B
838,837.,Jack Wilson (12),956,R
839,840.,Fred Luderus (12),955,L
840,841.,Art Devlin (10),954,R
841,842.,Jeff Burroughs (16),953,R
842,843.,Joe Stripp (11),952,R
843,844.,"Brett Gardner (13, 36)",951,L
844,845.,Wally Berger (11),950,R
845,845.,Michael Cuddyer (15),950,R
846,845.,Sid Gordon (13),950,R
847,845.,Bengie Molina (13),950,R
848,845.,Raul Mondesi (13),950,R
849,850.,Chico Carrasquel (10),947,R
850,850.,Terry Moore (11),947,R
851,852.,Andy High (13),946,L
852,853.,Dave Foutz (13),945,R
853,854.,Terry Kennedy (14),944,L
854,854.,Hal Trosky (11),944,L
855,856.,Danny Cater (12),943,R
856,856.,Frank Demaree (12),943,R
857,858.,Von Hayes (12),941,L
858,858.,Gil McDougald (10),941,R
859,858.,Manny Mota (20),941,R
860,858.,John Stone (11),941,L
861,862.,Jeffrey Leonard (14),938,R
862,862.,Jack Rowe (12),938,L
863,864.,Roger Bresnahan+ (17),937,R
864,864.,"Ian Desmond (11, 34)",937,R
865,864.,Joe Hornung (12),937,R
866,867.,Albert Belle (12),935,R
867,867.,Al Bridwell (11),935,L
868,869.,Ray Knight (13),934,R
869,870.,Tom Brunansky (14),933,R
870,871.,Bud Harrelson (16),932,B
871,871.,Eddie Joost (17),932,R
872,873.,Jody Reed (11),931,R
873,873.,Eddie Waitkus (11),931,L
874,875.,Keith Moreland (12),930,R
875,876.,Smoky Burgess (18),929,L
876,876.,John Reilly (10),929,R
877,876.,Harold Reynolds (12),929,B
878,879.,Gus Mancuso (17),928,R
879,880.,Doug DeCinces (15),927,R
880,880.,Julio Lugo (12),927,R
881,880.,Mickey Morandini (11),927,L
882,883.,Johnny Hopp (14),926,L
883,884.,"Kurt Suzuki (14, 36)",925,R
884,885.,Doc Casey (10),924,B
885,885.,Dave Magadan (16),924,L
886,887.,Ivan de Jesus (15),923,R
887,887.,Carl Reynolds (13),923,R
888,889.,Deron Johnson (16),922,R
889,890.,Ken Reitz (11),920,R
890,891.,"Freddie Freeman (11, 30)",919,L
891,891.,Chase Headley (12),919,B
892,891.,Cliff Heathcote (15),919,L
893,891.,Ken McMullen (16),919,R
894,891.,Cub Stricker (11),919,R
895,896.,Mark Koenig (12),918,B
896,896.,Gerardo Parra (11),918,L
897,898.,Bill Nicholson (16),917,L
898,899.,Chief Wilson (9),916,L
899,900.,Mule Haas (12),915,L
900,901.,Gene DeMontreville (11),914,R
901,901.,Taylor Douthit (11),914,R
902,901.,Chick Gandil (9),914,R
903,901.,Jayson Werth (15),914,R
904,905.,Ray Lankford (14),913,L
905,905.,John Morrill (15),913,R
906,905.,Jerry Priddy (11),913,R
907,905.,Fernando Vina (12),913,L
908,909.,Nemo Leibold (13),912,L
909,909.,Derrel Thomas (15),912,B
910,911.,Ronnie Belliard (13),911,R
911,911.,Brian McRae (10),911,B
912,911.,"Jean Segura (9, 30)",911,R
913,914.,Ryan Klesko (16),910,L
914,915.,Don Buford (10),909,B
915,915.,Damion Easley (17),909,R
916,915.,Peanuts Lowrey (13),909,R
917,915.,Kevin McReynolds (12),909,R
918,919.,Craig Counsell (16),908,L
919,919.,Earl Torgeson (15),908,L
920,921.,Bernie Friberg (14),907,R
921,921.,Frankie Gustine (12),907,R
922,923.,Ramon Hernandez (15),906,R
923,924.,Jeff Francoeur (12),905,R
924,924.,Eddie Stanky (11),905,R
925,926.,Max Bishop (12),904,L
926,926.,"Dee Strange-Gordon (10, 32)",904,L
927,926.,Orlando Hudson (11),904,B
928,926.,Denis Menke (13),904,R
929,930.,Joe Pepitone (12),903,L
930,931.,Kevin Bass (14),902,B
931,932.,Ray Boone (13),901,R
932,932.,Chief Zimmer (19),901,R
933,934.,Del Crandall (16),900,R
934,934.,Eric McNair (14),900,R
935,934.,Sam Wise (12),900,L
936,937.,Pop Corkhill (10),899,L
937,937.,Jay Johnstone (20),899,L
938,939.,Jerry Denny (13),898,R
939,939.,Dan Gladden (11),898,R
940,939.,Alex Gonzalez (16),898,R
941,939.,Lyn Lary (12),898,R
942,943.,Dolph Camilli (12),896,L
943,943.,Cass Michaels (12),896,R
944,943.,Darrell Porter (17),896,L
945,943.,Danny Richardson (11),896,R
946,947.,Todd Walker (12),895,L
947,948.,Bruce Campbell (13),894,L
948,948.,Chris Gomez (16),894,R
949,948.,Chick Hafey+ (13),894,R
950,948.,John Mayberry (15),894,L
951,952.,Lenny Dykstra (12),893,L
952,952.,Frank LaPorte (11),893,R
953,952.,Joe Orsulak (14),893,L
954,955.,Johnny Kling (13),892,R
955,955.,Craig Reynolds (15),892,L
956,957.,Sam Mertes (10),891,R
957,957.,Spike Owen (13),891,B
958,957.,Fred Schulte (11),891,R
959,960.,Jim Delahanty (13),890,R
960,960.,Mariano Duncan (12),890,R
961,960.,Greg Gross (17),890,L
962,960.,Carlos Guillen (14),890,B
963,960.,"Jason Heyward (11, 30)",890,L
964,965.,Vic Davalillo (16),889,L
965,966.,Shad Barry (10),888,R
966,966.,Walker Cooper (18),888,R
967,966.,Davy Force (15),888,R
968,966.,Casey Stengel+ (14),888,L
969,966.,Dmitri Young (13),888,B
970,971.,Rube Bressler (19),887,R
971,971.,Sam Chapman (11),887,R
972,971.,Cleon Jones (13),887,R
973,974.,Hector Lopez (12),885,R
974,975.,Hack Wilson+ (12),884,R
975,976.,Eric Davis (17),883,R
976,976.,Cliff Floyd (17),883,L
977,976.,Rico Petrocelli (13),883,R
978,979.,Bob Aspromonte (13),882,R
979,979.,Bucky Dent (12),882,R
980,979.,Eddie Miller (14),882,R
981,982.,Derek Bell (11),881,R
982,983.,Bob Bescher (11),879,B
983,984.,Troy Tulowitzki (13),878,R
984,985.,Mike Mitchell (8),877,R
985,985.,Mickey Stanley (15),877,R
986,987.,Roy Johnson (10),876,L
987,987.,Bob Kennedy (16),876,R
988,989.,Eric Chavez (17),875,L
989,989.,Cesar Izturis (13),875,B
990,989.,Jim Spencer (15),875,L
991,992.,J.D. Drew (14),874,L
992,993.,Davy Jones (15),873,L
993,993.,Hal Morris (13),873,L
994,995.,Jeff Heath (14),872,L
995,995.,Brook Jacoby (11),872,R
996,995.,Tommy Thevenow (15),872,R
997,998.,Jerry Grote (16),871,R
998,999.,Dickie Thon (15),870,R
