,Rank,"Player (yrs, age)",Singles,Bats
582,581.,Chicken Wolf (11),1100,R
583,584.,Doggie Miller (13),1099,R
584,584.,Martin Prado (14),1099,R
585,586.,Dick Allen (15),1098,R
586,586.,Bob Bailey (17),1098,R
587,588.,Al Bumbry (14),1096,L
588,588.,"Asdrubal Cabrera (14, 34)",1096,B
589,588.,Nomar Garciaparra (14),1096,R
590,591.,George Bell (12),1095,R
591,591.,Vic Wertz (17),1095,L
592,593.,Jim Edmonds (17),1094,L
593,593.,Amos Strunk (17),1094,L
594,595.,Shawon Dunston (18),1093,R
595,595.,Frank Malzone (12),1093,R
596,595.,Wally Schang (19),1093,B
597,598.,Bones Ely (14),1092,R
598,598.,Frank Thomas (16),1092,R
599,600.,Granny Hamner (17),1091,R
600,600.,"Ryan Zimmerman (15, 35)",1091,R
601,602.,Denard Span (11),1090,L
602,603.,Lonny Frey (14),1089,L
603,603.,Juan Gonzalez (17),1089,R
604,605.,Mark Belanger (18),1088,R
605,606.,Lance Berkman (15),1087,B
606,606.,Tony Gonzalez (12),1087,L
607,608.,Edgardo Alfonzo (12),1086,R
608,608.,Ray Schalk+ (18),1086,R
609,608.,Mike Smith (14),1086,L
610,611.,"Shin-Soo Choo (16, 37)",1085,L
611,611.,"Andrew McCutchen (12, 33)",1085,R
612,613.,Wally Gerber (15),1084,R
613,613.,Buck Herzog (13),1084,R
614,615.,Tommy Holmes (11),1080,L
615,615.,Andruw Jones (17),1080,R
616,615.,George Stovall (12),1080,R
617,618.,Ted Sizemore (12),1079,R
618,618.,Jimmy Williams (11),1079,R
619,620.,Bill Bradley (14),1078,R
620,620.,Adam Kennedy (14),1078,L
621,620.,Bill Wambsganss (13),1078,R
622,623.,Coco Crisp (15),1077,B
623,623.,Rey Sanchez (15),1077,R
624,623.,Riggs Stephenson (14),1077,R
625,626.,George McQuinn (12),1074,L
626,626.,Bob Meusel (11),1074,R
627,628.,Aubrey Huff (13),1073,L
628,629.,Rick Burleson (13),1072,R
629,629.,Irish Meusel (11),1072,R
630,631.,"Alex Gordon (14, 36)",1070,L
631,631.,Cristian Guzman (11),1070,B
632,631.,Ben Oglivie (16),1070,L
633,634.,Hi Myers (14),1069,R
634,635.,Tony Womack (13),1068,L
635,636.,Rich Aurilia (15),1067,R
636,636.,Sean Casey (12),1067,L
637,638.,Jermaine Dye (14),1066,R
638,638.,Rick Monday (19),1066,L
639,640.,Jimmy Austin (18),1065,B
640,641.,Dave Collins (16),1064,B
641,641.,Carlos Delgado (17),1064,L
642,641.,Tommy Helms (14),1064,R
643,644.,Jose Canseco (17),1061,R
644,644.,Patsy Dougherty (10),1061,L
645,644.,Scott Fletcher (15),1061,R
646,644.,Rick Manning (13),1061,L
647,644.,Elmer Valo (20),1061,L
648,649.,Bill Skowron (14),1059,R
649,649.,Lonnie Smith (17),1059,R
650,649.,Curt Walker (12),1059,L
651,652.,Johnny Logan (13),1057,R
652,652.,Joe Randa (12),1057,R
653,654.,Ed Brinkman (15),1056,R
