,Rank,"Player (yrs, age)",Errors Committed as OF,Throws
98,99.,Mike Donlin (12),135,L
99,99.,Chuck Klein+ (17),135,R
100,101.,Ed Andrews (8),134,R
101,101.,Pop Corkhill (10),134,R
102,101.,George Hall (7),134,L
103,104.,Buttercup Dickerson (7),133,R
104,105.,Jim Clinton (10),132,R
105,105.,Patsy Dougherty (10),132,R
106,105.,Jake Stenzel (9),132,R
107,105.,Paul Waner+ (20),132,L
108,109.,Jack Graney (14),130,L
109,109.,Charlie Hemphill (11),130,L
110,111.,George Burns (15),128,R
111,111.,Bug Holliday (10),128,R
112,111.,Sammy Sosa (18),128,R
113,114.,John Anderson (14),127,R
114,114.,Willie Davis (18),127,L
115,114.,Jack Tobin (13),127,L
116,117.,Earl Averill+ (13),126,R
117,118.,Ben Chapman (15),125,R
118,118.,Vladimir Guerrero+ (16),125,R
119,118.,Dode Paskert (15),125,R
120,121.,Larry Twitchell (9),124,R
121,122.,Oyster Burns (11),123,R
122,122.,Duffy Lewis (11),123,R
123,122.,Sherry Magee (16),123,R
124,122.,Tom McCreery (9),123,R
125,122.,Sam Mertes (10),123,R
126,122.,Cy Williams (19),123,L
127,128.,Charlie Jamieson (18),122,L
128,128.,Henry Larkin (10),122,R
129,128.,George Tebeau (6),122,R
130,131.,Kiki Cuyler+ (18),121,R
131,132.,Jose Cruz (19),120,L
132,132.,Del Ennis (14),120,R
133,132.,Fred Mann (6),120,R
134,132.,Jack McCarthy (12),120,L
135,136.,Jim Lillie (4),119,
136,137.,Doc Cramer (20),118,R
137,137.,Jack McGeachey (6),118,R
138,139.,Hank Aaron+ (23),117,R
139,139.,Harry Heilmann+ (17),117,R
140,141.,Bill Lange (7),116,R
141,141.,Ross Youngs+ (10),116,R
142,143.,Bob Meusel (11),114,R
143,144.,Wally Moses (17),113,L
144,144.,Red Murray (11),113,R
145,144.,Ted Williams+ (19),113,R
146,147.,Gary Matthews (16),112,R
147,147.,Curt Walker (12),112,R
148,149.,Richie Ashburn+ (15),110,R
149,149.,Jim Fogarty (7),110,R
150,151.,Bob Bescher (11),109,L
151,151.,Gavvy Cravath (11),109,R
152,151.,Count Gedney (4),109,
153,154.,Tommy Griffith (13),108,R
154,154.,Willie McGee (18),108,R
155,156.,Sam Chapman (11),107,R
156,156.,Irish Meusel (11),107,R
157,158.,Johnny Bates (9),106,L
158,158.,Lip Pike (10),106,L
159,158.,Jack Smith (15),106,L
160,158.,Harry Wheeler (6),106,R
161,162.,Bruce Campbell (13),105,R
162,162.,Joe DiMaggio+ (13),105,R
163,162.,Danny Green (8),105,R
164,162.,Dusty Miller (7),105,R
165,162.,Tom Poorman (6),105,R
166,162.,Chick Stahl (10),105,L
167,162.,Farmer Weaver (7),105,
168,162.,Hack Wilson+ (12),105,R
169,170.,Shano Collins (16),103,R
170,170.,John McMullin (5),103,L
171,170.,Frank Schulte (15),103,R
172,170.,Rusty Staub (23),103,R
173,170.,Dixie Walker (18),103,R
174,175.,Topsy Hartsel (14),102,L
175,175.,Lon Knight (8),102,R
176,175.,Bing Miller (16),102,R
177,175.,Roy Thomas (13),102,L
178,179.,Ed Beecher (4),101,L
179,179.,Nemo Leibold (13),101,R
180,179.,Darby O'Brien (6),101,R
181,179.,Vada Pinson (18),101,L
182,179.,John Titus (11),101,L
183,179.,Billy Williams+ (18),101,R
184,185.,Charlie Abbey (5),100,L
185,185.,Shoeless Joe Jackson (13),100,R
186,187.,Baby Doll Jacobson (11),99,R
187,188.,Jimmy Bannon (4),98,R
188,188.,Mel Ott+ (22),98,R
189,190.,Barry Bonds (22),97,L
190,190.,Jake Evans (7),97,R
191,190.,Emmet Heidrick (8),97,R
192,190.,Les Mann (16),97,R
193,190.,Mike Mitchell (8),97,R
194,195.,Babe Herman (13),96,L
195,196.,Jimmy Barrett (10),95,R
196,196.,Earle Combs+ (12),95,R
197,196.,Dave Winfield+ (22),95,R
198,199.,Charlie Pabor (5),94,L
199,199.,Ollie Pickering (8),94,R
200,199.,Ruben Sierra (20),94,R
201,199.,Al Simmons+ (20),94,R
202,199.,Reggie Smith (17),94,R
203,204.,Steve Brady (6),93,
204,204.,Fred Carroll (8),93,R
205,204.,Andre Dawson+ (21),93,R
206,204.,Rebel Oakes (7),93,R
207,208.,Cozy Dolan (9),92,L
208,208.,Bibb Falk (12),92,L
209,208.,Fred Lewis (5),92,R
210,208.,Mike Slattery (5),92,L
211,208.,Lonnie Smith (17),92,R
212,208.,Billy Southworth+ (13),92,R
213,214.,Wally Berger (11),91,R
214,214.,Taylor Douthit (11),91,R
215,214.,Minnie Minoso (17),91,R
216,214.,Ray Powell (9),91,R
217,214.,Claudell Washington (17),91,L
218,219.,Jose Cardenal (18),90,R
219,219.,George Case (11),90,R
220,219.,Harry Lyons (6),90,R
221,222.,Bobby Bonds (14),89,R
222,222.,Joe Carter (16),89,R
223,222.,Dom DiMaggio (11),89,R
224,222.,Ken Griffey Jr.+ (22),89,L
225,222.,Hardy Richardson (14),89,R
226,227.,George Bell (12),88,R
227,228.,Oscar Bielaski (5),87,R
228,228.,Hi Myers (14),87,R
229,228.,Casey Stengel+ (14),87,L
230,228.,"Justin Upton (14, 32)",87,R
231,228.,Lloyd Waner+ (18),87,R
232,233.,Carson Bigbee (11),86,R
233,233.,Jud Birchall (3),86,
234,233.,Ron LeFlore (9),86,R
235,236.,Danny Hoffman (9),85,L
236,236.,Benny Kauff (8),85,L
237,236.,John Stone (11),85,R
238,236.,Chief Wilson (9),85,R
239,240.,Alex Johnson (13),84,R
240,240.,Tom Mansell (3),84,R
241,240.,Joe Medwick+ (17),84,R
242,240.,Willie Stargell+ (21),84,L
243,240.,George Watkins (7),84,R
244,245.,Davy Jones (15),83,R
245,245.,Heinie Manush+ (17),83,L
246,247.,Bob Addy (6),82,L
247,247.,Cliff Heathcote (15),82,L
248,247.,Mickey Mantle+ (18),82,R
249,247.,Enos Slaughter+ (19),82,R
250,247.,Carl Yastrzemski+ (23),82,R
251,252.,Chet Lemon (16),81,R
252,252.,Matty McIntyre (10),81,L
253,252.,Carl Reynolds (13),81,R
254,255.,Dante Bichette (14),80,R
255,255.,Chili Davis (19),80,R
256,255.,Chick Hafey+ (13),80,R
257,255.,Jeff Heath (14),80,R
258,255.,Larry Herndon (14),80,R
259,255.,Ralph Kiner+ (10),80,R
260,255.,Harry Rice (10),80,R
261,255.,Moose Solters (9),80,R
262,255.,Jim Wynn (15),80,R
263,264.,Charlie Duffee (5),79,R
264,264.,Charlie Eden (4),79,L
265,264.,Jose Guillen (14),79,R
266,264.,Kenny Lofton (17),79,L
267,264.,Leech Maskrey (5),79,R
268,264.,Johnny Mostil (10),79,R
269,270.,Eddie Booth (5),78,
270,270.,Garry Maddox (15),78,R
271,270.,Rube Oldring (13),78,R
272,270.,George Treadway (4),78,L
273,270.,John Ward+ (17),78,R
274,275.,Bill Bruton (12),77,R
275,275.,Bob Caruthers (10),77,R
276,275.,Dick Higham (8),77,R
277,278.,Vin Campbell (6),76,R
278,278.,Ralph Garr (13),76,R
279,278.,Doggie Miller (13),76,R
280,278.,Rick Monday (19),76,L
281,278.,Raul Mondesi (13),76,R
282,278.,Braggo Roth (8),76,R
283,278.,Sam West (16),76,L
284,285.,Carlos Beltran (20),75,R
285,285.,Manny Ramirez (19),75,R
286,285.,Marty Sullivan (5),75,R
287,288.,Carl Furillo (15),74,R
288,288.,Dave Rowe (7),74,R
289,288.,Bobby Thomson (15),74,R
290,291.,Bobby Abreu (18),73,R
291,291.,George Bechtel (6),73,
292,291.,Ping Bodie (9),73,R
293,291.,Curry Foley (5),73,L
294,291.,Al Kaline+ (22),73,R
295,291.,Bill Virdon (12),73,R
296,297.,Steve Finley (19),72,L
297,297.,Danny Moeller (7),72,R
298,297.,Fred Schulte (11),72,R
299,300.,Jeromy Burnitz (14),71,R
300,300.,Mike Cameron (17),71,R
301,300.,Josh Devore (7),71,R
302,300.,Steve Evans (8),71,L
303,300.,Max Flack (12),71,L
304,300.,Ira Flagstead (13),71,R
305,300.,Brian Giles (15),71,L
306,300.,Dale Murphy (18),71,R
307,300.,Jack O'Connor (21),71,R
308,300.,Homer Smoot (5),71,R
309,300.,Devon White (17),71,R
310,300.,Gus Zernial (11),71,R
311,312.,Joe Birmingham (9),70,R
312,312.,Rocky Colavito (14),70,R
313,312.,Rube Ellis (4),70,L
314,312.,Wilbur Good (11),70,L
315,312.,Tommy Leach (19),70,R
316,312.,Ben Oglivie (16),70,L
317,318.,George Barclay (4),69,R
318,318.,Adam Dunn (14),69,R
319,318.,Bob Fothergill (12),69,R
320,318.,Elmer Smith (10),69,R
321,318.,Fred Snodgrass (9),69,R
322,323.,Beals Becker (8),68,L
323,323.,Vince Coleman (13),68,R
324,323.,Hub Collins (7),68,R
325,323.,Pete Fox (13),68,R
326,323.,Jackie Jensen (11),68,R
327,323.,Jim Lemon (12),68,R
328,323.,Jo-Jo Moore (12),68,R
329,323.,John Peltz (3),68,R
330,323.,Frank Robinson+ (21),68,R
331,323.,Reggie Sanders (17),68,R
332,323.,George Stone (7),68,L
333,334.,Bob Allison (13),67,R
334,334.,Bill Nicholson (16),67,R
335,334.,Hank Sauer (15),67,R
336,334.,Gary Sheffield (22),67,R
337,334.,Elmer Valo (20),67,R
338,334.,Willie Wilson (19),67,R
339,340.,Albert Belle (12),66,R
340,340.,Buck Freeman (11),66,L
341,340.,Ken Griffey (19),66,L
342,340.,Harry Lumley (7),66,L
343,340.,Jim Rice+ (16),66,R
344,340.,Duke Snider+ (18),66,R
345,340.,Joe Vosmik (13),66,R
346,340.,Deacon White+ (20),66,R
347,348.,Moises Alou (17),65,R
348,348.,George Decker (8),65,L
349,348.,Jermaine Dye (14),65,R
350,348.,Dave Foutz (13),65,R
351,348.,Bobby Murcer (17),65,R
352,348.,John O'Rourke (3),65,L
353,348.,Leon Wagner (12),65,R
354,355.,John Cahill (3),64,R
355,355.,Cesar Cedeno (17),64,R
356,355.,Ron Gant (16),64,R
357,355.,Luis Gonzalez (19),64,R
358,355.,Bobby Higginson (11),64,R
359,355.,Bill Hinchman (10),64,R
360,355.,Adam Jones (14),64,R
361,355.,Mike Kreevich (12),64,R
362,355.,Stan Musial+ (22),64,L
363,355.,Bernie Neis (8),64,R
364,355.,Al Oliver (18),64,L
365,355.,Dave Philley (18),64,R
366,355.,Wally Post (15),64,R
367,355.,Tim Salmon (14),64,R
368,355.,Johnny Wyrostek (11),64,R
369,370.,Larry Doby+ (13),63,R
370,370.,Lou Finney (15),63,R
371,370.,Kirk Gibson (17),63,L
372,370.,Myril Hoag (13),63,R
373,370.,Jim Holdsworth (8),63,R
374,370.,Pete Incaviglia (12),63,R
375,370.,Ed Kennedy (4),63,
376,370.,Ray Lankford (14),63,L
377,370.,Billy Maloney (6),63,R
378,370.,Omar Moreno (12),63,L
379,370.,Dave Robertson (9),63,L
380,381.,Felipe Alou (17),62,R
381,381.,Jesse Barfield (12),62,R
382,381.,Charlie Buffinton (11),62,R
383,381.,Al Burch (6),62,R
384,381.,Jose Canseco (17),62,R
385,381.,George Foster (18),62,R
386,381.,John Glenn (7),62,R
387,381.,Tony Gwynn+ (20),62,L
388,381.,George Harper (11),62,R
389,381.,Lance Johnson (14),62,L
390,381.,Lloyd Moseby (12),62,R
391,381.,Darryl Strawberry (17),62,L
392,393.,Monk Cline (5),61,L
393,393.,Tommy Davis (18),61,R
394,393.,Dave Fultz (7),61,R
395,393.,Augie Galan (16),61,R
396,393.,Ken Henderson (16),61,R
397,393.,Tony Oliva (15),61,R
398,393.,Mickey Rivers (15),61,L
399,393.,Amos Strunk (17),61,L
