,Rank,"Player (yrs, age)",Range Factor/9Inn as 1B,Throws
94,95.,Mo Vaughn (12),9.359,R
95,96.,Jeff Bagwell+ (15),9.354,R
96,96.,Mark McGwire (16),9.354,R
97,98.,Casey Kotchman (10),9.326,L
98,99.,Adrian Gonzalez (15),9.315,L
99,100.,Jim Thome+ (22),9.307,R
100,101.,Paul Sorrento (11),9.301,R
101,102.,Tino Martinez (16),9.291,R
102,103.,Nick Johnson (10),9.276,L
103,103.,J.T. Snow (16),9.276,L
104,105.,Adam Lind (12),9.258,L
105,106.,Ryan Howard (13),9.233,L
106,106.,Dave Magadan (16),9.233,R
107,108.,John Milner (12),9.212,L
108,109.,Joe Mauer (15),9.197,R
109,110.,"Matt Adams (9, 31)",9.185,R
110,111.,John Olerud (17),9.184,L
111,112.,Hal Morris (13),9.167,L
112,113.,Adam Dunn (14),9.155,R
113,114.,Darin Erstad (14),9.148,L
114,115.,Kevin Youkilis (10),9.137,R
115,116.,"Brandon Belt (10, 32)",9.133,L
116,117.,"Anthony Rizzo (10, 30)",9.128,L
117,118.,Carlos Pena (14),9.115,L
118,119.,Aubrey Huff (13),9.107,R
119,120.,"Chris Davis (13, 34)",9.097,R
120,121.,Ryan Klesko (16),9.075,L
121,122.,Derrek Lee (15),9.065,R
122,123.,"Yonder Alonso (10, 33)",9.055,R
123,124.,"Justin Smoak (11, 33)",9.030,L
124,125.,Frank Thomas+ (19),9.025,R
125,126.,"Logan Morrison (11, 32)",9.017,L
126,127.,"José Abreu (7, 33)",9.012,R
127,128.,"Freddie Freeman (11, 30)",9.007,R
128,129.,"Miguel Cabrera (18, 37)",8.999,R
129,130.,Mike Napoli (12),8.960,R
130,131.,James Loney (11),8.947,L
131,132.,Prince Fielder (12),8.902,R
132,133.,"Joey Votto (14, 36)",8.842,R
133,134.,"Eric Hosmer (10, 30)",8.825,L
134,135.,Lucas Duda (10),8.803,R
135,136.,"Carlos Santana (11, 34)",8.748,R
136,137.,"Mitch Moreland (11, 34)",8.581,L
