,Rank,"Player (yrs, age)",On-Base Plus Slugging,Bats
222,223.,Roy Cullenbine (10),.8400,B
223,224.,Bob Horner (10),.8393,R
224,225.,Ross Youngs+ (10),.8392,L
225,226.,Benny Kauff (8),.8382,L
226,227.,"Justin Turner (12, 35)",.8380,R
227,228.,Carlos Beltran (20),.8369,B
228,229.,Kirby Puckett+ (12),.8366,R
229,230.,Hugh Duffy+ (17),.8365,R
230,231.,Jose Bautista (15),.8361,R
231,232.,George Harper (11),.8357,L
232,233.,Eddie Murray+ (21),.8355,B
233,234.,Cy Williams (19),.8351,L
234,235.,Dante Bichette (14),.8349,R
235,236.,Richard Hidalgo (9),.8345,R
236,236.,Enos Slaughter+ (19),.8345,L
237,238.,Roberto Clemente+ (18),.8344,R
238,239.,Elmer Flick+ (13),.8342,L
239,240.,Geoff Jenkins (11),.8341,L
240,241.,Pat Burrell (12),.8338,R
241,242.,Chris Hoiles (10),.8335,R
242,242.,John Jaha (10),.8335,R
243,244.,Vic Wertz (17),.8334,L
244,245.,Johnny Frederick (6),.8333,L
245,245.,"Francisco Lindor (6, 26)",.8333,B
246,247.,Rico Carty (15),.8332,R
247,248.,Aramis Ramirez (18),.8331,R
248,249.,Paul O'Neill (17),.8330,L
249,250.,Matt Stairs (19),.8323,L
250,251.,Mike Smith (14),.8315,L
251,252.,Leon Durham (10),.8309,L
252,252.,Mike Greenwell (12),.8309,L
253,254.,Harlond Clift (12),.8308,R
254,254.,Carlos Quentin (9),.8308,R
255,256.,Bill Nicholson (16),.8305,L
256,257.,Reggie Sanders (17),.8304,R
257,258.,Yogi Berra+ (19),.8300,L
258,258.,Alvin Davis (9),.8300,L
259,260.,Don Mattingly (14),.8297,L
260,261.,Ernie Banks+ (19),.8296,R
261,262.,Tony Oliva (15),.8295,L
262,262.,Pete Reiser (10),.8295,L
263,264.,Bob Allison (13),.8291,R
264,264.,Bobby Bonilla (16),.8291,B
265,266.,Jackie Jensen (11),.8290,R
266,267.,Roy Sievers (17),.8287,R
267,268.,Justin Morneau (14),.8282,L
268,269.,"Matt Carpenter (10, 34)",.8280,L
269,269.,Javy Lopez (15),.8280,R
270,269.,Trot Nixon (12),.8280,L
271,272.,Bob Fothergill (12),.8275,R
272,273.,Mike Stanley (15),.8274,R
273,274.,Dave Winfield+ (22),.8271,R
274,275.,Joe Mauer (15),.8268,L
275,276.,Cecil Fielder (13),.8267,R
276,277.,Jermaine Dye (14),.8264,R
277,277.,Ron Santo+ (15),.8264,R
278,279.,"Buster Posey (11, 33)",.8263,R
279,280.,Jeromy Burnitz (14),.8259,L
280,281.,Bug Holliday (10),.8256,R
281,282.,Dmitri Young (13),.8255,B
282,283.,Corey Koskie (9),.8254,L
283,283.,Hank Thompson (9),.8254,L
284,285.,Mark Grace (16),.8253,L
285,286.,"Manny Machado (9, 27)",.8249,R
286,287.,Bobby Bonds (14),.8242,R
287,288.,"Yoenis Céspedes (8, 34)",.8240,R
288,289.,"Corey Dickerson (8, 31)",.8239,L
289,289.,Ken Singleton (15),.8239,B
290,291.,"Shin-Soo Choo (16, 37)",.8237,L
291,292.,Tony Clark (15),.8236,B
292,293.,Josh Willingham (11),.8233,R
293,294.,Chase Utley (16),.8231,L
294,295.,Ben Chapman (15),.8230,R
295,295.,Andruw Jones (17),.8230,R
296,297.,Bobby Doerr+ (14),.8227,R
297,298.,Yasiel Puig (7),.8226,R
298,299.,Joe Gordon+ (11),.8225,R
299,300.,Harry Stovey (14),.8224,R
300,301.,Boog Powell (17),.8223,L
301,302.,Bruce Campbell (13),.8222,L
302,302.,Rod Carew+ (19),.8222,L
303,302.,Brad Fullmer (8),.8222,L
304,305.,Joe Adcock (17),.8220,R
305,306.,Andre Ethier (12),.8219,L
306,306.,Hideki Matsui (10),.8219,L
307,308.,Wally Judnich (7),.8217,L
308,309.,Roger Maris (12),.8216,L
309,310.,Carlos Lee (14),.8215,R
310,311.,Mike Napoli (12),.8212,R
311,312.,"Matt Kemp (15, 35)",.8210,R
312,313.,Whitey Kurowski (9),.8209,R
313,314.,Shane Mack (9),.8207,R
314,315.,Bibb Falk (12),.8206,L
315,315.,Luke Scott (9),.8206,L
316,317.,Keith Hernandez (17),.8205,L
317,318.,Harold Baines+ (22),.8204,L
318,319.,Joe Cunningham (12),.8202,L
319,320.,Ferris Fain (9),.8200,L
320,320.,Bing Miller (16),.8200,R
321,322.,Rickey Henderson+ (25),.8198,R
322,322.,Jimmy Ryan (18),.8198,R
323,322.,"Justin Upton (14, 32)",.8198,R
324,322.,Dixie Walker (18),.8198,L
325,326.,Henry Larkin (10),.8196,R
326,327.,"Jose Altuve (10, 30)",.8194,R
327,328.,Joe Morgan+ (22),.8192,L
