,Rank,"Player (yrs, age)",Defensive WAR,Bats
97,98.,Clint Barmes (13),16.1,R
98,98.,Jim Piersall (17),16.1,R
99,100.,"Kevin Kiermaier (8, 30)",16.0,L
100,101.,Gary Gaetti (20),15.9,R
101,101.,Jimmy Rollins (17),15.9,B
102,103.,Adam Everett (11),15.7,R
103,103.,Dal Maxvill (14),15.7,R
104,105.,Dick Bartell (18),15.6,R
105,106.,"Lorenzo Cain (11, 34)",15.5,R
106,106.,Kenny Lofton (17),15.5,L
107,106.,Freddy Parent (12),15.5,R
108,109.,Johnny Evers+ (18),15.4,L
109,109.,Steve Yeager (15),15.4,R
110,111.,Lance Parrish (19),15.3,R
111,111.,"Dustin Pedroia (14, 36)",15.3,R
112,113.,Benito Santiago (20),15.2,R
113,113.,Red Schoendienst+ (19),15.2,B
114,115.,"Brandon Crawford (10, 33)",15.0,L
115,115.,Lave Cross (21),15.0,R
116,115.,Rafael Furcal (14),15.0,B
117,115.,Brendan Ryan (10),15.0,R
118,119.,Tony Fernandez (17),14.9,B
119,120.,Gene Alley (11),14.7,R
120,120.,"Nolan Arenado (8, 29)",14.7,R
121,120.,Aurelio Rodriguez (17),14.7,R
122,123.,Bill Bergen (11),14.6,R
123,123.,"Evan Longoria (13, 34)",14.6,R
124,125.,Chico Carrasquel (10),14.5,R
125,126.,Brandon Inge (13),14.4,R
126,126.,Barry Larkin+ (19),14.4,R
127,126.,Rico Petrocelli (13),14.4,R
128,129.,Joe Cronin+ (20),14.3,R
129,130.,Frankie Crosetti (17),14.2,R
130,130.,Juan Uribe (16),14.2,R
131,132.,Bud Harrelson (16),14.1,B
132,132.,Bill Killefer (13),14.1,R
133,132.,Butch Wynegar (13),14.1,B
134,135.,Rick Burleson (13),14.0,R
135,135.,Del Crandall (16),14.0,R
136,135.,Johnny Logan (13),14.0,R
137,135.,Gil McDougald (10),14.0,R
138,139.,Wade Boggs+ (18),13.9,L
139,139.,Rogers Hornsby+ (23),13.9,R
140,139.,Jason Kendall (15),13.9,R
141,139.,Billy Rogell (14),13.9,B
142,143.,Charles Johnson (12),13.8,R
143,144.,Lou Criger (16),13.7,R
144,144.,Johnny Kling (13),13.7,R
145,146.,Freddie Patek (14),13.6,R
146,146.,Dick Schofield (14),13.6,R
147,146.,Jose Valentin (16),13.6,B
148,149.,Bobby Doerr+ (14),13.5,R
149,149.,Terry Pendleton (15),13.5,B
150,149.,Ryne Sandberg+ (16),13.5,R
151,149.,Glenn Wright (11),13.5,R
152,153.,"Salvador Perez (9, 30)",13.4,R
153,153.,Mike Scioscia (13),13.4,L
154,155.,Lonny Frey (14),13.3,L
155,155.,Gabby Hartnett+ (20),13.3,R
156,157.,Orlando Hudson (11),13.2,B
157,158.,Clay Dalrymple (12),13.0,L
158,158.,Cesar Izturis (13),13.0,B
159,158.,Neifi Perez (12),13.0,B
160,158.,Ned Williamson (13),13.0,R
161,162.,Al Lopez+ (19),12.9,R
162,163.,Gary Disarcina (12),12.8,R
163,163.,Duke Farrell (18),12.8,B
164,163.,"Brett Gardner (13, 36)",12.8,L
165,163.,Matt Williams (17),12.8,R
166,167.,Billy Sullivan (16),12.7,R
167,168.,"Jeff Mathis (16, 37)",12.6,R
168,169.,Hal Lanier (10),12.5,R
169,169.,"Manny Machado (9, 27)",12.5,R
170,169.,Nick Punto (14),12.5,B
171,169.,Jack Warner (14),12.5,L
172,173.,Ossie Bluege (18),12.4,R
173,173.,Billy Herman+ (15),12.4,R
174,173.,Tony Kubek (9),12.4,L
175,173.,Arlie Latham (17),12.4,R
176,177.,Jack Barry (11),12.3,R
177,178.,Jesse Barfield (12),12.2,R
178,178.,Roberto Clemente+ (18),12.2,R
179,178.,Al Dark (14),12.2,R
180,178.,Maury Wills (14),12.2,B
181,182.,Mike Gallego (13),12.1,R
182,182.,John Valentin (11),12.1,R
183,184.,Hod Ford (15),12.0,R
184,184.,Bill Freehan (15),12.0,R
185,184.,Randy Hundley (14),12.0,R
186,184.,Arky Vaughan+ (14),12.0,L
187,188.,Thurman Munson (11),11.9,R
188,189.,Bill Bradley (14),11.8,R
189,190.,Bones Ely (14),11.7,R
190,191.,Ron Karkovice (12),11.6,R
191,192.,"Nick Ahmed (7, 30)",11.5,R
192,192.,Leo Durocher+ (17),11.5,R
193,194.,Frank Duffy (10),11.4,R
194,194.,Garry Maddox (15),11.4,R
195,194.,Manny Sanguillen (13),11.4,R
196,197.,Jerry Grote (16),11.3,R
197,197.,Terry Kennedy (14),11.3,L
198,199.,"Mookie Betts (7, 27)",11.1,R
199,199.,Jody Davis (10),11.1,R
200,199.,Willie Davis (18),11.1,L
201,199.,Steve O'Neill (17),11.1,R
202,199.,Buddy Rosar (13),11.1,R
203,199.,Snuffy Stirnweiss (10),11.1,R
204,205.,John McDonald (16),10.9,R
205,205.,Dan Wilson (14),10.9,R
206,207.,Darin Erstad (14),10.8,L
207,207.,Larry Gardner (17),10.8,L
208,207.,Ken McMullen (16),10.8,R
209,207.,Carlos Ruiz (12),10.8,R
210,211.,Ken Boyer (15),10.7,R
211,211.,Donie Bush (16),10.7,B
212,211.,Woody English (12),10.7,R
213,211.,Davy Force (15),10.7,R
214,211.,Charlie Gehringer+ (19),10.7,L
215,211.,"Jason Heyward (11, 30)",10.7,L
216,211.,"Matt Wieters (12, 34)",10.7,B
217,211.,Willie Wilson (19),10.7,B
218,219.,Curt Flood (15),10.6,R
219,219.,Hank Gowdy (17),10.6,R
220,219.,Charlie O'Brien (15),10.6,R
221,219.,Darrell Porter (17),10.6,L
222,223.,"Elvis Andrus (12, 31)",10.5,R
223,223.,Mike Benjamin (13),10.5,R
224,223.,Lance Johnson (14),10.5,L
225,223.,Kirt Manwaring (13),10.5,R
226,223.,Tim Wallach (17),10.5,R
227,228.,Jeff Cirillo (14),10.4,R
228,228.,Alex Gonzalez (16),10.4,R
229,228.,Dick Green (12),10.4,R
230,228.,Sherm Lollar (18),10.4,R
231,228.,Alex Rodriguez (22),10.4,R
232,228.,John Ward+ (17),10.4,L
233,234.,Sparky Adams (13),10.3,R
234,234.,Orlando Cabrera (15),10.3,R
235,234.,Mike Cameron (17),10.3,R
236,234.,Julio Cruz (10),10.3,B
237,234.,Jose Oquendo (12),10.3,B
238,234.,Walt Weiss (14),10.3,B
239,240.,Art Devlin (10),10.2,R
240,240.,Bill Dickey+ (17),10.2,L
241,240.,Eddie Joost (17),10.2,R
242,243.,George Gibson (14),10.1,R
243,243.,Brian Jordan (15),10.1,R
244,243.,Nap Lajoie+ (21),10.1,R
245,243.,Mark Lemke (11),10.1,B
246,243.,Rey Ordóñez (9),10.1,R
247,243.,Tom Pagnozzi (12),10.1,R
248,243.,"Buster Posey (11, 33)",10.1,R
249,243.,Jackie Robinson+ (10),10.1,R
250,251.,Don Kessinger (16),10.0,B
251,251.,Bobby Knoop (9),10.0,R
252,251.,"Juan Lagares (8, 31)",10.0,R
253,251.,Mike LaValliere (12),10.0,L
254,255.,David Bell (12),9.9,R
255,255.,Bruce Benedict (12),9.9,R
256,255.,Lou Bierbauer (13),9.9,L
257,255.,Michael Bourn (11),9.9,L
258,255.,Johnny Edwards (14),9.9,L
259,255.,Jim Gantner (17),9.9,L
260,255.,Carlos Gomez (13),9.9,R
261,255.,Alfredo Griffin (18),9.9,B
262,255.,Gary Pettis (11),9.9,B
263,264.,Jerry Adair (13),9.8,R
264,264.,Mike Matheny (13),9.8,R
265,266.,Doug DeCinces (15),9.7,R
266,266.,Buck Ewing+ (18),9.7,R
267,266.,Rabbit Warstler (11),9.7,R
268,269.,Home Run Baker+ (13),9.6,L
269,269.,"Matt Chapman (4, 27)",9.6,R
270,269.,"Jarrod Dyson (11, 35)",9.6,L
271,269.,"Billy Hamilton (8, 29)",9.6,B
272,273.,Danny Richardson (11),9.5,R
273,273.,Ted Sizemore (12),9.5,R
274,273.,Ernie Whitt (15),9.5,L
275,276.,"Zack Cozart (9, 34)",9.4,R
276,276.,Rick Ferrell+ (18),9.4,R
277,276.,Mark Grudzielanek (15),9.4,R
278,276.,Willie Kamm (13),9.4,R
279,276.,"Francisco Lindor (6, 26)",9.4,B
280,281.,"Ender Inciarte (7, 29)",9.3,L
281,281.,Bengie Molina (13),9.3,R
282,281.,Cy Perkins (17),9.3,R
283,281.,Alexei Ramírez (9),9.3,R
284,281.,Frank Snyder (16),9.3,R
285,281.,Terry Steinbach (14),9.3,R
286,281.,"Kurt Suzuki (14, 36)",9.3,R
287,288.,Jay Bell (18),9.2,R
288,288.,Yogi Berra+ (19),9.2,L
289,290.,Jimmy Archer (12),9.1,R
290,290.,Granny Hamner (17),9.1,R
291,290.,Charlie Hollocher (7),9.1,L
292,290.,Joe Sewell+ (14),9.1,L
293,290.,Vern Stephens (15),9.1,R
294,290.,Ivey Wingo (17),9.1,L
295,296.,Dave Cash (12),9.0,R
296,296.,Arthur Irwin (13),9.0,L
297,296.,Hughie Jennings+ (18),9.0,R
298,296.,Malachi Kittridge (16),9.0,R
299,296.,"DJ LeMahieu (10, 31)",9.0,R
300,296.,Chet Lemon (16),9.0,R
301,296.,Tommy Thevenow (15),9.0,R
302,303.,Fred Dunlap (12),8.9,R
303,303.,Ramon Hernandez (15),8.9,R
304,303.,Milt May (15),8.9,L
305,303.,Edgar Renteria (16),8.9,R
306,303.,Craig Reynolds (15),8.9,L
307,303.,Pop Snyder (18),8.9,R
308,303.,Jose Uribe (10),8.9,B
309,303.,George Wright+ (12),8.9,R
310,311.,"Martin Maldonado (10, 33)",8.8,R
311,311.,John Roseboro (14),8.8,L
312,311.,Jason Varitek (15),8.8,B
313,314.,Rafael Belliard (17),8.7,R
314,314.,Max Bishop (12),8.7,L
315,314.,Jim Hegan (17),8.7,R
316,314.,Buck Herzog (13),8.7,R
317,314.,Buddy Kerr (9),8.7,R
318,314.,Ron Santo+ (15),8.7,R
319,314.,Rennie Stennett (11),8.7,R
320,314.,Bobby Wine (12),8.7,R
321,322.,Ed Bailey (14),8.6,L
322,322.,Hobe Ferris (9),8.6,R
323,322.,Heinie Groh (16),8.6,R
324,322.,"Jake Marisnick (8, 29)",8.6,R
325,322.,Pokey Reese (8),8.6,R
326,322.,Eddie Stanky (11),8.6,R
327,328.,Sal Bando (16),8.5,R
328,328.,Roy Campanella+ (10),8.5,R
329,328.,Joe Crede (10),8.5,R
330,328.,"Yan Gomes (9, 32)",8.5,R
331,328.,Glenn Hubbard (12),8.5,R
332,328.,Doc Lavan (12),8.5,R
333,328.,Dickie Thon (15),8.5,R
334,335.,Jose Hernandez (15),8.4,R
335,335.,Adam Kennedy (14),8.4,L
336,335.,Jason LaRue (12),8.4,R
337,335.,Bobby Lowe (18),8.4,R
338,335.,A.J. Pierzynski (19),8.4,L
339,340.,Rich Dauer (10),8.3,R
340,340.,Muddy Ruel (19),8.3,R
341,340.,Buck Weaver (9),8.3,B
342,343.,Rick Cerone (18),8.2,R
343,343.,Jim Gilliam (14),8.2,B
344,343.,Elston Howard (14),8.2,R
345,343.,Claude Ritchey (13),8.2,B
346,347.,Doc Bushong (13),8.1,R
347,347.,Eddie Collins+ (25),8.1,L
348,347.,Shorty Fuller (9),8.1,R
349,347.,Alex Gonzalez (13),8.1,R
350,347.,Jeff Reboulet (12),8.1,R
351,347.,John Stearns (11),8.1,R
352,353.,"Carlos Correa (6, 25)",8.0,R
353,353.,Silver Flint (13),8.0,R
354,353.,Tommy Leach (19),8.0,R
355,353.,Manuel Lee (11),8.0,B
356,353.,Ski Melillo (12),8.0,R
357,353.,Heinie Peitz (16),8.0,R
358,353.,Addison Russell (5),8.0,R
359,353.,Zoilo Versalles (12),8.0,R
360,361.,Sandy Alomar (15),7.9,B
361,361.,Sandy Alomar (20),7.9,R
362,361.,"Javier Baez (7, 27)",7.9,R
363,361.,Darwin Barney (8),7.9,R
364,361.,Bo Diaz (13),7.9,R
365,361.,Jim Fregosi (18),7.9,R
366,361.,Joe Girardi (15),7.9,R
367,361.,Tom Haller (12),7.9,L
368,361.,Darrin Jackson (12),7.9,R
369,361.,Paul Lo Duca (11),7.9,R
370,361.,Larry McLean (13),7.9,R
371,361.,Robby Thompson (11),7.9,R
372,361.,Rick Wilkins (11),7.9,L
373,374.,Frank Bowerman (15),7.8,R
374,374.,"Jackie Bradley Jr. (8, 30)",7.8,L
375,374.,Alex Grammas (10),7.8,R
376,374.,Chief Meyers (9),7.8,R
377,378.,Sam Agnew (7),7.7,R
378,378.,Al Bridwell (11),7.7,L
379,378.,Tom Burns (13),7.7,R
380,378.,Jackie Hayes (14),7.7,R
381,378.,Brian McCann (15),7.7,L
382,378.,Jose Molina (15),7.7,R
383,378.,Martin Prado (14),7.7,R
384,378.,Shane Victorino (12),7.7,R
385,386.,Henry Blanco (16),7.6,R
386,386.,Barry Bonds (22),7.6,L
387,386.,Eddie Kasko (10),7.6,R
388,386.,Buck Martinez (17),7.6,R
389,386.,"Kevin Pillar (8, 31)",7.6,R
390,386.,Mike Ryan (11),7.6,R
391,386.,Harry Steinfeldt (14),7.6,R
392,393.,"Roberto Perez (7, 31)",7.5,R
393,393.,"Trevor Story (5, 27)",7.5,R
394,395.,Monte Cross (15),7.4,R
395,395.,Tony Cuccinello (15),7.4,R
396,395.,Bill Holbert (12),7.4,R
397,395.,Ray Mueller (14),7.4,R
398,395.,Billy Myers (7),7.4,R
399,395.,Billy Nash (15),7.4,R
400,395.,Johnny Rawlings (12),7.4,R
401,395.,Ossie Vitt (10),7.4,R
402,395.,"Kolten Wong (8, 29)",7.4,L
403,404.,Jason Bartlett (10),7.3,R
404,404.,Charley Bassett (9),7.3,R
405,404.,Alvaro Espinoza (12),7.3,R
406,404.,Danny O'Connell (10),7.3,R
407,404.,Brian Schneider (13),7.3,L
408,409.,Danny Espinosa (8),7.2,B
409,409.,Charlie Ganzel (14),7.2,R
410,409.,Joe Gerhardt (15),7.2,R
411,409.,"Alex Gordon (14, 36)",7.2,L
412,409.,Ken Keltner (13),7.2,R
413,409.,Leonys Martín (9),7.2,L
414,409.,Ed McFarland (14),7.2,R
415,409.,Fred Pfeffer (16),7.2,R
416,409.,"Jonathan Schoop (8, 28)",7.2,R
417,409.,Burgess Whitehead (9),7.2,R
418,419.,Lenny Dykstra (12),7.1,L
419,419.,Kid Elberfeld (14),7.1,R
420,419.,Damian Miller (11),7.1,R
421,419.,Harold Reynolds (12),7.1,B
422,419.,David Ross (15),7.1,R
423,419.,Aaron Ward (12),7.1,R
424,425.,Ivan de Jesus (15),7.0,R
425,425.,Phil Garner (16),7.0,R
426,425.,George Strickland (10),7.0,R
427,428.,Bob Allen (7),6.9,R
428,428.,"Tucker Barnhart (7, 29)",6.9,L
429,428.,Don Blasingame (12),6.9,L
430,428.,Tom Brookens (12),6.9,R
431,428.,Billy Clingman (10),6.9,B
432,428.,Alex Cora (14),6.9,L
433,428.,Andy Etchebarren (15),6.9,R
434,428.,Jack Farrell (11),6.9,R
435,428.,Pedro Feliz (11),6.9,R
436,428.,Walter Schmidt (10),6.9,R
437,428.,Luke Sewell (20),6.9,R
438,428.,B.J. Surhoff (19),6.9,L
439,440.,Larry Brown (12),6.8,R
440,440.,"Robinson Cano (16, 37)",6.8,L
441,440.,Jerry Denny (13),6.8,R
442,440.,"José Iglesias (9, 30)",6.8,R
443,440.,Brandon Phillips (17),6.8,R
444,440.,Buck Rodgers (9),6.8,B
445,440.,Dick Schofield (19),6.8,B
446,440.,Jimmie Wilson (18),6.8,R
447,440.,Robin Yount+ (20),6.8,R
448,449.,Ryan Hanigan (11),6.7,R
449,449.,Miguel Tejada (16),6.7,R
450,451.,"Byron Buxton (6, 26)",6.6,R
451,451.,Paul Casanova (10),6.6,R
452,451.,Ron Cey (17),6.6,R
453,451.,Alcides Escobar (11),6.6,R
454,451.,Eddie Foster (13),6.6,R
455,451.,Billy Gardner (10),6.6,R
456,451.,Rich Gedman (13),6.6,L
457,451.,Charlie Gelbert (9),6.6,R
458,451.,John Grim (11),6.6,R
459,451.,Jose Lind (9),6.6,R
460,451.,Jocko Milligan (10),6.6,R
461,451.,Johnny Pesky (10),6.6,L
462,451.,Zeb Terry (7),6.6,R
463,464.,Earl Battey (13),6.5,R
464,464.,Roger Bresnahan+ (17),6.5,R
465,464.,Nomar Garciaparra (14),6.5,R
466,464.,Wally Gerber (15),6.5,R
467,464.,Aaron Hill (13),6.5,R
468,464.,David Howard (9),6.5,B
469,464.,Omar Infante (15),6.5,R
470,464.,Buddy Myer (17),6.5,L
471,464.,Skeeter Newsome (12),6.5,R
472,464.,Wally Schang (19),6.5,B
473,464.,Dave Valle (13),6.5,R
474,464.,Ben Zobrist (14),6.5,B
475,476.,"Erick Aybar (12, 36)",6.4,B
476,476.,Jamey Carroll (12),6.4,R
477,476.,Jim Edmonds (17),6.4,L
478,476.,Tim McCarver (21),6.4,L
479,476.,Mike Mowrey (13),6.4,R
480,476.,Admiral Schlei (8),6.4,R
481,476.,"Jean Segura (9, 30)",6.4,R
482,476.,"Marcus Semien (8, 29)",6.4,R
483,484.,Joe Azcue (11),6.3,R
484,484.,Frank Bolling (12),6.3,R
485,484.,John Castino (6),6.3,R
486,484.,Eric Chavez (17),6.3,L
487,484.,Roger Connor+ (18),6.3,B
488,484.,Red Dooin (15),6.3,R
489,484.,Franklin Gutierrez (12),6.3,R
490,484.,Gerald Laird (13),6.3,R
491,484.,George Mitterwald (11),6.3,R
492,484.,Pat Moran (14),6.3,R
493,484.,Tony Phillips (18),6.3,B
494,495.,Dale Berra (11),6.2,R
495,495.,Smoky Burgess (18),6.2,L
496,495.,Horace Clarke (10),6.2,B
497,495.,Travis Fryman (13),6.2,R
498,495.,Doug Glanville (9),6.2,R
499,495.,Mike González (17),6.2,R
500,495.,Marc Hill (14),6.2,R
501,495.,Jim Keenan (11),6.2,R
502,495.,Darren Lewis (13),6.2,R
503,495.,Mark McLemore (19),6.2,B
504,495.,Johnny Ray (10),6.2,B
505,495.,Billy Shindle (13),6.2,R
506,495.,Eric Soderholm (9),6.2,R
507,495.,Art Whitney (11),6.2,R
508,509.,Vinny Castilla (16),6.1,R
509,509.,Tim Cullen (7),6.1,R
510,509.,Jake Gibbs (10),6.1,L
511,509.,Toby Hall (9),6.1,R
512,509.,"Adeiny Hechavarria (9, 31)",6.1,R
513,509.,Bob O'Farrell (21),6.1,R
514,509.,"Wilson Ramos (11, 32)",6.1,R
515,516.,Jimmy Cooney (7),6.0,R
516,516.,Joe DeMaestri (11),6.0,R
517,516.,Jacoby Ellsbury (11),6.0,L
518,516.,Jim Essian (12),6.0,R
519,516.,Rollie Hemsley (19),6.0,R
520,516.,Tim Hulett (12),6.0,R
521,516.,Chuck Knoblauch (12),6.0,R
522,516.,Dwayne Murphy (12),6.0,L
523,516.,Mickey O'Neil (9),6.0,R
524,516.,Billy Ripken (12),6.0,R
525,516.,Ellie Rodriguez (9),6.0,R
526,516.,"Kyle Seager (10, 32)",6.0,L
527,516.,Gabby Street (8),6.0,R
528,516.,Manny Trillo (17),6.0,R
529,516.,Gregg Zaun (16),6.0,B
530,531.,"Alex Avila (12, 33)",5.9,L
531,531.,Sam Bohne (7),5.9,R
532,531.,Rocky Bridges (11),5.9,R
533,531.,Jim Busby (13),5.9,R
534,531.,Chris Cannizzaro (13),5.9,R
535,531.,"Paul DeJong (4, 26)",5.9,R
536,531.,Kiko Garcia (10),5.9,R
537,531.,Benji Gil (8),5.9,R
538,531.,"Caleb Joseph (7, 34)",5.9,R
539,531.,Jack O'Connor (21),5.9,R
540,531.,Joe Oliver (13),5.9,R
541,531.,Cliff Pennington (11),5.9,B
542,531.,Jhonny Peralta (15),5.9,R
543,531.,Zack Taylor (16),5.9,R
544,545.,"Robinson Chirinos (9, 36)",5.8,R
545,545.,Jimmy Cooney (3),5.8,B
546,545.,Tom Foley (13),5.8,L
547,545.,Cesar Geronimo (15),5.8,L
548,545.,Barney Gilligan (10),5.8,R
549,545.,Tony Graffanino (13),5.8,R
550,545.,Mike Lansing (9),5.8,R
551,545.,Humberto Quintero (12),5.8,R
552,545.,Pop Smith (12),5.8,R
553,545.,Skeeter Webb (12),5.8,R
554,555.,Tommie Agee (12),5.7,R
555,555.,Tony Batista (11),5.7,R
556,555.,Peter Bourjos (10),5.7,R
557,555.,Jack Burdock (18),5.7,R
558,555.,John Flaherty (14),5.7,R
559,555.,Mike Heath (14),5.7,R
560,555.,Tommy Helms (14),5.7,R
561,555.,Javy Lopez (15),5.7,R
562,555.,Willy Miranda (9),5.7,B
563,555.,John Peters (11),5.7,R
564,555.,Red Rolfe (10),5.7,L
565,566.,Rod Barajas (14),5.6,R
566,566.,Barry Foote (10),5.6,R
567,566.,Craig Grebeck (12),5.6,R
568,566.,Eddie Mathews+ (17),5.6,L
569,566.,Del Pratt (13),5.6,R
570,566.,Greg Pryor (10),5.6,R
571,566.,Ira Thomas (10),5.6,R
572,573.,Joe Battin (10),5.5,R
573,573.,Deivi Cruz (9),5.5,R
574,573.,Yunel Escobar (11),5.5,R
575,573.,Craig Gentry (10),5.5,R
576,573.,Solly Hemus (11),5.5,L
577,573.,Jerry Kenney (6),5.5,L
578,573.,Steve Lake (11),5.5,R
579,573.,Spike Owen (13),5.5,B
580,573.,Babe Pinelli (8),5.5,R
581,573.,Randy Velarde (16),5.5,R
582,573.,Billy Werber (11),5.5,R
583,584.,Richie Ashburn+ (15),5.4,L
584,584.,Charlie Bastian (8),5.4,R
585,584.,Steve Buechele (11),5.4,R
586,584.,Bill Carrigan (10),5.4,R
587,584.,"Welington Castillo (10, 33)",5.4,R
588,584.,Todd Cruz (6),5.4,R
589,584.,Jim Davenport (13),5.4,R
590,584.,"Josh Donaldson (10, 34)",5.4,R
591,584.,Corey Koskie (9),5.4,L
592,584.,Brent Mayne (15),5.4,L
593,584.,Pat Meares (9),5.4,R
594,584.,Bob Melvin (10),5.4,R
595,584.,Ken Oberkfell (16),5.4,L
596,584.,Miguel Olivo (13),5.4,R
597,584.,Phil Roof (15),5.4,R
598,584.,Boss Schmidt (6),5.4,B
599,600.,Charlie Deal (10),5.3,R
600,600.,Duffy Dyer (14),5.3,R
601,600.,Frank Fennelly (7),5.3,R
602,600.,Wayne Garrett (10),5.3,L
603,600.,"Josh Harrison (10, 32)",5.3,R
604,600.,Richard Hidalgo (9),5.3,R
605,600.,Chris Hoiles (10),5.3,R
606,600.,Ernie Johnson (10),5.3,L
607,600.,Frank Malzone (12),5.3,R
608,600.,"Ketel Marte (6, 26)",5.3,B
609,600.,Ray Oyler (6),5.3,R
610,600.,Bill Rariden (12),5.3,R
611,600.,Jerry Remy (10),5.3,L
612,600.,Connie Ryan (12),5.3,R
613,600.,Mike Tyson (10),5.3,R
614,600.,Woody Woodward (9),5.3,R
615,616.,Ross Barnes (9),5.2,R
616,616.,Ken Berry (14),5.2,R
617,616.,Eddie Bressoud (12),5.2,R
618,616.,Scott Brosius (11),5.2,R
619,616.,Don Buford (10),5.2,B
620,616.,"Jason Castro (10, 33)",5.2,L
621,616.,Ray Fosse (12),5.2,R
622,616.,"Ryan Goins (8, 32)",5.2,L
623,616.,Austin Jackson (9),5.2,R
624,616.,Tony Lazzeri+ (14),5.2,R
625,616.,Don Money (16),5.2,R
626,616.,Colby Rasmus (10),5.2,L
627,616.,Brian Roberts (14),5.2,B
628,616.,Jack Rowe (12),5.2,L
629,616.,Ted Simmons+ (21),5.2,B
630,616.,Wayne Terwilliger (9),5.2,R
631,616.,Cecil Travis (12),5.2,L
632,616.,Alex Trevino (13),5.2,R
