,Rank,"Player (yrs, age)",Runs Created,Bats
46,47.,Wade Boggs+ (18),1750,L
47,48.,Carlos Beltran (20),1731,B
48,49.,Cal Ripken Jr.+ (21),1729,R
49,50.,Eddie Mathews+ (17),1723,L
50,51.,Charlie Gehringer+ (19),1715,L
51,52.,Bobby Abreu (18),1708,L
52,53.,Fred McGriff (19),1704,L
53,54.,Nap Lajoie+ (21),1690,R
54,55.,Billy Williams+ (18),1671,L
55,56.,Goose Goslin+ (18),1667,L
56,57.,Harry Heilmann+ (17),1661,R
57,58.,Robin Yount+ (20),1655,R
58,59.,Luis Gonzalez (19),1641,L
59,60.,Willie McCovey+ (22),1638,L
60,61.,Tony Gwynn+ (20),1636,L
61,61.,Tim Raines+ (23),1636,B
62,63.,Edgar Martinez+ (18),1631,R
63,64.,Vladimir Guerrero+ (16),1626,R
64,65.,Sammy Sosa (18),1625,R
65,66.,Larry Walker+ (17),1619,L
66,67.,Jason Giambi (20),1613,L
67,68.,Dwight Evans (20),1612,R
68,69.,Harold Baines+ (22),1606,L
69,69.,Harmon Killebrew+ (22),1606,R
70,71.,Rod Carew+ (19),1595,L
71,72.,Carlos Delgado (17),1588,L
72,73.,Johnny Damon (18),1587,L
73,74.,Roberto Alomar+ (17),1575,B
74,75.,Ed Delahanty+ (16),1573,R
75,76.,Sam Crawford+ (19),1569,L
76,76.,Joe DiMaggio+ (13),1569,R
77,78.,Jesse Burkett+ (16),1565,L
78,79.,Roberto Clemente+ (18),1558,R
79,80.,Rusty Staub (23),1533,L
80,81.,Willie Stargell+ (21),1531,L
81,82.,Mark McGwire (16),1529,R
82,83.,Tony Perez+ (23),1524,R
83,84.,Andre Dawson+ (21),1518,R
84,85.,Ernie Banks+ (19),1513,R
85,86.,Lou Brock+ (19),1512,L
86,87.,Ichiro Suzuki (19),1501,L
87,88.,Darrell Evans (21),1499,L
88,89.,Roger Connor+ (18),1497,B
89,89.,Jeff Kent (17),1497,R
90,91.,Zack Wheat+ (19),1482,L
91,92.,Lance Berkman (15),1475,B
92,92.,Duke Snider+ (18),1475,L
93,94.,Jake Beckley+ (20),1466,L
94,95.,Sam Rice+ (20),1464,L
95,95.,George Sisler+ (15),1464,L
96,97.,Frankie Frisch+ (19),1461,B
97,98.,John Olerud (17),1455,L
98,99.,Dave Parker (19),1451,L
99,100.,Dan Brouthers+ (19),1450,L
100,101.,Bernie Williams (16),1445,B
101,102.,Paul Konerko (18),1435,R
102,103.,Johnny Mize+ (15),1431,L
103,103.,"Joey Votto (14, 36)",1431,L
104,105.,"Robinson Cano (16, 37)",1429,L
105,106.,Chili Davis (19),1416,B
106,106.,Steve Finley (19),1416,L
107,108.,Will Clark (15),1415,L
108,109.,Luke Appling+ (20),1412,R
109,110.,Jim Edmonds (17),1408,L
110,111.,Mark Grace (16),1403,L
111,112.,Ivan Rodriguez+ (21),1398,R
112,113.,Lou Whitaker (19),1395,L
113,114.,Andres Galarraga (19),1394,R
114,115.,Fred Clarke+ (21),1393,L
115,115.,Vada Pinson (18),1393,L
116,117.,Joe Medwick+ (17),1391,R
117,118.,Kenny Lofton (17),1386,L
118,119.,Brian Giles (15),1385,L
119,120.,Jim Rice+ (16),1384,R
120,121.,Barry Larkin+ (19),1381,R
121,122.,Ron Santo+ (15),1379,R
122,123.,Jim Bottomley+ (16),1378,L
123,123.,Carlton Fisk+ (24),1378,R
124,123.,Willie Keeler+ (19),1378,L
125,123.,Mike Piazza+ (16),1378,R
126,127.,Joe Cronin+ (20),1370,R
127,127.,Scott Rolen (17),1370,R
128,129.,Heinie Manush+ (17),1369,L
129,130.,Enos Slaughter+ (19),1366,L
130,131.,Bob Johnson (13),1364,R
131,132.,Brooks Robinson+ (23),1355,R
132,133.,Richie Ashburn+ (15),1352,L
133,134.,Ellis Burks (18),1350,R
134,134.,Matt Holliday (15),1350,R
135,136.,Jimmy Ryan (18),1349,R
136,137.,Max Carey+ (20),1347,B
137,137.,Al Oliver (18),1347,L
138,139.,Mickey Vernon (20),1346,L
139,140.,Aramis Ramirez (18),1345,R
140,141.,Chuck Klein+ (17),1343,L
141,142.,Ryne Sandberg+ (16),1342,R
142,143.,Orlando Cepeda+ (17),1337,R
143,144.,Moises Alou (17),1335,R
144,145.,George Davis+ (20),1333,B
145,146.,Jimmy Rollins (17),1325,B
146,147.,Omar Vizquel (24),1324,B
147,148.,Earl Averill+ (13),1323,L
148,148.,Adam Dunn (14),1323,L
149,150.,Mark Teixeira (14),1312,B
150,151.,Julio Franco (23),1309,R
151,152.,Dale Murphy (18),1308,R
152,153.,Kiki Cuyler+ (18),1303,R
153,154.,Torii Hunter (19),1302,R
154,155.,George Van Haltren (17),1296,L
155,156.,Brian Downing (20),1294,R
156,157.,Dick Allen (15),1292,R
157,157.,Jose Canseco (17),1292,R
158,159.,Hank Greenberg+ (13),1291,R
159,160.,Carlos Lee (14),1287,R
160,161.,Ted Simmons+ (21),1283,B
161,162.,Keith Hernandez (17),1281,L
162,163.,Jack Clark (18),1279,R
163,164.,Brett Butler (17),1276,L
164,164.,Norm Cash (17),1276,L
165,164.,Reggie Smith (17),1276,B
166,167.,Joe Kelley+ (17),1275,R
167,168.,Bill Terry+ (14),1269,L
168,169.,Derrek Lee (15),1268,R
169,170.,Yogi Berra+ (19),1267,L
170,171.,"Nick Markakis (15, 36)",1265,L
171,171.,Graig Nettles (22),1265,L
172,173.,Jim O'Rourke+ (23),1263,R
173,174.,Joe Torre+ (18),1259,R
174,175.,Andruw Jones (17),1255,R
175,175.,Alan Trammell+ (20),1255,R
176,177.,"Ryan Braun (14, 36)",1252,R
177,178.,Shawn Green (15),1251,L
178,178.,Magglio Ordonez (15),1251,R
179,180.,Don Baylor (19),1247,R
180,180.,Ken Singleton (15),1247,B
181,182.,"Edwin Encarnacion (16, 37)",1243,R
182,183.,Joe Judge (20),1242,L
183,184.,Paul O'Neill (17),1241,L
184,184.,Alfonso Soriano (16),1241,R
185,186.,Garret Anderson (17),1240,L
186,187.,Johnny Bench+ (17),1239,R
187,187.,Miguel Tejada (16),1239,R
188,189.,Hugh Duffy+ (17),1237,R
189,190.,Steve Garvey (19),1232,R
190,190.,Gil Hodges (18),1232,R
191,190.,Fred Lynn (17),1232,L
192,193.,Harry Hooper+ (17),1228,L
193,194.,Bill Dahlen (21),1227,R
194,195.,Bobby Bonds (14),1226,R
195,195.,Chase Utley (16),1226,L
196,197.,Adrian Gonzalez (15),1225,L
197,197.,Billy Hamilton+ (14),1225,L
198,199.,Jose Cruz (19),1224,L
199,200.,Bobby Bonilla (16),1223,B
200,201.,Juan Gonzalez (17),1222,R
201,202.,Buddy Bell (18),1217,R
202,203.,Curtis Granderson (16),1210,L
203,204.,Joe Carter (16),1209,R
204,205.,Albert Belle (12),1206,R
205,205.,Tim Salmon (14),1206,R
206,207.,Arky Vaughan+ (14),1205,L
207,208.,Tony Phillips (18),1203,B
208,209.,Joe Mauer (15),1201,L
209,209.,Kirby Puckett+ (12),1201,R
210,211.,"Mike Trout (10, 28)",1199,R
211,212.,Bill Buckner (22),1190,L
212,213.,Pie Traynor+ (17),1188,R
213,214.,Ken Boyer (15),1185,R
214,214.,Willie Davis (18),1185,L
215,216.,Gary Carter+ (19),1184,R
216,217.,Edd Roush+ (18),1183,L
217,218.,Michael Young (14),1182,R
218,219.,Minnie Minoso (17),1179,R
219,220.,Ray Durham (14),1177,B
220,220.,Nellie Fox+ (19),1177,L
221,222.,"Nelson Cruz (16, 39)",1173,R
222,223.,Bobby Doerr+ (14),1169,R
223,223.,Bob Elliott (15),1169,R
224,225.,Don Mattingly (14),1168,L
225,226.,Gary Gaetti (20),1167,R
226,226.,Victor Martinez (16),1167,B
227,228.,Gary Matthews (16),1166,R
228,229.,Bill Dickey+ (17),1164,L
229,229.,Sam Thompson+ (15),1164,L
230,231.,Joe Kuhel (18),1163,L
231,232.,Raul Ibanez (19),1162,L
232,232.,Robin Ventura (16),1162,L
233,234.,Rocky Colavito (14),1159,R
234,235.,Ken Griffey (19),1158,L
235,236.,Ozzie Smith+ (19),1156,B
236,237.,Greg Luzinski (15),1155,R
237,238.,Lave Cross (21),1154,R
238,239.,Wally Joyner (16),1153,L
239,240.,Jimmy Dykes (22),1151,R
240,240.,Toby Harrah (17),1151,R
241,240.,Gabby Hartnett+ (20),1151,R
242,243.,Prince Fielder (12),1150,L
243,244.,Doc Cramer (20),1149,L
244,244.,Jim Wynn (15),1149,R
245,246.,Ron Cey (17),1148,R
246,246.,Eddie Yost (18),1148,R
247,248.,Tino Martinez (16),1146,L
248,249.,Cesar Cedeno (17),1144,R
249,250.,"Andrew McCutchen (12, 33)",1143,R
250,250.,Boog Powell (17),1143,L
251,252.,Ralph Kiner+ (10),1138,R
252,252.,Willie Randolph (18),1138,R
253,252.,B.J. Surhoff (19),1138,L
254,255.,Billy Herman+ (15),1137,R
255,255.,Hanley Ramirez (15),1137,R
256,255.,Jose Reyes (16),1137,B
257,258.,Sherry Magee (16),1136,R
258,258.,Hal McRae (19),1136,R
259,260.,Luis Aparicio+ (18),1135,R
260,260.,Pee Wee Reese+ (16),1135,R
261,262.,Cecil Cooper (17),1134,L
262,262.,Del Ennis (14),1134,R
263,262.,David Wright (14),1134,R
264,265.,George Foster (18),1129,R
265,266.,Cy Williams (19),1128,L
266,267.,Bobby Grich (17),1127,R
267,268.,Babe Herman (13),1126,L
268,268.,Joe Sewell+ (14),1126,L
269,270.,Ian Kinsler (14),1125,R
270,270.,Mo Vaughn (12),1125,L
271,272.,Ruben Sierra (20),1121,B
272,273.,Dixie Walker (18),1120,L
273,274.,Brady Anderson (15),1118,L
274,275.,Wally Moses (17),1117,L
275,276.,Stan Hack (16),1114,L
276,276.,Amos Otis (17),1114,R
277,278.,Frank Howard (16),1112,R
278,278.,Jason Kendall (15),1112,R
279,278.,Edgar Renteria (16),1112,R
280,281.,Tony Lazzeri+ (14),1111,R
281,282.,Todd Zeile (16),1110,R
282,283.,Ron Fairly (21),1109,L
283,284.,Red Schoendienst+ (19),1108,B
284,285.,Tony Fernandez (17),1102,B
285,286.,Marquis Grissom (17),1101,R
286,286.,Bobby Murcer (17),1101,L
287,288.,Kent Hrbek (14),1100,L
288,288.,David Justice (14),1100,L
289,288.,Jorge Posada (17),1100,B
290,291.,Buddy Myer (17),1099,L
291,292.,"Shin-Soo Choo (16, 37)",1097,L
292,293.,Ben Chapman (15),1095,R
293,293.,Roy Sievers (17),1095,R
294,295.,Mike Cameron (17),1093,R
295,296.,Jose Bautista (15),1092,R
296,297.,Bid McPhee+ (18),1086,R
297,298.,Jay Bell (18),1085,R
298,299.,Dusty Baker (19),1083,R
299,300.,Jake Daubert (15),1080,L
300,301.,Willie Horton (18),1078,R
301,302.,Chet Lemon (16),1077,R
302,303.,Lloyd Waner+ (18),1075,L
303,304.,Rabbit Maranville+ (23),1074,R
304,305.,Chuck Knoblauch (12),1072,R
305,306.,Jeff Conine (17),1070,R
306,306.,Shoeless Joe Jackson (13),1070,L
307,308.,Sal Bando (16),1069,R
308,309.,Ryan Klesko (16),1068,L
309,310.,Jimmy Sheckard (17),1067,L
310,310.,Mike Tiernan (13),1067,L
311,312.,Charlie Grimm (20),1065,L
312,313.,Jermaine Dye (14),1063,R
313,313.,Bobby Veach (14),1063,L
314,315.,"Justin Upton (14, 32)",1062,R
315,316.,Vern Stephens (15),1061,R
316,317.,Reggie Sanders (17),1060,R
317,318.,Bill Madlock (15),1053,R
318,319.,Ed Konetchy (15),1052,R
319,320.,Vic Wertz (17),1048,L
320,321.,Nomar Garciaparra (14),1047,R
321,321.,Matt Williams (17),1047,R
322,323.,Ed McKean (13),1046,R
323,324.,Ray Lankford (14),1045,L
324,325.,Joe Adcock (17),1044,R
325,325.,Earle Combs+ (12),1044,L
326,325.,Ted Kluszewski (15),1044,L
327,328.,Ron Gant (16),1043,R
328,328.,Tim Wallach (17),1043,R
329,330.,Phil Cavarretta (22),1040,L
330,330.,J.D. Drew (14),1040,L
331,332.,Lee May (18),1039,R
332,333.,Chris Chambliss (17),1038,L
333,334.,Pinky Higgins (14),1037,R
334,335.,Tony Oliva (15),1036,L
335,336.,Dick Bartell (18),1035,R
336,336.,Rudy York (13),1035,R
337,338.,Ryan Howard (13),1034,L
338,339.,"Freddie Freeman (11, 30)",1031,L
339,339.,"Evan Longoria (13, 34)",1031,R
340,341.,George Scott (14),1029,R
341,342.,Dante Bichette (14),1027,R
342,342.,Hack Wilson+ (12),1027,R
343,344.,Felipe Alou (17),1026,R
344,345.,Bobby Wallace+ (25),1025,R
345,346.,Willie Wilson (19),1024,B
346,347.,Mickey Cochrane+ (13),1023,L
347,347.,Darryl Strawberry (17),1023,L
348,347.,"Ryan Zimmerman (15, 35)",1023,R
349,350.,Larry Doby+ (13),1022,L
350,350.,George Kell+ (15),1022,R
351,350.,Devon White (17),1022,B
352,353.,Rick Monday (19),1021,L
353,354.,Harry Stovey (14),1020,R
354,354.,Roy White (15),1020,B
355,356.,Dolph Camilli (12),1017,L
356,357.,"Matt Kemp (15, 35)",1016,R
357,358.,George Hendrick (18),1015,R
358,359.,"Paul Goldschmidt (10, 32)",1010,R
359,360.,Harvey Kuenn (15),1009,R
360,360.,Carney Lansford (15),1009,R
361,360.,Greg Vaughn (15),1009,R
362,363.,Kirk Gibson (17),1008,L
363,364.,Willie McGee (18),1007,B
364,364.,Marty McManus (15),1007,R
365,366.,Carl Furillo (15),1006,R
366,366.,Stuffy McInnis (19),1006,R
367,368.,Fred Tenney (17),1005,L
368,369.,Carl Crawford (15),1004,L
369,370.,Dave Concepcion (19),1003,R
370,371.,Dummy Hoy (14),1002,L
371,372.,Ken Caminiti (15),1001,B
372,373.,Bob Watson (19),1000,R
373,374.,Tommy Leach (19),998,R
374,374.,Hal Trosky (11),998,L
375,376.,Bing Miller (16),996,R
376,377.,Ken Williams (14),995,L
377,378.,Johnny Callison (16),993,L
378,379.,Bert Campaneris (19),992,R
379,380.,Juan Pierre (14),989,L
380,381.,Pat Burrell (12),988,R
381,381.,Vinny Castilla (16),988,R
382,383.,George Burns (15),987,R
383,384.,Harlond Clift (12),986,R
384,384.,"Dustin Pedroia (14, 36)",986,R
385,386.,Eric Davis (17),985,R
386,386.,Herman Long (16),985,L
387,388.,Jim Gilliam (14),984,B
388,389.,Paul Hines (20),980,R
389,390.,George Burns (16),978,R
390,390.,Troy Glaus (13),978,R
391,392.,Al Dark (14),976,R
392,393.,Hunter Pence (14),974,R
393,394.,Pedro Guerrero (15),973,R
394,395.,Richie Hebner (18),972,L
395,396.,Jeromy Burnitz (14),971,L
396,396.,Placido Polanco (16),971,R
397,398.,Adam Jones (14),970,R
398,399.,Travis Fryman (13),968,R
399,399.,Gee Walker (15),968,R
400,399.,Bill White (13),968,L
401,402.,Augie Galan (16),966,B
402,403.,Andy Pafko (17),964,R
403,404.,Aubrey Huff (13),963,L
404,404.,Jayson Werth (15),963,R
405,406.,King Kelly+ (16),959,R
406,406.,Sam West (16),959,L
407,408.,Bret Boone (14),958,R
408,408.,Ernie Lombardi+ (17),958,R
409,408.,Justin Morneau (14),958,L
410,411.,Cliff Floyd (17),957,L
411,411.,Rafael Furcal (14),957,B
412,411.,Bobby Thomson (15),957,R
413,411.,Gene Woodling (17),957,L
414,415.,Davey Lopes (16),956,R
415,415.,Kip Selbach (13),956,R
416,415.,Vernon Wells (15),956,R
417,418.,Jack Fournier (15),955,L
418,418.,Jackie Robinson+ (10),955,R
419,420.,Dave Kingman (16),954,R
420,420.,Brandon Phillips (17),954,R
421,422.,Elmer Flick+ (13),952,L
422,423.,Gus Bell (15),950,L
423,424.,Melky Cabrera (15),948,B
424,425.,Lu Blue (13),947,B
425,426.,Wally Berger (11),945,R
426,427.,Wally Pipp (15),944,L
427,427.,Ben Zobrist (14),944,B
428,429.,Lou Boudreau+ (15),943,R
429,429.,Jimmy Collins+ (14),943,R
430,429.,Bob Meusel (11),943,R
431,432.,Home Run Baker+ (13),942,L
432,432.,Rico Carty (15),942,R
433,434.,Lance Parrish (19),941,R
434,435.,Danny Tartabull (14),940,R
435,436.,Charlie Jamieson (18),939,L
436,437.,Orlando Cabrera (15),938,R
437,437.,Larry Doyle (14),938,L
438,439.,Joe Gordon+ (11),936,R
439,440.,Eric Karros (14),935,R
440,441.,Raul Mondesi (13),934,R
441,442.,Andy Van Slyke (13),933,L
442,443.,Bill Nicholson (16),932,L
443,443.,Jack Tobin (13),932,L
444,445.,Jose Cardenal (18),930,R
445,446.,"Alex Gordon (14, 36)",926,L
446,447.,Pete Runnels (14),924,L
447,447.,Mike Sweeney (16),924,R
448,449.,Jeff Heath (14),923,L
449,450.,Tommy Davis (18),922,R
450,450.,Brian McCann (15),922,L
451,452.,Mike Griffin (12),921,L
452,453.,Hal Chase (15),920,R
453,453.,Larry Parrish (15),920,R
454,455.,High Pockets Kelly+ (16),919,R
455,456.,Del Pratt (13),918,R
456,457.,"Yadier Molina (17, 37)",917,R
457,457.,A.J. Pierzynski (19),917,L
458,457.,"Carlos Santana (11, 34)",917,B
459,460.,Patsy Donovan (17),915,L
460,461.,John Mayberry (15),914,L
461,461.,Claudell Washington (17),914,L
462,463.,Mike Hargrove (12),913,L
463,463.,Mike Lowell (13),913,R
464,463.,Randy Winn (13),913,B
465,466.,Cupid Childs (13),910,L
466,467.,Jay Buhner (15),909,R
467,468.,Dave Bancroft+ (16),908,B
468,468.,Luis Castillo (15),908,B
469,468.,Clyde Milan (16),908,L
470,471.,Matt Stairs (19),907,L
471,472.,Pete Browning (13),906,R
472,472.,Eric Chavez (17),906,L
473,474.,Harry Davis (22),904,R
474,474.,Mark Grudzielanek (15),904,R
475,476.,Jim Fregosi (18),903,R
476,476.,Eric Young Sr. (15),903,R
477,478.,Dick McAuliffe (16),901,L
478,478.,Deacon White+ (20),901,L
479,480.,Andre Thornton (14),899,R
480,481.,Jhonny Peralta (15),898,R
481,482.,Dom DiMaggio (11),897,R
482,482.,George Grantham (13),897,L
483,484.,Chick Hafey+ (13),896,R
484,485.,Tom Brown (17),895,L
485,485.,Tom Brunansky (14),895,R
486,487.,Jack Glasscock (17),893,R
487,487.,Jackie Jensen (11),893,R
488,489.,Jeff Burroughs (16),891,R
489,490.,J.T. Snow (16),888,L
490,491.,Larry Gardner (17),887,L
491,491.,Maury Wills (14),887,B
492,493.,Frank Thomas (16),886,R
493,494.,Ben Oglivie (16),885,L
494,495.,"Asdrubal Cabrera (14, 34)",884,B
495,495.,Dick Groat (14),884,R
496,497.,Shannon Stewart (14),883,R
497,498.,Travis Jackson+ (15),882,R
498,498.,Joe Vosmik (13),882,R
499,500.,Adam LaRoche (12),878,L
500,501.,Bob Allison (13),877,R
501,501.,"Jay Bruce (13, 33)",877,L
502,501.,"Carlos Gonzalez (12, 34)",877,L
503,501.,Tony Taylor (19),877,R
504,505.,George Bell (12),876,R
505,505.,Sid Gordon (13),876,R
506,505.,Roger Maris (12),876,L
507,505.,Nick Swisher (12),876,B
508,509.,Tommy Harper (15),875,R
509,510.,Baby Doll Jacobson (11),874,R
510,511.,Alex Rios (12),873,R
511,512.,George McQuinn (12),870,L
512,512.,Lonnie Smith (17),870,R
513,514.,Freddie Lindstrom+ (13),869,R
514,515.,Frank White (18),868,R
515,516.,Bill Freehan (15),866,R
516,517.,Buck Ewing+ (18),865,R
517,518.,Jeff Cirillo (14),863,R
518,518.,"Anthony Rizzo (10, 30)",863,L
519,520.,Mark Kotsay (17),861,L
520,521.,Darin Erstad (14),858,L
521,521.,Hardy Richardson (14),858,R
522,521.,"Giancarlo Stanton (11, 30)",858,R
523,524.,Edgardo Alfonzo (12),856,R
524,524.,Tommy Henrich (11),856,L
525,524.,Riggs Stephenson (14),856,R
526,527.,Tommy Corcoran (18),855,R
527,527.,"Bryce Harper (9, 27)",855,L
528,527.,Frank McCormick (13),855,R
529,527.,Terry Pendleton (15),855,B
530,531.,"Jose Altuve (10, 30)",853,R
531,532.,Bob Bailey (17),852,R
532,532.,Michael Cuddyer (15),852,R
533,532.,Cecil Fielder (13),852,R
534,532.,Fielder Jones (15),852,L
535,532.,Carlos Pena (14),852,L
536,537.,Darrell Porter (17),851,L
537,538.,Richie Sexson (12),850,R
538,539.,George Gore (14),849,L
539,540.,Steve Sax (14),848,R
540,540.,Troy Tulowitzki (13),848,R
541,542.,Don Money (16),845,R
542,542.,Brian Roberts (14),845,B
543,544.,Curt Flood (15),844,R
544,544.,Javy Lopez (15),844,R
545,544.,Melvin Mora (13),844,R
546,547.,Heinie Groh (16),843,R
547,547.,Frank Schulte (15),843,L
548,547.,Al Smith (12),843,R
549,550.,Ken Keltner (13),839,R
550,551.,Garry Maddox (15),838,R
551,551.,Benito Santiago (20),838,R
552,553.,John Anderson (14),837,B
553,553.,Larry Bowa (16),837,B
554,553.,Delino DeShields (13),837,L
555,553.,Mark Loretta (15),837,R
556,553.,Lloyd Moseby (12),837,L
557,558.,Jason Bay (11),835,R
558,558.,Bobby Higginson (11),835,L
559,558.,Mickey Tettleton (14),835,B
560,561.,Earl Torgeson (15),834,L
561,561.,Richie Zisk (13),834,R
562,563.,Willie Jones (15),833,R
563,564.,Tony Cuccinello (15),832,R
564,564.,Dan Driessen (15),832,L
565,564.,Tommy Tucker (13),832,B
566,567.,Doug DeCinces (15),831,R
567,567.,Bobby Lowe (18),831,R
568,569.,Royce Clayton (17),829,R
569,569.,Jose Valentin (16),829,B
570,571.,Willie Kamm (13),827,R
571,571.,Garry Templeton (16),827,B
572,573.,Rick Ferrell+ (18),826,R
573,573.,Mark Reynolds (13),826,R
574,573.,Hank Sauer (15),826,R
575,573.,Kevin Seitzer (12),826,R
576,577.,Chris Speier (19),825,R
577,577.,John Ward+ (17),825,L
578,579.,Howie Kendrick (15),824,R
579,580.,Sean Casey (12),823,L
580,581.,Bill Mazeroski+ (17),822,R
581,581.,Juan Samuel (16),822,R
582,583.,Coco Crisp (15),821,B
583,584.,Jack Doyle (17),819,R
584,585.,"Daniel Murphy (12, 35)",817,L
585,586.,Roger Peckinpaugh (17),816,R
586,587.,Von Hayes (12),815,L
587,587.,Wally Schang (19),815,B
588,587.,Rondell White (15),815,R
589,590.,Billy Nash (15),814,R
590,591.,"Dexter Fowler (13, 34)",813,B
591,592.,Billy Goodman (16),812,L
592,592.,Wally Moon (12),812,L
593,592.,Jose Offerman (15),812,B
594,592.,Jose Vidro (12),812,B
595,596.,Rich Aurilia (15),810,R
596,596.,Mike Smith (14),810,L
597,598.,Kevin McReynolds (12),809,R
598,598.,Bill Skowron (14),809,R
599,600.,Buddy Lewis (11),808,L
600,600.,Jason Thompson (11),808,L
601,602.,Cy Seymour (16),807,L
602,602.,Gus Suhr (11),807,L
603,604.,"Charlie Blackmon (10, 33)",805,L
604,604.,Pete Fox (13),805,R
605,604.,Pinky Whitney (12),805,R
606,607.,Ginger Beaumont (12),804,L
607,607.,"Brett Gardner (13, 36)",804,L
608,607.,Gene Tenace (15),804,R
609,610.,Charlie Keller (13),803,L
610,610.,Whitey Lockman (15),803,L
611,610.,Roy Smalley (13),803,B
612,613.,Andre Ethier (12),801,L
613,613.,Jose Guillen (14),801,R
614,613.,Deacon McGuire (26),801,R
615,616.,Gregg Jefferies (14),800,B
616,616.,Jorge Orta (16),800,L
617,618.,Travis Hafner (12),798,L
618,618.,Dave Martinez (16),798,L
619,620.,Tom Daly (17),797,B
620,620.,Russell Martin (14),797,R
621,620.,Mark McLemore (19),797,B
622,620.,Elmer Valo (20),797,L
623,624.,Bill Bruton (12),796,L
624,624.,Howard Johnson (14),796,B
625,626.,Ross Youngs+ (10),795,L
626,627.,Marlon Byrd (15),794,R
627,627.,Lenny Dykstra (12),794,L
628,629.,"Elvis Andrus (12, 31)",792,R
629,629.,Ossie Bluege (18),792,R
630,629.,Tommy Holmes (11),792,L
631,629.,Curt Walker (12),792,L
632,633.,Geoff Jenkins (11),791,L
633,634.,Bob Boone (19),790,R
634,635.,Hank Bauer (14),784,R
635,636.,Bruce Campbell (13),783,L
636,637.,Dave Philley (18),782,B
637,638.,Joe Randa (12),781,R
638,638.,John Stone (11),781,L
639,640.,Irish Meusel (11),780,R
640,640.,Kevin Mitchell (13),780,R
641,642.,Brian Jordan (15),778,R
642,643.,Mike Greenwell (12),777,L
643,643.,Kevin Millar (12),777,R
644,645.,Carl Everett (14),775,B
645,645.,"Eric Hosmer (10, 30)",775,L
646,647.,Chick Stahl (10),774,L
647,648.,Arlie Latham (17),773,R
648,649.,Phil Garner (16),772,R
649,649.,"J.D. Martinez (10, 32)",772,R
650,649.,Mike Napoli (12),772,R
651,649.,David Segui (15),772,B
652,653.,Deron Johnson (16),771,R
653,653.,Tip O'Neill (10),771,R
654,655.,"Matt Carpenter (10, 34)",770,L
655,655.,Matt Lawton (12),770,L
656,655.,Rico Petrocelli (13),770,R
657,658.,Steve Brodie (12),769,L
658,658.,Don Kessinger (16),769,B
659,660.,Donie Bush (16),768,B
660,660.,Sherm Lollar (18),768,R
661,660.,Denard Span (11),768,L
662,663.,Lyle Overbay (14),767,L
663,663.,"Buster Posey (11, 33)",767,R
664,663.,Jason Varitek (15),767,B
665,666.,Billy Butler (10),766,R
666,667.,Matty Alou (15),764,L
667,667.,David DeJesus (13),764,L
668,667.,Oscar Gamble (17),764,L
669,667.,Dean Palmer (14),764,R
670,671.,"Chris Davis (13, 34)",763,L
671,671.,Bibb Falk (12),763,L
672,671.,Denny Lyons (13),763,R
673,671.,Fred Pfeffer (16),763,R
674,675.,Henry Larkin (10),762,R
675,676.,"Josh Donaldson (10, 34)",761,R
676,677.,"Michael Brantley (12, 33)",760,L
677,677.,Aaron Hill (13),760,R
678,677.,Dmitri Young (13),760,B
679,680.,Oyster Burns (11),758,R
