,Rank,"Player (yrs, age)",Situ. Wins Added (WPA/LI),Bats
824,825.,Earl Sheely (9),5.09,R
825,826.,Vinny Castilla (16),5.08,R
826,827.,"Brandon Nimmo (5, 27)",5.07,L
827,827.,Ichiro Suzuki (19),5.07,L
828,829.,Hector Lopez (12),5.06,R
829,829.,Ray Sanders (7),5.06,L
830,831.,Marlon Byrd (15),5.04,R
831,831.,Brad Wilkerson (8),5.04,L
832,833.,Lenny Green (12),5.03,L
833,834.,Casey Blake (13),5.02,R
834,835.,Jonny Gomes (13),5.01,R
835,835.,Lyle Overbay (14),5.01,L
836,837.,Grady Hatton (12),5.00,L
837,837.,Rance Mulliniks (16),5.00,L
838,839.,Hank Edwards (11),4.98,L
839,839.,Gary Geiger (12),4.98,L
840,839.,Ben Grieve (9),4.98,L
841,842.,Ken Henderson (16),4.97,B
842,843.,Mel Hall (13),4.95,L
843,844.,"Kole Calhoun (9, 32)",4.94,L
844,844.,Phil Weintraub (7),4.94,L
845,846.,"Josh Bell (5, 27)",4.93,B
846,847.,George Crowe (9),4.89,L
847,848.,Matty Alou (15),4.87,L
848,849.,John Vander Wal (14),4.85,L
849,849.,Wally Westlake (10),4.85,R
850,851.,Gene Hermanski (9),4.84,L
851,851.,"Josh Reddick (12, 33)",4.84,L
852,853.,Derek Bell (11),4.82,R
853,853.,"Ian Desmond (11, 34)",4.82,R
854,855.,Rafael Furcal (14),4.78,B
855,855.,Garrett Jones (8),4.78,L
856,855.,Harry Rice (10),4.78,L
857,858.,"Eric Thames (6, 33)",4.76,L
858,858.,"Luke Voit (4, 29)",4.76,R
859,860.,Baby Doll Jacobson (11),4.74,R
860,860.,Henry Rodriguez (11),4.74,L
861,862.,"Gary Sanchez (6, 27)",4.73,R
862,862.,"Kyle Seager (10, 32)",4.73,L
863,864.,Chris Sabo (9),4.72,R
864,864.,Craig Wilson (7),4.72,R
865,866.,Walton Cruise (10),4.70,L
866,866.,Larry Doyle (14),4.70,L
867,866.,Morgan Ensberg (8),4.70,R
868,869.,Evan Gattis (6),4.64,R
869,870.,"Nicholas Castellanos (8, 28)",4.63,R
870,870.,Al Martin (11),4.63,L
871,870.,Bill Robinson (16),4.63,R
872,873.,Frank Catalanotto (14),4.62,L
873,874.,Mitch Webster (13),4.59,B
874,875.,Willard Marshall (11),4.58,L
875,876.,Bill Bruton (12),4.54,L
876,877.,Jim Russell (10),4.53,B
877,878.,Deron Johnson (16),4.48,R
878,879.,Kelly Johnson (11),4.47,L
879,879.,Mike Jorgensen (17),4.47,L
880,879.,Billy Werber (11),4.47,R
881,882.,"Jeff McNeil (3, 28)",4.46,L
882,883.,Tommie Agee (12),4.44,R
883,884.,Dave Bancroft+ (16),4.43,B
884,884.,Hal Chase (15),4.43,R
885,886.,Hoot Evers (12),4.42,R
886,887.,Dan Ford (11),4.41,R
887,887.,Steve Pearce (13),4.41,R
888,889.,"Pete Alonso (2, 25)",4.40,R
889,889.,"Trey Mancini (4, 28)",4.40,R
890,891.,Don Money (16),4.39,R
891,892.,Nick Esasky (8),4.37,R
892,892.,Russell Martin (14),4.37,R
893,894.,"Asdrubal Cabrera (14, 34)",4.33,B
894,895.,Del Pratt (13),4.32,R
895,895.,Bubba Trammell (7),4.32,R
896,897.,Roy Smalley (13),4.31,B
897,898.,Mike Hegan (12),4.30,L
898,899.,Garrett Atkins (8),4.29,R
899,900.,Tim McCarver (21),4.28,L
900,900.,Paul Schaal (11),4.28,R
901,902.,Sandy Amoros (7),4.27,L
902,903.,Joe Hauser (6),4.23,L
903,903.,Goody Rosen (6),4.23,L
904,905.,Jo-Jo Moore (12),4.21,L
905,906.,Allen Craig (6),4.19,R
906,906.,Max West (7),4.19,L
907,908.,Dion James (11),4.18,L
908,909.,Ray Chapman (9),4.14,R
909,910.,Babe Phelps (11),4.11,L
910,911.,"Jesus Aguilar (7, 30)",4.07,R
911,911.,Bill North (11),4.07,B
912,913.,Denny Walling (18),4.06,L
913,914.,Marquis Grissom (17),4.05,R
914,915.,Mark Trumbo (10),4.01,R
915,916.,Frank Brower (5),4.00,L
916,916.,Pete Fox (13),4.00,R
917,916.,Ivan Rodriguez+ (21),4.00,R
918,916.,"Jorge Soler (7, 28)",4.00,R
919,920.,Mark Loretta (15),3.99,R
920,921.,Sid Bream (12),3.97,L
921,922.,"Fernando Tatis Jr. (2, 21)",3.95,R
922,923.,Austin McHenry (5),3.94,R
923,924.,Justin Bour (6),3.93,L
924,924.,"Domingo Santana (7, 27)",3.93,R
925,926.,Kevin Bass (14),3.92,B
926,926.,Greg Colbrunn (13),3.92,R
927,928.,Scott Hatteberg (14),3.91,L
928,928.,"Jose Martinez (5, 31)",3.91,R
929,928.,Mike Morse (13),3.91,R
930,928.,John Stearns (11),3.91,R
931,932.,Earl Williams (8),3.90,R
932,932.,Eric Young Sr. (15),3.90,R
933,934.,"Chris Carter (8, 33)",3.89,R
934,934.,Joe Foy (6),3.89,R
935,936.,Hank Blalock (9),3.88,L
936,937.,"Mark Canha (6, 31)",3.87,R
937,938.,Ivan Calderon (10),3.86,R
938,939.,Johnny Rizzo (5),3.85,R
939,940.,Tommy Glaviano (5),3.81,R
940,940.,Lloyd Waner+ (18),3.81,L
941,942.,Les Fleming (7),3.79,L
942,942.,Pete Incaviglia (12),3.79,R
943,944.,Jack Tobin (13),3.78,L
944,945.,"Lorenzo Cain (11, 34)",3.77,R
945,946.,Steve Bilko (10),3.75,R
946,946.,Ruppert Jones (12),3.75,L
947,948.,Earl Smith (12),3.74,L
948,949.,Harry Anderson (5),3.72,L
949,950.,Willie Upshaw (10),3.71,L
950,951.,Jim Leyritz (11),3.68,R
951,951.,Dick Porter (6),3.68,L
952,953.,"Jed Lowrie (12, 36)",3.67,B
953,954.,Ollie Brown (13),3.65,R
954,954.,Tim Wallach (17),3.65,R
955,956.,Art Shamsky (8),3.63,L
956,957.,"Ozzie Albies (4, 23)",3.62,B
957,958.,"Brian Dozier (9, 33)",3.59,R
958,959.,"Andrew Benintendi (5, 25)",3.58,L
959,960.,"Rafael Devers (4, 23)",3.57,L
960,961.,Gordy Coleman (9),3.55,L
961,961.,Rob Deer (11),3.55,R
962,963.,Greg Walker (9),3.53,L
963,964.,Dave May (12),3.52,L
964,964.,"Logan Morrison (11, 32)",3.52,L
965,966.,Lou Piniella (18),3.51,R
966,967.,Junior Spivey (5),3.47,R
967,967.,Fernando Tatis (11),3.47,R
968,969.,David Murphy (10),3.45,L
969,970.,Billy Johnson (9),3.44,R
970,971.,Roger Repoz (9),3.43,L
971,972.,"Wilson Ramos (11, 32)",3.41,R
972,973.,"Jesse Winker (4, 26)",3.40,L
973,974.,Travis Jackson+ (15),3.38,R
974,974.,Alex Johnson (13),3.38,R
975,974.,Glenn Wright (11),3.38,R
976,977.,Home Run Baker+ (13),3.37,L
977,977.,Tim Teufel (11),3.37,R
978,979.,Happy Felsch (6),3.36,R
979,979.,Jung Ho Kang (4),3.36,R
980,981.,Dick Gernert (11),3.35,R
981,981.,"Austin Meadows (3, 25)",3.35,L
982,981.,Vernon Wells (15),3.35,R
983,984.,"Yordan Álvarez (2, 23)",3.32,L
984,984.,Jay Johnstone (20),3.32,L
985,986.,"Ian Happ (4, 25)",3.31,B
986,986.,Michael Tucker (12),3.31,L
987,988.,Russ Wrightstone (9),3.30,L
988,989.,Jim Lefebvre (8),3.29,B
989,990.,Champ Summers (11),3.28,L
990,991.,Gene Oliver (10),3.26,R
991,992.,Willie Kirkland (9),3.25,L
992,993.,Hersh Martin (6),3.24,B
993,994.,"Brian Anderson (4, 27)",3.23,R
994,995.,Brad Fullmer (8),3.22,L
995,996.,"Chris Iannetta (14, 37)",3.21,R
996,997.,Delino DeShields (13),3.20,L
997,997.,Ozzie Virgil (11),3.20,R
998,999.,Geronimo Berroa (11),3.18,R
