,Rank,"Player (yrs, age)",Situ. Wins Added (WPA/LI),Bats
357,358.,Mickey Tettleton (14),15.62,B
358,359.,Ripper Collins (9),15.61,B
359,360.,Dom DiMaggio (11),15.60,R
360,361.,Troy Glaus (13),15.54,R
361,362.,Cal Ripken Jr.+ (21),15.45,R
362,363.,Kal Daniels (7),15.37,L
363,364.,Don Mincher (13),15.27,L
364,365.,Raul Ibanez (19),15.24,L
365,366.,Ben Oglivie (16),15.23,L
366,367.,Justin Morneau (14),15.19,L
367,368.,Matt Williams (17),15.18,R
368,369.,Bob Nieman (12),15.11,R
369,370.,Jim Fregosi (18),15.08,R
370,371.,Johnny Damon (18),15.07,L
371,372.,Steve Finley (19),14.94,L
372,373.,Ferris Fain (9),14.91,L
373,374.,Troy Tulowitzki (13),14.81,R
374,375.,Bill Freehan (15),14.78,R
375,376.,"Charlie Blackmon (10, 33)",14.74,L
376,377.,Richie Sexson (12),14.69,R
377,378.,Richie Zisk (13),14.65,R
378,379.,Elbie Fletcher (12),14.61,L
379,380.,Kevin Youkilis (10),14.60,R
380,381.,Mike Sweeney (16),14.57,R
381,382.,Davey Lopes (16),14.51,R
382,383.,Dan Driessen (15),14.44,L
383,384.,Hank Bauer (14),14.43,R
384,385.,Matt Stairs (19),14.40,L
385,386.,Cliff Johnson (15),14.37,R
386,387.,Bob Meusel (11),14.35,R
387,388.,George Selkirk (9),14.27,L
388,389.,Roy Cullenbine (10),14.10,B
389,390.,Steve Kemp (11),14.09,L
390,391.,Darrell Porter (17),14.08,L
391,392.,Glenn Davis (10),14.07,R
392,393.,Bobby Thomson (15),14.04,R
393,394.,Rusty Greer (9),14.02,L
394,395.,Cecil Fielder (13),13.89,R
395,396.,John Briggs (12),13.86,L
396,397.,Nick Etten (9),13.85,L
397,397.,Chet Lemon (16),13.85,R
398,399.,Victor Martinez (16),13.78,B
399,400.,Leon Durham (10),13.76,L
400,401.,Ben Zobrist (14),13.63,B
401,402.,Max Bishop (12),13.59,L
402,403.,Mike Greenwell (12),13.52,L
403,404.,Ken Caminiti (15),13.48,B
404,404.,George Kell+ (15),13.48,R
405,406.,Josh Willingham (11),13.41,R
406,407.,Mike Napoli (12),13.37,R
407,408.,Lu Blue (13),13.30,B
408,408.,Eric Chavez (17),13.30,L
409,408.,Torii Hunter (19),13.30,R
410,411.,George Sisler+ (15),13.29,L
411,412.,Alan Trammell+ (20),13.28,R
412,413.,Joe Sewell+ (14),13.23,L
413,414.,Al Smith (12),13.21,R
414,415.,Phil Cavarretta (22),13.17,L
415,416.,Smoky Burgess (18),13.07,L
416,417.,Zeke Bonura (7),13.02,R
417,418.,Carlos Pena (14),12.90,L
418,419.,Tony Gonzalez (12),12.74,L
419,420.,"George Springer (7, 30)",12.73,R
420,421.,Hank Thompson (9),12.70,L
421,422.,Greg Vaughn (15),12.66,R
422,423.,"Jason Heyward (11, 30)",12.53,L
423,424.,Pepper Martin (13),12.50,R
424,425.,Pete Reiser (10),12.48,L
425,426.,Tommy Holmes (11),12.44,L
426,427.,"Yoenis Céspedes (8, 34)",12.42,R
427,427.,Wes Covington (11),12.42,L
428,429.,Thurman Munson (11),12.39,R
429,430.,Monte Irvin+ (8),12.38,R
430,430.,Whitey Kurowski (9),12.38,R
431,432.,"Alex Bregman (5, 26)",12.35,R
432,433.,Aubrey Huff (13),12.30,L
433,434.,Adam LaRoche (12),12.28,L
434,435.,Chuck Knoblauch (12),12.26,R
435,436.,Ray Boone (13),12.21,R
436,436.,"Daniel Murphy (12, 35)",12.21,L
437,438.,Geoff Jenkins (11),12.19,L
438,439.,"Brandon Belt (10, 32)",12.18,L
439,440.,Hideki Matsui (10),12.17,L
440,441.,Bernie Carbo (12),12.14,L
441,442.,"Aaron Judge (5, 28)",12.13,R
442,443.,Donn Clendenon (12),12.12,R
443,444.,Johnny Grubb (16),12.09,L
444,444.,Wally Post (15),12.09,R
445,446.,Harvey Kuenn (15),12.08,R
446,447.,Darren Daulton (14),12.07,L
447,448.,Dante Bichette (14),12.06,R
448,449.,Mack Jones (10),12.04,L
449,450.,Tino Martinez (16),11.96,L
450,450.,Johnny Pesky (10),11.96,L
451,452.,Gus Bell (15),11.91,L
452,452.,"Dustin Pedroia (14, 36)",11.91,R
453,452.,Mike Stanley (15),11.91,R
454,455.,Phil Bradley (8),11.89,R
455,456.,Stan Spence (9),11.86,L
456,457.,Mike Epstein (9),11.85,L
457,458.,Dave Magadan (16),11.83,L
458,459.,Charlie Maxwell (14),11.81,L
459,460.,George McQuinn (12),11.80,L
460,461.,"Jose Ramirez (8, 27)",11.75,B
461,462.,Buddy Myer (17),11.59,L
462,463.,"Jose Altuve (10, 30)",11.53,R
463,464.,Ron Hunt (12),11.48,R
464,465.,George Burns (15),11.37,R
465,465.,Miguel Tejada (16),11.37,R
466,467.,Bob Skinner (12),11.35,L
467,467.,Tom Tresh (9),11.35,B
468,469.,Bruce Campbell (13),11.34,L
469,470.,Brian McCann (15),11.31,L
470,471.,"Michael Brantley (12, 33)",11.24,L
471,471.,Jim Northrup (12),11.24,L
472,471.,Pete Runnels (14),11.24,L
473,474.,"Starling Marte (9, 31)",11.20,R
474,475.,Irish Meusel (11),11.19,R
475,476.,"Cody Bellinger (4, 24)",11.14,L
476,477.,Grady Sizemore (10),11.12,L
477,478.,John Romano (10),11.10,R
478,479.,"Nick Markakis (15, 36)",11.08,L
479,480.,Edgardo Alfonzo (12),11.07,R
480,481.,George Burns (16),11.01,R
481,482.,Chris Chambliss (17),10.95,L
482,483.,Brad Hawpe (9),10.88,L
483,484.,"Manny Machado (9, 27)",10.87,R
484,485.,Ed Bailey (14),10.79,L
485,486.,Don Hurst (7),10.76,L
486,487.,Raul Mondesi (13),10.75,R
487,488.,Tony Conigliaro (8),10.73,R
488,488.,Doug DeCinces (15),10.73,R
489,490.,Rondell White (15),10.71,R
490,491.,"Dexter Fowler (13, 34)",10.66,B
491,492.,Jose Reyes (16),10.65,B
492,493.,Sam Rice+ (20),10.55,L
493,494.,Bing Miller (16),10.52,R
494,495.,Ken Keltner (13),10.50,R
495,496.,Nick Johnson (10),10.49,L
496,497.,Buddy Bell (18),10.46,R
497,497.,Sean Casey (12),10.46,L
498,499.,Joe Harris (10),10.41,R
499,499.,Rickie Weeks (14),10.41,R
500,501.,Jose Cardenal (18),10.40,R
501,502.,Bill Doran (12),10.37,B
502,503.,Ian Kinsler (14),10.36,R
503,503.,Merv Rettenmund (13),10.36,R
504,505.,Nick Swisher (12),10.35,B
505,506.,Jim Hickman (13),10.32,R
506,507.,Shoeless Joe Jackson (13),10.30,L
507,508.,Jim Lemon (12),10.28,R
508,509.,Ed Morgan (7),10.23,R
509,510.,Jermaine Dye (14),10.17,R
510,511.,Brady Anderson (15),10.16,L
511,512.,Michael Cuddyer (15),10.15,R
512,512.,Davey Johnson (13),10.15,R
513,514.,Mike Cameron (17),10.14,R
514,515.,"Michael Conforto (6, 27)",10.09,L
515,515.,Willie Davis (18),10.09,L
516,517.,"Marcell Ozuna (8, 29)",10.08,R
517,518.,Jesse Barfield (12),10.06,R
518,519.,Dick Dietz (8),10.02,R
519,520.,Carney Lansford (15),10.01,R
520,520.,Jose Vidro (12),10.01,B
521,522.,Benny Kauff (8),9.99,L
522,523.,Eddie Robinson (13),9.97,L
523,524.,Bob Bailey (17),9.92,R
524,525.,Gus Suhr (11),9.90,L
525,526.,Ray Blades (10),9.83,R
526,527.,Dale Long (10),9.82,L
527,528.,Ray Grimes (6),9.81,R
528,529.,Randy Milligan (8),9.80,R
529,530.,Cleon Jones (13),9.79,R
530,531.,Bobby Higginson (11),9.75,L
531,532.,Carlos Quentin (9),9.74,R
532,533.,Dwayne Murphy (12),9.72,L
533,534.,Ival Goodman (10),9.67,L
534,535.,Dick Stuart (10),9.66,R
535,536.,Roy Johnson (10),9.65,L
536,537.,Carlos May (10),9.59,L
537,538.,Javy Lopez (15),9.52,R
538,539.,Mike Easler (14),9.51,L
539,539.,John Milner (12),9.51,L
540,541.,Spud Davis (16),9.46,R
541,542.,"Khris Davis (8, 32)",9.45,R
542,543.,Tom Haller (12),9.44,L
543,544.,Bruce Bochte (12),9.43,L
544,545.,"Corey Seager (6, 26)",9.42,L
545,546.,Rico Petrocelli (13),9.37,R
546,547.,Floyd Robinson (9),9.34,L
547,548.,Lonny Frey (14),9.33,L
548,549.,John Stone (11),9.29,L
549,550.,Chuck Hinton (11),9.27,R
550,551.,"Juan Soto (3, 21)",9.26,L
551,552.,Dale Alexander (5),9.22,R
552,553.,High Pockets Kelly+ (16),9.19,R
553,553.,J.T. Snow (16),9.19,L
554,555.,Tito Francona (15),9.16,L
555,556.,Chris Hoiles (10),9.15,R
556,557.,Billy Butler (10),9.09,R
557,558.,Joe Ferguson (14),9.08,R
558,559.,Ray Durham (14),9.06,B
559,560.,Tommy Harper (15),8.96,R
560,560.,Sam West (16),8.96,L
561,562.,Gavvy Cravath (11),8.95,R
562,563.,Barney McCosky (11),8.92,L
563,564.,Del Bissonette (5),8.90,L
564,565.,Yasiel Puig (7),8.88,R
565,566.,"Carlos Correa (6, 25)",8.87,R
566,567.,Richard Hidalgo (9),8.86,R
567,568.,Adam Lind (12),8.84,L
568,569.,Jim Gilliam (14),8.83,B
569,569.,Michael Young (14),8.83,R
570,571.,Harry Hooper+ (17),8.82,L
571,572.,Hal Morris (13),8.81,L
572,573.,Orlando Merced (13),8.74,B
573,574.,Curt Blefary (8),8.73,L
574,575.,Hank Leiber (10),8.71,R
575,576.,Jay Bell (18),8.70,R
576,577.,Gregg Jefferies (14),8.67,B
577,577.,"Neil Walker (12, 34)",8.67,B
578,579.,Gil McDougald (10),8.66,R
579,580.,Willie Crawford (14),8.63,L
580,580.,Lee Mazzilli (14),8.63,B
581,582.,Billy Goodman (16),8.62,L
582,582.,"Eugenio Suarez (7, 28)",8.62,R
583,584.,Willie Jones (15),8.61,R
584,584.,Kevin Seitzer (12),8.61,R
585,586.,"Pablo Sandoval (13, 33)",8.55,B
586,587.,Carl Everett (14),8.54,B
587,587.,Buddy Lewis (11),8.54,L
588,589.,"Trevor Story (5, 27)",8.49,R
589,590.,Stan Lopata (13),8.48,R
590,591.,Johnny Hopp (14),8.47,L
591,591.,Gary Redus (13),8.47,R
592,593.,Trot Nixon (12),8.44,L
593,594.,Wally Schang (19),8.41,B
594,595.,Dave Hollins (12),8.39,B
595,596.,John Jaha (10),8.37,R
596,596.,Bake McBride (11),8.37,L
597,596.,Pete Ward (9),8.37,L
598,599.,Terry Puhl (15),8.36,L
599,600.,Corey Hart (11),8.35,R
600,601.,Tommy Davis (18),8.30,R
601,601.,Phil Nevin (12),8.30,R
602,603.,Milton Bradley (12),8.28,B
603,603.,Bibb Falk (12),8.28,L
604,603.,"Todd Frazier (10, 34)",8.28,R
605,606.,Bob Robertson (11),8.27,R
606,607.,"AJ Pollock (9, 32)",8.23,R
607,608.,Shane Victorino (12),8.22,R
608,609.,George Bell (12),8.20,R
609,610.,Mike Andrews (8),8.18,R
610,610.,Matt Lawton (12),8.18,L
611,612.,Mike Marshall (11),8.15,R
612,612.,Lee Maye (13),8.15,L
613,614.,Lucas Duda (10),8.12,L
614,614.,George Harper (11),8.12,L
615,614.,Gorman Thomas (13),8.12,R
616,617.,Brooks Robinson+ (23),8.06,R
617,618.,Rube Bressler (19),8.05,R
618,619.,Cesar Tovar (12),8.01,R
619,620.,Willie Aikens (8),7.99,L
620,620.,Dan Uggla (10),7.99,R
621,622.,Mike Lowell (13),7.98,R
622,623.,Jeff Blauser (13),7.97,R
623,624.,Wally Judnich (7),7.96,L
624,625.,Bob Cerv (12),7.95,R
625,625.,Erubiel Durazo (7),7.95,L
626,627.,Ron LeFlore (9),7.93,R
627,628.,"Jay Bruce (13, 33)",7.90,L
628,628.,Freddie Lindstrom+ (13),7.90,R
629,628.,Bill Mueller (11),7.90,B
