,Rank,"Player (yrs, age)",Assists as LF (s.1901),Throws
235,230.,Bob Nieman (12),31,R
236,230.,Dick Wakefield (9),31,R
237,230.,Brad Wilkerson (8),31,L
238,239.,Jeff Burroughs (16),30,R
239,239.,Adam Comorosky (10),30,R
240,239.,Todd Hollandsworth (12),30,L
241,239.,Al Woods (7),30,L
242,243.,Harry Anderson (5),29,R
243,243.,"Andrew Benintendi (5, 25)",29,L
244,243.,Jacque Jones (10),29,L
245,243.,Ron Kittle (10),29,R
246,243.,David Murphy (10),29,L
247,243.,Lefty O'Doul (11),29,L
248,243.,Fred Odwell (4),29,R
249,243.,"Kyle Schwarber (6, 27)",29,R
250,243.,Earl Smith (7),29,R
251,243.,Jack Tobin (13),29,L
252,253.,Eric Byrnes (11),28,R
253,253.,Jose Cardenal (18),28,R
254,253.,Ken Griffey (19),28,L
255,253.,Johnny Grubb (16),28,R
256,253.,Al Oliver (18),28,L
257,253.,Chet Ross (6),28,R
258,259.,Bob Allison (13),27,R
259,259.,Roy Cullenbine (10),27,R
260,259.,Max Flack (12),27,L
261,259.,Bob Fothergill (12),27,R
262,259.,Greg Gross (17),27,L
263,259.,Jim Lemon (12),27,R
264,259.,Hack Miller (6),27,R
265,259.,Tony Phillips (18),27,R
266,259.,Jerry Turner (10),27,L
267,259.,Maurice Van Robays (6),27,R
268,259.,Dayán Viciedo (5),27,R
269,259.,Rondell White (15),27,R
270,259.,Dave Winfield+ (22),27,R
271,272.,Jimmy Callahan (13),26,R
272,272.,Chris Coghlan (9),26,R
273,272.,Merlin Kopp (3),26,R
274,272.,Jason Kubel (10),26,R
275,272.,Derrick May (10),26,R
276,272.,Hal McRae (19),26,R
277,272.,Clyde Milan (16),26,R
278,272.,Greasy Neale (8),26,R
279,272.,Billy Sample (9),26,R
280,272.,Seth Smith (11),26,L
281,272.,Bobby Thomson (15),26,R
282,272.,Richie Zisk (13),26,R
283,284.,Turner Barber (9),25,R
284,284.,Don Baylor (19),25,R
285,284.,Wally Berger (11),25,R
286,284.,Curt Blefary (8),25,R
287,284.,Emil Brown (10),25,R
288,284.,Joe Harris (10),25,R
289,284.,Brian Jordan (15),25,R
290,284.,Leron Lee (8),25,R
291,284.,Nemo Leibold (13),25,R
292,284.,Jerry Lynch (13),25,R
293,284.,John Milner (12),25,L
294,284.,Ryan Raburn (12),25,R
295,284.,Pat Seerey (7),25,R
296,297.,Jesus Alou (15),24,R
297,297.,Vern Duncan (3),24,R
298,297.,Mike Felder (10),24,R
299,297.,Jonny Gomes (13),24,R
300,297.,John Hummel (12),24,R
301,297.,George Jackson (3),24,R
302,297.,Reed Johnson (13),24,R
303,297.,Barney McCosky (11),24,R
304,297.,Alex Metzler (6),24,R
305,297.,Eric Tipton (7),24,R
306,307.,Felipe Alou (17),23,R
307,307.,Gates Brown (13),23,R
308,307.,Al Burch (6),23,R
309,307.,"Miguel Cabrera (18, 37)",23,R
310,307.,Jose Canseco (17),23,R
311,307.,Frank Catalanotto (14),23,R
312,307.,Johnny Damon (18),23,L
313,307.,Rajai Davis (14),23,R
314,307.,David DeJesus (13),23,L
315,307.,Darin Erstad (14),23,L
316,307.,Kirk Gibson (17),23,L
317,307.,Roy Hartzell (11),23,R
318,307.,Gene Hermanski (9),23,R
319,307.,Chuck Hinton (11),23,R
320,307.,Del Howard (5),23,R
321,307.,David Justice (14),23,L
322,307.,Bevo LeBourveau (5),23,R
323,307.,Mike Mitchell (8),23,R
324,307.,Andy Pafko (17),23,R
325,307.,Hal Rice (7),23,R
326,307.,Milt Thompson (13),23,R
327,307.,Bob Watson (19),23,R
328,307.,Max West (7),23,R
329,307.,Dmitri Young (13),23,R
330,331.,John Anderson (14),22,R
331,331.,Clyde Barnhart (9),22,R
332,331.,Jerald Clark (7),22,R
333,331.,Walton Cruise (10),22,R
334,331.,Frank Delahanty (6),22,R
335,331.,Jim Greengrass (5),22,R
336,331.,Woody Jensen (9),22,L
337,331.,Johnny Johnston (1),22,R
338,331.,Jay Kirke (7),22,R
339,331.,Chet Laabs (11),22,R
340,331.,Hector Lopez (12),22,R
341,331.,Lee Maye (13),22,R
342,331.,"Marcell Ozuna (8, 29)",22,R
343,331.,Bill Robinson (16),22,R
344,331.,Russ Scarritt (4),22,R
345,346.,Lance Berkman (15),21,L
346,346.,Eddie Brown (7),21,R
347,346.,Bernie Carbo (12),21,R
348,346.,Bill Collins (4),21,R
349,346.,Jim Delahanty (13),21,R
350,346.,Ray Demmitt (7),21,R
351,346.,Bob Ganley (5),21,L
352,346.,Jim Jackson (4),21,R
353,346.,Lee Lacy (16),21,R
354,346.,Jack Lelivelt (6),21,L
355,346.,"J.D. Martinez (10, 32)",21,R
356,346.,Kevin Mench (8),21,R
357,346.,Jason Michaels (11),21,R
358,346.,Jimmy Outlaw (10),21,R
359,346.,Tom Paciorek (18),21,R
360,346.,Nolan Reimold (8),21,R
361,346.,Dick Sisler (8),21,R
362,346.,George Watkins (7),21,R
363,346.,Jayson Werth (15),21,R
364,365.,Joe Adcock (17),20,R
365,365.,Sandy Amoros (7),20,L
366,365.,Brady Anderson (15),20,L
367,365.,Beals Becker (8),20,L
368,365.,Barry Bonnell (10),20,R
369,365.,Glenn Braggs (7),20,R
370,365.,Bill Buckner (22),20,L
371,365.,Josh Clarke (5),20,R
372,365.,Wid Conroy (11),20,R
373,365.,Johnny Dickshot (6),20,R
374,365.,Oscar Gamble (17),20,R
375,365.,Tony Gonzalez (12),20,R
376,365.,Tom Grieve (9),20,R
377,365.,"Bryce Harper (9, 27)",20,R
378,365.,Myril Hoag (13),20,R
379,365.,Ray Lankford (14),20,L
380,365.,Matt Lawton (12),20,R
381,365.,Boog Powell (17),20,R
382,365.,Reggie Sanders (17),20,R
383,365.,Al Scheer (3),20,R
384,365.,Kip Selbach (13),20,R
385,365.,George Selkirk (9),20,R
386,365.,Norm Siebern (12),20,R
387,365.,Jack Smith (15),20,L
388,365.,Coaker Triplett (6),20,R
389,365.,Dixie Walker (18),20,R
390,365.,"Christian Yelich (8, 28)",20,R
391,392.,Al Bumbry (14),19,R
392,392.,Gene Clines (10),19,R
393,392.,Eric Davis (17),19,R
394,392.,Miguel Dilone (12),19,R
395,392.,Irv Noren (11),19,L
396,392.,Johnny Rizzo (5),19,R
397,392.,Matt Stairs (19),19,R
398,392.,Claudell Washington (17),19,L
399,392.,Walt Williams (10),19,R
