,Rank,"Player (yrs, age)",Stolen Bases,Bats
237,238.,Pat Kelly (15),250,L
238,238.,Harold Reynolds (12),250,B
239,240.,"Starling Marte (9, 31)",249,R
240,241.,Garry Maddox (15),248,R
241,242.,Topsy Hartsel (14),247,L
242,242.,Darren Lewis (13),247,R
243,242.,Del Pratt (13),247,R
244,242.,Gene Richards (8),247,L
245,246.,Tony Fernandez (17),246,B
246,246.,Stan Javier (17),246,B
247,246.,Billy Sunday (8),246,L
248,249.,John Reilly (10),245,R
249,249.,Andy Van Slyke (13),245,L
250,251.,Jimmy Austin (18),244,B
251,251.,Roger Connor+ (18),244,B
252,251.,Roy Thomas (13),244,L
253,254.,Ron Gant (16),243,R
254,254.,Ian Kinsler (14),243,R
255,254.,Dave Roberts (10),243,L
256,257.,Garry Templeton (16),242,B
257,257.,Alan Wiggins (7),242,B
258,259.,Hank Aaron+ (23),240,R
259,259.,Emmett Seery (9),240,L
260,261.,Enos Cabell (15),238,R
261,261.,Ray Chapman (9),238,R
262,261.,Toby Harrah (17),238,R
263,264.,Ducky Holmes (10),236,L
264,264.,Alan Trammell+ (20),236,R
265,266.,Home Run Baker+ (13),235,L
266,266.,Ed Daily (7),235,R
267,266.,Roberto Kelly (14),235,R
268,266.,Germany Smith (15),235,R
269,270.,Richie Ashburn+ (15),234,L
270,270.,Benny Kauff (8),234,L
271,270.,Sammy Sosa (18),234,R
272,270.,Tony Taylor (19),234,R
273,274.,Frank Schulte (15),233,L
274,274.,Mike Smith (14),233,L
275,274.,Roy White (15),233,B
276,277.,Pee Wee Reese+ (16),232,R
277,277.,Sam Thompson+ (15),232,L
278,279.,Joe Carter (16),231,R
279,279.,Royce Clayton (17),231,R
280,279.,Howard Johnson (14),231,B
281,279.,Shane Victorino (12),231,R
282,283.,Larry Walker+ (17),230,L
283,284.,Raul Mondesi (13),229,R
284,284.,Jim O'Rourke+ (23),229,R
285,286.,Gene DeMontreville (11),228,R
286,286.,Reggie Jackson+ (21),228,L
287,286.,Rudy Law (7),228,L
288,286.,Jack Smith (15),228,L
289,286.,George Tebeau (6),228,R
290,291.,Sandy Alomar (15),227,B
291,292.,Shano Collins (16),226,R
292,292.,Cesar Tovar (12),226,R
293,294.,Phil Garner (16),225,R
294,294.,Danny Richardson (11),225,R
295,294.,Jim Wynn (15),225,R
296,297.,Duff Cooley (13),224,L
297,297.,Carney Lansford (15),224,R
298,297.,Denny Lyons (13),224,R
299,297.,Rollie Zeider (9),224,R
300,301.,Gee Walker (15),223,R
301,301.,Dave Winfield+ (22),223,R
302,303.,Dan Gladden (11),222,R
303,303.,Cy Seymour (16),222,L
304,305.,Darryl Strawberry (17),221,L
305,306.,Jack Crooks (8),220,R
306,307.,Jack O'Connor (21),219,R
307,308.,Bob Dernier (10),218,R
308,308.,Billy Hatcher (12),218,R
309,308.,Corey Patterson (12),218,L
310,308.,"Jonathan Villar (8, 29)",218,B
311,312.,Terry Puhl (15),217,L
312,313.,"Ryan Braun (14, 36)",216,R
313,313.,Orlando Cabrera (15),216,R
314,313.,Sammy Strang (10),216,B
315,316.,Billy Werber (11),215,R
316,316.,Randy Winn (13),215,B
317,318.,Milt Thompson (13),214,L
318,319.,Roger Cedeno (11),213,B
319,319.,Mike Donlin (12),213,L
320,319.,Kid Elberfeld (14),213,R
321,319.,Joe Judge (20),213,L
322,323.,Roger Bresnahan+ (17),212,R
323,323.,Chad Curtis (10),212,R
324,323.,Shawon Dunston (18),212,R
325,323.,Fred Snodgrass (9),212,R
326,327.,Ben Revere (8),211,L
327,328.,Bill Doran (12),209,B
328,328.,Brandon Phillips (17),209,R
329,330.,Solly Hofman (14),208,R
330,330.,Harry Lord (9),208,L
331,330.,Jerry Remy (10),208,L
332,333.,Bill Bruton (12),207,L
333,333.,Charlie Hemphill (11),207,L
334,333.,Davy Jones (15),207,L
335,333.,Hardy Richardson (14),207,R
336,337.,Lou Bierbauer (13),206,L
337,337.,Dusty Miller (7),206,L
338,339.,Ed Andrews (8),205,R
339,339.,Minnie Minoso (17),205,R
340,339.,Roger Peckinpaugh (17),205,R
341,339.,Rodney Scott (8),205,B
342,339.,Zack Wheat+ (19),205,L
343,344.,Frank Robinson+ (21),204,R
344,345.,Damaso Garcia (11),203,R
345,345.,Jim Gilliam (14),203,B
346,345.,Sam Wise (12),203,L
347,348.,Jeff Bagwell+ (15),202,R
348,348.,Shoeless Joe Jackson (13),202,L
349,348.,Mike Mitchell (8),202,R
350,348.,Harry Steinfeldt (14),202,R
351,352.,George Brett+ (21),201,L
352,352.,Germany Schaefer (15),201,R
353,352.,"Mike Trout (10, 28)",201,R
354,352.,Bobby Wallace+ (25),201,R
355,356.,Don Buford (10),200,B
356,356.,Jose Canseco (17),200,R
357,356.,Max Flack (12),200,L
358,356.,Ken Griffey (19),200,L
359,356.,Bill Hallman (14),200,R
360,361.,Julio Lugo (12),198,R
361,361.,Pete Rose (24),198,B
362,363.,Cliff Carroll (11),197,B
363,363.,Lee Mazzilli (14),197,B
364,363.,Rube Oldring (13),197,R
365,363.,Blondie Purcell (12),197,R
366,363.,Jackie Robinson+ (10),197,R
367,368.,Gregg Jefferies (14),196,B
368,368.,Brian McRae (10),196,B
369,368.,Wilbert Robinson+ (17),196,R
370,368.,Shannon Stewart (14),196,R
371,368.,Bump Wills (6),196,B
372,368.,David Wright (14),196,R
373,374.,Eddie Foster (13),195,R
374,374.,Torii Hunter (19),195,R
375,374.,Willy Taveras (7),195,R
376,374.,Bobby Veach (14),195,L
377,378.,Jimmy Collins+ (14),194,R
378,378.,Ivan de Jesus (15),194,R
379,378.,Bill Greenwood (6),194,B
380,378.,Fritz Maisel (6),194,R
381,378.,Ollie Pickering (8),194,L
382,383.,Danny Murphy (16),193,R
383,383.,Bobby Tolan (13),193,L
384,385.,Danny Green (8),192,L
385,385.,Alfredo Griffin (18),192,B
386,385.,Candy LaChance (12),192,B
387,388.,Doc Casey (10),191,B
388,388.,Cliff Heathcote (15),191,L
389,388.,"Andrew McCutchen (12, 33)",191,R
390,391.,George Browne (12),190,L
391,391.,Braggo Roth (8),190,R
392,393.,Dave Fultz (7),189,R
393,393.,Jason Kendall (15),189,R
394,393.,Jerry Royster (16),189,R
395,393.,Chick Stahl (10),189,L
396,397.,Tom Herr (13),188,B
397,398.,Johnny Bates (9),187,L
398,398.,Dave Nelson (10),187,R
399,400.,Jimmy Callahan (13),186,R
400,400.,Bill Everitt (7),186,L
401,400.,Emmet Heidrick (8),186,L
402,400.,Lee Magee (9),186,B
403,400.,"Cameron Maybin (14, 33)",186,R
404,400.,Deion Sanders (9),186,L
405,400.,Chicken Wolf (11),186,R
406,407.,Danny Hoffman (9),185,L
407,407.,Lee Lacy (16),185,R
408,407.,Howie Shanks (14),185,R
409,407.,Denard Span (11),185,L
410,407.,Amos Strunk (17),185,L
411,412.,Ken Griffey Jr.+ (22),184,L
412,412.,"Matt Kemp (15, 35)",184,R
413,412.,Freddy Parent (12),184,R
414,415.,Bill Buckner (22),183,L
415,415.,Charlie Dexter (8),183,R
416,415.,Dave Martinez (16),183,L
417,415.,Gary Matthews (16),183,R
418,415.,Bake McBride (11),183,L
419,415.,"Jean Segura (9, 30)",183,R
420,415.,Quilvio Veras (7),183,B
421,422.,Carson Bigbee (11),182,L
422,422.,Roy Hartzell (11),182,L
423,424.,Bill Bradley (14),181,R
424,424.,Ellis Burks (18),181,R
425,424.,"Ian Desmond (11, 34)",181,R
426,424.,Charlie Gehringer+ (19),181,L
427,424.,Vladimir Guerrero+ (16),181,R
428,429.,Heinie Groh (16),180,R
429,429.,Charlie Irwin (10),180,L
430,431.,Luke Appling+ (20),179,R
431,431.,Darin Erstad (14),179,L
432,431.,Adam Kennedy (14),179,L
433,434.,Joe Kuhel (18),178,L
434,434.,Jake Stahl (9),178,R
435,434.,Frank White (18),178,R
436,437.,Dots Miller (12),177,R
437,437.,Tony Phillips (18),177,B
438,437.,Ray Schalk+ (18),177,R
439,440.,Bobby Byrne (11),176,R
440,440.,Goose Goslin+ (18),176,L
441,440.,Johnny Mostil (10),176,R
442,440.,Angel Pagan (11),176,B
443,444.,Kitty Bransfield (12),175,R
444,444.,"Lorenzo Cain (11, 34)",175,R
445,444.,Frank Fennelly (7),175,R
446,444.,Heinie Zimmerman (13),175,R
447,448.,Mariano Duncan (12),174,R
448,448.,Alcides Escobar (11),174,R
449,448.,Bill Madlock (15),174,R
450,448.,Wally Moses (17),174,L
451,448.,Jerry Mumphrey (15),174,B
452,448.,Mike Schmidt+ (18),174,R
453,454.,Jim Donnelly (11),173,R
454,454.,Mickey Doolin (13),173,R
455,454.,Dick Hoblitzell (11),173,L
456,454.,Al Martin (11),173,L
457,454.,Buck Weaver (9),173,B
458,459.,Ralph Garr (13),172,L
459,459.,Stuffy McInnis (19),172,R
460,459.,Jose Offerman (15),172,B
461,459.,Bill Sweeney (8),172,R
462,463.,Paul Blair (17),171,R
463,463.,Armando Marsans (8),171,R
464,463.,Danny Moeller (7),171,B
465,463.,"Trea Turner (6, 27)",171,R
466,467.,Derek Bell (11),170,R
467,467.,George Gore (14),170,L
468,469.,Harry Bay (8),169,L
469,469.,Ozzie Guillen (16),169,L
470,469.,Jimmy Johnston (13),169,R
471,469.,Oddibe McDowell (7),169,L
472,469.,Pop Smith (12),169,R
473,474.,Doug Glanville (9),168,R
474,474.,Rick Manning (13),168,L
475,474.,Carl Yastrzemski+ (23),168,L
476,477.,Tommie Agee (12),167,R
477,477.,Mark Belanger (18),167,R
478,477.,Dick Egan (9),167,R
479,477.,Billy Gilbert (8),167,R
480,477.,Bucky Harris+ (12),167,R
481,477.,Mike Mowrey (13),167,R
482,477.,Bill Russell (18),167,R
483,477.,Dickie Thon (15),167,R
484,485.,"Emilio Bonifacio (12, 35)",166,B
485,486.,Bones Ely (14),165,R
486,486.,Larry Gardner (17),165,L
487,486.,Stan Hack (16),165,L
488,486.,Matt Lawton (12),165,L
489,486.,Tom Poorman (6),165,L
490,491.,Jack McGeachey (6),164,R
491,491.,Patsy Tebeau (13),164,R
492,493.,Darryl Hamilton (13),163,L
493,493.,Paul Hines (20),163,R
494,493.,Jeffrey Leonard (14),163,R
495,493.,Rebel Oakes (7),163,L
496,497.,Tom Burns (13),162,R
497,497.,Shawn Green (15),162,L
498,497.,Lyn Lary (12),162,R
499,497.,Farmer Weaver (7),162,B
500,497.,Eric Young Jr. (10),162,B
501,502.,Mike Felder (10),161,B
502,502.,Dale Murphy (18),161,R
503,502.,Tip O'Neill (10),161,R
504,502.,Drew Stubbs (9),161,R
505,506.,Josh Devore (7),160,L
506,506.,Art Fletcher (13),160,R
507,506.,Jim Rivera (10),160,L
508,506.,Mitch Webster (13),160,B
509,510.,Bill Coughlin (9),159,R
510,510.,Bert Daniels (5),159,R
511,510.,Joe Hornung (12),159,R
512,513.,Hick Carpenter (12),158,R
513,513.,Pete Fox (13),158,R
514,513.,Pie Traynor+ (17),158,R
515,516.,"Shin-Soo Choo (16, 37)",157,L
516,516.,Buddy Myer (17),157,L
517,518.,Matty Alou (15),156,L
518,518.,Ivy Olson (14),156,R
519,518.,Lenny Randle (12),156,B
520,521.,"Erick Aybar (12, 36)",155,B
521,521.,Phil Bradley (8),155,R
522,521.,Billy Maloney (6),155,L
523,521.,Claude Ritchey (13),155,B
524,521.,Milt Stock (14),155,R
525,521.,Gerald Young (8),155,B
526,527.,Sparky Adams (13),154,R
527,527.,George Burns (16),154,R
528,527.,John Cangelosi (13),154,B
529,527.,Dan Driessen (15),154,L
530,527.,Dave Parker (19),154,L
531,527.,Chase Utley (16),154,L
532,527.,Ken Williams (14),154,L
533,534.,Jack Barry (11),153,R
534,534.,Curtis Granderson (16),153,L
535,534.,Eddie Grant (10),153,L
536,534.,Mickey Mantle+ (18),153,B
537,534.,Ross Youngs+ (10),153,L
538,539.,Dante Bichette (14),152,R
539,539.,Bob Caruthers (10),152,L
540,539.,Andruw Jones (17),152,R
541,542.,Kevin Bass (14),151,B
542,542.,Lu Blue (13),151,B
543,542.,Horace Clarke (10),151,B
544,542.,Jumbo Davis (7),151,L
545,542.,Jim Delahanty (13),151,R
546,542.,Chick Gandil (9),151,R
547,542.,Dick Johnston (8),151,R
548,542.,Perry Werden (7),151,R
549,542.,Jimmy Williams (11),151,R
550,542.,Chief Zimmer (19),151,R
551,552.,Duke Farrell (18),150,B
552,552.,Chipper Jones+ (19),150,B
553,552.,Bill Kuehne (10),150,R
554,555.,Tom Jones (8),149,R
555,555.,Phil Rizzuto+ (13),149,R
556,557.,Alex Cole (7),148,L
557,557.,Cliff Floyd (17),148,L
558,557.,"Dexter Fowler (13, 34)",148,B
559,557.,Jack Graney (14),148,L
560,557.,Tony Lazzeri+ (14),148,R
561,562.,Jerry Hairston (16),147,R
562,562.,Joe Mulvey (12),147,R
563,562.,Jack Tobin (13),147,L
564,562.,"Justin Upton (14, 32)",147,R
565,562.,Bernie Williams (16),147,B
566,567.,Jack Fournier (15),146,L
567,567.,Pepper Martin (13),146,R
568,569.,Dave Bancroft+ (16),145,B
569,569.,Ken Landreaux (11),145,L
570,569.,Jack McCarthy (12),145,L
571,569.,Eddie Milner (9),145,L
572,569.,Spike Shannon (5),145,L
573,574.,Chuck Carr (8),144,B
574,574.,Ed Cartwright (5),144,R
575,574.,Pokey Reese (8),144,R
576,574.,Heinie Wagner (12),144,R
577,578.,Jimmy Barrett (10),143,L
578,578.,Jiggs Donahue (9),143,L
579,578.,Ryan Freel (8),143,R
580,578.,Jackie Jensen (11),143,R
581,578.,Ruppert Jones (12),143,L
582,578.,Otto Knabe (11),143,R
583,578.,Tommy McCraw (13),143,L
584,578.,Bob Meusel (11),143,R
585,578.,Alexei Ramírez (9),143,R
586,578.,Grady Sizemore (10),143,L
587,578.,Lou Whitaker (19),143,L
588,589.,Ed Abbaticchio (9),142,R
589,589.,Orlando Cepeda+ (17),142,R
590,589.,Chili Davis (19),142,B
591,589.,Doc Gessler (8),142,L
592,589.,"Eduardo Nunez (11, 33)",142,R
593,589.,Gerald Perry (13),142,L
594,589.,Ruben Sierra (20),142,B
595,589.,George Stovall (12),142,R
596,589.,Chris Young (13),142,R
597,598.,Paul O'Neill (17),141,L
598,598.,B.J. Surhoff (19),141,L
599,600.,Shad Barry (10),140,R
600,600.,Ossie Bluege (18),140,R
601,600.,Johnny Temple (13),140,R
602,600.,Derrel Thomas (15),140,B
603,600.,John Titus (11),140,L
604,600.,Bill Wambsganss (13),140,R
605,606.,Miguel Cairo (17),139,R
606,606.,Dick Harley (7),139,L
607,606.,Doc Johnston (11),139,L
608,606.,Jim Landis (11),139,R
609,606.,Greasy Neale (8),139,L
610,611.,Everth Cabrera (7),138,B
611,611.,"Dustin Pedroia (14, 36)",138,R
612,611.,George Shoch (11),138,R
613,611.,Billy Southworth+ (13),138,L
614,615.,Dusty Baker (19),137,R
615,615.,Fred Carroll (8),137,R
616,615.,Pop Corkhill (10),137,L
617,615.,Jim Gantner (17),137,L
618,615.,Al Kaline+ (22),137,R
619,615.,Reggie Smith (17),137,B
620,615.,Mickey Vernon (20),137,L
621,622.,"Mookie Betts (7, 27)",136,R
622,622.,Al Bridwell (11),136,L
623,622.,Tommy Davis (18),136,R
624,622.,"Jason Kipnis (10, 33)",136,L
625,622.,Nemo Leibold (13),136,L
626,622.,Jose Valentin (16),136,B
627,628.,Rogers Hornsby+ (23),135,R
628,628.,Julian Javier (13),135,R
629,628.,Roy Johnson (10),135,L
630,628.,Will Venable (9),135,L
631,632.,Mike Davis (10),134,L
632,632.,Kirby Puckett+ (12),134,R
633,632.,Snuffy Stirnweiss (10),134,R
634,635.,Dick Allen (15),133,R
635,635.,Willie Bloomquist (14),133,R
636,635.,Red Dooin (15),133,R
637,635.,Mark Grudzielanek (15),133,R
638,635.,Damian Jackson (11),133,R
639,635.,George McBride (16),133,R
640,635.,Nate McLouth (10),133,L
641,635.,Earl Torgeson (15),133,L
642,643.,Birdie Cree (8),132,R
643,643.,George Grantham (13),132,L
644,643.,Bill McClellan (8),132,B
645,643.,Hap Myers (5),132,R
646,643.,Dick Padden (9),132,R
647,643.,Charlie Reilly (8),132,B
648,643.,George Stone (7),132,L
649,643.,U L Washington (11),132,B
650,643.,Rickie Weeks (14),132,R
651,643.,Jayson Werth (15),132,R
652,653.,"Charlie Blackmon (10, 33)",131,L
653,653.,Lenny Harris (18),131,L
654,653.,Charlie Jamieson (18),131,L
655,653.,Bill Keister (7),131,L
656,653.,Frank Shugart (8),131,L
657,653.,Casey Stengel+ (14),131,L
658,659.,Henry Cotto (10),130,R
659,659.,Jerry Denny (13),130,R
660,659.,Chuck Hinton (11),130,R
661,659.,Barry McCormick (10),130,R
662,663.,Beals Becker (8),129,L
663,663.,Eric Byrnes (11),129,R
664,663.,Enzo Hernandez (8),129,R
665,663.,Henry Larkin (10),129,R
666,663.,Les Mann (16),129,R
667,663.,Tillie Walker (13),129,R
668,669.,Bill Almon (15),128,R
669,669.,Clyde Engle (8),128,R
670,669.,Carlton Fisk+ (24),128,R
671,669.,Andres Galarraga (19),128,R
672,669.,"Paul Goldschmidt (10, 32)",128,R
673,669.,Luis Gonzalez (19),128,L
674,669.,Larry Hisle (14),128,R
675,669.,Johnny Hopp (14),128,L
676,669.,Larry Lintz (6),128,B
677,669.,John Lowenstein (16),128,L
678,669.,Ward Miller (8),128,L
679,669.,"Christian Yelich (8, 28)",128,L
680,681.,Juan Encarnacion (11),127,R
681,681.,Bud Harrelson (16),127,B
682,681.,Connie Mack+ (11),127,R
683,681.,Bill McKechnie+ (11),127,B
684,681.,Bing Miller (16),127,R
685,681.,Bobby Murcer (17),127,L
686,681.,Terry Pendleton (15),127,B
687,681.,"Jose Ramirez (8, 27)",127,B
688,681.,Ivan Rodriguez+ (21),127,R
689,690.,Jack Boyle (13),126,R
690,690.,Sonny Jackson (12),126,L
691,690.,Willie Kamm (13),126,R
692,690.,Howie Kendrick (15),126,R
693,690.,Leonys Martín (9),126,L
694,690.,Marty McManus (15),126,R
695,690.,Eric Owens (9),126,R
696,697.,Vic Davalillo (16),125,L
697,697.,Cristian Guzman (11),125,B
698,697.,Carlos Lee (14),125,R
699,697.,Wally Pipp (15),125,L
700,697.,Tony Scott (11),125,B
701,702.,Johnny Kling (13),124,R
702,702.,Felipe Lopez (11),124,B
703,702.,Preston Wilson (10),124,R
704,705.,Jason Bartlett (10),123,R
705,705.,"Michael Brantley (12, 33)",123,L
