,Rank,"Player (yrs, age)",Total Bases,Bats
855,856.,Derek Bell (11),1926,R
856,856.,Brandon Inge (13),1926,R
857,856.,Hector Lopez (12),1926,R
858,859.,"Erick Aybar (12, 36)",1924,B
859,859.,Gerardo Parra (11),1924,L
860,861.,Chicken Wolf (11),1923,R
861,862.,Max Flack (12),1922,L
862,862.,Tommy McCarthy+ (13),1922,R
863,862.,Neifi Perez (12),1922,B
864,865.,Terry Kennedy (14),1920,L
865,866.,"Matt Carpenter (10, 34)",1918,L
866,866.,Howie Shanks (14),1918,R
867,868.,Bill Doran (12),1916,B
868,868.,Gil McDougald (10),1916,R
869,870.,Kelly Johnson (11),1915,L
870,871.,Bill Robinson (16),1912,R
871,871.,John Titus (11),1912,L
872,873.,David Bell (12),1911,R
873,874.,Alvin Davis (9),1909,L
874,875.,Al Bumbry (14),1908,L
875,875.,Lenny Dykstra (12),1908,L
876,877.,Roy Johnson (10),1907,L
877,877.,Billy Rogell (14),1907,B
878,879.,Tommy Dowd (10),1904,R
879,879.,"Brian Dozier (9, 33)",1904,R
880,879.,Elbie Fletcher (12),1904,L
881,879.,Aaron Rowand (11),1904,R
882,879.,Gary Ward (12),1904,R
883,884.,Denny Lyons (13),1902,R
884,884.,Marty Marion (13),1902,R
885,886.,Larry Hisle (14),1901,R
886,887.,Jerry Denny (13),1898,R
887,887.,Jim Spencer (15),1898,L
888,889.,Pete Incaviglia (12),1897,R
889,889.,Marco Scutaro (13),1897,R
890,891.,Norm Siebern (12),1895,L
891,892.,Jimmy Johnston (13),1894,R
892,892.,Grady Sizemore (10),1894,L
893,894.,Tommy Griffith (13),1891,L
894,894.,Mickey Stanley (15),1891,R
895,896.,"Mike Moustakas (10, 31)",1890,L
896,897.,Gavvy Cravath (11),1889,R
897,898.,Zoilo Versalles (12),1887,R
898,899.,Bob Horner (10),1886,R
899,900.,Terry Puhl (15),1885,L
900,901.,Al Martin (11),1884,L
901,901.,Keith Moreland (12),1884,R
902,901.,Terry Turner (17),1884,R
903,904.,Ray Knight (13),1883,R
904,905.,Mike Lieberthal (14),1882,R
905,905.,Eddie Robinson (13),1882,L
906,905.,Gene Tenace (15),1882,R
907,908.,Eddie Miller (14),1880,R
908,909.,Les Mann (16),1879,R
909,910.,Denis Menke (13),1878,R
910,911.,Terry Moore (11),1877,R
911,911.,Rafael Ramirez (13),1877,R
912,913.,Mark Trumbo (10),1876,R
913,914.,Preston Wilson (10),1875,R
914,915.,Tim Foli (16),1871,R
915,916.,Tom Herr (13),1870,B
916,916.,Sam Wise (12),1870,L
917,918.,Candy LaChance (12),1869,B
918,919.,Amos Strunk (17),1868,L
919,919.,Del Unser (15),1868,L
920,921.,Lee Lacy (16),1867,R
921,922.,Vince Coleman (13),1863,B
922,923.,Stephen Drew (12),1862,L
923,924.,Ripper Collins (9),1861,B
924,925.,Robby Thompson (11),1860,R
925,926.,Jose Vizcaino (18),1859,B
926,927.,Glenn Wright (11),1856,R
927,928.,Hi Myers (14),1855,R
928,928.,Rickie Weeks (14),1855,R
929,930.,Luis Polonia (12),1854,L
930,931.,Rick Burleson (13),1853,R
931,932.,Mel Hall (13),1852,L
932,933.,Jay Johnstone (20),1851,L
933,934.,Al Rosen (10),1844,R
934,935.,Wil Cordero (14),1843,R
935,936.,Sandy Alomar (20),1841,R
936,936.,Eddie Foster (13),1841,R
937,938.,Everett Scott (13),1839,R
938,939.,Luke Sewell (20),1837,R
939,940.,Jeff Blauser (13),1836,R
940,941.,Ruppert Jones (12),1835,L
941,942.,Stan Javier (17),1834,B
942,943.,"Jason Kipnis (10, 33)",1833,L
943,944.,Brook Jacoby (11),1832,R
944,944.,Johnny Pesky (10),1832,L
945,946.,Spud Davis (16),1831,R
946,946.,Rusty Greer (9),1831,L
947,948.,Johnny Temple (13),1830,R
948,949.,Mickey Doolin (13),1827,R
949,949.,Mike Kreevich (12),1827,R
950,949.,"Christian Yelich (8, 28)",1827,L
951,952.,Monte Cross (15),1826,R
952,953.,"DJ LeMahieu (10, 31)",1825,R
953,953.,Julio Lugo (12),1825,R
954,955.,Pepper Martin (13),1824,R
955,955.,"Josh Reddick (12, 33)",1824,L
956,957.,Alcides Escobar (11),1822,R
957,958.,Bob Skinner (12),1820,L
958,959.,Josh Willingham (11),1819,R
959,960.,Sixto Lezcano (12),1818,R
960,961.,Mariano Duncan (12),1815,R
961,961.,Rollie Hemsley (19),1815,R
962,961.,Ron Hunt (12),1815,R
963,964.,Ed Brinkman (15),1812,R
964,964.,Cliff Johnson (15),1812,R
965,966.,Ethan Allen (13),1811,R
966,966.,Alex Johnson (13),1811,R
967,966.,Jeff King (11),1811,R
968,966.,Don Mincher (13),1811,L
969,970.,Jack Clements (17),1808,L
970,970.,Jack O'Connor (21),1808,R
971,970.,Chief Wilson (9),1808,L
972,973.,Billy Southworth+ (13),1807,L
973,974.,Mike Donlin (12),1805,L
974,975.,Bobby Richardson (12),1804,R
975,976.,John Morrill (15),1803,R
976,977.,Ken Henderson (16),1802,B
977,978.,Tom Burns (13),1798,R
978,978.,Frankie Hayes (14),1798,R
979,980.,Glenn Beckert (11),1797,R
980,980.,George Case (11),1797,R
981,980.,Scott Fletcher (15),1797,R
982,983.,John Roseboro (14),1796,L
983,984.,Lou Finney (15),1795,L
984,984.,Topsy Hartsel (14),1795,L
985,984.,Troy O'Leary (11),1795,L
986,987.,Bill Mueller (11),1793,B
987,987.,Kevin Youkilis (10),1793,R
988,989.,Woody English (12),1792,R
989,989.,Glenallen Hill (13),1792,R
990,989.,Rick Manning (13),1792,L
991,992.,Bobby Avila (11),1791,R
992,992.,David Eckstein (10),1791,R
993,992.,Willard Marshall (11),1791,L
994,995.,Freddie Patek (14),1789,R
995,996.,Jack Wilson (12),1788,R
996,997.,"Mookie Betts (7, 27)",1786,R
997,997.,Doggie Miller (13),1786,R
998,999.,Corey Hart (11),1782,R
999,999.,Earl Sheely (9),1782,R
