,Rank,"Player (yrs, age)",Power-Speed #,Bats
148,149.,Bobby Murcer (17),168.89,L
149,150.,Frank White (18),168.52,R
150,151.,Bill Madlock (15),168.32,R
151,152.,Tony Phillips (18),168.07,B
152,153.,Frankie Frisch+ (19),167.92,B
153,154.,Jayson Werth (15),167.47,R
154,155.,Jackie Jensen (11),166.42,R
155,156.,Rafael Furcal (14),166.19,B
156,157.,Rafael Palmeiro (20),165.75,L
157,158.,Ed Delahanty+ (16),165.37,R
158,159.,Pee Wee Reese+ (16),163.31,R
159,159.,Sam Thompson+ (15),163.31,L
160,161.,Chris Young (13),162.90,R
161,162.,Kirby Puckett+ (12),162.69,R
162,163.,Roberto Kelly (14),162.34,R
163,164.,Tony Lazzeri+ (14),161.62,R
164,165.,Jackie Robinson+ (10),161.61,R
165,166.,B.J. Surhoff (19),161.14,L
166,167.,Matt Holliday (15),160.98,R
167,168.,Hunter Pence (14),160.88,R
168,169.,Moises Alou (17),160.69,R
169,170.,Zack Wheat+ (19),160.59,L
170,171.,"Carlos Gonzalez (12, 34)",160.38,L
171,171.,George Sisler+ (15),160.38,L
172,173.,Jacoby Ellsbury (11),159.61,L
173,174.,Gee Walker (15),159.38,R
174,175.,Duke Snider+ (18),159.26,L
175,176.,Garry Maddox (15),158.99,R
176,177.,Darrell Evans (21),158.48,L
177,178.,Derrek Lee (15),158.27,R
178,179.,Brian Giles (15),158.00,L
179,180.,Chuck Knoblauch (12),157.96,R
180,181.,Cy Williams (19),157.73,L
181,182.,Orlando Cabrera (15),156.74,R
182,183.,"Starling Marte (9, 31)",156.40,R
183,184.,Herman Long (16),155.63,L
184,185.,Vernon Wells (15),155.30,R
185,186.,Lonnie Smith (17),154.96,R
186,187.,Dave Concepcion (19),153.65,R
187,188.,Dan Driessen (15),153.50,L
188,189.,Sam Crawford+ (19),153.44,L
189,190.,Gregg Jefferies (14),153.39,B
190,191.,Corey Patterson (12),153.12,L
191,192.,Ken Boyer (15),153.02,R
192,193.,Jeffrey Leonard (14),152.91,R
193,194.,Mickey Vernon (20),152.52,L
194,195.,Mel Ott+ (22),151.60,L
195,196.,Gary Gaetti (20),151.58,R
196,197.,Dan Brouthers+ (19),151.09,L
197,198.,Fred Pfeffer (16),150.95,R
198,199.,"Charlie Blackmon (10, 33)",150.93,L
199,199.,Joe Kuhel (18),150.93,L
200,201.,Jeff Kent (17),150.48,R
201,202.,Matt Lawton (12),150.30,L
202,203.,Paul Blair (17),150.26,R
203,204.,Derek Bell (11),149.87,R
204,205.,Preston Wilson (10),149.75,R
205,206.,Al Martin (11),149.74,L
206,207.,Jimmie Foxx+ (20),149.62,R
207,208.,Bob Meusel (11),149.22,R
208,209.,Royce Clayton (17),149.03,R
209,210.,Billy Williams+ (18),148.61,L
210,211.,Shane Victorino (12),147.19,R
211,212.,Phil Garner (16),146.86,R
212,213.,Darin Erstad (14),146.51,L
213,214.,Grady Sizemore (10),146.42,L
214,215.,Tommie Agee (12),146.20,R
215,216.,Rod Carew+ (19),145.96,L
216,217.,Bill Dahlen (21),145.67,R
217,218.,Randy Winn (13),145.54,B
218,219.,Jose Cruz (12),145.44,B
219,220.,Rickie Weeks (14),145.07,R
220,221.,Ruppert Jones (12),144.97,L
221,222.,Shannon Stewart (14),144.95,R
222,223.,"Mookie Betts (7, 27)",144.88,R
223,224.,Brian Roberts (14),144.74,B
224,225.,Larry Hisle (14),144.54,R
225,226.,Brian Jordan (15),144.53,R
226,227.,Adam Jones (14),144.35,R
227,228.,Tommy Davis (18),144.00,R
228,228.,Bob Johnson (13),144.00,R
229,230.,Cap Anson+ (27),143.68,R
230,231.,Albert Belle (12),142.98,R
231,232.,Luis Aparicio+ (18),142.61,R
232,233.,Dave Kingman (16),142.58,R
233,234.,Magglio Ordonez (15),142.45,R
234,235.,Bobby Grich (17),142.05,R
235,236.,"Alex Gordon (14, 36)",141.72,L
236,237.,Bert Campaneris (19),140.85,R
237,238.,Felipe Alou (17),140.84,R
238,239.,Jack Fournier (15),140.82,L
239,240.,Gary Redus (13),140.68,R
240,241.,Earl Torgeson (15),140.55,L
241,242.,Juan Encarnacion (11),140.01,R
242,243.,Carl Everett (14),139.90,B
243,244.,Harry Heilmann+ (17),139.72,R
244,245.,Sherry Magee (16),139.71,R
245,246.,Rick Monday (19),139.34,L
246,247.,Lance Berkman (15),139.27,B
247,248.,"Dustin Pedroia (14, 36)",138.99,R
248,249.,Hal McRae (19),138.79,R
249,250.,"Christian Yelich (8, 28)",138.55,L
250,251.,"Bryce Harper (9, 27)",137.79,L
251,252.,Ryan Klesko (16),137.12,L
252,253.,Ben Chapman (15),137.03,R
253,254.,Bret Boone (14),136.93,R
254,255.,Ben Zobrist (14),136.91,B
255,256.,Chad Curtis (10),136.82,R
256,257.,Al Simmons+ (20),136.79,R
257,258.,"Dexter Fowler (13, 34)",136.70,B
258,259.,Delino DeShields (13),136.43,L
259,259.,Bill White (13),136.43,L
260,261.,Jake Beckley+ (20),136.34,L
261,262.,Home Run Baker+ (13),136.31,L
262,263.,Tony Fernandez (17),136.02,B
263,264.,"Brian Dozier (9, 33)",135.76,R
264,265.,Eric Young Sr. (15),135.06,R
265,266.,Brian McRae (10),135.04,B
266,267.,Nap Lajoie+ (21),134.89,R
267,268.,Nomar Garciaparra (14),134.29,R
268,269.,Damion Easley (17),134.17,R
269,270.,Stan Musial+ (22),134.00,L
270,271.,Pedro Guerrero (15),133.69,R
271,272.,Omar Vizquel (24),133.55,B
272,273.,Terry Pendleton (15),133.18,B
273,274.,Miguel Tejada (16),133.14,R
274,275.,Jason Bay (11),133.06,R
275,276.,Kevin Bass (14),132.48,B
276,277.,Russell Martin (14),132.13,R
277,278.,Frank Schulte (15),131.91,L
278,279.,Joe Gordon+ (11),131.68,R
279,280.,"Jason Kipnis (10, 33)",130.81,L
280,281.,George Davis+ (20),130.60,B
281,282.,Cecil Cooper (17),129.99,L
282,283.,Dwight Evans (20),129.72,R
283,284.,Bill Bruton (12),129.29,L
284,285.,Kevin McReynolds (12),129.10,R
285,286.,Willie McGee (18),129.04,B
286,287.,Ken Caminiti (15),128.64,B
287,288.,"Nelson Cruz (16, 39)",128.57,R
288,289.,"Jason Heyward (11, 30)",128.24,L
289,290.,Benito Santiago (20),128.23,R
290,291.,J.D. Drew (14),127.99,L
291,292.,Max Carey+ (20),127.87,B
292,293.,Alexei Ramírez (9),127.48,R
293,293.,Rondell White (15),127.48,R
294,295.,Steve Garvey (19),127.19,R
295,296.,"Jose Ramirez (8, 27)",127.00,B
296,297.,Ben Oglivie (16),126.99,L
297,298.,Don Buford (10),126.96,B
298,299.,Glenallen Hill (13),126.64,R
299,300.,Howie Kendrick (15),126.50,R
300,301.,Bob Allison (13),126.49,R
301,302.,Lee Mazzilli (14),126.35,B
302,303.,Lenny Dykstra (12),126.15,L
303,304.,Jesse Burkett+ (16),125.75,L
304,305.,Fred McGriff (19),125.65,L
305,306.,Jack Clark (18),125.56,R
306,307.,Garret Anderson (17),125.12,L
307,308.,Chuck Klein+ (17),125.07,L
308,309.,Harry Hooper+ (17),125.00,L
309,310.,Dwayne Murphy (12),124.81,L
310,311.,"Joey Votto (14, 36)",124.63,L
311,312.,Jay Bell (18),124.09,R
312,313.,Babe Herman (13),123.74,L
313,314.,Tony Oliva (15),123.66,L
314,315.,George Van Haltren (17),123.40,L
315,316.,Roberto Clemente+ (18),123.34,R
316,317.,Tillie Walker (13),123.26,R
317,318.,Leon Durham (10),123.18,L
318,319.,Marty McManus (15),122.93,R
319,320.,Bobby Higginson (11),122.42,L
320,321.,Keith Hernandez (17),122.12,L
321,322.,Lee Lacy (16),121.99,R
322,323.,"Asdrubal Cabrera (14, 34)",121.73,B
323,324.,John Lowenstein (16),121.71,L
324,325.,"Elvis Andrus (12, 31)",121.68,R
325,326.,Dave Martinez (16),121.56,L
326,327.,Al Oliver (18),121.43,L
327,328.,Bing Miller (16),121.25,R
328,329.,Michael Young (14),121.09,R
329,330.,Chuck Hinton (11),120.91,R
330,331.,Melvin Mora (13),120.48,R
331,332.,Eddie Mathews+ (17),120.06,L
332,333.,Jeromy Burnitz (14),119.85,L
333,334.,Bill Doran (12),119.84,B
334,335.,Michael Tucker (12),119.25,L
335,336.,Bobby Tolan (13),118.98,L
336,337.,Harry Davis (22),118.75,R
337,338.,Melky Cabrera (15),118.73,B
338,339.,Larry Doyle (14),118.56,L
339,340.,Fred Clarke+ (21),118.41,L
340,341.,"Michael Brantley (12, 33)",118.33,L
341,342.,Buck Ewing+ (18),118.28,R
342,343.,Eric Byrnes (11),118.16,R
343,344.,Chris Sabo (9),117.97,R
344,345.,Wally Moses (17),117.76,L
345,346.,Bob Bailey (17),117.26,R
346,347.,Drew Stubbs (9),117.09,R
347,348.,"Jonathan Villar (8, 29)",117.05,B
348,349.,George Grantham (13),116.96,L
349,350.,Tom Brown (17),116.65,L
350,351.,Fred Lynn (17),116.57,L
351,352.,Pat Kelly (15),116.56,L
352,353.,Bernard Gilkey (12),116.48,R
353,354.,Jose Bautista (15),116.33,R
354,355.,King Kelly+ (16),116.21,R
355,356.,Mariano Duncan (12),116.00,R
356,357.,Johnny Bench+ (17),115.76,R
357,358.,Aaron Boone (12),115.73,R
358,359.,"Francisco Lindor (6, 26)",115.29,B
359,360.,Joe Cronin+ (20),115.10,R
360,361.,Bobby Lowe (18),115.04,R
361,362.,Donn Clendenon (12),114.94,R
362,363.,Nate McLouth (10),114.81,L
363,364.,Ed Konetchy (15),114.71,R
364,365.,Sal Bando (16),114.51,R
365,366.,Jim Edmonds (17),114.48,L
366,367.,Billy Werber (11),114.47,R
367,368.,"Jean Segura (9, 30)",114.20,R
368,369.,Julio Lugo (12),113.96,R
369,370.,Al Cowens (13),113.68,R
370,371.,Tony Taylor (19),113.59,R
371,372.,Alex Gonzalez (13),113.58,R
372,373.,Joe Kelley+ (17),113.37,R
373,374.,Ken Landreaux (11),111.82,L
374,375.,Corey Hart (11),111.50,R
375,376.,Johnny Callison (16),111.49,L
376,377.,Heinie Manush+ (17),111.48,L
377,378.,Kelly Johnson (11),111.45,L
378,379.,Jim Landis (11),111.44,R
379,380.,Mookie Wilson (12),111.21,B
380,381.,Ed McKean (13),111.04,R
381,382.,Dan Gladden (11),111.00,R
382,383.,Adam Dunn (14),110.88,L
383,384.,Bill Joyce (8),110.83,L
384,385.,Mark Kotsay (17),110.63,L
385,386.,Adam Kennedy (14),110.58,L
386,387.,Robby Thompson (11),110.42,R
387,388.,Augie Galan (16),110.31,B
388,389.,Don Money (16),110.00,R
389,390.,Tom Brunansky (14),109.99,R
390,390.,George Scott (14),109.99,R
391,392.,Jacque Jones (10),109.56,L
392,393.,Greg Gagne (15),109.48,R
393,394.,Wally Moon (12),109.42,L
394,394.,"Wil Myers (8, 29)",109.42,R
395,396.,Irish Meusel (11),109.39,R
396,397.,"Todd Frazier (10, 34)",109.38,R
397,398.,Jim Rivera (10),109.30,L
398,399.,Jim Piersall (17),109.22,R
399,400.,Travis Fryman (13),108.85,R
400,401.,Michael Cuddyer (15),108.64,R
401,402.,Garry Templeton (16),108.59,B
402,403.,Edd Roush+ (18),108.48,L
403,404.,Chase Headley (12),108.43,B
404,405.,Will Clark (15),108.42,L
405,406.,Mike Davis (10),108.39,L
406,407.,Paul Waner+ (20),108.31,L
407,408.,Earl Averill+ (13),108.18,L
408,409.,"Jay Bruce (13, 33)",107.94,L
409,409.,Hardy Richardson (14),107.94,R
410,411.,"Lorenzo Cain (11, 34)",107.91,R
411,412.,Rajai Davis (14),107.88,R
412,413.,John Reilly (10),107.68,R
413,414.,Gil Hodges (18),107.67,R
414,415.,"AJ Pollock (9, 32)",107.44,R
415,416.,Jason Kendall (15),107.39,R
416,417.,Mark Grudzielanek (15),107.35,R
417,418.,"Starlin Castro (11, 30)",107.28,R
418,418.,Tommy Leach (19),107.28,R
419,420.,George Bell (12),106.96,R
420,421.,"Edwin Encarnacion (16, 37)",106.66,R
421,422.,Joe Judge (20),106.50,L
422,423.,Arky Vaughan+ (14),105.87,L
423,424.,Mark Reynolds (13),105.37,R
424,425.,Kevin Young (12),105.30,R
425,426.,Frankie Crosetti (17),104.97,R
426,427.,Wally Pipp (15),104.65,L
427,428.,Ron LeFlore (9),104.46,R
428,429.,Ralph Garr (13),104.45,L
429,430.,Felipe Lopez (11),104.30,B
430,431.,"Trea Turner (6, 27)",104.27,R
431,432.,Luis Salazar (13),104.25,R
432,433.,Oyster Burns (11),104.24,R
433,434.,"Cameron Maybin (14, 33)",103.81,R
434,435.,Phil Bradley (8),103.78,R
435,436.,Bo Jackson (8),103.70,R
436,437.,Jesse Barfield (12),103.62,R
437,438.,Bug Holliday (10),103.34,R
438,439.,Milton Bradley (12),103.29,B
439,440.,Oddibe McDowell (7),102.93,L
440,441.,Denard Span (11),102.62,L
441,442.,Willie Upshaw (10),102.60,L
442,443.,Gavvy Cravath (11),101.84,R
443,444.,Aaron Hill (13),101.59,R
444,445.,Gary Ward (12),101.32,R
445,446.,Will Venable (9),101.25,L
446,447.,"Eric Hosmer (10, 30)",101.18,L
447,448.,Jim Fregosi (18),101.11,R
448,449.,Gary Matthews (12),101.08,B
449,450.,Ken Henderson (16),100.89,B
450,451.,Jeff King (11),100.87,R
451,452.,Walt Wilmot (10),100.74,B
452,453.,Jim Rice+ (16),100.71,R
453,454.,Ivan Calderon (10),100.38,R
454,455.,"Trevor Story (5, 27)",100.19,R
455,456.,Enos Slaughter+ (19),99.99,L
456,457.,Jimmy Sheckard (17),99.96,L
457,458.,Jerry Mumphrey (15),99.84,B
458,459.,Mark Grace (16),99.67,L
459,460.,Fred Merkle (16),99.65,R
460,461.,Dickie Thon (15),99.64,R
461,462.,"Manny Machado (9, 27)",99.46,R
462,462.,Bill Robinson (16),99.46,R
463,464.,Harlond Clift (12),99.45,R
464,465.,Mickey Rivers (15),99.31,L
465,466.,Mike Greenwell (12),99.05,L
466,467.,Larry Herndon (14),98.94,R
467,468.,Julian Javier (13),98.87,R
468,469.,Yasiel Puig (7),98.84,R
469,470.,Hank Greenberg+ (13),98.70,R
470,471.,Hal Chase (15),98.53,R
471,472.,Mike Lansing (9),98.48,R
472,473.,Brett Butler (17),98.47,L
473,473.,Jim Gilliam (14),98.47,B
474,475.,Tommy McCraw (13),98.39,L
475,476.,Jorge Orta (16),98.28,L
476,477.,George Burns (16),98.12,R
477,477.,Chick Hafey+ (13),98.12,R
478,477.,Billy Nash (15),98.12,R
479,480.,"Nick Markakis (15, 36)",97.84,L
480,481.,Eric Karros (14),97.70,R
481,482.,Jim O'Rourke+ (23),97.58,R
482,483.,Mitch Webster (13),97.39,B
483,484.,Jimmy Collins+ (14),97.38,R
484,485.,Denny Lyons (13),97.12,R
485,486.,Bid McPhee+ (18),96.95,R
486,487.,Vince DiMaggio (10),96.81,R
487,488.,George Hendrick (18),96.64,R
488,489.,Terry Puhl (15),96.44,L
489,490.,Bobby Veach (14),96.37,L
490,491.,Steve Sax (14),96.29,R
491,492.,"Evan Longoria (13, 34)",96.00,R
492,493.,Zoilo Versalles (12),95.99,R
493,494.,Dolph Camilli (12),95.92,L
494,495.,Enos Cabell (15),95.84,R
495,496.,Dick McAuliffe (16),95.47,L
496,497.,Troy Glaus (13),95.32,R
497,498.,Al Smith (12),95.13,R
498,499.,"Anthony Rizzo (10, 30)",95.09,L
499,500.,Kelly Gruber (10),95.03,R
500,501.,Eddie Yost (18),94.86,R
501,502.,Jerry Hairston (16),94.84,R
502,503.,Kal Daniels (7),94.74,L
503,504.,Gerald Williams (14),94.35,R
504,505.,Jerry Denny (13),94.31,R
505,506.,Mike Devereaux (12),93.95,R
506,507.,Angel Pagan (11),93.87,B
507,508.,Bake McBride (11),93.73,L
508,509.,"Yadier Molina (17, 37)",93.45,R
509,510.,Mike Bordick (14),93.43,R
510,511.,Carl Reynolds (13),93.33,R
511,512.,Doug DeCinces (15),93.19,R
512,513.,Travis Jackson+ (15),93.06,R
513,514.,Dom DiMaggio (11),93.05,R
514,515.,Matt Williams (17),92.97,R
515,516.,Wally Joyner (16),92.73,L
516,517.,Carlos Guillen (14),92.69,B
517,518.,Stan Javier (17),92.55,B
518,519.,Freddie Lindstrom+ (13),92.54,R
519,520.,Alex Johnson (13),92.29,R
520,521.,Pete Fox (13),92.11,R
521,522.,Mark Ellis (12),92.09,R
522,523.,Cleon Jones (13),91.99,R
523,524.,Gerardo Parra (11),91.83,L
524,525.,Dave Philley (18),91.72,B
525,526.,Jim Bottomley+ (16),91.71,L
526,527.,Dick Bartell (18),91.61,R
527,528.,Jake Daubert (15),91.57,L
528,529.,Tony Pena (18),91.55,R
529,530.,Chet Lemon (16),91.36,R
530,531.,"Daniel Murphy (12, 35)",91.11,L
531,532.,Ernie Banks+ (19),91.10,R
532,533.,Placido Polanco (16),91.07,R
533,534.,Troy Tulowitzki (13),90.96,R
534,535.,High Pockets Kelly+ (16),90.33,R
535,536.,David Justice (14),90.31,L
536,537.,Corey Koskie (9),90.30,L
537,538.,Tony Bernazard (10),90.16,B
538,539.,Willie Randolph (18),90.06,R
539,540.,Daryl Boston (11),89.88,L
540,541.,Juan Beniquez (17),89.79,R
541,542.,Aaron Rowand (11),89.77,R
542,543.,Brad Ausmus (18),89.67,R
543,544.,Hubie Brooks (15),89.54,R
544,545.,Mark Whiten (11),89.51,B
545,546.,Tony Gonzalez (12),89.42,L
546,547.,Jack Tobin (13),89.18,L
547,548.,Al Bumbry (14),89.07,L
548,549.,George Foster (18),88.96,R
549,550.,Orlando Hudson (11),88.82,B
550,551.,Mark McLemore (19),88.71,B
551,552.,Bob Elliott (15),88.70,R
552,553.,"Robinson Cano (16, 37)",88.49,L
553,554.,Eddie Collins+ (25),88.39,L
554,555.,John Briggs (12),87.65,L
555,556.,Randy Velarde (16),87.64,R
556,556.,Todd Zeile (16),87.64,R
557,558.,Carlos May (10),87.43,L
558,559.,Doug Glanville (9),87.33,R
559,560.,Mack Jones (10),87.32,L
560,561.,Heinie Zimmerman (13),87.12,R
561,562.,John Anderson (14),87.11,B
562,563.,"Rougned Odor (7, 26)",87.04,L
563,564.,Bobby Doerr+ (14),86.95,R
564,565.,Tom Daly (17),86.94,B
565,566.,Jeff Heath (14),86.91,L
566,567.,Tony Perez+ (23),86.78,R
567,568.,Buck Freeman (11),86.71,L
568,569.,Billy Hatcher (12),86.56,R
569,570.,Curt Flood (15),86.47,R
570,570.,Franklin Gutierrez (12),86.47,R
571,570.,Franklin Stubbs (10),86.47,L
572,573.,Red Schoendienst+ (19),86.43,B
573,574.,Buddy Bell (18),86.37,R
574,575.,Jeff Conine (17),86.24,R
575,576.,Ed Charles (8),86.00,R
576,577.,Leon Wagner (12),85.99,L
577,578.,Raul Ibanez (19),85.92,L
578,579.,Hack Wilson+ (12),85.73,R
579,580.,"Josh Reddick (12, 33)",85.70,L
580,581.,Jose Offerman (15),85.62,B
581,582.,Tim Wallach (17),85.27,R
582,583.,Shoeless Joe Jackson (13),85.22,L
583,584.,Mitchell Page (8),85.09,L
584,585.,Mike Sweeney (16),85.04,R
585,586.,Pinky Higgins (14),84.98,R
586,587.,Todd Hollandsworth (12),84.97,L
587,588.,Jimmy Dykes (22),84.94,R
588,589.,George Wood (13),84.91,L
589,590.,"Kevin Pillar (8, 31)",84.89,R
590,591.,Pie Traynor+ (17),84.85,R
591,592.,Jeff Blauser (13),84.81,R
592,593.,Stan Hack (16),84.73,L
593,594.,Shane Mack (9),84.71,R
594,595.,Brian Downing (20),84.62,R
595,596.,Edgar Martinez+ (18),84.59,R
596,597.,"Gregory Polanco (7, 28)",84.50,L
597,598.,Baby Doll Jacobson (11),84.47,R
598,599.,Paul Hines (20),84.46,R
599,600.,"Erick Aybar (12, 36)",84.41,B
600,600.,Eric Hinske (12),84.41,L
601,602.,Gorman Thomas (13),84.28,R
602,603.,Cy Seymour (16),84.26,L
603,604.,Pepper Martin (13),84.04,R
604,605.,Rick Manning (13),84.00,L
605,606.,"DJ LeMahieu (10, 31)",83.99,R
606,607.,Eric Chavez (17),83.87,L
607,607.,"Marcus Semien (8, 29)",83.87,R
608,609.,Eddie Joost (17),83.84,R
609,610.,Elmer Flick+ (13),83.81,L
610,611.,Gerald Perry (13),83.36,L
611,612.,Jeffrey Hammonds (13),83.28,R
612,613.,Mickey Cochrane+ (13),83.24,L
613,614.,"Kyle Seager (10, 32)",83.12,L
614,615.,Jim Tabor (9),82.96,R
615,616.,Cristian Guzman (11),82.89,B
616,616.,Bill Hall (11),82.89,R
617,618.,Marlon Byrd (15),82.83,R
618,619.,Austin Jackson (9),82.79,R
619,620.,Tim Salmon (14),82.72,R
620,621.,"Eduardo Nunez (11, 33)",82.36,R
621,622.,Mike Donlin (12),82.30,L
622,622.,Casey Stengel+ (14),82.30,L
623,624.,"Javier Baez (7, 27)",82.14,R
624,625.,Bill Terry+ (14),82.13,L
625,626.,"Kevin Kiermaier (8, 30)",81.99,L
626,627.,Carlos Baerga (14),81.93,B
627,628.,Dean Palmer (14),81.73,R
628,629.,John Shelby (11),81.67,B
629,630.,Todd Walker (12),81.64,L
630,631.,John Roseboro (14),81.50,L
