,Rank,"Player (yrs, age)",Range Factor/9Inn as P,Throws
50,51.,Kevin Ritz (9),2.497,R
51,52.,Jerry Garvin (6),2.495,L
52,53.,Luis Ayala (9),2.484,R
53,54.,Randy Tomlin (5),2.481,L
54,55.,Mike Hampton (16),2.460,L
55,56.,Danny Graves (11),2.450,R
56,57.,Mark Eichhorn (11),2.449,R
57,58.,Chad Bradford (12),2.443,R
58,59.,Terry Forster (16),2.438,L
59,60.,Dennis Martinez (23),2.435,R
60,61.,Bill Bonham (10),2.431,R
61,62.,Joe Beimel (13),2.422,L
62,62.,J.C. Romero (14),2.422,L
63,64.,Joaquin Andujar (13),2.420,R
64,65.,Ken Hill (14),2.418,R
65,66.,Don Stanhouse (10),2.416,R
66,67.,Fernando Valenzuela (17),2.414,L
67,68.,Charlie Leibrandt (14),2.402,L
68,69.,Bob Tewksbury (13),2.401,R
69,70.,Jim Bullinger (7),2.397,R
70,71.,Mike Marshall (14),2.396,R
71,72.,Charles Nagy (14),2.394,R
72,73.,Jason Grimsley (15),2.393,R
73,73.,Paul Hartzell (6),2.393,R
74,75.,"Mike Leake (10, 32)",2.392,R
75,76.,Mark Gubicza (14),2.384,R
76,77.,Tom Murphy (12),2.381,R
77,77.,Frankie Rodriguez (7),2.381,R
78,79.,Dave Stieb (16),2.378,R
79,80.,Dave Heaverlo (7),2.377,R
80,80.,Jeff Shaw (12),2.377,R
81,82.,Scott Erickson (15),2.375,R
82,82.,Omar Olivares (12),2.375,R
83,84.,Jamey Wright (19),2.373,R
84,85.,Steve Busby (8),2.372,R
85,86.,Bryan Clark (8),2.371,L
86,87.,Rheal Cormier (16),2.365,L
87,87.,Dennis Lamp (16),2.365,R
88,89.,Mike Maddux (15),2.361,R
89,90.,Jim Barr (12),2.353,R
90,91.,Rick Camp (9),2.350,R
91,92.,Ken Brett (14),2.348,L
92,93.,Doug Brocail (15),2.342,R
93,94.,Josh Towers (8),2.338,R
94,95.,Scott Downs (13),2.336,L
95,96.,Steve Hargan (12),2.333,R
96,97.,"Mark Melancon (12, 35)",2.332,R
97,98.,Jim Acker (10),2.329,R
98,99.,Rolando Arrojo (5),2.327,R
99,100.,Tony Castillo (10),2.324,L
100,101.,Steve Trout (12),2.320,L
101,102.,Mike Proly (7),2.309,R
102,103.,Bill Lee (14),2.308,L
103,103.,Mike Williams (12),2.308,R
104,105.,"Joe Smith (13, 36)",2.304,R
105,106.,Tim Burke (8),2.303,R
106,107.,Claude Osteen (18),2.302,L
107,108.,Cory Lidle (9),2.300,R
108,109.,Rick Mahler (13),2.297,R
109,110.,Jose Jimenez (7),2.296,R
110,111.,Mike Moore (14),2.295,R
111,112.,Liván Hernández (17),2.292,R
112,113.,Tom Glavine+ (22),2.280,L
113,114.,Chad Bettis (7),2.278,R
114,115.,Clayton Richard (11),2.277,L
115,116.,Derek Lowe (17),2.271,R
116,117.,Ramiro Mendoza (10),2.270,R
117,117.,Zane Smith (13),2.270,L
118,117.,Bill Wegman (11),2.270,R
119,120.,Luis Aquino (9),2.269,R
120,121.,"Jake Arrieta (11, 34)",2.265,R
121,122.,Brian Anderson (13),2.263,L
122,122.,Tommy John (26),2.263,L
123,122.,Mark Lemongello (4),2.263,R
124,125.,Jim Brower (9),2.258,R
125,125.,"Tyson Ross (10, 33)",2.258,R
126,127.,"Dallas Keuchel (9, 32)",2.254,L
127,128.,Terry Adams (11),2.247,R
128,128.,"Marcus Stroman (6, 29)",2.247,R
129,130.,Dave Rozema (10),2.246,R
130,131.,Mike LaCoss (14),2.245,R
131,132.,Larry Andersen (17),2.243,R
132,132.,Jim Colborn (10),2.243,R
133,132.,"Kyle Hendricks (7, 30)",2.243,R
134,135.,Bob Milacki (8),2.240,R
135,136.,Carl Morton (8),2.238,R
136,137.,Mike Caldwell (14),2.236,L
137,137.,Doug Sisk (9),2.236,R
138,139.,"Luis Castillo (4, 27)",2.234,R
139,139.,"Sonny Gray (8, 30)",2.234,R
140,141.,Bruce Kison (15),2.229,R
141,142.,Jeremy Affeldt (14),2.226,L
142,143.,Jimmy Anderson (6),2.224,L
143,144.,Omar Daal (11),2.223,L
144,145.,"Tyler Chatwood (9, 30)",2.222,R
145,146.,Mike Norris (10),2.217,R
146,146.,Steve Rogers (13),2.217,R
147,148.,Chien-Ming Wang (9),2.214,R
148,149.,Paul Kilgus (6),2.212,L
149,150.,John Doherty (5),2.210,R
150,151.,Mike Morgan (22),2.208,R
151,152.,David Palmer (10),2.207,R
152,153.,Milt Wilcox (16),2.206,R
153,154.,Jimmy Jones (8),2.205,R
154,155.,Tom Candiotti (16),2.203,R
155,156.,John Dopson (8),2.196,R
156,156.,"Zack Greinke (17, 36)",2.196,R
157,156.,Matt Guerrier (11),2.196,R
158,156.,Rick Honeycutt (21),2.196,L
159,160.,R.A. Dickey (15),2.192,R
160,160.,Pascual Perez (11),2.192,R
161,162.,Tippy Martinez (14),2.191,L
162,163.,Justin Masterson (8),2.188,R
163,164.,Lee Guetterman (11),2.187,L
164,164.,Brian Lawrence (6),2.187,R
165,166.,Mark Mulder (9),2.178,L
166,167.,Fergie Jenkins+ (19),2.177,R
167,168.,Steve Crawford (10),2.175,R
168,169.,Jim Beattie (9),2.170,R
169,169.,Bret Saberhagen (16),2.170,R
170,169.,Walt Terrell (11),2.170,R
171,172.,Scott Kamieniecki (10),2.168,R
172,173.,Jimmy Key (15),2.167,L
173,173.,Jeff Robinson (9),2.167,R
174,175.,Mark Buehrle (16),2.166,L
175,175.,Ron Darling (13),2.166,R
176,177.,Kirk McCaskill (12),2.165,R
177,178.,Rick Waits (12),2.163,L
178,179.,Turk Wendell (11),2.161,R
179,180.,Mike Timlin (18),2.160,R
180,181.,Doug Drabek (13),2.159,R
181,181.,Jon Garland (13),2.159,R
182,181.,Tim Hudson (17),2.159,R
183,184.,Alex Fernandez (10),2.158,R
184,185.,Steve Howe (12),2.154,L
185,186.,Jeff Russell (14),2.153,R
186,187.,Rick Langford (11),2.149,R
187,188.,Roberto Hernandez (11),2.147,R
188,189.,John Franco (21),2.146,L
189,189.,Lary Sorensen (11),2.146,R
190,191.,Zach Duke (15),2.144,L
191,192.,Chris Welsh (5),2.143,L
192,193.,Bill Campbell (15),2.130,R
193,194.,Steve Comer (7),2.129,R
194,194.,Kyle Kendrick (10),2.129,R
195,196.,John Thomson (10),2.125,R
196,197.,"Lance McCullers Jr. (5, 26)",2.123,R
197,198.,Jesse Jefferson (9),2.122,R
198,198.,Dave McNally (14),2.122,L
199,200.,Chris Nabholz (6),2.119,L
200,201.,Tim Leary (13),2.118,R
201,202.,Ed Vande Berg (7),2.116,L
202,203.,Tim Stauffer (10),2.115,R
203,204.,Francisco Cordova (5),2.114,R
204,205.,Steve Avery (11),2.113,L
205,205.,Mike Bielecki (14),2.113,R
206,205.,Tom Hume (11),2.113,R
207,208.,Gary Lucas (8),2.112,L
208,209.,Dave Roberts (13),2.111,L
209,210.,J.P. Howell (12),2.106,L
210,211.,Felipe Lira (7),2.105,R
211,212.,Larry Gura (16),2.104,L
212,212.,Kameron Loe (9),2.104,R
213,212.,Carlos Zambrano (12),2.104,R
214,215.,John Cerutti (7),2.101,L
215,216.,Glenn Abbott (11),2.100,R
216,216.,Ricky Romero (5),2.100,L
217,218.,"Trevor Cahill (12, 32)",2.099,R
218,219.,Steve Trachsel (16),2.098,R
219,220.,Jim Palmer+ (19),2.095,R
220,221.,Rich Rodriguez (13),2.093,L
221,222.,Bill Castro (10),2.092,R
222,223.,Odalis Perez (10),2.090,L
223,224.,Butch Henry (7),2.087,L
224,224.,Kevin Jarvis (12),2.087,R
225,226.,Chan Ho Park (17),2.086,R
226,227.,Bob Walk (14),2.085,R
227,228.,Scott Feldman (13),2.084,R
228,229.,Bob Ojeda (15),2.082,L
229,230.,Shawn Estes (13),2.081,L
230,231.,Dwight Gooden (16),2.079,R
231,231.,Larry McWilliams (13),2.079,L
232,233.,Brian Duensing (10),2.077,L
233,234.,Doyle Alexander (19),2.076,R
234,234.,Joe Magrane (8),2.076,L
235,236.,Rick Wise (18),2.075,R
236,237.,Josh Johnson (9),2.074,R
237,237.,Mark Thurmond (8),2.074,L
238,239.,"Zack Britton (10, 32)",2.069,L
239,240.,Chris Bosio (11),2.068,R
240,241.,Danys Báez (10),2.066,R
241,242.,Tom Griffin (14),2.065,R
242,242.,Dave Schmidt (12),2.065,R
243,242.,Bryn Smith (13),2.065,R
244,245.,Randy Lerch (11),2.063,L
245,246.,Paul Lindblad (14),2.060,L
246,246.,Paul Wagner (8),2.060,R
247,248.,Bob Forsch (16),2.058,R
248,248.,Jason Marquis (15),2.058,R
249,250.,"Jair Jurrjens (8, 34)",2.053,R
250,251.,Rick Sutcliffe (18),2.052,R
251,251.,Trevor Wilson (8),2.052,L
252,253.,Fritz Peterson (11),2.051,L
253,253.,Julian Tavarez (17),2.051,R
254,255.,Mike DeJean (10),2.050,R
255,255.,Shane Reynolds (13),2.050,R
256,257.,Jim Mecir (11),2.049,R
257,258.,Shawn Boskie (9),2.048,R
258,259.,Carlos Perez (5),2.046,L
259,260.,Brian Moehler (14),2.044,R
260,261.,"Kyle Gibson (8, 32)",2.043,R
261,261.,Aaron Heilman (9),2.043,R
262,263.,Oil Can Boyd (10),2.040,R
263,263.,John Butcher (7),2.040,R
264,265.,Jamie Moyer (25),2.039,L
265,266.,Burke Badenhop (8),2.038,R
266,267.,Jeff Ballard (7),2.037,L
267,268.,Jeff Fassero (16),2.036,L
268,269.,Wilbur Wood (17),2.035,L
269,270.,Wayne Garland (9),2.034,R
270,271.,"Jhoulys Chacin (12, 32)",2.033,R
271,271.,John Tudor (12),2.033,L
272,273.,Bill Long (6),2.030,R
273,273.,Bruce Sutter+ (12),2.030,R
274,275.,John Habyan (11),2.029,R
275,275.,Greg Harris (8),2.029,R
276,277.,Shigetoshi Hasegawa (9),2.024,R
277,277.,Mike Torrez (18),2.024,R
278,279.,Nick Blackburn (6),2.023,R
279,279.,Roy Halladay+ (16),2.023,R
280,281.,Russ Ortiz (12),2.021,R
281,282.,Bronson Arroyo (16),2.018,R
282,282.,Greg Harris (15),2.018,R
283,282.,Sean Marshall (9),2.018,L
284,282.,Salomon Torres (12),2.018,R
285,286.,Chuck Crim (8),2.016,R
286,286.,Ken Holtzman (15),2.016,L
287,288.,Phil Niekro+ (24),2.014,R
288,289.,Jesse Crain (10),2.013,R
289,290.,Geoff Zahn (13),2.010,L
290,291.,Lerrin LaGrow (10),2.009,R
291,292.,Shawn Camp (11),2.006,R
292,293.,Brett Myers (12),2.005,R
293,294.,"Carlos Martinez (8, 28)",2.004,R
294,295.,Scot Shields (10),2.001,R
295,296.,Jim Abbott (10),2.000,L
296,297.,Ken Forsch (16),1.996,R
297,297.,John Halama (9),1.996,L
298,297.,Bob Scanlan (9),1.996,R
299,297.,Brian Williams (9),1.996,R
300,301.,Bryan Rekar (8),1.992,R
301,302.,Joel Pineiro (12),1.991,R
302,303.,Mark Petkovsek (9),1.990,R
303,303.,Ismael Valdez (12),1.990,R
304,305.,Ryan Drese (6),1.989,R
305,305.,Joe Sambito (11),1.989,L
306,307.,Aaron Sanchez (6),1.984,R
307,308.,Brian Bannister (5),1.983,R
308,309.,Dave Dravecky (8),1.982,L
309,310.,Francisco Barrios (7),1.981,R
310,310.,Dave Lemanczyk (8),1.981,R
311,312.,Mike Scott (13),1.980,R
312,313.,Jack Armstrong (7),1.979,R
313,313.,"Julio Teheran (10, 29)",1.979,R
314,315.,Scott Karl (6),1.976,L
315,316.,Pedro Astacio (15),1.975,R
316,316.,Nino Espinosa (8),1.975,R
317,318.,Tom House (8),1.974,L
318,319.,Mark Williamson (8),1.971,R
319,320.,Andy Ashby (14),1.968,R
320,320.,Heathcliff Slocumb (10),1.968,R
321,320.,Paul Splittorff (15),1.968,L
322,323.,Jerry Reuss (22),1.965,L
323,323.,"Tony Watson (10, 35)",1.965,L
324,325.,Greg Cadaret (10),1.963,L
325,325.,"Alex Cobb (9, 32)",1.963,R
326,325.,Bob Wickman (15),1.963,R
327,328.,Doug Fister (10),1.962,R
328,329.,Dillon Gee (8),1.961,R
329,329.,Greg McMichael (8),1.961,R
330,331.,Tomo Ohka (10),1.960,R
331,332.,Casey Janssen (9),1.959,R
332,333.,Jeff Montgomery (13),1.958,R
333,334.,"Nathan Eovaldi (9, 30)",1.957,R
334,335.,Willie Hernandez (13),1.956,L
335,336.,Bob Shirley (11),1.955,L
336,337.,"Adam Wainwright (15, 38)",1.954,R
337,338.,"Joe Kelly (9, 32)",1.953,R
338,339.,Steve Kline (11),1.952,L
339,340.,Bud Black (15),1.951,L
340,340.,Joe Coleman (15),1.951,R
341,340.,John Smoltz+ (21),1.951,R
342,343.,Clay Hensley (7),1.950,R
343,344.,Shaun Marcum (9),1.949,R
344,345.,"Michael Wacha (8, 28)",1.946,R
345,346.,Jeanmar Gomez (10),1.945,R
346,347.,Bobby Jones (10),1.944,R
347,347.,Scott Schoeneweis (12),1.944,L
348,349.,Don Hood (10),1.942,L
349,350.,Chad Qualls (14),1.940,R
350,350.,Rick Rhoden (16),1.940,R
351,352.,Ramon Martinez (14),1.937,R
352,353.,Brad Radke (12),1.935,R
353,353.,Ron Robinson (9),1.935,R
354,355.,Bruce Berenyi (7),1.934,R
355,355.,Tom Gordon (21),1.934,R
356,355.,Gil Heredia (10),1.934,R
357,358.,Joe Decker (9),1.933,R
358,359.,Bill Laskey (6),1.932,R
359,359.,Paul Maholm (10),1.932,L
360,359.,Wade Miller (9),1.932,R
361,362.,Stan Bahnsen (16),1.931,R
362,363.,Doug Bair (15),1.930,R
363,363.,"Mike Montgomery (6, 30)",1.930,L
364,363.,Jay Tibbs (7),1.930,R
365,366.,Eric Rasmussen (8),1.928,R
366,367.,Josh Fogg (9),1.926,R
367,367.,Dave Goltz (12),1.926,R
368,367.,Trever Miller (13),1.926,L
369,370.,Enrique Romo (6),1.925,R
370,371.,Rick Aguilera (16),1.924,R
371,371.,Steve Karsay (11),1.924,R
372,373.,Charlie Hough (25),1.923,R
373,374.,Kris Medlen (8),1.922,R
374,375.,Ron Villone (15),1.919,L
375,376.,Roy Oswalt (13),1.916,R
376,377.,Brandon Lyon (12),1.915,R
377,378.,John Lannan (8),1.911,L
378,378.,Pete Vuckovich (11),1.911,R
379,380.,Ben McDonald (9),1.910,R
380,381.,Mike Fetters (16),1.909,R
381,382.,Ryan Dempster (16),1.908,R
382,382.,Dick Ruthven (14),1.908,R
383,384.,Steve Mura (7),1.906,R
384,385.,"Johnny Cueto (13, 34)",1.904,R
385,386.,Joe Niekro (22),1.903,R
386,387.,Jack Billingham (13),1.901,R
387,388.,Danny Cox (11),1.900,R
388,388.,Gary Lavelle (13),1.900,L
389,388.,Mike Witt (12),1.900,R
390,391.,Kevin Gross (15),1.896,R
391,391.,Joe Mays (7),1.896,R
392,393.,Brandon League (11),1.895,R
393,394.,Dickie Noles (11),1.894,R
394,394.,Jeff Suppan (17),1.894,R
395,396.,Chris Reitsma (7),1.892,R
396,397.,Allan Anderson (6),1.891,L
397,398.,Andy Hassler (14),1.890,L
398,399.,Brian Bohanon (12),1.887,L
399,399.,Woodie Fryman (18),1.887,L
