,Rank,"Player (yrs, age)",Total Zone Runs as 3B (s.1953),Throws
50,48.,John Valentin (11),33,R
51,52.,Alberto Callaspo (10),32,R
52,53.,Don Buford (10),30,R
53,53.,Chase Headley (12),30,R
54,55.,Steve Buechele (11),27,R
55,55.,Scott Cooper (7),27,R
56,55.,Tim Naehring (8),27,R
57,55.,Ron Santo+ (15),27,R
58,59.,Martin Prado (14),26,R
59,60.,John Castino (6),24,R
60,60.,Joe Randa (12),24,R
61,62.,"Todd Frazier (10, 34)",23,R
62,62.,Art Howe (11),23,R
63,62.,Pete Ward (9),23,R
64,65.,"Kris Bryant (6, 28)",22,R
65,65.,Andy Carey (11),22,R
66,65.,Jack Hannahan (8),22,R
67,65.,Jackie Robinson+ (10),22,R
68,65.,"Travis Shaw (6, 30)",22,R
69,70.,Ron Cey (17),21,R
70,70.,Wayne Garrett (10),21,R
71,70.,Ken Oberkfell (16),21,R
72,73.,Randy Jackson (10),20,R
73,73.,"Isiah Kiner-Falefa (3, 25)",20,R
74,75.,Ed Charles (8),19,R
75,75.,Bill Pecota (9),19,R
76,75.,Roy Staiger (4),19,R
77,75.,Kevin Youkilis (10),19,R
78,79.,Shane Andrews (7),18,R
79,79.,Leo Gomez (7),18,R
80,79.,Brett Lawrie (6),18,R
81,79.,Edgar Martinez+ (18),18,R
82,79.,John McDonald (16),18,R
83,84.,Mike Benjamin (13),17,R
84,84.,Jose Hernandez (15),17,R
85,84.,"Yoan Moncada (5, 25)",17,R
86,84.,Tony Taylor (19),17,R
87,84.,Don Wert (9),17,R
88,89.,"David Fletcher (3, 26)",16,R
89,89.,Rene Gonzales (13),16,R
90,89.,Garth Iorg (9),16,R
91,92.,Garrett Atkins (8),15,R
92,92.,Tony Batista (11),15,R
93,92.,Rich Dauer (10),15,R
94,92.,Kelly Gruber (10),15,R
95,92.,"Jedd Gyorko (8, 31)",15,R
96,92.,"Josh Harrison (10, 32)",15,R
97,92.,Randy Johnson (3),15,R
98,92.,Eddie Kasko (10),15,R
99,92.,Mike Lansing (9),15,R
100,92.,Tyler Saladino (5),15,R
101,92.,Randy Velarde (16),15,R
102,103.,"Luis Cruz (5, 36)",14,R
103,104.,Dave Chalk (9),13,R
104,104.,Todd Cruz (6),13,R
105,104.,Gil McDougald (10),13,R
106,104.,Kevin Orie (4),13,R
107,104.,"Hernan Perez (9, 29)",13,R
108,104.,"Jose Ramirez (8, 27)",13,R
109,104.,Pete Suder (13),13,R
110,104.,Hank Thompson (9),13,R
111,112.,"Javier Baez (7, 27)",12,R
112,112.,Jeff Bianchi (4),12,R
113,112.,Jack Brohamer (9),12,R
114,112.,Troy Glaus (13),12,R
115,112.,Don Hoak (11),12,R
116,112.,Jose Lopez (9),12,R
117,112.,Greg Pryor (10),12,R
118,112.,Bob Smith (5),12,R
119,120.,Mark Bellhorn (10),11,R
120,120.,Geoff Blum (14),11,R
121,120.,"Logan Forsythe (10, 33)",11,R
122,120.,Alex Grammas (10),11,R
123,120.,Bill Hall (11),11,R
124,120.,Charlie Hayes (14),11,R
125,120.,Phil Mankowski (6),11,R
126,120.,Danny O'Connell (10),11,R
127,120.,Al Rosen (10),11,R
128,120.,Marco Scutaro (13),11,R
129,120.,Ozzie Virgil (9),11,R
130,131.,Jim Davenport (13),10,R
131,131.,Tom Foley (13),10,R
132,131.,Mike Gallego (13),10,R
133,131.,Wayne Krenchicki (8),10,R
134,131.,Rob Mackowiak (8),10,R
135,131.,Jeff Reboulet (12),10,R
136,131.,"Sean Rodriguez (13, 35)",10,R
137,131.,Damian Rolls (5),10,R
138,131.,"Yolmer Sanchez (7, 28)",10,R
139,140.,"Hanser Alberto (5, 27)",9,R
140,140.,Tim Flannery (11),9,R
141,140.,Andy Fox (9),9,R
142,140.,Travis Fryman (13),9,R
143,140.,Luis Jimenez (3),9,R
144,140.,Terry Jorgensen (3),9,R
145,140.,Billy Klaus (11),9,R
146,140.,Kevin Mitchell (13),9,R
147,140.,Paul Molitor+ (21),9,R
148,140.,Rance Mulliniks (16),9,R
149,140.,Pee Wee Reese+ (16),9,R
150,140.,Ernie Riles (9),9,R
151,140.,B.J. Surhoff (19),9,R
152,140.,Chad Tracy (9),9,R
153,140.,"Gio Urshela (5, 28)",9,R
154,155.,Bobby Adams (14),8,R
155,155.,"Ehire Adrianza (8, 30)",8,R
156,155.,"Alex Bregman (5, 26)",8,R
157,155.,"Johan Camargo (4, 26)",8,R
158,155.,Gus Gil (4),8,R
159,155.,Charles Gipson (8),8,R
160,155.,Billy Goodman (16),8,R
161,155.,Craig Grebeck (12),8,R
162,155.,Aaron Hill (13),8,R
163,155.,Denny Hocking (13),8,R
164,155.,Bob Johnson (11),8,R
165,155.,"Ryan McMahon (4, 25)",8,R
166,155.,Don Money (16),8,R
167,155.,"Max Muncy (5, 29)",8,R
168,155.,Bubba Phillips (10),8,R
169,155.,Luis Rodriguez (6),8,R
170,155.,"Miguel Rojas (7, 31)",8,R
171,155.,"Eric Sogard (10, 34)",8,R
172,155.,Chris Stynes (10),8,R
173,155.,Tom Tresh (9),8,R
174,175.,Edgardo Alfonzo (12),7,R
175,175.,Jeff Branson (9),7,R
176,175.,"Starlin Castro (11, 30)",7,R
177,175.,"Kaleb Cowart (5, 28)",7,R
178,175.,Blake DeWitt (6),7,R
179,175.,"Matt Duffy (5, 29)",7,R
180,175.,Sammy Esposito (10),7,R
181,175.,Billy Gardner (10),7,R
182,175.,Felipe Lopez (11),7,R
183,175.,Fred Marsh (7),7,R
184,175.,J.C. Martin (14),7,R
185,175.,Tommy Matchick (6),7,R
186,175.,Abraham Nunez (12),7,R
187,175.,Rico Petrocelli (13),7,R
188,175.,Bobby Pfeil (2),7,R
189,175.,Ryan Roberts (9),7,R
190,175.,Roy Smalley (13),7,R
191,175.,Chris Speier (19),7,R
192,175.,George Strickland (10),7,R
193,175.,Luis Valbuena (11),7,R
194,175.,"Joey Wendle (5, 30)",7,R
195,175.,Kevin Young (12),7,R
196,197.,Rich Amaral (10),6,R
197,197.,Brian Barden (4),6,R
198,197.,Larvell Blanks (9),6,R
199,197.,"J.P. Crawford (4, 25)",6,R
200,197.,Chase d'Arnaud (7),6,R
201,197.,"Yandy Díaz (4, 28)",6,R
202,197.,Darrell Evans (21),6,R
203,197.,Steve Garvey (19),6,R
204,197.,Jim Gilliam (14),6,R
205,197.,Tony Graffanino (13),6,R
206,197.,Grady Hatton (12),6,R
207,197.,Bob Heise (11),6,R
208,197.,Woodie Held (14),6,R
209,197.,Cesar Izturis (13),6,R
210,197.,John Kennedy (12),6,R
211,197.,Jeff King (11),6,R
212,197.,Andy LaRoche (6),6,R
213,197.,Gene Leek (3),6,R
214,197.,Scott Livingstone (8),6,R
215,197.,"Jeff McNeil (3, 28)",6,R
216,197.,Lou Merloni (9),6,R
217,197.,Andy Parrino (5),6,R
218,197.,Donnie Sadler (8),6,R
219,197.,Jared Sandberg (3),6,R
220,197.,Luis Sojo (13),6,R
221,197.,Bill Sudakis (8),6,R
222,197.,Felix Torres (3),6,R
223,197.,Dick Tracewski (8),6,R
224,225.,Willie Bloomquist (14),5,R
225,225.,Leo Cardenas (16),5,R
226,225.,Marty Castillo (5),5,R
227,225.,Billy Cox (11),5,R
228,225.,Alberto Gonzalez (7),5,R
229,225.,Shane Halter (8),5,R
230,225.,Billy Harrell (4),5,R
231,225.,Fred Hatfield (9),5,R
232,225.,Chuck Jackson (3),5,R
233,225.,Russ Johnson (7),5,R
234,225.,Don Kelly (9),5,R
235,225.,"Carter Kieboom (2, 22)",5,R
236,225.,Jerry Lumpe (12),5,R
237,225.,Deven Marrero (5),5,R
238,225.,Andy Marte (7),5,R
239,225.,Cass Michaels (12),5,R
240,225.,Will Middlebrooks (6),5,R
241,225.,"Ramiro Pena (7, 34)",5,R
242,225.,Antonio Perez (4),5,R
243,225.,Mike Phillips (11),5,R
244,225.,Desi Relaford (11),5,R
245,225.,Cal Ripken Jr.+ (21),5,R
246,225.,Rich Rollins (10),5,R
247,225.,"Rio Ruiz (5, 26)",5,R
248,225.,Luis Salazar (13),5,R
249,225.,Bill Spiers (13),5,R
250,225.,Mickey Stanley (15),5,R
251,225.,Bill Tuttle (11),5,R
252,253.,Ricky Adams (3),4,R
253,253.,Dave Anderson (10),4,R
254,253.,George Arias (4),4,R
255,253.,Joaquin Arias (8),4,R
256,253.,Bret Barberie (6),4,R
257,253.,Lance Blankenship (6),4,R
258,253.,Jerry Browne (10),4,R
259,253.,Jolbert Cabrera (8),4,R
260,253.,Jamey Carroll (12),4,R
261,253.,Al Dark (14),4,R
262,253.,Morgan Ensberg (8),4,R
263,253.,David Freese (11),4,R
264,253.,Carlos Garcia (10),4,R
265,253.,Sid Gordon (13),4,R
266,253.,Johnny Goryl (6),4,R
267,253.,Ozzie Guillen (16),4,R
268,253.,Glenn Gulliver (2),4,R
269,253.,Glenn Hoffman (9),4,R
270,253.,David Howard (9),4,R
271,253.,Ron Hunt (12),4,R
272,253.,Munenori Kawasaki (5),4,R
273,253.,"Scott Kingery (3, 26)",4,R
274,253.,Tony Kubek (9),4,R
275,253.,Jeff Kunkel (8),4,R
276,253.,Phil Linz (7),4,R
277,253.,Steve Lubratich (2),4,R
278,253.,Ed Lucas (2),4,R
279,253.,Eddie Miksis (14),4,R
280,253.,Kevin Millar (12),4,R
281,253.,Bobby Morgan (8),4,R
282,253.,Al Newman (8),4,R
283,253.,"Chris Owings (8, 28)",4,R
284,253.,Billy Ripken (12),4,R
285,253.,Rico Rossy (4),4,R
286,253.,Pete Runnels (14),4,R
287,253.,Johnny Schaive (5),4,R
288,253.,Ryan Schimpf (3),4,R
289,253.,Scott Sheldon (5),4,R
290,253.,Charley Smith (10),4,R
291,253.,Jason Smith (9),4,R
292,253.,Dickie Thon (15),4,R
293,253.,Kelby Tomlinson (4),4,R
294,253.,Jose Valentin (16),4,R
295,253.,John Vukovich (10),4,R
296,253.,Todd Walker (12),4,R
297,298.,Luis Alvarado (9),3,R
298,298.,Ruben Amaro (11),3,R
299,298.,Bob Bailor (11),3,R
300,298.,Floyd Baker (13),3,R
301,298.,Jeff Baker (11),3,R
302,298.,Clay Bellinger (4),3,R
303,298.,Mike Bordick (14),3,R
304,298.,"David Bote (3, 27)",3,R
305,298.,"Mike Brosseau (2, 26)",3,R
306,298.,"Matt Carpenter (10, 34)",3,R
307,298.,"Christian Colon (6, 31)",3,R
308,298.,David Doster (2),3,R
309,298.,Alvaro Espinoza (12),3,R
310,298.,Taylor Featherston (3),3,R
311,298.,Mike Ferraro (4),3,R
312,298.,Pepe Frias (9),3,R
313,298.,Phil Gagliano (12),3,R
314,298.,Alex Gonzalez (13),3,R
315,298.,"Marwin Gonzalez (9, 31)",3,R
316,298.,"Phil Gosselin (8, 31)",3,R
317,298.,Robby Hammock (6),3,R
318,298.,Ron Hansen (15),3,R
319,298.,"Ke'Bryan Hayes (1, 23)",3,R
320,298.,Mike Hessman (5),3,R
321,298.,Jae-gyun Hwang (1),3,R
322,298.,Elliot Johnson (5),3,R
323,298.,Kelly Johnson (11),3,R
324,298.,Ryder Jones (2),3,R
325,298.,Kevin Jordan (7),3,R
326,298.,Mick Kelleher (11),3,R
327,298.,Don LeJohn (1),3,R
328,298.,Hector Lopez (12),3,R
329,298.,Steve Lyons (9),3,R
330,298.,Bobby Malkmus (6),3,R
331,298.,Marty Martinez (7),3,R
332,298.,Michael Martinez (7),3,R
333,298.,"Alex Mejia (1, 29)",3,R
334,298.,Denis Menke (13),3,R
335,298.,Jim Morrison (12),3,R
336,298.,Norihiro Nakamura (1),3,R
337,298.,Jose Nieves (5),3,R
338,298.,Augie Ojeda (9),3,R
339,298.,Tim Olson (2),3,R
340,298.,Tomas Perez (12),3,R
341,298.,Joe Pettini (4),3,R
342,298.,Brandon Phillips (17),3,R
343,298.,"Chad Pinder (5, 28)",3,R
344,298.,Kevin Polcovich (2),3,R
345,298.,Vic Power (12),3,R
346,298.,Arquimedez Pozo (3),3,R
347,298.,"Albert Pujols (20, 40)",3,R
348,298.,Mike Ramsey (7),3,R
349,298.,Lenny Randle (12),3,R
350,298.,Bobby Richardson (12),3,R
351,298.,Ryne Sandberg+ (16),3,R
352,298.,Pat Scanlon (4),3,R
353,298.,Ted Schreiber (1),3,R
354,298.,Justin Sellers (4),3,R
355,298.,Dick Smith (5),3,R
356,298.,Cory Spangenberg (6),3,R
357,298.,Fred Stanley (14),3,R
358,298.,Guy Sularz (4),3,R
359,298.,Matt Tolbert (4),3,R
360,298.,Steven Tolleson (4),3,R
361,298.,"Abraham Toro (2, 23)",3,R
362,298.,"Ronald Torreyes (6, 27)",3,R
363,298.,Jeff Treadway (9),3,R
364,298.,Tim Unroe (5),3,R
365,298.,"Luis Urias (3, 23)",3,R
366,298.,Omar Vizquel (24),3,R
367,368.,Curt Blefary (8),2,R
368,368.,Tim Bogar (9),2,R
369,368.,Ed Brinkman (15),2,R
370,368.,Bobby Brown (8),2,R
371,368.,"Yu Chang (2, 24)",2,R
372,368.,Irving Falu (3),2,R
373,368.,Gil Garrido (6),2,R
374,368.,"Ryan Goins (8, 32)",2,R
375,368.,"Yan Gomes (9, 32)",2,R
376,368.,Mark Grudzielanek (15),2,R
377,368.,Solly Hemus (11),2,R
378,368.,Jarrett Hoffpauir (2),2,R
379,368.,Joe Inglett (6),2,R
380,368.,Ron Jackson (10),2,R
381,368.,Steve Jeltz (8),2,R
382,368.,Ricky Jones (1),2,R
383,368.,Jeff Keppinger (9),2,R
384,368.,"Pete Kozma (7, 32)",2,R
385,368.,Lee Lacy (16),2,R
386,368.,Rafael Landestoy (8),2,R
387,368.,Adam Melhuse (8),2,R
388,368.,Hensley Meulens (7),2,R
389,368.,Russ Mitchell (2),2,R
390,368.,"Sheldon Neuse (1, 25)",2,R
391,368.,Mike Pagliarulo (11),2,R
392,368.,Rick Renteria (5),2,R
393,368.,Adam Rosales (11),2,R
394,368.,Connie Ryan (12),2,R
395,368.,Jeff Schaefer (5),2,R
396,368.,Jimmy Stewart (10),2,R
397,368.,Wilson Valdez (7),2,R
398,368.,Christian Villanueva (2),2,R
399,368.,Bobby Wine (12),2,R
