,Rank,"Player (yrs, age)",Hits,Throws
47,48.,Bob Friend (16),3772,R
48,49.,Bobo Newsom (20),3769,R
49,50.,Tommy Bond (10),3765,R
50,51.,Jerry Reuss (22),3734,L
51,52.,Mel Harder (20),3706,R
52,53.,Clark Griffith+ (21),3670,R
53,54.,Jerry Koosman (19),3635,L
54,54.,David Wells (21),3635,L
55,56.,Vic Willis+ (13),3621,R
56,57.,Jim Whitney (10),3598,R
57,58.,"Bartolo Colon (21, 47)",3593,R
58,59.,Rick Reuschel (19),3588,R
59,60.,Tom Zachary (19),3580,L
60,61.,Jack Morris+ (18),3567,R
61,62.,Al Orth (15),3564,R
62,63.,Liván Hernández (17),3525,R
63,63.,Adonis Terry (14),3525,R
64,65.,George Mullin (14),3518,R
65,66.,Mark Buehrle (16),3472,L
66,67.,Claude Osteen (18),3471,L
67,68.,Joe Niekro (22),3466,R
68,69.,Chick Fraser (14),3462,R
69,70.,Carl Hubbell+ (16),3461,L
70,71.,Jesse Haines+ (19),3460,R
71,71.,Mike Mussina+ (18),3460,R
72,73.,Kenny Rogers (20),3457,L
73,74.,Andy Pettitte (18),3448,L
74,75.,Will White (10),3440,R
75,76.,Jim Bunning+ (17),3433,R
76,77.,George Uhle (17),3417,R
77,78.,Wilbur Cooper (15),3415,L
78,79.,Hooks Dauss (15),3407,R
79,80.,CC Sabathia (19),3404,L
80,81.,Amos Rusie+ (10),3389,R
81,82.,Red Donahue (13),3377,R
82,83.,Doyle Alexander (19),3376,R
83,84.,Larry French (14),3375,L
84,85.,Mickey Lolich (16),3366,L
85,86.,Jim Palmer+ (19),3349,R
86,87.,Randy Johnson+ (22),3346,L
87,88.,Charlie Buffinton (11),3344,R
88,89.,Freddie Fitzsimmons (19),3335,R
89,90.,Pink Hawley (10),3334,R
90,91.,Curt Simmons (20),3313,L
91,92.,Frank Dwyer (12),3312,R
92,93.,Dutch Leonard (20),3304,R
93,94.,Charlie Hough (25),3283,R
94,95.,Brickyard Kennedy (12),3282,R
95,96.,Lee Meadows (15),3280,R
96,96.,Al Spalding+ (8),3280,R
97,98.,Bob Gibson+ (17),3279,R
98,99.,Joe McGinnity+ (10),3276,R
99,100.,Bob Feller+ (18),3271,R
100,101.,Charlie Root (17),3252,R
101,102.,Rube Marquard+ (18),3233,L
102,103.,Dolf Luque (20),3231,R
103,104.,Rick Wise (18),3227,R
104,105.,Larry Jackson (14),3206,R
105,106.,Lew Burdette (18),3186,R
106,107.,Red Ehret (11),3172,R
107,108.,Juan Marichal+ (16),3153,R
108,109.,Tim Wakefield (19),3152,R
109,110.,Jim Perry (17),3127,R
110,111.,Bill Hutchison (9),3124,R
111,112.,Theodore Breitenstein (11),3101,L
112,113.,Silver King (10),3098,R
113,114.,Don Drysdale+ (14),3084,R
114,115.,Win Mercer (9),3081,R
115,116.,Kevin Brown (19),3079,R
116,117.,Dennis Eckersley+ (24),3076,R
117,118.,Luis Tiant (19),3075,R
118,119.,John Smoltz+ (21),3074,R
119,120.,Bert Cunningham (12),3071,R
120,121.,Chuck Finley (17),3069,L
121,122.,Stan Coveleski+ (14),3055,R
122,123.,Milt Pappas (17),3046,R
123,124.,Mike Torrez (18),3043,R
124,125.,Murry Dickson (18),3029,R
125,126.,Bill Sherdel (15),3018,L
126,127.,Willis Hudlin (16),3011,R
127,128.,George Bradley (11),3009,R
128,129.,Curt Schilling (20),2998,R
129,130.,Bullet Joe Bush (17),2990,R
130,130.,Bucky Walters (19),2990,R
131,132.,Billy Pierce (18),2989,L
132,133.,Danny MacFayden (17),2981,R
133,134.,Bump Hadley (16),2980,R
134,135.,Catfish Hunter+ (15),2958,R
135,136.,Bill Dinneen (12),2957,R
136,136.,Tim Hudson (17),2957,R
137,138.,Bill Lee (14),2953,R
138,139.,Danny Darwin (21),2951,R
139,140.,Guy Bush (17),2950,R
140,141.,Mike Morgan (22),2943,R
141,142.,Vida Blue (17),2939,L
142,142.,Orel Hershiser (18),2939,R
143,144.,Guy Hecker (9),2922,R
144,145.,Carl Mays (15),2912,R
145,146.,Jack Stivetts (11),2905,R
146,147.,Eddie Cicotte (14),2897,R
147,148.,Red Ames (17),2896,R
148,149.,Bob Welch (17),2894,R
149,150.,Howard Ehmke (15),2873,R
150,151.,John Burkett (15),2866,R
151,152.,John Lackey (15),2862,R
152,153.,Mike Moore (14),2858,R
153,154.,Claude Passeau (13),2856,R
154,155.,Wes Ferrell (15),2845,R
155,156.,Jeff Suppan (17),2843,R
156,157.,Babe Adams (19),2841,R
157,158.,Jouett Meekin (10),2837,R
158,159.,Vern Law (16),2833,R
159,159.,Terry Mulholland (20),2833,L
160,161.,Frank Viola (15),2827,L
161,162.,Dazzy Vance+ (16),2809,R
162,163.,Mike Flanagan (18),2806,L
163,164.,Rube Walberg (15),2795,L
164,165.,Kid Carsey (10),2794,R
165,165.,Jesse Tannehill (15),2794,L
166,167.,Ken Holtzman (15),2787,L
167,168.,Javier Vazquez (14),2784,R
168,169.,Bob Forsch (16),2777,R
169,170.,Jim Slaton (16),2773,R
170,171.,Kevin Millwood (16),2770,R
171,172.,Whitey Ford+ (16),2766,L
172,173.,Derek Lowe (17),2759,R
173,174.,Doc White (13),2738,L
174,175.,Bob Knepper (15),2737,L
175,176.,Red Lucas (16),2736,R
176,177.,Frank Killen (10),2730,L
177,178.,Eddie Rommel (13),2729,R
178,178.,Slim Sallee (14),2729,L
179,180.,"Zack Greinke (17, 36)",2728,R
180,181.,Sadie McMahon (9),2726,R
181,181.,Lon Warneke (15),2726,R
182,183.,Mark Langston (16),2723,L
183,184.,Bob Shawkey (15),2722,R
184,185.,Fernando Valenzuela (17),2718,L
185,186.,Art Nehf (15),2715,L
186,187.,Kyle Lohse (16),2711,R
187,188.,Urban Shocker (13),2709,R
188,189.,Mordecai Brown+ (14),2708,R
189,190.,Camilo Pascual (18),2703,R
190,191.,Mark Baldwin (7),2695,R
191,192.,Jesse Barnes (13),2686,R
192,193.,Bob Caruthers (10),2678,R
193,193.,George Zettlein (6),2678,R
194,195.,Bill Doak (16),2676,R
195,196.,Tommy Bridges (16),2675,R
196,197.,Hal Newhouser+ (17),2674,L
197,198.,Pretzels Getzien (9),2670,R
198,199.,Tom Candiotti (16),2662,R
199,199.,Rick Sutcliffe (18),2662,R
200,201.,Bill Gullickson (14),2659,R
201,202.,Jack Chesbro+ (11),2647,R
202,203.,Roy Halladay+ (16),2646,R
203,204.,Chief Bender+ (16),2645,R
204,205.,Paul Splittorff (15),2644,L
205,206.,Brad Radke (12),2643,R
206,207.,Dizzy Trout (15),2641,R
207,208.,Bill Donovan (18),2631,R
208,209.,Steve Rogers (13),2619,R
209,210.,Clarence Mitchell (18),2613,L
210,211.,Tom Hughes (13),2610,R
211,212.,Rick Rhoden (16),2606,R
212,213.,Stump Weidman (9),2594,R
213,214.,Scott Sanderson (19),2590,R
214,215.,Steve Trachsel (16),2587,R
215,216.,Scott Erickson (15),2586,R
216,217.,Wilbur Wood (17),2582,L
217,218.,Mike Caldwell (14),2581,L
218,218.,James Shields (13),2581,R
219,220.,Dave Stieb (16),2572,R
220,221.,Dwight Gooden (16),2564,R
221,222.,Larry Benton (13),2559,R
222,222.,Bob Lemon+ (15),2559,R
223,224.,Kid Gleason (22),2552,R
224,225.,Jimmy Ring (12),2551,R
225,226.,Mike Cuellar (15),2538,L
226,226.,"Justin Verlander (16, 37)",2538,R
227,228.,Candy Cummings+ (6),2526,R
228,229.,Nig Cuppy (10),2520,R
229,230.,A.J. Burnett (17),2519,R
230,230.,Kevin Gross (15),2519,R
231,232.,Jimmy Key (15),2518,L
232,232.,Deacon Phillippe (13),2518,R
233,234.,Jim Clancy (15),2513,R
234,235.,Si Johnson (17),2510,R
235,236.,Bronson Arroyo (16),2507,R
236,237.,David Cone (17),2504,R
237,237.,Jack Taylor (10),2504,R
238,239.,Dave Stewart (16),2499,R
239,240.,Burt Hooton (15),2497,R
240,241.,Bobby Witt (16),2493,R
241,242.,Dave McNally (14),2488,L
242,243.,"Felix Hernandez (15, 34)",2487,R
243,244.,Harry Staley (8),2480,R
244,245.,Jack Taylor (9),2476,R
245,246.,Earl Moore (14),2474,R
246,247.,Rube Benton (15),2472,L
247,247.,Bob Smith (15),2472,R
248,249.,Ned Garver (14),2471,R
249,250.,Ed Morris (7),2468,L
250,251.,Eddie Lopat (12),2464,L
251,252.,Bruce Hurst (15),2463,L
252,253.,Hippo Vaughn (13),2461,L
253,254.,Rube Waddell+ (13),2460,L
254,255.,Curt Davis (13),2459,R
255,256.,Ray Sadecki (18),2456,L
256,257.,Jack Russell (15),2454,R
257,258.,General Crowder (11),2453,R
258,259.,Bret Saberhagen (16),2452,R
259,260.,"Jon Lester (15, 36)",2451,L
260,261.,Sam Leever (13),2449,R
261,262.,Doug Drabek (13),2448,R
262,263.,Bob Buhl (15),2446,R
263,263.,Ice Box Chamberlain (10),2446,R
264,265.,Aaron Harang (14),2445,R
265,265.,Matt Kilroy (10),2445,L
266,267.,Stan Bahnsen (16),2440,R
267,268.,Pete Donohue (12),2439,R
268,269.,Steve Renko (15),2438,R
269,270.,Harry Howell (13),2435,R
270,270.,Mel Stottlemyre (11),2435,R
271,272.,Kevin Appier (16),2425,R
272,273.,"Cole Hamels (15, 36)",2424,L
273,273.,Hal Schumacher (13),2424,R
274,275.,Tim Belcher (14),2423,R
275,276.,Dick McBride (6),2420,R
276,277.,Joe Coleman (15),2416,R
277,277.,Virgil Trucks (17),2416,R
278,279.,Aaron Sele (15),2413,R
279,280.,Kevin Tapani (13),2407,R
280,281.,Jim Lonborg (15),2400,R
281,282.,John Candelaria (19),2399,L
282,283.,Charlie Leibrandt (14),2390,L
283,284.,Jon Lieber (14),2388,R
284,285.,Sid Hudson (12),2384,R
285,286.,Barry Zito (15),2381,L
286,287.,Andy Benes (14),2377,R
287,288.,Ron Reed (19),2374,R
288,289.,Mike Hampton (16),2370,L
289,290.,Woodie Fryman (18),2367,L
290,291.,Pedro Ramos (15),2364,R
291,292.,Dan Haren (13),2357,R
292,293.,Esteban Loaiza (14),2352,R
293,293.,George Mogridge (15),2352,L
294,295.,Ryan Dempster (16),2347,R
295,296.,Ed Walsh+ (14),2346,R
296,297.,Ed Brandt (11),2342,L
297,298.,Tommy Thomas (12),2341,R
298,299.,Milt Gaston (11),2338,R
299,299.,Ad Gumbert (9),2338,R
300,301.,Frank Kitson (10),2333,R
301,302.,Schoolboy Rowe (15),2332,R
302,303.,Thornton Lee (16),2327,L
303,303.,Bob Rush (13),2327,R
304,305.,Ervin Santana (15),2326,R
305,306.,John Ward+ (17),2324,R
306,307.,Floyd Bannister (15),2320,L
307,307.,Jeff Pfeffer (13),2320,R
308,309.,Earl Hamilton (14),2319,L
309,310.,Rudy May (16),2314,L
310,311.,Jaime Navarro (12),2313,R
311,311.,Greg Swindell (17),2313,L
312,313.,Ray Burris (15),2310,R
313,313.,Joe Nuxhall (16),2310,L
314,313.,Randy Wolf (16),2310,L
315,316.,Pedro Astacio (15),2292,R
316,316.,Mudcat Grant (14),2292,R
317,318.,Lefty Gomez+ (14),2290,L
318,318.,Syl Johnson (19),2290,R
319,320.,Mike McCormick (16),2281,L
320,321.,Jon Matlack (13),2276,L
321,322.,Dick Ellsworth (13),2274,L
322,323.,Jack Billingham (13),2272,R
323,324.,"Rick Porcello (12, 31)",2270,R
324,325.,Jon Garland (13),2260,R
325,326.,Ken Raffensberger (15),2257,L
326,327.,Hal Carlson (14),2256,R
327,328.,Tully Sparks (12),2250,R
328,329.,Scott McGregor (13),2245,L
329,330.,Ron Darling (13),2244,R
330,330.,Dutch Ruether (11),2244,L
331,332.,Freddy Garcia (15),2243,R
332,333.,Ed Whitson (15),2240,R
333,334.,Mark Gubicza (14),2239,R
334,334.,Johnny Podres (15),2239,L
335,336.,Sherry Smith (14),2234,L
336,337.,Elden Auker (10),2230,R
337,338.,Pedro Martinez+ (18),2221,R
338,339.,George Blaeholder (11),2220,R
339,340.,Fritz Peterson (11),2217,L
340,340.,Woody Williams (15),2217,R
341,342.,Chris Short (15),2215,L
342,343.,Chris Carpenter (15),2205,R
343,343.,Bob Groom (10),2205,R
344,345.,Todd Stottlemyre (14),2200,R
345,346.,Roy Oswalt (13),2199,R
346,347.,Ron Guidry (14),2198,L
347,348.,Sam Gray (10),2196,R
348,349.,Allie Reynolds (13),2193,R
349,350.,Mike Krukow (14),2188,R
350,350.,Charles Nagy (14),2188,R
351,350.,Dave Roberts (13),2188,L
352,353.,Harry Gumbert (15),2186,R
353,354.,Rick Honeycutt (21),2183,L
354,355.,Ray Benge (12),2177,R
355,355.,Scott Stratton (8),2177,R
356,357.,Vern Kennedy (12),2173,R
357,357.,Willie Sudhoff (10),2173,R
358,359.,Jim Barr (12),2170,R
359,359.,Fritz Ostermueller (15),2170,L
360,359.,Bob Purkey (13),2170,R
361,362.,Jamey Wright (19),2168,R
362,363.,Dick Ruthven (14),2155,R
363,364.,Harvey Haddix (14),2154,L
364,364.,Casey Patten (8),2154,L
365,366.,Al Leiter (19),2152,L
366,367.,Denny Galehouse (15),2148,R
367,367.,Mike Garcia (14),2148,R
368,369.,Larry Corcoran (8),2147,R
369,370.,Johnny Sain (11),2145,R
370,371.,Nelson Briles (14),2141,R
371,372.,Dennis Leonard (12),2137,R
372,373.,Darryl Kile (12),2135,R
373,374.,Jake Peavy (15),2134,R
374,375.,Larry Dierker (14),2130,R
375,376.,Claude Hendrix (10),2123,R
376,376.,Frank Lary (12),2123,R
377,378.,Bill Lee (14),2122,L
378,379.,Bill Dietrich (16),2117,R
379,379.,Ed Reulbach (13),2117,R
380,381.,Cliff Lee (13),2116,L
381,382.,Ron Kline (17),2113,R
382,383.,Pat Hentgen (14),2111,R
383,384.,Danny Jackson (15),2110,L
384,385.,Ray Kremer (10),2108,R
385,386.,Ross Grimsley (11),2105,L
386,387.,Dave Goltz (12),2104,R
387,388.,Don Newcombe (10),2102,R
388,389.,Rip Sewell (13),2101,R
389,390.,Lindy McDaniel (21),2099,R
390,391.,Bob Ewing (11),2097,R
391,391.,Joe Shaute (13),2097,L
392,393.,Howie Pollet (14),2096,L
393,394.,"Edwin Jackson (17, 36)",2094,R
394,395.,John Denny (13),2093,R
395,396.,Kirk Rueter (13),2092,L
396,397.,Cy Falkenberg (12),2090,R
397,397.,Walt Terrell (11),2090,R
398,399.,Ray Caldwell (12),2089,R
399,399.,Nap Rucker (10),2089,L
400,401.,Jeff Fassero (16),2083,L
401,402.,Mike Boddicker (14),2082,R
402,403.,Jason Marquis (15),2079,R
403,404.,Ken Forsch (16),2071,R
404,405.,Gerry Staley (15),2070,R
405,406.,Rick Mahler (13),2069,R
406,407.,Dock Ellis (12),2067,R
407,408.,"Adam Wainwright (15, 38)",2066,R
408,408.,Mike Witt (12),2066,R
409,410.,Jack Fisher (11),2061,R
410,411.,Firpo Marberry (14),2049,R
411,412.,Joe Dobson (14),2048,R
412,412.,Duke Esper (9),2048,L
413,412.,Jack Lynch (7),2048,R
414,415.,Ricky Nolasco (12),2045,R
415,416.,Pat Dobson (11),2043,R
416,416.,Bob Tewksbury (13),2043,R
417,418.,Darren Oliver (20),2037,L
418,418.,Fred Toney (12),2037,R
419,420.,Doc Medich (11),2036,R
420,421.,Jack Coombs (14),2034,R
421,422.,R.A. Dickey (15),2033,R
422,422.,Fred Frankhouse (13),2033,R
423,424.,Brad Penny (14),2030,R
424,425.,Dutch Leonard (11),2022,L
425,426.,Miguel Batista (18),2021,R
426,427.,Larry Gura (16),2020,L
427,428.,Togie Pittinger (8),2017,R
428,429.,Joaquin Andujar (13),2016,R
429,430.,Don Cardwell (14),2009,R
430,431.,Sidney Ponson (12),2004,R
431,432.,Chuck Stobbs (15),2003,L
432,433.,Ray Herbert (14),2000,R
433,434.,Jeff Weaver (11),1997,R
434,435.,Bill Monbouquette (11),1995,R
435,436.,Milt Wilcox (16),1991,R
436,437.,Lefty Tyler (12),1990,L
437,438.,Dick Donovan (15),1988,R
438,439.,Dan Petry (13),1984,R
439,440.,George Earnshaw (9),1981,R
440,441.,Zane Smith (13),1980,L
441,442.,Bud Black (15),1978,L
442,442.,Geoff Zahn (13),1978,L
443,444.,Dennis Lamp (16),1975,R
444,444.,Frank Smith (11),1975,R
445,446.,Carl Pavano (14),1971,R
446,446.,Dick Rudolph (13),1971,R
447,448.,Jack Scott (12),1969,R
448,449.,Bob Harmon (9),1966,R
449,450.,Slim Harriss (9),1963,R
450,451.,Billy Rhines (9),1961,R
451,452.,Lary Sorensen (11),1960,R
452,453.,Flint Rhem (12),1958,R
453,454.,Van Mungo (14),1957,R
454,455.,"Max Scherzer (13, 35)",1953,R
455,456.,Bill Singer (14),1952,R
456,457.,Sam McDowell (15),1948,L
457,458.,Al Downing (17),1946,L
458,459.,Toad Ramsey (6),1941,L
459,460.,Steve Gromek (17),1940,R
460,460.,"Mike Leake (10, 32)",1940,R
461,462.,Max Butcher (10),1938,R
462,462.,Ken Hill (14),1938,R
463,464.,Joe Oeschger (12),1936,R
464,465.,Shane Reynolds (13),1935,R
465,466.,Pat Malone (10),1934,R
466,466.,Shane Rawley (12),1934,L
467,468.,Marty Pattin (13),1933,R
468,469.,Tom Browning (12),1931,L
469,470.,Jim Tobin (9),1929,R
470,471.,Alex Kellner (12),1925,L
471,472.,Egyptian Healy (8),1920,R
472,473.,Dizzy Dean+ (12),1919,R
473,473.,Jason Hammel (13),1919,R
474,473.,Sonny Siebert (12),1919,R
475,476.,Ray Kolp (12),1918,R
476,477.,Noodles Hahn (8),1916,L
477,478.,Randy Jones (10),1915,L
478,478.,Johnny Klippstein (18),1915,R
479,480.,Jered Weaver (12),1912,R
480,481.,Jersey Bakley (6),1909,R
481,482.,Preacher Roe (12),1907,L
482,482.,Jack Sanford (12),1907,R
483,484.,"Anibal Sanchez (15, 36)",1905,R
484,485.,Dick Drago (13),1901,R
485,486.,Lloyd Brown (12),1899,L
486,487.,Brett Tomko (14),1898,R
487,488.,Josh Beckett (14),1897,R
488,488.,Watty Clark (12),1897,L
489,490.,Joe Blanton (13),1896,R
490,491.,Bill Hands (11),1895,R
491,491.,Lefty Stewart (10),1895,L
492,493.,Gary Peters (14),1894,L
493,493.,Don Robinson (15),1894,R
494,493.,Elam Vangilder (11),1894,R
495,496.,Henry Porter (6),1893,R
496,497.,Hooks Wiltse (12),1892,L
497,498.,Tom Gordon (21),1889,R
498,499.,Addie Joss+ (9),1888,R
499,500.,Denny Neagle (13),1887,L
500,501.,Jake Westbrook (13),1885,R
501,502.,Jim Bagby (9),1884,R
502,502.,Richard Dotson (12),1884,R
503,504.,Joel Pineiro (12),1878,R
504,505.,Dummy Taylor (9),1877,R
505,506.,Chan Ho Park (17),1872,R
506,506.,Ismael Valdez (12),1872,R
507,508.,Johnny Antonelli (12),1870,L
508,509.,Matt Morris (11),1867,R
509,510.,Dean Chance (11),1864,R
510,511.,Earl Wilson (11),1863,R
511,512.,Jeremy Guthrie (13),1862,R
512,513.,Bill Bernhard (9),1860,R
513,514.,Sloppy Thurston (9),1859,R
514,515.,Mike Scott (13),1858,R
515,515.,Bob Stanley (13),1858,R
516,517.,Andy Ashby (14),1857,R
517,517.,Paul Byrd (14),1857,R
518,517.,Frank Foreman (11),1857,R
519,520.,Jarrod Washburn (12),1855,L
520,521.,Jack McDowell (12),1854,R
521,522.,Howie Camnitz (11),1852,R
522,523.,Johnny Allen (13),1849,R
523,523.,Matt Cain (13),1849,R
524,525.,Jason Schmidt (14),1846,R
525,526.,Bill Duggleby (8),1844,R
526,527.,Reggie Cleveland (13),1843,R
527,527.,Dave Foutz (13),1843,R
528,529.,John Smiley (12),1842,L
529,530.,Bill Hallahan (12),1838,L
530,531.,Bob Shaw (11),1837,R
531,532.,Brian Moehler (14),1834,R
532,533.,Bob Ojeda (15),1833,L
533,534.,Joe Horlen (12),1829,R
534,535.,Ted Lilly (15),1827,L
535,536.,Pete Harnisch (14),1822,R
536,537.,Billy Hoeft (15),1820,L
537,537.,Vic Sorrell (10),1820,R
538,539.,Bill Hart (8),1819,R
539,540.,Steve Barber (15),1818,L
540,541.,Jim Bagby (10),1815,R
541,542.,Doug Davis (13),1813,L
542,542.,Mark Portugal (15),1813,R
543,542.,"David Price (12, 34)",1813,L
544,545.,Juan Pizarro (18),1807,L
545,546.,Herm Wehmeier (13),1806,R
546,547.,Hardie Henderson (6),1800,R
547,548.,Johnny Vander Meer (13),1799,L
548,549.,Rip Collins (11),1795,R
549,549.,George Hemming (8),1795,R
550,549.,Bobby Shantz (16),1795,L
551,552.,Gary Bell (12),1794,R
552,553.,Storm Davis (13),1792,R
553,554.,Fred Norman (16),1790,L
554,555.,Jack Knott (11),1787,R
555,556.,Mike LaCoss (14),1786,R
556,557.,Jose Lima (13),1783,R
557,558.,Dick Coffman (15),1782,R
558,559.,Jim Abbott (10),1779,L
559,560.,Dave Burba (15),1777,R
560,561.,Yovani Gallardo (12),1770,R
561,562.,Hideo Nomo (12),1768,R
562,563.,Sheriff Blake (10),1766,R
563,563.,Johnny Schmitz (13),1766,L
564,565.,Kirby Higbe (12),1763,R
565,565.,Lee Richmond (6),1763,L
566,567.,Jack Kramer (12),1761,R
567,568.,Ubaldo Jimenez (12),1757,R
568,568.,Hoyt Wilhelm+ (21),1757,R
569,570.,"Clayton Kershaw (13, 32)",1756,L
570,571.,Sandy Koufax+ (12),1754,L
571,572.,Carl Morton (8),1753,R
572,573.,Mark Gardner (13),1752,R
573,574.,Larry Jansen (9),1751,R
574,575.,Jimmy Callahan (13),1748,R
575,575.,Kirk McCaskill (12),1748,R
576,575.,Ralph Terry (12),1748,R
577,578.,"Gio Gonzalez (13, 34)",1744,L
578,579.,Brian Anderson (13),1743,L
579,580.,Chris Bosio (11),1742,R
580,581.,"Johnny Cueto (13, 34)",1741,R
581,582.,Henry Boyle (6),1740,R
582,582.,Clint Brown (15),1740,R
583,584.,Glendon Rusch (12),1732,L
584,585.,Harry Brecheen (12),1731,L
585,586.,Johan Santana (12),1726,L
586,587.,Brett Myers (12),1725,R
587,587.,Bryn Smith (13),1725,R
588,589.,George Suggs (8),1722,R
589,590.,Nels Potter (12),1721,R
590,591.,Andy Messersmith (12),1719,R
591,591.,Ed Willett (10),1719,R
592,593.,Moose Haas (12),1717,R
593,594.,Mel Parnell (10),1715,L
594,595.,Jose Rijo (14),1710,R
595,595.,Dupee Shaw (6),1710,L
596,597.,Carlos Zambrano (12),1709,R
597,598.,Shawn Estes (13),1708,L
598,599.,Al Smith (12),1707,L
599,599.,Steve Stone (11),1707,R
600,601.,Dick Tidrow (13),1705,R
601,602.,Denny Lemaster (11),1703,L
602,602.,Hugh McQuillan (10),1703,R
603,604.,Frank Sullivan (11),1702,R
604,605.,Billy O'Dell (13),1697,L
605,606.,John Curtis (15),1695,L
606,607.,Jim Rooker (13),1694,L
607,608.,Alex Fernandez (10),1693,R
608,608.,Bruce Kison (15),1693,R
609,610.,Ramon Martinez (14),1691,R
610,611.,Ed Stein (8),1689,R
611,612.,"Ian Kennedy (14, 35)",1688,R
612,612.,Bill Swift (13),1688,R
613,614.,Mike Pelfrey (12),1687,R
614,615.,Fred Goldsmith (7),1685,R
615,615.,Cal McLish (15),1685,R
616,617.,Bob Veale (13),1684,L
617,617.,Whit Wyatt (16),1684,R
618,619.,Bill Swift (11),1682,R
619,620.,Matt Garza (12),1681,R
620,621.,Al Maul (15),1680,R
621,622.,Clyde Wright (10),1679,L
622,623.,Omar Olivares (12),1678,R
623,624.,Hal Brown (14),1677,R
624,624.,Ray Culp (11),1677,R
625,624.,John Tudor (12),1677,L
626,627.,Paul Maholm (10),1676,L
627,628.,Lefty Leifield (12),1673,L
628,629.,Al Benton (14),1672,R
629,629.,Joe Haynes (14),1672,R
630,631.,Vic Aldridge (9),1671,R
631,631.,Bob Walk (14),1671,R
632,633.,Ken Johnson (13),1670,R
633,634.,"Madison Bumgarner (12, 30)",1669,L
634,635.,Ray Fisher (10),1667,R
635,636.,Mort Cooper (11),1666,R
636,636.,Vic Raschi (10),1666,R
637,638.,Eric Milton (11),1665,L
638,638.,Steve Trout (12),1665,L
639,638.,"Jordan Zimmermann (12, 34)",1665,R
640,641.,Dan Casey (7),1664,L
641,641.,Jason Vargas (14),1664,L
642,643.,Barney Pelty (10),1663,R
643,644.,Jim Hearn (13),1661,R
644,645.,Hank Borowy (10),1660,R
645,645.,Frank Castillo (13),1660,R
646,647.,Joe Bowman (11),1656,R
647,647.,Diego Segui (15),1656,R
648,647.,Bill Wight (12),1656,L
649,650.,Hank O'Day+ (7),1655,R
650,651.,Dave Giusti (15),1654,R
651,652.,Bill Carrick (5),1650,R
652,652.,George Haddock (7),1650,R
653,654.,"Francisco Liriano (14, 36)",1649,L
654,655.,Art Houtteman (12),1646,R
655,655.,Denny McLain (10),1646,R
656,657.,"J.A. Happ (14, 37)",1645,L
657,657.,Jakie May (14),1645,L
658,659.,Tony Cloninger (12),1643,R
659,660.,Al Hollingsworth (11),1642,L
660,661.,Ben Cantwell (11),1640,R
661,662.,Bobby Jones (10),1639,R
662,663.,Carl Erskine (12),1637,R
663,664.,Aaron Cook (11),1636,R
664,665.,Tex Carleton (8),1630,R
665,666.,Jose Mesa (19),1629,R
666,667.,Turk Farrell (14),1628,R
667,668.,Terry Larkin (6),1627,R
668,669.,Phil Douglas (9),1626,R
669,670.,Wilson Alvarez (14),1624,L
670,670.,Jim Scott (9),1624,R
671,672.,Jim Colborn (10),1619,R
672,673.,Russ Ortiz (12),1618,R
673,674.,Walt Masterson (14),1613,R
674,675.,Vicente Padilla (14),1612,R
675,676.,Joe Genewich (9),1610,R
676,677.,LaTroy Hawkins (21),1607,R
677,678.,Gene Conley (11),1606,R
