,Rank,"Player (yrs, age)",Total Zone Runs as 1B (s.1953),Throws
367,271.,Jose Vizcaino (18),2,R
368,271.,"Stephen Vogt (8, 35)",2,R
369,271.,Lee Walls (10),2,R
370,271.,Brandon Wood (5),2,R
371,271.,Jason Wood (5),2,R
372,271.,"Ryan Zimmerman (15, 35)",2,R
373,374.,Tommie Aaron (7),1,R
374,374.,Henry Blanco (16),1,R
375,374.,Tom Burgess (2),1,L
376,374.,Alex Cabrera (1),1,R
377,374.,"Kole Calhoun (9, 32)",1,L
378,374.,George Canale (3),1,R
379,374.,Eric Chavez (17),1,R
380,374.,Steve Clevenger (6),1,R
381,374.,Dave Concepcion (19),1,R
382,374.,"Austin Dean (3, 26)",1,R
383,374.,Dave Engle (9),1,R
384,374.,Len Gabrielson (9),1,R
385,374.,Jim Hickman (13),1,R
386,374.,Luke Hughes (3),1,R
387,374.,Sherm Lollar (18),1,R
388,374.,Eddie Mathews+ (17),1,R
389,374.,Peter O'Brien (4),1,R
390,374.,Craig Paquette (11),1,R
391,374.,Don Pavletich (12),1,R
392,374.,Dan Peltier (3),1,L
393,374.,Mel Roach (8),1,R
394,374.,Oscar Salazar (4),1,R
395,374.,Larry Sheets (8),1,R
396,374.,Jerry Terrell (8),1,R
397,374.,Jerome Walton (10),1,R
398,374.,Gary Ward (12),1,R
399,374.,Glenn Wilson (10),1,R
