,Rank,"Player (yrs, age)",Def. Games as P,Throws
189,189.,Woodie Fryman (18),625,L
190,191.,Mark Davis (15),624,L
191,191.,Red Ruffing+ (22),624,R
192,193.,Eddie Plank+ (17),623,L
193,194.,Gregg Olson (14),622,R
194,195.,Kid Nichols+ (15),621,R
195,196.,Mike Fetters (16),620,R
196,196.,Joel Peralta (12),620,R
197,196.,Dick Tidrow (13),620,R
198,199.,Scott Downs (13),619,L
199,199.,Keith Foulke (11),619,R
200,199.,Mitch Williams (11),619,L
201,202.,Randy Johnson+ (22),618,L
202,202.,John Wetteland (12),618,R
203,204.,Scott Eyre (13),617,L
204,204.,Herb Pennock+ (22),617,L
205,204.,Todd Worrell (11),617,R
206,207.,Matt Albers (14),616,R
207,207.,Burleigh Grimes+ (19),616,R
208,207.,Lefty Grove+ (17),616,L
209,207.,Tony Sipp (11),616,L
210,211.,Jeff Brantley (14),615,R
211,212.,Terry Forster (16),614,L
212,213.,Justin Speier (12),613,R
213,213.,Rick White (12),613,R
214,215.,Jerry Koosman (19),612,L
215,215.,"Bryan Shaw (10, 32)",612,R
216,217.,"Jerry Blevins (13, 36)",609,L
217,217.,Rich Rodriguez (13),609,L
218,217.,Dave Smith (13),609,R
219,220.,Scott Linebrink (12),607,R
220,221.,"Mark Melancon (12, 35)",606,R
221,222.,Norm Charlton (13),605,L
222,222.,Dave Veres (10),605,R
223,224.,"Darren O'Day (13, 37)",604,R
224,225.,Curt Leskanic (11),603,R
225,225.,Brad Lidge (11),603,R
226,227.,Bob Friend (16),602,R
227,227.,Al Worthington (14),602,R
228,229.,Elias Sosa (12),601,R
229,230.,John Candelaria (19),600,L
230,230.,Tim Keefe+ (14),600,R
231,230.,Bobo Newsom (20),600,R
232,233.,Mike Morgan (22),597,R
233,233.,Rob Murphy (11),597,L
234,235.,Jason Grilli (15),595,R
235,236.,"Steve Cishek (11, 34)",594,R
236,236.,Kevin Gregg (13),594,R
237,236.,Ted Lyons+ (21),594,R
238,239.,Pedro Borbon (12),593,R
239,239.,Ray King (10),593,L
240,241.,Antonio Alfonseca (11),592,R
241,242.,Jim Bunning+ (17),591,R
242,242.,Rafael Soriano (14),591,R
243,244.,Heath Bell (11),590,R
244,244.,Turk Farrell (14),590,R
245,246.,Moe Drabowsky (17),589,R
246,246.,Jeff Russell (14),589,R
247,246.,Dan Wheeler (13),589,R
248,249.,Mickey Lolich (16),586,L
249,250.,Stan Belinda (12),585,R
250,250.,Billy Pierce (18),585,L
251,252.,Doug Bair (15),584,R
252,252.,Jim Brewer (17),584,L
253,254.,"Craig Kimbrel (11, 32)",583,R
254,254.,Ugueth Urbina (11),583,R
255,256.,Mel Harder (20),582,R
256,256.,Doug Henry (11),582,R
257,256.,Pedro Ramos (15),582,R
258,259.,Ryan Dempster (16),579,R
259,259.,Paul Derringer (15),579,R
260,261.,Bobby Mathews (15),578,R
261,261.,Jack Powell (16),578,R
262,263.,Scott Schoeneweis (12),577,L
263,264.,Craig Breslow (12),576,L
264,264.,Bob Locker (10),576,R
265,266.,Terry Adams (11),574,R
266,266.,Stan Bahnsen (16),574,R
267,268.,Luis Tiant (19),573,R
268,269.,Brandon Lyon (12),572,R
269,269.,"Andrew Miller (15, 35)",572,L
270,269.,J.J. Putz (12),572,R
271,272.,Mudcat Grant (14),571,R
272,273.,Zach Duke (15),570,L
273,273.,Bob Feller+ (18),570,R
274,273.,Larry French (14),570,L
275,273.,Damaso Marte (11),570,L
276,277.,Curt Schilling (20),569,R
277,277.,Curt Simmons (20),569,L
278,279.,Jay Howell (15),568,R
279,279.,Graeme Lloyd (10),568,L
280,281.,Tony Fossas (12),567,L
281,281.,Matt Herges (11),567,R
282,283.,"Bartolo Colon (21, 47)",565,R
283,283.,Mike DeJean (10),565,R
284,283.,Ricardo Rincon (11),565,L
285,283.,Mickey Welch+ (13),565,R
286,287.,Ted Power (13),564,R
287,288.,"Aroldis Chapman (11, 32)",563,L
288,288.,Mark Eichhorn (11),563,R
289,288.,Felix Rodriguez (11),563,R
290,288.,Ray Sadecki (18),563,L
291,292.,Ricky Bottalico (12),562,R
292,293.,Doyle Alexander (19),561,R
293,293.,Chad Bradford (12),561,R
294,293.,Mike Henneman (10),561,R
295,293.,CC Sabathia (19),561,L
296,297.,B.J. Ryan (11),560,L
297,298.,Bob Patterson (13),559,L
298,298.,"Pedro Strop (12, 35)",559,R
299,300.,Larry Jackson (14),558,R
300,300.,Jim Palmer+ (19),558,R
301,300.,Scott Sullivan (10),558,R
302,303.,Darren Holmes (13),557,R
303,303.,Scott Radinsky (11),557,L
304,303.,Rick Reuschel (19),557,R
305,303.,Jack Russell (15),557,R
306,307.,Jon Rauch (11),556,R
307,307.,Dan Spillner (12),556,R
308,309.,Mike Dunn (11),555,L
309,309.,Matt Guerrier (11),555,R
310,309.,Jesse Haines+ (19),555,R
311,309.,Tony Mullane (13),555,R
