,Rank,"Player (yrs, age)",Walks & Hits per IP,Throws
769,770.,Ned Garver (14),1.3531,R
770,771.,Harry Staley (8),1.3538,R
771,772.,Steve Busby (8),1.3539,R
772,773.,Sam Jones (12),1.3540,R
773,773.,Hideo Nomo (12),1.3540,R
774,775.,Curt Young (11),1.3541,L
775,776.,Mark Langston (16),1.3542,L
776,776.,Bob Porterfield (12),1.3542,R
777,776.,Geoff Zahn (13),1.3542,L
778,779.,Jack Billingham (13),1.3543,R
779,780.,Pete Donohue (12),1.3544,R
780,781.,David Palmer (10),1.3548,R
781,782.,Steve Stone (11),1.3549,R
782,783.,Johnny Morrison (10),1.3550,R
783,784.,Erik Hanson (11),1.3553,R
784,785.,Wayne Garland (9),1.3558,R
785,786.,Billy Hoeft (15),1.3560,L
786,787.,Scott Feldman (13),1.3561,R
787,787.,Jim Wilson (12),1.3561,R
788,789.,Andrew Cashner (10),1.3562,R
789,790.,Jack Scott (12),1.3567,R
790,791.,Virgil Barnes (9),1.3574,R
791,792.,Mickey Haefner (8),1.3575,L
792,793.,Thornton Lee (16),1.3576,L
793,794.,Frank Castillo (13),1.3577,R
794,795.,Bill Sherdel (15),1.3579,L
795,796.,"Ivan Nova (11, 33)",1.3586,R
796,797.,Juan Berenguer (15),1.3590,R
797,798.,"Francisco Liriano (14, 36)",1.3591,L
798,799.,Jim Hearn (13),1.3594,R
799,800.,Tom Gordon (21),1.3596,R
800,800.,Aaron Harang (14),1.3596,R
801,802.,Chris Capuano (12),1.3598,L
802,803.,Dustin Hermanson (12),1.3601,R
803,804.,Lary Sorensen (11),1.3603,R
804,805.,Hank Wyse (8),1.3605,R
805,806.,Mark Gubicza (14),1.3606,R
806,807.,Darold Knowles (16),1.3608,L
807,808.,George Stone (9),1.3609,L
808,809.,Len Barker (11),1.3614,R
809,810.,Erik Bedard (11),1.3615,L
810,811.,Jimmy Callahan (13),1.3631,R
811,811.,Tex Carleton (8),1.3631,R
812,813.,Dan Petry (13),1.3632,R
813,814.,Brooks Lawrence (7),1.3635,R
814,815.,Vic Aldridge (9),1.3638,R
815,815.,Paul Foytack (11),1.3638,R
816,817.,"Trevor Cahill (12, 32)",1.3640,R
817,818.,Lee Viau (5),1.3641,R
818,819.,Terry Mulholland (20),1.3643,L
819,820.,Bob Stanley (13),1.3644,R
820,821.,Bill Lee (14),1.3645,L
821,822.,Al Brazle (10),1.3646,L
822,823.,Yovani Gallardo (12),1.3651,R
823,824.,Burleigh Grimes+ (19),1.3653,R
824,825.,Brett Tomko (14),1.3656,R
825,826.,Nels Potter (12),1.3660,R
