,Rank,"Player (yrs, age)",Double Plays Turned as 2B,Throws
111,111.,Bill Wambsganss (13),624,R
112,113.,Tony Bernazard (10),623,R
113,114.,Lou Bierbauer (13),620,R
114,115.,Luis Alicea (13),619,R
115,116.,Pete Suder (13),613,R
116,117.,Jackie Robinson+ (10),607,R
117,118.,Phil Garner (16),606,R
118,119.,Cupid Childs (13),602,R
119,119.,Damaso Garcia (11),602,R
120,121.,Miller Huggins+ (13),597,R
121,121.,Ray Mack (9),597,R
122,123.,Jose Vidro (12),586,R
123,124.,Kid Gleason (22),585,R
124,125.,Marty Barrett (10),580,R
125,126.,"Jason Kipnis (10, 33)",575,R
126,127.,Connie Ryan (12),573,R
127,128.,Snuffy Stirnweiss (10),572,R
128,129.,Jimmy Bloodworth (11),571,R
129,129.,"Jonathan Schoop (8, 28)",571,R
130,131.,Marty McManus (15),562,R
131,131.,Claude Ritchey (13),562,R
132,133.,Billy Gardner (10),559,R
133,134.,Joe Quinn (17),558,R
134,135.,Kelly Johnson (11),555,R
135,135.,Mike Lansing (9),555,R
136,137.,Dick McAuliffe (16),552,R
137,138.,Duane Kuiper (12),551,R
138,139.,Denny Doyle (8),547,R
139,140.,Jose Lind (9),545,R
140,141.,Bernie Allen (12),539,R
141,142.,"Kolten Wong (8, 29)",535,R
142,143.,Emil Verban (7),534,R
143,144.,Doug Flynn (11),532,R
144,144.,Billy Martin (11),532,R
145,146.,Bobby Lowe (18),530,R
146,146.,Todd Walker (12),530,R
147,148.,Joey Cora (11),526,R
148,148.,Billy Ripken (12),526,R
149,150.,Fred Dunlap (12),513,R
150,150.,Cub Stricker (11),513,R
151,152.,Danny O'Connell (10),508,R
152,153.,Rob Wilfong (11),507,R
153,154.,Mark Lemke (11),505,R
154,155.,Mark Loretta (15),503,R
155,155.,Bobby Young (8),503,R
156,157.,Pete Runnels (14),500,R
157,158.,"Gordon Beckham (11, 33)",495,R
158,158.,Bump Wills (6),495,R
159,160.,Miguel Cairo (17),491,R
160,161.,George Grantham (13),483,R
161,161.,Bill Hallman (14),483,R
162,161.,Otto Knabe (11),483,R
163,161.,Gary Sutherland (13),483,R
164,165.,Joe Gerhardt (15),482,R
165,166.,Scott Fletcher (15),481,R
166,167.,Jerry Coleman (9),477,R
167,168.,Marcus Giles (7),473,R
168,169.,Alfonso Soriano (16),472,R
169,170.,"Dee Strange-Gordon (10, 32)",471,R
170,171.,"Daniel Murphy (12, 35)",469,R
171,172.,Gil McDougald (10),468,R
172,173.,Jerry Adair (13),465,R
173,174.,Ben Zobrist (14),464,R
174,175.,Burgess Whitehead (9),462,R
175,176.,Billy Goodman (16),459,R
176,177.,"Cesar Hernandez (8, 30)",456,R
177,178.,Charlie Neal (8),452,R
178,179.,Quilvio Veras (7),450,R
179,180.,Fresco Thompson (9),446,R
180,181.,Don Kolloway (12),441,R
181,182.,Freddy Sanchez (10),440,R
182,183.,Mike Andrews (8),438,R
183,184.,Jack Burdock (18),437,R
184,185.,Wayne Terwilliger (9),433,R
185,186.,Jose Lopez (9),431,R
186,187.,Freddie Maguire (6),426,R
187,187.,Jimmy Williams (11),426,R
188,189.,Randy Velarde (16),422,R
189,190.,Tom Daly (17),421,R
190,190.,Tony Phillips (18),421,R
191,192.,Aaron Ward (12),419,R
192,193.,"Joe Panik (7, 29)",415,R
193,194.,Jack Brohamer (9),414,R
194,194.,Jorge Orta (16),414,R
195,196.,Danny Murtaugh (9),413,R
196,197.,Jerry Hairston (16),410,R
197,198.,Scooter Gennett (7),409,R
198,199.,Marlon Anderson (12),406,R
199,200.,Jimmy Dykes (22),401,R
200,200.,Bill Regan (6),401,R
201,202.,Don Heffner (11),395,R
202,203.,Mike Tyson (10),386,R
203,204.,Wally Backman (14),383,R
204,205.,Pedro Garcia (5),381,R
205,206.,Jamey Carroll (12),380,R
206,207.,Julio Franco (23),379,R
207,208.,Doug Griffin (8),371,R
208,208.,Alex Kampouris (9),371,R
209,208.,Ralph Young (9),371,R
210,211.,Eddie Mayo (9),367,R
211,212.,Jose Oquendo (12),365,R
212,213.,Danny Espinosa (8),364,R
213,213.,Jose Offerman (15),364,R
214,213.,Tim Teufel (11),364,R
215,216.,Johnny Rawlings (12),362,R
216,217.,Derrel Thomas (15),361,R
217,218.,Pete Coscarart (9),357,R
218,219.,Hobe Ferris (9),353,R
219,220.,Carlos Febles (6),351,R
220,220.,Pat Kelly (9),351,R
221,222.,Craig Counsell (16),346,R
222,223.,Darwin Barney (8),344,R
223,224.,Jim Lefebvre (8),342,R
224,225.,Mike Gallego (13),340,R
225,226.,Kazuo Matsui (7),335,R
226,226.,Pokey Reese (8),335,R
227,228.,Jeff Frye (8),334,R
228,228.,Carlos Garcia (10),334,R
229,230.,Sparky Adams (13),332,R
230,231.,Don Gutteridge (12),330,R
231,231.,Al Myers (8),330,R
232,233.,Hod Ford (15),328,R
233,233.,Pete Rose (24),328,R
234,235.,Bob Randall (5),327,R
235,236.,Gene Baker (8),326,R
236,237.,Aaron Miles (9),323,R
237,238.,Chuck Schilling (5),322,R
238,239.,Marco Scutaro (13),321,R
239,240.,Alex Cora (14),320,R
240,241.,Davey Williams (6),319,R
241,242.,Tony Graffanino (13),318,R
242,243.,Heinie Reitz (7),317,R
243,243.,Tony Womack (13),317,R
244,245.,Odell Hale (10),313,R
245,246.,Michael Young (14),312,R
246,247.,Tadahito Iguchi (4),311,R
247,247.,Rabbit Maranville+ (23),311,R
248,247.,Luis Rivas (8),311,R
249,250.,Granny Hamner (17),310,R
250,250.,Nelson Liriano (11),310,R
251,250.,Dots Miller (12),310,R
252,253.,Rabbit Warstler (11),304,R
253,254.,Edgardo Alfonzo (12),303,R
254,254.,Frankie Gustine (12),303,R
255,254.,Pop Smith (12),303,R
256,257.,Alexi Casilla (9),300,R
257,258.,"Logan Forsythe (10, 33)",299,R
258,258.,Frank LaPorte (11),299,R
259,260.,Johnny Berardino (11),297,R
260,260.,Chuck Cottier (9),297,R
261,262.,Chuck Hiller (8),296,R
262,263.,Mariano Duncan (12),295,R
263,263.,Jerry Kindall (9),295,R
264,265.,Jose Castillo (5),293,R
265,265.,Warren Morris (5),293,R
266,267.,Pep Young (10),292,R
267,268.,Ted Lepcio (10),291,R
268,269.,Jeff Treadway (9),290,R
269,270.,"Starlin Castro (11, 30)",285,R
270,271.,"Yolmer Sanchez (7, 28)",282,R
271,272.,Johnny Hodapp (9),281,R
272,272.,Keith Lockhart (10),281,R
273,274.,Ken Boswell (11),280,R
274,275.,Paul Molitor+ (21),279,R
275,276.,Jack Farrell (11),278,R
276,276.,Dave Nelson (10),278,R
277,276.,Danny Richardson (11),278,R
278,276.,Cotton Tierney (6),278,R
279,280.,Billy Moran (7),277,R
280,280.,Ray Morgan (8),277,R
281,282.,Bill Cissell (9),276,R
282,282.,Brent Gates (7),276,R
283,282.,Tony Piet (8),276,R
284,282.,Yank Robinson (10),276,R
285,286.,"Whit Merrifield (5, 31)",275,R
286,287.,Jack Crooks (8),274,R
287,287.,Lenny Randle (12),274,R
288,287.,Skip Schumaker (11),274,R
289,290.,Jerry Browne (10),272,R
290,291.,David Bell (12),271,R
291,292.,Dick Padden (9),269,R
292,293.,Dick Egan (9),268,R
293,293.,Tim Flannery (11),268,R
294,293.,Chris Getz (7),268,R
295,293.,Rey Sanchez (15),268,R
296,297.,"Josh Harrison (10, 32)",267,R
297,297.,Don Johnson (6),267,R
298,299.,Dave Shean (9),265,R
299,299.,Luis Sojo (13),265,R
300,301.,"Asdrubal Cabrera (14, 34)",263,R
301,301.,D'Angelo Jimenez (8),263,R
302,303.,Stu Martin (8),260,R
303,304.,"Ozzie Albies (4, 23)",258,R
304,304.,Larry Milbourne (11),258,R
305,306.,"Jed Lowrie (12, 36)",255,R
306,307.,Billy Gilbert (8),253,R
307,308.,Charley Bassett (9),249,R
308,308.,"Eric Sogard (10, 34)",249,R
309,310.,Tim Cullen (7),248,R
310,311.,Steve Lombardozzi (6),247,R
311,311.,Marty Perez (10),247,R
312,313.,Bobby Adams (14),245,R
313,313.,Bip Roberts (12),245,R
314,315.,Juan Bonilla (6),244,R
315,316.,Rob Andrews (5),241,R
316,316.,Mickey Witek (7),241,R
317,318.,Homer Bush (7),240,R
318,319.,Donnie Hill (9),238,R
319,319.,Terry Shumpert (14),238,R
320,321.,Jimmy Brown (8),237,R
321,322.,Bernie Friberg (14),236,R
322,322.,Nick Punto (14),236,R
323,324.,Jack Perconte (7),234,R
324,325.,Marv Breeding (4),230,R
325,325.,Ted Kubiak (10),230,R
326,325.,Jose Vizcaino (18),230,R
327,328.,Ken Aspromonte (7),229,R
328,328.,Jay Bell (18),229,R
329,328.,Reddy Mack (6),229,
330,331.,Joe Gedeon (7),228,R
331,332.,Junior Spivey (5),227,R
332,333.,Don Buford (10),225,R
333,333.,Pete Mackanin (9),225,R
334,333.,Jerry Royster (16),225,R
335,336.,Dave McKay (8),223,R
336,337.,John Farrell (5),222,R
337,337.,Mark Lewis (11),222,R
338,337.,Rodney Scott (8),222,R
339,340.,Bill Sweeney (8),220,R
340,341.,Hal Lanier (10),219,R
341,342.,Tom Carey (8),218,R
342,342.,George Creamer (7),218,R
343,342.,John O'Brien (6),218,R
344,342.,Alan Wiggins (7),218,R
345,346.,Jim Morrison (12),217,R
346,347.,Lenn Sakata (11),216,R
347,348.,Fred Manrique (9),215,R
348,349.,Sam Barkley (6),214,R
349,349.,Buck Herzog (13),214,R
350,349.,John Kerr (8),214,R
351,349.,Felipe Lopez (11),214,R
352,349.,Al Weis (10),214,R
353,354.,Joe Quest (10),212,R
354,354.,Hardy Richardson (14),212,R
355,356.,John Hummel (12),211,R
356,357.,Jack Dittmer (6),210,R
357,357.,Danny Murphy (16),210,R
358,359.,Joey Amalfitano (10),209,R
359,360.,Vance Law (11),208,R
360,360.,Paul Popovich (11),208,R
361,362.,Eddie Miksis (14),207,R
362,362.,Eddie Moore (10),207,R
363,364.,"Jedd Gyorko (8, 31)",205,R
364,365.,Devon Travis (4),204,R
365,365.,Jake Wood (7),204,R
366,367.,Roy Hughes (9),203,R
367,368.,Eddie Leon (8),202,R
368,369.,Ken Hubbs (3),201,R
369,370.,Morrie Rath (6),200,R
370,370.,Roy Schalk (3),200,R
371,372.,Bill Greenwood (6),199,L
372,373.,Manuel Lee (11),197,R
373,373.,Scott Spiezio (12),197,R
374,375.,Tom Foley (13),193,R
375,376.,Clint Barmes (13),192,R
376,376.,"Daniel Descalso (10, 33)",192,R
377,376.,Benny McCoy (4),192,R
378,376.,Ken Oberkfell (16),192,R
379,376.,Don Zimmer (12),192,R
380,381.,Mark Bellhorn (10),191,R
381,381.,Al Newman (8),191,R
382,383.,Jeff Reboulet (12),189,R
383,383.,Germany Schaefer (15),189,R
384,385.,Carl Lind (4),188,R
385,386.,Bret Barberie (6),187,R
386,386.,Geronimo Pena (7),187,R
387,386.,"Donovan Solano (7, 32)",187,R
388,386.,Curt Wilkerson (11),187,R
389,390.,Alberto Callaspo (10),185,R
390,390.,Maicer Izturis (11),185,R
391,390.,"Jace Peterson (7, 30)",185,R
392,393.,Rod Gilbreath (7),183,R
393,394.,Sam Bohne (7),181,R
394,394.,"Sean Rodriguez (13, 35)",181,R
395,396.,Lew Fonseca (12),180,R
396,397.,Daryl Spencer (10),179,R
397,397.,Sam Wise (12),179,R
398,399.,Damian Jackson (11),178,R
399,399.,"Jonathan Villar (8, 29)",178,R
