,Rank,"Player (yrs, age)",Hit By Pitch,Throws
249,242.,"Mike Leake (10, 32)",68,R
250,242.,Dutch Leonard (11),68,L
251,242.,Pedro Ramos (15),68,R
252,242.,Ron Villone (15),68,L
253,242.,Jake Westbrook (13),68,R
254,242.,Will White (10),68,R
255,256.,Rolando Arrojo (5),67,R
256,256.,Freddy Garcia (15),67,R
257,256.,Dan Haren (13),67,R
258,256.,Orlando Hernandez (9),67,R
259,256.,Al Maul (15),67,R
260,256.,Jaime Navarro (12),67,R
261,256.,Joe Oeschger (12),67,R
262,256.,"Julio Teheran (10, 29)",67,R
263,256.,Lefty Tyler (12),67,L
264,265.,Shawn Chacon (8),66,R
265,265.,Gavin Floyd (13),66,R
266,265.,Tom Glavine+ (22),66,L
267,265.,Ramon Martinez (14),66,R
268,265.,Dutch Ruether (11),66,L
269,265.,Ed Seward (6),66,R
270,271.,Howie Camnitz (11),65,R
271,271.,Bill Carrick (5),65,R
272,271.,Dean Chance (11),65,R
273,271.,Bill Doak (16),65,R
274,271.,Mark Gardner (13),65,R
275,271.,Joe Niekro (22),65,R
276,271.,Jarrod Washburn (12),65,L
277,278.,Red Ames (17),64,R
278,278.,"Bartolo Colon (21, 47)",64,R
279,278.,Pete Dowling (4),64,L
280,278.,Kyle Kendrick (10),64,R
281,278.,"Lance Lynn (9, 33)",64,R
282,278.,Danny MacFayden (17),64,R
283,278.,Jeff Nelson (15),64,R
284,278.,Ryan Vogelsong (12),64,R
285,278.,"Adam Wainwright (15, 38)",64,R
286,278.,Early Wynn+ (23),64,R
287,288.,"Trevor Bauer (9, 29)",63,R
288,288.,Bullet Joe Bush (17),63,R
289,288.,Ray Caldwell (12),63,R
290,288.,Moe Drabowsky (17),63,R
291,288.,Scott Feldman (13),63,R
292,288.,Casey Fossum (9),63,L
293,288.,Jon Garland (13),63,R
294,288.,Bump Hadley (16),63,R
295,288.,Aaron Harang (14),63,R
296,288.,Ted Lilly (15),63,L
297,288.,Johnny Lush (7),63,L
298,288.,Tom Murphy (12),63,R
299,288.,Bill Phillips (7),63,R
300,288.,Bill Singer (14),63,R
301,288.,Gerry Staley (15),63,R
302,288.,Wilbur Wood (17),63,L
303,288.,Victor Zambrano (7),63,R
304,305.,Paul Byrd (14),62,R
305,305.,"Trevor Cahill (12, 32)",62,R
306,305.,Matt Cain (13),62,R
307,305.,José Contreras (11),62,R
308,305.,Jose DeLeon (13),62,R
309,305.,"Francisco Liriano (14, 36)",62,L
310,305.,Gary Peters (14),62,L
311,305.,Brad Radke (12),62,R
312,305.,Dave Stewart (16),62,R
313,305.,George Suggs (8),62,R
314,305.,Hoyt Wilhelm+ (21),62,R
315,316.,Andy Ashby (14),61,R
316,316.,Mordecai Brown+ (14),61,R
317,316.,Frank Corridon (6),61,R
318,316.,Pud Galvin+ (15),61,R
319,316.,George Haddock (7),61,R
320,316.,Joey Hamilton (10),61,R
321,316.,Bobo Newsom (20),61,R
322,316.,Camilo Pascual (18),61,R
323,316.,Steve Reed (14),61,R
324,316.,Chris Short (15),61,L
325,316.,Dontrelle Willis (9),61,L
326,327.,Bobby Bolin (13),60,R
327,327.,Bud Daley (10),60,L
328,327.,Bob Feller+ (18),60,R
329,327.,Danny Friend (4),60,L
330,327.,Bill Hoffer (6),60,R
331,327.,Chief Hogsett (11),60,L
332,327.,Sam Jones (12),60,R
333,327.,Mike Mussina+ (18),60,R
334,327.,Armando Reynoso (12),60,R
335,327.,"Jeff Samardzija (13, 35)",60,R
336,327.,Scott Sullivan (10),60,R
337,338.,Buster Brown (9),59,R
338,338.,Frank Castillo (13),59,R
339,338.,Larry Cheney (9),59,R
340,338.,Ron Darling (13),59,R
341,338.,Mel Harder (20),59,R
342,338.,Bill Hill (4),59,L
343,338.,Tom Lovett (6),59,R
344,338.,Bill Magee (5),59,R
345,338.,Christy Mathewson+ (17),59,R
346,338.,Sam McDowell (15),59,L
347,338.,Willie McGill (7),59,L
348,338.,Ed Morris (7),59,L
349,338.,Deacon Phillippe (13),59,R
350,338.,"David Price (12, 34)",59,L
351,338.,Jerry Reuss (22),59,L
352,338.,Bret Saberhagen (16),59,R
353,338.,Mike Torrez (18),59,R
354,338.,Paul Wilson (7),59,R
355,338.,"Jordan Zimmermann (12, 34)",59,R
356,357.,"Jake Arrieta (11, 34)",58,R
357,357.,Tim Belcher (14),58,R
358,357.,Brian Bohanon (12),58,L
359,357.,Dave Burba (15),58,R
360,357.,Ed Crane (9),58,R
361,357.,Josh Fogg (9),58,R
362,357.,Dave Foutz (13),58,R
363,357.,Mark Gubicza (14),58,R
364,357.,Addie Joss+ (9),58,R
365,357.,Al Mays (6),58,R
366,357.,Dave Mlicki (10),58,R
367,357.,Jack Morris+ (18),58,R
368,357.,Bob Rhoads (8),58,R
369,357.,Jorge De La Rosa (15),58,L
370,357.,Red Ruffing+ (22),58,R
371,357.,Ed Stein (8),58,R
372,357.,Jerome Williams (11),58,R
373,374.,Harry Coveleski (9),57,L
374,374.,Shawn Estes (13),57,L
375,374.,Jesse Haines+ (19),57,R
376,374.,Jason Johnson (11),57,R
377,374.,Bob Lemon+ (15),57,R
378,374.,Allie Reynolds (13),57,R
379,374.,John Smoltz+ (21),57,R
380,374.,Happy Townsend (6),57,R
381,374.,George Van Haltren (17),57,L
382,374.,David Weathers (19),57,R
383,384.,"Homer Bailey (14, 34)",56,R
384,384.,Lew Burdette (18),56,R
385,384.,Chris Capuano (12),56,L
386,384.,Jesse Duryea (5),56,R
387,384.,Patsy Flaherty (9),56,L
388,384.,Jack Harper (8),56,R
389,384.,Michael Jackson (17),56,R
390,384.,Ken Johnson (13),56,R
391,384.,Jimmy Lavender (6),56,R
392,384.,Dutch Leonard (20),56,R
393,384.,Doc McJames (6),56,R
394,384.,"Andrew Miller (15, 35)",56,L
395,384.,Brett Myers (12),56,R
396,384.,Ricky Nolasco (12),56,R
397,384.,Bud Norris (10),56,R
398,384.,"Anibal Sanchez (15, 36)",56,R
399,384.,Bob Shaw (11),56,R
400,384.,Bob Turley (12),56,R
401,384.,Dave Wickersham (10),56,R
402,403.,Andy Benes (14),55,R
