,Rank,"Player (yrs, age)",Putouts as 3B,Throws
114,115.,Ned Williamson (13),878,R
115,116.,Travis Fryman (13),872,R
116,117.,Randy Jackson (10),868,R
117,117.,John McGraw+ (17),868,R
118,119.,Marty McManus (15),866,R
119,120.,Jim Davenport (13),863,R
120,121.,Billy Johnson (9),860,R
121,122.,Wid Conroy (11),858,R
122,123.,"Ryan Zimmerman (15, 35)",853,R
123,124.,Brandon Inge (13),851,R
124,125.,Andy Carey (11),847,R
125,126.,"Kyle Seager (10, 32)",846,R
126,127.,Richie Hebner (18),839,R
127,128.,Freddie Lindstrom+ (13),835,R
128,129.,Les Bell (9),814,R
129,129.,Babe Pinelli (8),814,R
130,129.,Charlie Reilly (8),814,R
131,132.,Bob Dillinger (6),811,R
132,133.,Larry Parrish (15),810,R
133,134.,Bubba Phillips (10),808,R
134,135.,Ed Sprague (11),807,R
135,136.,Frank O'Rourke (14),798,R
136,137.,Bob Bailey (17),793,R
137,138.,Toby Harrah (17),781,R
138,139.,Brook Jacoby (11),776,R
139,140.,"Josh Donaldson (10, 34)",774,R
140,141.,"Mike Moustakas (10, 31)",763,R
141,142.,Jim Donnelly (11),756,R
142,143.,Lee Tannehill (10),753,R
143,144.,Alex Rodriguez (22),750,R
144,145.,Enos Cabell (15),744,R
145,146.,Bob Ferguson (14),742,R
146,147.,Patsy Tebeau (13),740,R
147,148.,Pinky May (5),737,R
148,149.,George Davis+ (20),735,R
149,150.,Dean Palmer (14),734,R
150,151.,Tom Brookens (12),728,R
151,152.,Bill Mueller (11),726,R
152,152.,Paul Schaal (11),726,R
153,154.,"Nolan Arenado (8, 29)",725,R
154,154.,Andy High (13),725,R
155,156.,Fred Hartman (6),718,R
156,156.,Cookie Lavagetto (10),718,R
157,158.,Wayne Gross (11),717,R
158,159.,Rich Rollins (10),716,R
159,160.,Bobby Adams (14),711,R
160,161.,Lee Handley (10),703,R
161,161.,Chase Headley (12),703,R
162,163.,Bill McKechnie+ (11),700,R
163,163.,Bill Melton (10),700,R
164,165.,Kevin Seitzer (12),696,R
165,166.,Ray Knight (13),694,R
166,167.,Mike Pagliarulo (11),693,R
167,168.,"Manny Machado (9, 27)",689,R
168,169.,Terry Turner (17),687,R
169,170.,Sammy Hale (10),686,R
170,171.,Chippy McGarr (10),684,R
171,172.,"Todd Frazier (10, 34)",683,R
172,173.,Buddy Lewis (11),679,R
173,174.,Billy Lauder (5),676,R
174,174.,Rube Lutzke (5),676,R
175,176.,Bobby Bonilla (16),674,R
176,177.,Billy Cox (11),668,R
177,178.,Scott Brosius (11),661,R
178,179.,Roy Howell (11),651,R
179,180.,Howie Shanks (14),646,R
180,181.,Melvin Mora (13),645,R
181,182.,Tony Perez+ (23),644,R
182,182.,Joe Sewell+ (14),644,R
183,184.,Paul Molitor+ (21),642,R
184,185.,Gene Robertson (9),638,R
185,186.,Johnny Vergez (6),634,R
186,187.,Jim Presley (8),633,R
187,188.,"Pablo Sandoval (13, 33)",632,R
188,189.,Ken Oberkfell (16),627,R
189,190.,Joe Foy (6),626,R
190,191.,Billy Clingman (10),625,R
191,192.,Doug Baird (6),624,R
192,193.,Corey Koskie (9),623,R
193,194.,Eric Soderholm (9),620,R
194,195.,Kelly Gruber (10),619,R
195,196.,Casey Blake (13),617,R
196,197.,Joe Crede (10),615,R
197,198.,Lew Riggs (10),614,R
198,199.,Bobby Wallace+ (25),613,R
199,200.,Pedro Feliz (11),610,R
200,201.,Harmon Killebrew+ (22),607,R
201,202.,Aaron Boone (12),601,R
202,203.,David Bell (12),600,R
203,203.,Dave Brain (7),600,R
204,205.,Edgardo Alfonzo (12),599,R
205,205.,Jimmy Burke (7),599,R
206,207.,Phil Garner (16),593,R
207,208.,Fritz Maisel (6),592,R
208,208.,Hank Thompson (9),592,R
209,210.,Gene Freese (12),589,R
210,211.,Rico Petrocelli (13),581,R
211,212.,Roy Hartzell (11),580,R
212,213.,Ray Boone (13),576,R
213,214.,"Anthony Rendon (8, 30)",571,R
214,215.,Ed Gremminger (4),566,R
215,216.,Jim Ray Hart (12),564,R
216,217.,Howard Johnson (14),561,R
217,218.,Harry Schafer (8),559,R
218,219.,Butch Hobson (8),558,R
219,220.,Bob Kennedy (16),555,R
220,220.,Luis Salazar (13),555,R
221,222.,Buck Weaver (9),554,R
222,223.,Wayne Garrett (10),548,R
223,224.,Dave Hollins (12),541,R
224,225.,Joe Battin (10),540,R
225,226.,Bernie Friberg (14),533,R
226,226.,Jim Gilliam (14),533,R
227,228.,Dick Allen (15),530,R
228,229.,Tony Batista (11),526,R
229,229.,Buck Herzog (13),526,R
230,231.,Charley Smith (10),524,R
231,232.,Johnny Pesky (10),522,R
232,233.,Jumbo Davis (7),517,R
233,234.,Wally Gilbert (5),512,R
234,235.,Dude Esterbrook (11),500,R
235,236.,Chuck Dressen (8),498,R
236,237.,Hector Lopez (12),496,R
237,238.,Fred Haney (7),492,R
238,239.,"Edwin Encarnacion (16, 37)",491,R
239,240.,"Miguel Cabrera (18, 37)",490,R
240,240.,Bob Horner (10),490,R
241,242.,Odell Hale (10),484,R
242,243.,Sammy Strang (10),480,R
243,244.,Mike Muldoon (5),478,
244,245.,Ed Lennox (6),477,R
245,246.,Frank Ellerbe (6),476,R
246,247.,Placido Polanco (16),475,R
247,248.,Ray Jablonski (8),474,R
248,249.,Mark Christman (9),473,R
249,249.,Jimmy Johnston (13),473,R
250,251.,Ernie Courtney (6),471,R
251,252.,Pete Ward (9),470,R
252,253.,Harry Raymond (5),465,
253,253.,Jerry Royster (16),465,R
254,255.,Pete Rose (24),464,R
255,255.,Pete Suder (13),464,R
256,255.,Cecil Travis (12),464,R
257,258.,Cal Ripken Jr.+ (21),461,R
258,259.,Barry McCormick (10),457,R
259,260.,David Freese (11),456,R
260,261.,"Eugenio Suarez (7, 28)",454,R
261,262.,Frankie Frisch+ (19),453,R
262,262.,Kevin Kouzmanoff (7),453,R
263,262.,Chris Sabo (9),453,R
264,265.,Hank Blalock (9),452,R
265,266.,Gil McDougald (10),451,R
266,267.,Sid Gordon (13),449,R
267,268.,Steve Mesner (6),446,R
268,268.,Mark Reynolds (13),446,R
269,270.,Trevor Plouffe (9),444,R
270,271.,Vance Law (11),442,R
271,272.,Bill Everitt (7),441,R
272,273.,Don Gutteridge (12),437,R
273,274.,"Maikel Franco (7, 27)",432,R
274,275.,Jimmy Williams (11),431,R
275,276.,Martin Prado (14),430,R
276,277.,Floyd Baker (13),429,R
277,277.,Lenny Randle (12),429,R
278,279.,Frankie Gustine (12),426,R
279,279.,Fernando Tatis (11),426,R
280,279.,Joe Torre+ (18),426,R
281,282.,Sparky Adams (13),425,R
282,283.,Jack Howell (11),423,R
283,284.,Cap Anson+ (27),417,R
284,285.,Billy Alvord (5),413,R
285,285.,Morgan Ensberg (8),413,R
286,287.,Joe Werrick (4),411,R
287,288.,George Perring (5),409,R
288,289.,Chone Figgins (12),408,R
289,290.,Tony Cuccinello (15),407,R
290,291.,Bill Sweeney (8),405,R
291,291.,Ty Wigginton (12),405,R
292,293.,Hunter Hill (3),404,R
293,294.,Jim Delahanty (13),400,R
294,294.,Duke Farrell (18),400,R
295,294.,Steve Ontiveros (8),400,R
296,297.,Rance Mulliniks (16),395,R
297,298.,Pepper Martin (13),393,R
298,299.,Woody English (12),391,R
299,300.,Sean Berry (11),388,R
300,300.,Howard Freigau (7),388,R
301,300.,Russ Wrightstone (9),388,R
302,303.,Hobe Ferris (9),386,R
303,304.,"Justin Turner (12, 35)",381,R
304,305.,Bill Stein (14),380,R
305,306.,Alberto Callaspo (10),379,R
306,306.,"Matt Chapman (4, 27)",379,R
307,308.,Jack Gleason (6),373,R
308,308.,Leo Gomez (7),373,R
309,310.,Bill Hague (5),370,R
310,310.,Eddie Kasko (10),370,R
311,312.,Jim Morrison (12),365,R
312,313.,"Jose Ramirez (8, 27)",364,R
313,314.,Pete Castiglione (8),361,R
314,315.,Fred Hatfield (9),360,R
315,315.,Juan Uribe (16),360,R
316,317.,Jack Warner (8),357,R
317,318.,Mike Blowers (11),356,R
318,318.,Hubie Brooks (15),356,R
319,320.,Garrett Atkins (8),355,R
320,320.,Geoff Blum (14),355,R
321,320.,Bill Dahlen (21),355,R
322,320.,Frank Thomas (16),355,R
323,320.,Rollie Zeider (9),355,R
324,325.,Edgar Martinez+ (18),354,R
325,326.,Mike Shannon (9),353,R
326,327.,Art Phelan (5),349,R
327,328.,Jeff King (11),347,R
328,329.,Dave Chalk (9),346,R
329,329.,Danny O'Connell (10),346,R
330,331.,Dave Magadan (16),344,R
331,331.,Luis Valbuena (11),344,R
332,333.,Joe Yeager (10),343,R
333,334.,"Matt Carpenter (10, 34)",342,R
334,335.,Don Zimmer (12),340,R
335,336.,Pedro Alvarez (9),335,R
336,337.,Mike Lamb (10),333,R
337,337.,Tommy Sheehan (4),333,R
338,339.,Tony Taylor (19),332,R
339,340.,Bobby Brown (8),330,R
340,340.,Sibby Sisti (13),330,R
341,340.,Tex Wisterzil (2),330,R
342,343.,Kid Elberfeld (14),328,R
343,343.,Mark Teahen (7),328,R
344,345.,"Kris Bryant (6, 28)",327,R
345,345.,Vern Stephens (15),327,R
346,347.,John Castino (6),324,R
347,348.,Jim Finigan (6),323,R
348,349.,Steve Boros (7),322,R
349,350.,Reno Bertoia (10),321,R
350,350.,Dario Lodigiani (6),321,R
351,352.,Jimmy Brown (8),320,R
352,352.,Gary Sheffield (22),320,R
353,354.,Chris Brown (6),319,R
354,355.,Fred Smith (4),317,R
355,356.,Bill Brubaker (10),316,R
356,356.,Ed Spiezio (9),316,R
357,358.,Sean Burroughs (7),315,R
358,358.,Joe Farrell (4),315,
359,358.,Al Smith (12),315,R
360,361.,Chris Johnson (8),314,R
361,362.,Casey McGehee (8),312,R
362,362.,Kevin Youkilis (10),312,R
363,364.,John Irwin (8),311,R
364,365.,"Nicholas Castellanos (8, 28)",310,R
365,365.,Phil Nevin (12),310,R
366,367.,Joe Evans (11),308,R
367,367.,Wes Helms (13),308,R
368,369.,Billy Purtell (5),307,R
369,370.,Jack Hannahan (8),303,R
370,371.,Will Foley (7),302,R
371,372.,Brett Lawrie (6),301,R
372,372.,Fred Thomas (3),301,R
373,374.,Doggie Miller (13),300,R
374,374.,Craig Paquette (11),300,R
375,374.,Warren White (6),300,
376,377.,John Kennedy (12),299,R
377,378.,Eric Hinske (12),297,R
378,379.,Mike Cubbage (8),296,R
379,379.,Denis Menke (13),296,R
380,381.,Tim Hulett (12),295,R
381,382.,Al Dark (14),294,R
382,382.,Gus Getz (7),294,R
383,382.,Jeff Hamilton (6),294,R
384,382.,"Jake Lamb (7, 29)",294,R
385,386.,Pete Gilbert (4),292,R
386,386.,Goldie Rapp (3),292,R
387,388.,Shea Hillenbrand (7),290,R
388,389.,Davy Force (15),289,R
389,389.,Travis Jackson+ (15),289,R
390,391.,Walter Barbare (8),288,R
391,391.,John Valentin (11),288,R
392,391.,Honus Wagner+ (21),288,R
393,394.,"Alex Bregman (5, 26)",287,R
394,395.,Coco Laboy (5),286,R
395,395.,Danny Valencia (9),286,R
396,397.,Al Gallagher (4),285,R
397,397.,Rick Schu (9),285,R
398,397.,Jim Thome+ (22),285,R
399,400.,Felix Torres (3),284,R
