,Rank,"Player (yrs, age)",Base-Out Wins Saved (REW),Throws
502,501.,Scott Kazmir (12),5.44,L
503,504.,"Ken Giles (7, 29)",5.42,R
504,505.,Jesse Crain (10),5.41,R
505,505.,"J.A. Happ (14, 37)",5.41,L
506,507.,Jim O'Toole (10),5.40,L
507,508.,Mike Hampton (16),5.37,L
508,508.,Jim Turner (9),5.37,R
509,510.,Jim Corsi (10),5.32,R
510,511.,Monty Stratton (5),5.31,R
511,512.,"Marcus Stroman (6, 29)",5.27,R
512,513.,Paul Quantrill (14),5.25,R
513,514.,Brad Lidge (11),5.23,R
514,514.,Juan Pizarro (18),5.23,L
515,516.,Ron Reed (19),5.22,R
516,517.,Camilo Pascual (18),5.20,R
517,518.,Matt Guerrier (11),5.19,R
518,518.,Scott Sanderson (19),5.19,R
519,520.,Tom Niedenfuer (10),5.18,R
520,521.,Ralph Branca (12),5.17,R
521,521.,Al Brazle (10),5.17,L
522,521.,Bob Locker (10),5.17,R
523,521.,Mike Witt (12),5.17,R
524,525.,Scott McGregor (13),5.16,L
525,526.,Matt Thornton (13),5.15,L
526,527.,"Chad Green (5, 29)",5.12,R
527,528.,Steve Hamilton (12),5.10,L
528,529.,Lindy McDaniel (21),5.08,R
529,529.,Kevin Tapani (13),5.08,R
530,531.,"Raisel Iglesias (6, 30)",5.07,R
531,532.,Jack Kralick (9),5.05,L
532,533.,Chad Cordero (7),5.03,R
533,534.,"Eduardo Rodriguez (5, 27)",5.02,L
534,534.,Babe Ruth+ (22),5.02,L
535,536.,Dave Ferriss (6),5.00,R
536,536.,Al McBean (10),5.00,R
537,538.,"Mychal Givens (6, 30)",4.99,R
538,539.,"Pedro Baez (7, 32)",4.98,R
539,540.,Dave Stewart (16),4.95,R
540,541.,Rube Benton (15),4.94,L
541,542.,Lou Fette (5),4.92,R
542,543.,Tex Carleton (8),4.90,R
543,544.,Tom Sturdivant (10),4.89,R
544,545.,"Tanner Roark (8, 33)",4.87,R
545,546.,Greg Harris (15),4.85,R
546,547.,"Alex Colome (8, 31)",4.84,R
547,548.,Antonio Osuna (11),4.83,R
548,549.,Steve Ontiveros (10),4.82,R
549,550.,Jim Konstanty (11),4.79,R
550,551.,Dave LaRoche (14),4.78,L
551,552.,Gregg Olson (14),4.76,R
552,553.,Bob Smith (15),4.75,R
553,554.,Paul Assenmacher (14),4.73,L
554,555.,"Cody Allen (8, 31)",4.71,R
555,555.,Carl Erskine (12),4.71,R
556,557.,Eddie Guardado (17),4.70,L
557,558.,Justin Speier (12),4.67,R
558,559.,Jonathan Broxton (13),4.65,R
559,559.,"Walker Buehler (4, 25)",4.65,R
560,559.,Ryan Franklin (12),4.65,R
561,559.,"Blake Treinen (7, 32)",4.65,R
562,563.,George Earnshaw (9),4.64,R
563,563.,Lefty Tyler (12),4.64,L
564,565.,Murry Dickson (18),4.63,R
565,565.,Cal Eldred (14),4.63,R
566,565.,"James Paxton (8, 31)",4.63,L
567,565.,Ramon Ramirez (9),4.63,R
568,565.,Brian Wilson (9),4.63,R
