,Rank,"Player (yrs, age)",Adj. Pitching Wins,Throws
239,240.,Ray Kremer (10),10.96,R
240,241.,Jim Kaat (25),10.92,L
241,241.,Bob Stanley (13),10.92,R
242,243.,Jeff Montgomery (13),10.87,R
243,243.,Jack Powell (16),10.87,R
244,245.,John Wetteland (12),10.85,R
245,246.,Alex Fernandez (10),10.78,R
246,246.,Russ Ford (7),10.78,R
247,248.,Jack Chesbro+ (11),10.73,R
248,249.,Allie Reynolds (13),10.67,R
249,250.,Fred Toney (12),10.66,R
250,251.,Ice Box Chamberlain (10),10.55,R
251,252.,Schoolboy Rowe (15),10.51,R
252,253.,Herb Pennock+ (22),10.50,L
253,254.,Josh Beckett (14),10.45,R
254,254.,"Bartolo Colon (21, 47)",10.45,R
255,256.,Jake Weimer (7),10.43,L
256,257.,Kerry Wood (14),10.41,R
257,258.,Orval Overall (7),10.39,R
258,259.,Jim Devlin (5),10.36,R
259,260.,Burleigh Grimes+ (19),10.34,R
260,261.,"Joakim Soria (13, 36)",10.33,R
261,262.,Mark Langston (16),10.27,L
262,263.,Kenny Rogers (20),10.25,L
263,264.,Teddy Higuera (9),10.19,L
264,264.,Jim Scott (9),10.19,R
265,264.,Brad Ziegler (11),10.19,R
266,267.,Steve Reed (14),10.18,R
267,268.,Stu Miller (16),10.11,R
268,269.,John Ward+ (17),10.09,R
269,270.,Frank Sullivan (11),10.08,R
270,271.,Al Brazle (10),10.07,L
271,271.,Jack McDowell (12),10.07,R
272,273.,Ewell Blackwell (10),10.04,R
273,273.,Burt Hooton (15),10.04,R
274,275.,Claude Hendrix (10),10.02,R
275,276.,Francisco Cordero (14),10.01,R
276,276.,Bill Hands (11),10.01,R
277,278.,Bob Wickman (15),9.97,R
278,279.,"Tyler Clippard (14, 35)",9.95,R
279,280.,Jeff Reardon (16),9.94,R
280,281.,Clay Carroll (15),9.89,R
281,282.,Bob Welch (17),9.86,R
282,283.,Bob Friend (16),9.83,R
283,284.,Jack Morris+ (18),9.82,R
284,285.,Johnny Rigney (8),9.80,R
285,286.,Jack Taylor (10),9.79,R
286,287.,Mike Cuellar (15),9.73,L
287,287.,Jim Perry (17),9.73,R
288,287.,"David Robertson (12, 35)",9.73,R
289,290.,Sid Fernandez (15),9.72,L
290,291.,"Gio Gonzalez (13, 34)",9.68,L
291,291.,Tug McGraw (19),9.68,L
292,293.,Mark Gubicza (14),9.66,R
293,294.,Guy Hecker (9),9.62,R
294,294.,Josh Johnson (9),9.62,R
295,296.,Don McMahon (18),9.60,R
296,296.,Rafael Soriano (14),9.60,R
297,298.,Bob Veale (13),9.58,L
298,299.,Huston Street (13),9.57,R
299,300.,Bob Ewing (11),9.49,R
300,300.,Red Lucas (16),9.49,R
301,302.,Billy Rhines (9),9.45,R
302,303.,Robb Nen (10),9.41,R
303,304.,Mike Marshall (14),9.38,R
304,304.,Jason Schmidt (14),9.38,R
305,306.,Dan Haren (13),9.34,R
306,307.,Jeff Nelson (15),9.28,R
307,308.,Freddy Garcia (15),9.22,R
308,309.,"Lance Lynn (9, 33)",9.17,R
309,310.,"Hyun Jin Ryu (7, 33)",9.13,L
310,311.,Hooks Wiltse (12),9.11,L
311,312.,Dave McNally (14),9.06,L
312,313.,Derek Lowe (17),9.00,R
313,313.,Tom Zachary (19),9.00,L
314,315.,Catfish Hunter+ (15),8.99,R
315,316.,Gary Lavelle (13),8.91,L
316,317.,Van Mungo (14),8.90,R
317,318.,Wilson Alvarez (14),8.84,L
318,318.,Watty Clark (12),8.84,L
319,320.,Al Benton (14),8.83,R
320,321.,Ben Sheets (10),8.72,R
321,322.,Matt Cain (13),8.70,R
322,322.,"Joe Smith (13, 36)",8.70,R
323,322.,Koji Uehara (9),8.70,R
324,325.,Joe Horlen (12),8.69,R
325,326.,Babe Ruth+ (22),8.68,L
326,327.,Ryan Madson (13),8.67,R
327,328.,Earl Moore (14),8.65,R
328,328.,Bob Rush (13),8.65,R
329,330.,Steve Farr (11),8.64,R
330,330.,Scot Shields (10),8.64,R
331,332.,Gene Garber (19),8.63,R
332,333.,Ben McDonald (9),8.62,R
333,334.,Don Mossi (12),8.61,L
334,334.,Jamie Moyer (25),8.61,L
335,336.,Larry Jansen (9),8.60,R
336,337.,Pat Hentgen (14),8.59,R
337,338.,Rick Aguilera (16),8.57,R
338,338.,Rube Walberg (15),8.57,L
339,340.,Hank Aguirre (16),8.55,L
340,341.,Paul Quantrill (14),8.54,R
341,341.,Jarrod Washburn (12),8.54,L
342,343.,Bill Dinneen (12),8.53,R
343,344.,Mickey Lolich (16),8.51,L
344,345.,Fred Hutchinson (11),8.50,R
345,346.,George Uhle (17),8.49,R
346,347.,Kelvim Escobar (12),8.45,R
347,347.,Charlie Ferguson (4),8.45,R
348,349.,Charlie Hough (25),8.44,R
349,350.,"Mike Clevinger (5, 29)",8.39,R
350,351.,Pat Malone (10),8.30,R
351,352.,Lefty Leifield (12),8.27,L
352,352.,Johnny Morrison (10),8.27,R
353,354.,"Dallas Keuchel (9, 32)",8.26,L
354,355.,Rafael Betancourt (12),8.25,R
355,355.,"Carlos Carrasco (11, 33)",8.25,R
356,357.,Fritz Ostermueller (15),8.21,L
357,358.,Lindy McDaniel (21),8.20,R
358,359.,Joaquin Benoit (16),8.16,R
359,360.,Danny Darwin (21),8.14,R
360,361.,Ken Raffensberger (15),8.13,L
361,362.,Harvey Haddix (14),8.10,L
362,363.,Ron Perranoski (13),8.09,L
363,364.,George Mogridge (15),8.07,L
364,365.,Monte Pearson (10),8.06,R
365,366.,"Steve Cishek (11, 34)",8.04,R
366,367.,"Aaron Nola (6, 27)",8.03,R
367,368.,Tom Candiotti (16),8.02,R
368,369.,Randy Myers (14),7.95,L
369,370.,Toad Ramsey (6),7.94,L
370,371.,Vean Gregg (8),7.92,L
371,371.,Dave Veres (10),7.92,R
372,371.,Bill Walker (10),7.92,L
373,371.,"Tony Watson (10, 35)",7.92,L
374,375.,"Mark Melancon (12, 35)",7.84,R
375,376.,Javier Vazquez (14),7.83,R
376,377.,Tom Burgmeier (17),7.81,L
377,377.,Don Gullett (9),7.81,L
378,377.,Willie Hernandez (13),7.81,L
379,380.,"Zack Britton (10, 32)",7.79,L
380,381.,Bill Donovan (18),7.78,R
381,381.,Charlie Leibrandt (14),7.78,L
382,383.,Juan Guzman (10),7.77,R
383,384.,Jeff Tesreau (7),7.76,R
384,385.,Dave Righetti (16),7.74,L
385,386.,Ted Lewis (6),7.73,R
386,386.,J.J. Putz (12),7.73,R
387,388.,Reb Russell (9),7.72,L
388,389.,Candy Cummings+ (6),7.71,R
389,390.,Jim Bagby (9),7.70,R
390,391.,Ugueth Urbina (11),7.68,R
391,392.,"Sergio Romo (13, 37)",7.67,R
392,393.,Dave Smith (13),7.66,R
393,394.,Mike Henneman (10),7.64,R
394,395.,Johnny Vander Meer (13),7.62,L
395,396.,Octavio Dotel (15),7.60,R
396,397.,General Crowder (11),7.57,R
397,398.,Pink Hawley (10),7.54,R
398,399.,Mike Adams (10),7.51,R
399,400.,Johnny Murphy (13),7.48,R
400,401.,Ron Reed (19),7.40,R
401,402.,Steve Gromek (17),7.39,R
402,402.,Bump Hadley (16),7.39,R
403,402.,Bill Lee (14),7.39,R
404,405.,Mike Boddicker (14),7.38,R
405,406.,"Sonny Gray (8, 30)",7.37,R
406,407.,Mark Baldwin (7),7.32,R
407,407.,Tim Burke (8),7.32,R
408,409.,Ned Garvin (7),7.31,R
409,410.,Dan Plesac (18),7.28,L
410,411.,Larry Andersen (17),7.27,R
411,411.,Joe Benz (9),7.27,R
412,411.,Jose Fernandez (4),7.27,R
413,414.,Bill Hoffer (6),7.26,R
414,415.,Takashi Saito (7),7.25,R
415,415.,Ted Wilks (10),7.25,R
416,417.,"Dellin Betances (9, 32)",7.23,R
417,417.,Hiroki Kuroda (7),7.23,R
418,419.,"Trevor Bauer (9, 29)",7.22,R
419,419.,"Greg Holland (10, 34)",7.22,R
420,421.,"Jake Arrieta (11, 34)",7.18,R
421,422.,Kevin Millwood (16),7.17,R
422,422.,Jack Pfiester (8),7.17,L
423,424.,Greg Swindell (17),7.16,L
424,425.,Rod Beck (13),7.14,R
425,426.,Rich Harden (9),7.11,R
426,427.,Jesse Crain (10),7.09,R
427,428.,Jose Valverde (12),7.08,R
428,429.,Pat Neshek (13),7.06,R
429,430.,Greg Minton (16),7.05,R
430,431.,Shigetoshi Hasegawa (9),7.02,R
431,432.,Ray Collins (7),7.01,L
432,433.,Matt Thornton (13),6.98,L
433,434.,Art Nehf (15),6.97,L
434,435.,Dave Rozema (10),6.95,R
435,436.,Sonny Siebert (12),6.93,R
436,437.,Steve Bedrosian (14),6.92,R
437,438.,Orlando Hernandez (9),6.89,R
438,438.,"Jose Quintana (9, 31)",6.89,L
439,438.,Ben Sanders (5),6.89,R
440,441.,Red Ames (17),6.87,R
441,442.,Dick McBride (6),6.86,R
442,443.,Gary Peters (14),6.82,L
443,444.,Alejandro Pena (15),6.70,R
444,445.,Billy O'Dell (13),6.67,L
445,446.,Johnny Niggeling (9),6.63,R
446,447.,Ken Forsch (16),6.61,R
447,448.,Bryan Harvey (9),6.60,R
448,448.,"Rich Hill (16, 40)",6.60,L
449,448.,Gerry Staley (15),6.60,R
450,451.,B.J. Ryan (11),6.59,L
451,452.,Claude Osteen (18),6.58,L
452,452.,Mario Soto (12),6.58,R
453,454.,Chad Bradford (12),6.55,R
454,454.,Bill Lee (14),6.55,L
455,456.,Justin Duchscherer (8),6.54,R
456,456.,Arthur Rhodes (20),6.54,L
457,458.,Mark Prior (5),6.53,R
458,459.,Gregg Olson (14),6.52,R
459,460.,Greg Harris (15),6.49,R
460,461.,Jeff Shaw (12),6.48,R
461,462.,Bill Doak (16),6.47,R
462,462.,Frank Killen (10),6.47,L
463,464.,Harry Howell (13),6.46,R
464,464.,Jason Isringhausen (16),6.46,R
465,464.,Steve Kline (11),6.46,L
466,467.,Jason Frasor (12),6.45,R
467,468.,Ed Seward (6),6.44,R
468,469.,"Patrick Corbin (8, 30)",6.36,L
469,469.,Jeff Fassero (16),6.36,L
470,469.,Carl Weilman (8),6.36,L
471,472.,Ted Lilly (15),6.35,L
472,473.,Bob Howry (13),6.34,R
473,473.,Syl Johnson (19),6.34,R
474,473.,Denny Neagle (13),6.34,L
475,476.,Lefty Stewart (10),6.32,L
476,477.,George McQuillan (10),6.30,R
477,478.,Dennis Leonard (12),6.28,R
478,479.,Mike Hampton (16),6.26,L
479,480.,Bill Henry (16),6.25,L
480,480.,Bruce Hurst (15),6.25,L
481,482.,"Blake Snell (5, 27)",6.21,L
482,483.,Lee Meadows (15),6.20,R
483,483.,Mike Stanton (19),6.20,L
484,483.,"Masahiro Tanaka (7, 31)",6.20,R
485,486.,Don Wilson (9),6.19,R
486,487.,Dick Hall (19),6.18,R
487,488.,"Kelvin Herrera (10, 30)",6.17,R
488,489.,Scott Downs (13),6.16,L
489,489.,Terry Forster (16),6.16,L
490,489.,Oral Hildebrand (10),6.16,R
491,489.,J.R. Richard (10),6.16,R
492,493.,Herb Score (8),6.15,L
493,494.,Whit Wyatt (16),6.12,R
494,495.,"Will Harris (9, 35)",6.09,R
495,496.,Ivy Andrews (8),6.08,R
496,496.,Brian Fuentes (12),6.08,L
497,498.,Johnny Sain (11),6.04,R
498,499.,Dave Dravecky (8),6.03,L
499,499.,Dick Radatz (7),6.03,R
500,501.,Paul Assenmacher (14),5.98,L
501,501.,Henry Boyle (6),5.98,R
502,501.,"Jared Hughes (10, 34)",5.98,R
503,504.,George Zettlein (6),5.97,R
504,505.,Dan Casey (7),5.96,L
505,506.,Doyle Alexander (19),5.95,R
506,507.,Steve Howe (12),5.94,L
507,508.,Barry Zito (15),5.93,L
508,509.,Sandy Consuegra (8),5.92,R
509,509.,Roy Face (16),5.92,R
510,509.,Jay Howell (15),5.92,R
511,509.,Duane Ward (9),5.92,R
512,513.,Monty Stratton (5),5.91,R
513,514.,Sad Sam Jones (22),5.89,R
514,515.,"Shane Bieber (3, 25)",5.88,R
515,515.,Marius Russo (6),5.88,L
516,517.,Damaso Marte (11),5.85,L
517,518.,Ken Hill (14),5.83,R
518,519.,Gus Weyhing (14),5.82,R
519,520.,Clay Buchholz (13),5.81,R
520,521.,Carl Lundgren (8),5.74,R
521,522.,"Roberto Osuna (6, 25)",5.73,R
522,523.,Matt Kilroy (10),5.72,L
523,524.,Bill Sherdel (15),5.70,L
524,525.,Todd Worrell (11),5.69,R
525,526.,Frank Linzy (11),5.68,R
526,526.,Doc McJames (6),5.68,R
527,528.,Al Hrabosky (13),5.66,L
528,529.,Larry Gura (16),5.64,L
529,529.,"Tanner Roark (8, 33)",5.64,R
530,531.,"Jeremy Jeffress (11, 32)",5.63,R
531,532.,Scott Williamson (9),5.62,R
532,533.,Clint Brown (15),5.60,R
533,534.,"Felipe Vazquez (5, 28)",5.59,L
534,535.,Dutch Ruether (11),5.58,L
535,536.,Jeff Brantley (14),5.57,R
536,536.,Guy Bush (17),5.57,R
537,536.,Jesse Petty (7),5.57,L
538,536.,Rip Sewell (13),5.57,R
539,540.,Bob Locker (10),5.56,R
540,540.,Matt Morris (11),5.56,R
541,540.,Sherry Smith (14),5.56,L
542,543.,Eric Plunk (14),5.55,R
543,544.,Howie Camnitz (11),5.54,R
544,544.,Chuck Taylor (8),5.54,R
545,546.,Jim Corsi (10),5.52,R
546,546.,Tim Wakefield (19),5.52,R
547,548.,Andy Benes (14),5.48,R
548,548.,Vic Raschi (10),5.48,R
549,548.,Mike Smith (14),5.48,L
550,551.,"Cody Allen (8, 31)",5.47,R
551,552.,Greg McMichael (8),5.46,R
552,552.,Bill Swift (11),5.46,R
553,554.,Todd Jones (16),5.45,R
554,554.,Rick Rhoden (16),5.45,R
555,556.,Luis Ayala (9),5.44,R
556,556.,Johnny Podres (15),5.44,L
557,558.,Jim Barr (12),5.43,R
558,559.,Clem Labine (13),5.41,R
559,559.,"Pedro Strop (12, 35)",5.41,R
560,561.,Jim Brewer (17),5.40,L
561,562.,"Carlos Martinez (8, 28)",5.39,R
562,562.,"Adam Ottavino (10, 34)",5.39,R
563,564.,Harry Coveleski (9),5.38,L
564,565.,Chris Bosio (11),5.37,R
565,565.,Britt Burns (8),5.37,L
566,565.,Howard Ehmke (15),5.37,R
567,565.,"Raisel Iglesias (6, 30)",5.37,R
568,565.,Curt Leskanic (11),5.37,R
569,570.,Eric Gagne (10),5.36,R
570,570.,Al Holland (10),5.36,L
571,572.,Ken Holtzman (15),5.35,L
572,573.,Lew Richie (8),5.33,R
573,574.,Bobby Mathews (15),5.32,R
574,575.,Brad Lidge (11),5.31,R
575,576.,Santiago Casilla (15),5.29,R
576,577.,Darold Knowles (16),5.28,L
577,578.,Sam Gray (10),5.26,R
578,579.,"Luis Severino (5, 26)",5.25,R
579,580.,Scott Linebrink (12),5.24,R
580,581.,Denny Galehouse (15),5.23,R
581,581.,Ed Killian (8),5.23,L
582,583.,Pascual Perez (11),5.22,R
583,584.,Lady Baldwin (6),5.21,L
584,584.,"Alex Colome (8, 31)",5.21,R
585,584.,"Noah Syndergaard (5, 27)",5.21,R
586,587.,Camilo Pascual (18),5.20,R
587,587.,"Blake Treinen (7, 32)",5.20,R
588,587.,Fernando Valenzuela (17),5.20,L
589,590.,Rob Dibble (7),5.16,R
590,591.,"Ken Giles (7, 29)",5.14,R
591,591.,Stan Williams (14),5.14,R
592,593.,Doug Corbett (8),5.12,R
593,593.,Chris Short (15),5.12,L
594,595.,Sam Jones (12),5.10,R
595,596.,Joe Beggs (9),5.09,R
596,597.,Jack Harshman (10),5.07,L
597,597.,Ed Siever (7),5.07,L
598,599.,Doug Fister (10),5.06,R
599,600.,Jonathan Broxton (13),5.05,R
600,601.,Carmen Hill (10),5.01,R
601,602.,Bill Campbell (15),4.99,R
602,602.,Justin Thompson (5),4.99,L
603,604.,Terry Leach (11),4.98,R
604,604.,Jim Whitney (10),4.98,R
605,606.,"Sean Doolittle (9, 33)",4.97,L
606,607.,Chad Cordero (7),4.95,R
607,607.,Jay Hughes (4),4.95,R
608,607.,Hisashi Iwakuma (6),4.95,R
609,610.,Johnny Schmitz (13),4.94,L
610,611.,Mike Gonzalez (11),4.92,L
611,612.,Jim Kern (13),4.90,R
612,613.,Brendan Donnelly (9),4.89,R
613,613.,Carlos Marmol (9),4.89,R
614,613.,Rube Marquard+ (18),4.89,L
615,616.,Jeff Russell (14),4.86,R
616,617.,Vic Aldridge (9),4.83,R
617,618.,John Denny (13),4.79,R
618,618.,LaTroy Hawkins (21),4.79,R
619,618.,Rick Reed (15),4.79,R
620,621.,"Kyle Freeland (4, 27)",4.77,L
621,622.,"Luis Castillo (4, 27)",4.75,R
622,623.,Grant Balfour (12),4.74,R
623,623.,Matt Guerrier (11),4.74,R
624,623.,Geoff Zahn (13),4.74,L
625,626.,Jim Brosnan (9),4.73,R
626,626.,"German Marquez (5, 25)",4.73,R
627,628.,Ken Sanders (10),4.72,R
628,629.,Dick Donovan (15),4.70,R
629,630.,Leon Cadore (10),4.69,R
630,630.,Roger McDowell (12),4.69,R
631,630.,Steve Mingori (10),4.69,L
