,Rank,"Player (yrs, age)",Def. Games as 1B,Throws
370,371.,Ray Knight (13),339,R
371,372.,"Jesus Aguilar (7, 30)",338,R
372,372.,"Wil Myers (8, 29)",338,R
373,372.,Randall Simon (8),338,L
374,375.,Everett Mills (6),336,
375,375.,Ty Wigginton (12),336,R
376,377.,Billy O'Brien (5),335,R
377,378.,Frank Howard (16),334,R
378,378.,John Kerins (7),334,R
379,380.,Nippy Jones (8),333,R
380,381.,Fred Beck (5),332,L
381,381.,Willie Clark (5),332,L
382,383.,Hughie Jennings+ (18),331,R
383,384.,Jim Field (5),330,
384,384.,Bob Horner (10),330,R
385,384.,Harry Taylor (4),330,
386,387.,Travis Ishikawa (8),327,L
387,387.,Earl Williams (8),327,R
388,389.,Les Fleming (7),325,L
389,390.,Guy Hecker (9),322,R
390,391.,"Matt Carpenter (10, 34)",319,R
391,391.,Carmelo Martinez (9),319,R
392,393.,Dave Stapleton (7),318,R
393,394.,Don Kolloway (12),314,R
394,395.,Robert Fick (10),313,R
395,396.,Pop Dillon (5),311,R
396,396.,Bert Haas (9),311,R
397,398.,George Decker (8),309,L
398,398.,Jim Hickman (13),309,R
399,398.,Harry Swacina (4),309,R
