,Rank,"Player (yrs, age)",Complete Games,Throws
92,70.,"James Paxton (8, 31)",2,L
93,70.,"Yusmeiro Petit (13, 35)",2,R
94,70.,"Jose Quintana (9, 31)",2,L
95,70.,"Chris Rusin (9, 33)",2,L
96,70.,"Stephen Strasburg (11, 31)",2,R
97,98.,"Cody Anderson (3, 29)",1,R
98,98.,"Tyler Anderson (5, 30)",1,L
99,98.,"Matt Andriese (6, 30)",1,R
100,98.,"Anthony Bass (9, 32)",1,R
101,98.,"Lisalverto Bonilla (2, 30)",1,R
102,98.,"Steven Brault (5, 28)",1,L
103,98.,"Luis Castillo (4, 27)",1,R
104,98.,"Aaron Civale (2, 25)",1,R
105,98.,"Anthony DeSclafani (6, 30)",1,R
106,98.,"Ross Detwiler (12, 34)",1,L
107,98.,"Danny Duffy (10, 31)",1,L
108,98.,"Roenis Elias (6, 31)",1,L
109,98.,"Neftali Feliz (9, 32)",1,R
110,98.,"Brandon Finnegan (5, 27)",1,L
111,98.,"Max Fried (4, 26)",1,L
112,98.,"Kevin Gausman (8, 29)",1,R
113,98.,"Chi Chi Gonzalez (4, 28)",1,R
114,98.,"Jon Gray (6, 28)",1,R
115,98.,"Robert Gsellman (5, 26)",1,R
116,98.,"Jesse Hahn (6, 30)",1,R
117,98.,"Matt Harvey (8, 31)",1,R
118,98.,"Andrew Heaney (7, 29)",1,L
119,98.,"Liam Hendriks (10, 31)",1,R
120,98.,"Jakob Junis (4, 27)",1,R
121,98.,"Ariel Jurado (3, 24)",1,R
122,98.,"Yusei Kikuchi (2, 29)",1,L
123,98.,"Reynaldo Lopez (5, 26)",1,R
124,98.,"Jordan Lyles (10, 29)",1,R
125,98.,"Sean Manaea (5, 28)",1,L
126,98.,"German Marquez (5, 25)",1,R
127,98.,"Tyler Matzek (3, 29)",1,L
128,98.,"Steven Matz (6, 29)",1,L
129,98.,"Lance McCullers Jr. (5, 26)",1,R
130,98.,"Collin McHugh (8, 33)",1,R
131,98.,"Alec Mills (4, 28)",1,R
132,98.,"Sergio Mitre (8, 39)",1,R
133,98.,"Jimmy Nelson (6, 31)",1,R
134,98.,"Luis Perdomo (5, 27)",1,R
135,98.,"David Phelps (8, 33)",1,R
136,98.,"Michael Pineda (7, 31)",1,R
137,98.,"Nick Pivetta (4, 27)",1,R
138,98.,"Zach Plesac (2, 25)",1,R
139,98.,"Robbie Ray (7, 28)",1,L
140,98.,"Tanner Roark (8, 33)",1,R
141,98.,"Carlos Rodon (6, 27)",1,L
142,98.,"Jonathan Sanchez (8, 37)",1,L
143,98.,"Sixto Sanchez (1, 21)",1,R
144,98.,"Antonio Senzatela (4, 25)",1,R
145,98.,"Luis Severino (5, 26)",1,R
146,98.,"Matt Shoemaker (8, 33)",1,R
147,98.,"Drew Smyly (7, 31)",1,L
148,98.,"Glenn Sparkman (4, 28)",1,R
149,98.,"Craig Stammen (11, 36)",1,R
150,98.,"Chris Stratton (5, 29)",1,R
151,98.,"Jose Urena (6, 28)",1,R
152,98.,"Vince Velasquez (6, 28)",1,R
153,98.,"Austin Voth (3, 28)",1,R
154,98.,"Michael Wacha (8, 28)",1,R
155,98.,"Zack Wheeler (6, 30)",1,R
156,98.,"Trevor Williams (5, 28)",1,R
157,98.,"Alex Wood (8, 29)",1,L
158,98.,"Brandon Woodruff (4, 27)",1,R
