,Year,Tms,#Fld,R/G,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,RF/9,PB,WP,SB,CS,CS%,PO
13,2007,16,710,4.71,2594,9.00,6.69,80.2,37.61,26.89,10.10,0.62,0.94,.983,20.3,0.07,0.29,0.60,0.20,24.6%,0.07
14,2006,16,692,4.76,2590,9.00,6.78,80.40,37.71,26.80,10.26,0.65,0.93,.983,20.3,0.06,0.30,0.59,0.23,27.7%,0.07
15,2005,16,676,4.45,2594,9.00,6.81,79.98,37.63,26.66,10.35,0.63,0.95,.983,20.4,0.06,0.29,0.52,0.21,29.0%,0.08
16,2004,16,666,4.64,2590,9.00,6.78,80.1,37.86,26.81,10.41,0.64,0.92,.983,20.3,0.06,0.29,0.54,0.21,28.0%,0.06
17,2003,16,673,4.61,2590,9.00,6.76,80.31,37.98,26.77,10.56,0.65,0.94,.983,20.4,0.06,0.33,0.50,0.23,31.0%,0.07
18,2002,16,647,4.45,2588,9.00,6.64,80.35,37.86,26.78,10.41,0.67,0.96,.982,20.2,0.07,0.28,0.58,0.27,31.7%,0.07
19,2001,16,678,4.70,2592,9.00,6.68,80.12,37.53,26.71,10.14,0.68,0.90,.982,20.0,0.07,0.29,0.56,0.28,33.3%,0.09
20,2000,16,695,5.00,2593,9.00,6.57,80.19,37.63,26.73,10.18,0.72,0.94,.981,20.3,0.07,0.32,0.61,0.29,31.8%,0.09
21,1999,16,643,5.00,2591,9.00,6.47,80.36,37.72,26.79,10.19,0.74,0.92,.980,20.3,0.07,0.34,0.76,0.31,29.1%,0.10
22,1998,16,647,4.60,2596,9.00,6.59,80.57,38.17,26.86,10.60,0.71,0.93,.981,20.2,0.07,0.32,0.63,0.29,31.5%,0.07
23,1997,14,587,4.60,2268,9.00,6.57,80.38,38.20,26.79,10.67,0.74,0.91,.981,20.1,0.07,0.31,0.78,0.36,31.7%,0.10
24,1996,14,581,4.68,2268,9.00,6.66,80.51,38.32,26.84,10.69,0.79,0.91,.979,20.2,0.07,0.34,0.79,0.31,28.4%,0.08
25,1995,14,585,4.63,2014,9.00,6.74,80.69,38.52,26.90,10.86,0.76,0.92,.980,20.4,0.08,0.34,0.80,0.33,29.5%,0.11
26,1994,14,497,4.62,1606,9.00,6.77,80.45,38.36,26.82,10.79,0.75,0.92,.980,20.6,0.09,0.34,0.71,0.33,31.7%,0.11
27,1993,14,564,4.49,2270,9.00,6.73,80.42,38.40,26.81,10.77,0.83,0.89,.978,21.1,0.09,0.33,0.76,0.35,31.5%,0.06
28,1992,12,481,3.88,1944,9.00,6.58,81.02,38.56,27.01,10.84,0.72,0.83,.981,21.2,0.07,0.29,0.80,0.38,32.2%,0.06
29,1991,12,472,4.10,1940,9.00,6.48,80.2,38.43,26.89,10.77,0.78,0.79,.980,21.1,0.08,0.32,0.85,0.42,32.9%,0.05
30,1990,12,487,4.20,1944,9.00,6.67,80.47,38.07,26.82,10.47,0.78,0.80,.980,21.2,0.09,0.30,0.92,0.37,28.9%,0.11
31,1989,12,463,3.94,1946,9.00,6.66,81.09,38.47,27.03,10.61,0.83,0.80,.978,21.2,0.07,0.30,0.79,0.37,31.9%,0.11
32,1988,12,452,3.88,1938,9.00,6.82,81.18,38.84,27.06,10.96,0.81,0.83,.979,21.3,0.08,0.28,0.92,0.38,28.9%,0.10
33,1987,12,469,4.52,1942,9.00,6.61,80.54,38.63,26.85,10.97,0.81,0.90,.979,21.0,0.08,0.29,0.95,0.39,29.0%,0.08
34,1986,12,451,4.18,1938,9.00,6.40,81.13,38.98,27.04,11.07,0.86,0.90,.978,21.0,0.08,0.29,0.95,0.44,31.8%,0.07
35,1985,12,437,4.07,1942,9.00,6.75,80.98,39.07,26.99,11.24,0.83,0.92,.979,21.5,0.08,0.26,0.84,0.37,30.4%,0.08
36,1984,12,444,4.06,1942,9.00,6.65,80.75,38.88,26.92,11.10,0.86,0.89,.978,21.4,0.09,0.26,0.89,0.40,30.9%,0.08
37,1983,12,455,4.10,1948,9.00,6.69,80.2,38.85,26.89,11.10,0.86,0.90,.978,21.5,0.09,0.26,0.92,0.45,32.8%,0.11
38,1982,12,433,4.09,1944,9.00,6.81,81.22,39.40,27.07,11.46,0.87,0.87,.978,21.7,0.08,0.26,0.92,0.42,31.6%,0.12
39,1981,12,420,3.91,1288,9.00,6.81,81.30,39.60,27.10,11.61,0.88,0.91,.978,22.1,0.06,0.28,0.86,0.42,32.9%,0.12
40,1980,12,425,4.03,1946,9.00,6.77,81.07,39.37,27.02,11.48,0.87,0.90,.978,21.9,0.06,0.23,0.95,0.43,31.2%,0.11
41,1979,12,413,4.22,1942,9.00,6.92,80.2,38.86,26.92,11.08,0.86,0.92,.978,21.9,0.08,0.25,0.77,0.39,34.0%,0.09
42,1978,12,423,3.99,1942,9.00,6.69,80.1,38.70,26.78,11.06,0.87,0.87,.978,21.9,0.08,0.26,0.79,0.37,32.1%,0.12
43,1977,12,416,4.40,1944,9.00,6.75,81.09,39.15,27.03,11.23,0.89,0.90,.977,21.6,0.09,0.28,0.80,0.43,35.2%,0.11
44,1976,12,418,3.98,1944,9.00,7.07,80.82,39.08,26.94,11.24,0.90,0.93,.977,22.0,0.09,0.29,0.70,0.35,33.2%,0.09
45,1975,12,417,4.13,1942,9.00,7.00,80.87,39.14,26.96,11.23,0.96,0.95,.976,21.9,0.11,0.31,0.61,0.29,32.1%,0.09
46,1974,12,446,4.15,1944,9.00,6.82,80.99,39.16,27.00,11.22,0.95,0.94,.976,21.9,0.09,0.31,0.65,0.32,33.2%,0.09
47,1973,12,423,4.15,1942,9.00,7.03,81.02,38.99,27.01,11.08,0.90,0.94,.977,21.6,0.10,0.30,0.50,0.28,36.1%,0.08
48,1972,12,419,3.91,1860,9.00,7.23,81.27,38.92,27.09,10.96,0.87,0.92,.978,21.4,0.09,0.32,0.51,0.30,37.2%,0.08
49,1971,12,419,3.91,1944,9.00,7.07,80.91,38.89,26.97,11.10,0.83,0.97,.979,21.6,0.11,0.30,0.46,0.25,35.3%,0.08
50,1970,12,432,4.52,1942,9.00,6.98,80.69,38.61,26.90,10.83,0.87,0.95,.977,21.1,0.10,0.33,0.54,0.27,33.0%,0.08
51,1969,12,422,4.05,1946,9.00,7.17,80.41,38.59,26.80,10.88,0.90,0.91,.977,21.0,0.11,0.33,0.42,0.28,40.0%,0.08
52,1968,10,330,3.43,1626,9.00,7.33,81.26,39.14,27.09,11.20,0.85,0.88,.978,21.2,0.09,0.31,0.43,0.28,39.4%,0.08
53,1967,10,363,3.84,1620,9.00,7.19,81.02,39.00,27.00,11.13,0.87,0.90,.978,21.2,0.11,0.30,0.43,0.29,40.5%,0.08
54,1966,10,357,4.09,1618,9.00,6.99,80.94,39.00,26.98,11.11,0.91,0.92,.977,21.2,0.11,0.33,0.46,0.31,40.1%,0.08
55,1965,10,347,4.03,1626,9.00,7.01,81.05,39.01,27.02,11.08,0.91,0.92,.977,21.1,0.12,0.34,0.46,0.26,36.4%,0.09
56,1964,10,352,4.01,1624,9.00,7.13,80.49,38.85,26.83,11.04,0.98,0.89,.975,21.3,0.11,0.30,0.39,0.26,39.6%,0.07
57,1963,10,351,3.81,1622,9.00,7.04,80.75,38.79,26.92,10.90,0.97,0.88,.975,21.1,0.11,0.30,0.42,0.30,41.8%,0.07
58,1962,10,345,4.48,1624,9.00,7.00,80.30,38.71,26.77,10.98,0.96,0.98,.975,21.4,0.13,0.34,0.49,0.25,34.2%,0.09
59,1961,8,273,4.52,1238,9.00,7.05,80.16,38.75,26.72,11.09,0.94,1.03,.976,21.6,0.13,0.29,0.38,0.23,38.2%,0.09
60,1960,8,295,4.24,1238,9.00,7.02,80.84,38.66,26.95,10.80,0.91,0.91,.977,21.5,0.08,0.25,0.40,0.27,40.3%,0.08
61,1959,8,289,4.40,1240,9.00,7.06,80.18,38.42,26.73,10.80,0.90,0.94,.977,21.7,0.07,0.23,0.35,0.22,37.9%,0.08
62,1958,8,304,4.40,1232,9.00,7.15,80.54,38.64,26.85,10.91,0.88,1.04,.977,21.9,0.07,0.23,0.31,0.20,38.6%,0.06
63,1957,8,284,4.38,1238,9.00,7.28,81.55,38.88,27.18,10.81,0.89,0.97,.977,22.1,0.08,0.19,0.32,0.21,39.7%,0.07
64,1956,8,271,4.25,1242,9.00,7.36,80.17,38.34,26.72,10.74,0.87,0.96,.977,22.4,0.07,0.19,0.30,0.20,40.1%,0.07
65,1955,8,283,4.53,1232,9.00,7.53,80.24,38.59,26.75,10.92,0.92,1.00,.976,22.6,0.10,0.19,0.29,0.24,45.8%,0.07
66,1954,8,264,4.56,1232,8.99,7.56,80.52,38.93,26.84,11.15,0.94,1.04,.976,22.8,0.06,0.18,0.27,0.21,43.5%,0.07
67,1953,8,257,4.75,1244,9.00,7.54,79.38,38.29,26.46,10.89,0.95,1.01,.975,22.6,0.08,0.17,0.27,0.18,39.9%,0.07
68,1952,8,276,4.17,1236,9.00,7.62,80.30,38.78,26.77,11.09,0.93,0.99,.976,22.7,0.08,0.16,0.32,0.26,44.4%,0.07
69,1951,8,270,4.46,1244,9.00,7.60,80.70,39.12,26.89,11.26,0.96,1.07,.975,23.2,0.07,0.20,0.36,0.26,41.5%,0.08
70,1950,8,263,4.66,1236,9.00,7.64,80.17,38.98,26.71,11.29,0.97,1.05,.975,22.9,0.07,0.18,0.30,0.19,38.1%,0.06
71,1949,8,264,4.54,1244,9.00,7.56,80.29,38.83,26.76,11.11,0.96,0.98,.975,23.3,0.09,0.16,0.30,0.22,43.1%,0.07
72,1948,8,280,4.43,1238,9.00,7.53,79.65,38.50,26.52,10.96,1.01,0.90,.974,23.1,0.08,0.16,0.36,0.24,39.9%,0.06
73,1947,8,280,4.57,1240,9.00,7.60,79.60,38.57,26.53,11.11,0.93,0.94,.976,23.3,0.08,0.17,0.29,0.23,44.2%,0.07
74,1946,8,320,3.96,1242,9.00,7.53,80.1,39.15,26.78,11.36,1.01,0.93,.974,23.4,0.07,0.14,0.38,0.30,43.4%,0.07
75,1945,8,284,4.46,1236,9.00,7.74,80.38,39.43,26.78,11.51,1.14,0.91,.971,23.8,0.06,0.15,0.42,0.28,39.9%,0.06
76,1944,8,289,4.25,1246,9.00,7.68,80.58,39.56,26.84,11.63,1.09,0.90,.972,23.8,0.06,0.14,0.31,0.23,42.5%,0.06
77,1943,8,267,3.94,1242,9.00,7.87,80.98,39.94,26.97,11.91,1.06,0.99,.974,23.7,0.06,0.14,0.31,0.24,43.7%,0.06
78,1942,8,261,3.90,1226,9.00,7.74,80.88,39.57,26.95,11.55,1.06,0.92,.973,23.6,0.06,0.15,0.35,0.29,45.6%,0.05
79,1941,8,279,4.23,1244,9.00,7.71,80.40,39.56,26.81,11.63,1.12,0.93,.972,23.4,0.06,0.17,0.33,0.28,46.3%,0.04
80,1940,8,267,4.39,1234,9.00,7.70,80.91,39.89,26.96,11.79,1.13,0.93,.972,23.5,0.06,0.15,0.38,0.31,44.7%,0.06
81,1939,8,273,4.44,1232,9.00,7.73,79.98,39.48,26.65,11.71,1.12,0.98,.972,23.5,0.08,0.16,0.30,0.25,45.5%,0.06
82,1938,8,251,4.42,1220,9.00,7.85,80.51,39.77,26.80,11.85,1.12,0.95,.972,23.6,0.07,0.15,0.29,0.24,44.9%,0.06
83,1937,8,248,4.51,1234,8.99,7.90,79.90,39.64,26.61,11.88,1.15,0.89,.971,23.3,0.07,0.16,0.37,0.32,46.4%,0.06
84,1936,8,242,4.71,1240,9.00,7.77,80.64,39.81,26.86,11.73,1.22,0.92,.969,23.6,0.05,0.19,0.32,0.28,46.5%,0.07
85,1935,8,245,4.71,1234,9.00,7.94,79.99,39.38,26.66,11.48,1.24,0.85,.968,23.7,0.07,0.17,0.33,0.26,43.9%,0.06
86,1934,8,236,4.68,1216,9.00,7.86,79.98,39.50,26.65,11.74,1.11,0.88,.972,23.5,0.07,0.16,0.30,0.24,44.1%,0.06
87,1933,8,229,3.97,1236,9.00,7.97,80.13,39.69,26.69,11.91,1.09,0.92,.973,24.1,0.06,0.17,0.33,0.28,45.8%,0.06
88,1932,8,241,4.60,1236,9.00,7.90,80.98,40.03,26.99,11.88,1.16,0.93,.971,23.9,0.07,0.15,0.36,0.29,44.5%,0.08
89,1931,8,242,4.48,1236,9.00,7.96,79.83,39.48,26.59,11.75,1.14,1.00,.971,23.8,0.06,0.15,0.37,0.31,45.7%,0.06
90,1930,8,236,5.68,1236,9.00,7.90,79.73,39.93,26.58,12.15,1.20,1.07,.970,23.8,0.07,0.16,0.39,0.30,43.9%,0.07
91,1929,8,258,5.36,1232,9.00,7.96,79.90,40.04,26.61,12.28,1.15,0.96,.971,24.1,0.06,0.13,0.56,0.41,42.1%,0.09
92,1928,8,245,4.70,1228,9.00,7.89,80.75,40.50,26.90,12.42,1.18,1.00,.971,24.2,0.06,0.12,0.46,0.37,44.6%,0.07
93,1927,8,252,4.58,1234,9.00,7.94,80.28,40.40,26.74,12.38,1.27,0.95,.969,24.1,0.07,0.13,0.53,0.34,39.0%,0.12
94,1926,8,258,4.54,1236,9.00,7.76,79.86,40.68,26.61,12.76,1.30,0.96,.968,24.2,0.09,0.12,0.49,0.38,43.6%,0.10
95,1925,8,258,5.06,1224,9.00,7.90,79.83,40.56,26.60,12.59,1.36,0.98,.966,24.2,0.07,0.14,0.55,0.43,43.8%,0.12
96,1924,8,253,4.54,1228,9.00,7.93,80.57,41.10,26.85,13.00,1.25,0.99,.970,24.2,0.07,0.13,0.62,0.54,46.7%,0.15
97,1923,8,253,4.85,1234,9.00,7.94,80.78,41.15,26.88,12.87,1.41,0.97,.966,24.2,0.08,0.15,0.67,0.53,44.4%,0.11
98,1922,8,242,5.00,1240,9.00,7.99,80.09,40.81,26.68,12.78,1.35,0.89,.967,24.3,0.07,0.16,0.61,0.51,45.7%,0.11
99,1921,8,242,4.59,1226,9.00,7.97,80.62,41.50,26.84,13.30,1.36,0.88,.967,24.2,0.07,0.15,0.65,0.63,49.1%,0.14
100,1920,8,234,3.97,1234,9.00,8.08,81.87,42.30,27.28,13.58,1.44,0.82,.966,24.1,0.09,0.16,0.79,0.67,46.1%,0.16
101,1919,8,232,3.65,1116,9.00,8.16,81.17,42.09,27.01,13.67,1.41,0.71,.966,24.1,0.09,0.16,1.04,0.83,44.3%,0.14
102,1918,8,241,3.62,1016,9.00,8.26,81.25,42.35,27.05,13.80,1.50,0.78,.965,24.2,0.09,0.14,1.01,0.79,43.8%,0.14
103,1917,8,240,3.53,1250,9.00,8.00,81.17,41.76,26.98,13.28,1.50,0.78,.964,23.4,0.11,0.16,0.92,0.71,43.6%,
104,1916,8,250,3.45,1244,9.00,7.89,81.19,41.59,26.99,13.04,1.56,0.72,.963,23.1,0.13,0.20,1.07,0.83,43.6%,
105,1915,8,231,3.62,1248,9.00,7.98,80.53,40.99,26.79,12.71,1.49,0.71,.964,23.2,0.10,0.17,0.96,0.81,45.7%,
106,1914,8,252,3.84,1250,9.00,7.83,80.39,41.47,26.76,12.98,1.73,0.69,.958,23.2,0.13,0.20,1.15,0.92,44.4%,
107,1913,8,277,4.15,1240,9.00,7.85,80.2,41.22,26.86,12.80,1.56,0.68,.962,23.3,0.09,0.19,1.27,1.00,44.0%,
108,1912,8,277,4.62,1226,9.00,8.05,80.36,41.02,26.68,12.70,1.63,0.74,.960,23.2,0.10,0.21,1.29,1.02,44.2%,
109,1911,8,258,4.42,1246,9.00,8.10,80.22,41.05,26.65,12.69,1.71,0.71,.958,23.1,0.10,0.18,1.38,1.08,44.0%,
110,1910,8,246,4.03,1242,9.00,8.16,80.38,41.32,26.73,12.89,1.70,0.75,.959,23.4,0.12,0.20,1.28,1.02,44.4%,
111,1909,8,249,3.66,1242,9.00,8.31,81.05,41.51,26.92,12.76,1.83,0.63,.956,23.4,0.09,0.22,1.23,1.01,45.3%,
112,1908,8,215,3.32,1244,9.00,8.37,80.78,41.48,26.71,13.15,1.63,0.48,.961,23.6,0.10,0.16,1.11,0.93,45.7%,
113,1907,8,209,3.40,1232,9.00,8.51,79.03,40.81,26.25,12.90,1.66,0.66,.959,23.5,0.12,0.17,1.12,0.93,45.4%,
114,1906,8,207,3.57,1230,8.98,8.53,79.1,41.01,26.34,12.98,1.69,0.60,.959,23.2,0.14,0.18,1.19,0.98,45.2%,
115,1905,8,188,4.11,1240,9.00,8.61,79.85,41.66,26.52,13.25,1.90,0.64,.954,23.3,0.16,0.22,1.29,1.06,45.0%,
116,1904,8,197,3.91,1246,8.98,8.65,78.84,41.37,26.18,13.11,2.08,0.57,.950,23.5,0.13,0.20,1.26,1.08,46.0%,
117,1903,8,198,4.78,1120,9.00,,79.22,41.68,26.34,13.08,2.26,0.65,.946,23.6,0.14,0.23,1.40,1.15,45.2%,
118,1902,8,227,3.98,1128,8.98,,79.74,41.66,26.55,12.99,2.12,0.69,.949,23.5,0.14,0.18,1.21,0.98,44.6%,
119,1901,8,199,4.63,1122,9.00,,80.03,41.60,26.64,12.77,2.19,0.65,.947,23.2,0.20,0.22,1.25,1.00,44.5%,
120,1900,8,188,5.21,1138,,,78.41,42.00,26.11,13.46,2.42,0.73,.942,24.6,0.29,0.19,1.48,1.19,44.5%,
121,1899,12,310,5.24,1846,,,77.46,41.29,25.77,13.10,2.41,0.76,.942,24.8,0.17,0.20,1.44,1.15,44.3%,
122,1898,12,298,4.96,1842,,,77.95,41.07,25.95,12.74,2.38,0.74,.942,24.6,0.19,0.21,1.12,0.90,44.5%,
123,1897,12,263,5.88,1622,,,77.70,40.88,25.86,12.54,2.48,0.68,.939,24.6,0.20,0.25,1.67,0.97,36.8%,
124,1896,12,271,6.04,1584,,,78.19,41.32,26.02,12.73,2.58,0.78,.938,24.7,0.22,0.26,1.93,1.14,37.2%,
125,1895,12,284,6.58,1598,,,77.2,41.35,25.88,12.58,2.89,0.75,.930,24.6,0.25,0.25,1.81,1.06,36.9%,
126,1894,12,264,7.38,1598,,,77.90,41.33,25.93,12.37,3.04,0.81,.927,24.8,0.26,0.31,1.97,1.15,36.9%,
127,1893,12,260,6.57,1570,,,79.48,42.55,26.46,13.16,2.92,0.81,.931,24.8,0.34,0.33,1.75,1.03,37.0%,
128,1892,12,265,5.10,1842,,,78.70,42.10,26.20,12.88,3.03,0.73,.928,23.7,0.41,0.33,1.74,1.02,37.0%,
129,1891,8,173,5.54,1104,,,79.57,42.34,26.49,12.79,3.06,0.69,.928,23.6,0.40,0.40,1.82,1.06,36.8%,
130,1890,8,180,5.58,1078,,,79.25,41.70,26.24,12.45,3.02,0.73,.928,23.5,0.48,0.47,2.10,1.23,36.9%,
131,1889,8,159,5.84,1062,,,78.86,42.36,26.35,12.75,3.26,0.73,.923,23.6,0.50,0.40,0.00,0.00,,
132,1888,8,172,4.54,1088,,,79.05,41.92,26.19,12.43,3.30,0.62,.921,23.2,0.67,0.47,0.00,0.00,,
133,1887,8,160,6.09,1016,,,78.61,42.43,26.04,12.77,3.62,0.69,.915,24.1,0.80,0.54,0.00,0.00,,
134,1886,8,157,5.24,990,,,77.48,41.59,25.75,12.35,3.49,0.59,.916,22.4,0.98,0.70,0.00,0.00,,
135,1885,8,172,4.95,890,,,78.91,42.98,26.26,12.75,3.97,0.64,.908,23.2,0.87,0.61,0.00,0.00,,
136,1884,8,166,5.50,914,,,79.23,43.00,26.36,12.32,4.32,0.60,.899,22.2,1.05,0.67,0.00,0.00,,
137,1883,8,130,5.78,790,,,79.25,43.77,26.38,12.60,4.79,0.66,.891,23.3,1.15,0.51,0.00,0.00,,
138,1882,8,121,5.41,676,,,80.45,43.68,26.68,12.52,4.48,0.67,.897,23.8,1.01,0.46,0.00,0.00,,
139,1881,8,120,5.10,672,,,80.20,43.70,26.72,12.84,4.14,0.73,.905,24.3,0.99,0.51,0.00,0.00,,
140,1880,8,127,4.69,680,,,79.83,43.81,26.64,12.83,4.34,0.60,.901,24.0,1.11,0.43,0.00,0.00,,
141,1879,8,119,5.31,642,,,81.27,45.21,27.11,13.24,4.87,0.60,.892,24.1,1.21,0.57,0.00,0.00,,
142,1878,6,77,5.17,368,,,81.29,45.27,27.04,13.39,4.83,0.63,.893,24.1,1.20,0.64,0.00,0.00,,
143,1877,6,92,5.67,360,,,81.03,44.56,27.03,12.37,5.16,0.58,.884,25.0,1.00,0.56,0.00,0.00,,
144,1876,8,121,5.90,520,,,82.03,44.89,27.37,11.52,6.01,0.53,.866,25.9,0.87,0.36,0.00,0.00,,
