,Year,Tms,G,Time,Time/9I,Inn,Inn%,R/G,PA/G,Pitches/PA,Batters/G,Pitchers/G,PH/G,PR/G,Batters/S,Pitchers/S,Attendance,Attend/G,Lg Payroll*,Payroll/Tm*
40,1980,12,973,2:37,2:31,104,10.69,8.07,76.1,,10.6,2.77,1.58,0.27,23.3,15.3,"21,124,084","21,710",,
41,1979,12,971,2:35,2:30,96,9.89,8.43,76.3,,10.4,2.73,1.47,0.27,22.6,15.9,"21,178,419","21,810",,
42,1978,12,971,2:29,2:25,94,9.68,7.97,75.5,,10.6,2.62,1.46,0.31,24.2,15.4,"20,106,921","20,707",,
43,1977,12,972,2:30,2:24,105,10.80,8.80,77.0,,10.6,2.78,1.63,0.25,23.3,15.8,"19,070,228","19,619",,
44,1976,12,972,2:24,2:20,87,8.95,7.96,76.1,,10.4,2.60,1.53,0.27,23.8,14.9,"16,660,529","17,140",,
45,1975,12,971,2:26,2:22,101,10.40,8.25,77.1,,10.5,2.60,1.59,0.27,23.7,15.4,"16,600,490","17,096",,
46,1974,12,972,2:29,2:24,101,10.39,8.30,77.1,,10.6,2.64,1.57,0.33,24.3,15.8,"16,978,314","17,467",,
47,1973,12,971,2:27,2:23,102,10.50,8.30,76.6,,10.3,2.58,1.47,0.26,25.1,15.2,"16,675,322","17,173",,
48,1972,12,930,2:26,2:21,97,10.43,7.81,76.1,,10.1,2.44,1.28,0.24,23.3,15.0,"15,529,730","16,698",,
49,1971,12,972,2:27,2:22,94,9.67,7.82,75.9,,10.2,2.43,1.34,0.24,23.5,15.1,"17,324,857","17,823",,
50,1970,12,971,2:34,2:30,94,9.68,9.03,77.3,,10.4,2.58,1.45,0.26,23.5,16.9,"16,662,198","17,159",,
51,1969,12,973,2:30,2:27,85,8.74,8.11,76.0,,10.2,2.49,1.36,0.26,23.5,16.6,"15,094,946","15,513",,
52,1968,10,813,2:32,2:27,81,9.96,6.86,74.7,,9.9,2.38,1.23,0.21,23.5,14.6,"11,785,358","14,496",,
53,1967,10,810,2:36,2:31,93,11.48,7.68,75.5,,10.2,2.57,1.44,0.22,24.6,17.6,"12,971,430","16,014",,
54,1966,10,809,2:36,2:31,86,10.63,8.19,75.7,,10.3,2.64,1.48,0.26,23.7,17.7,"15,015,471","18,560",,
55,1965,10,813,2:37,2:32,89,10.95,8.07,75.8,,10.4,2.58,1.52,0.27,24.2,15.7,"13,581,136","16,704",,
56,1964,10,812,2:33,2:29,58,7.14,8.03,75.3,,10.2,2.53,1.39,0.24,23.3,17.2,"12,045,190","14,833",,
57,1963,10,811,2:31,2:26,84,10.36,7.62,75.0,,10.2,2.45,1.36,0.28,25.0,14.6,"11,382,227","14,034",,
58,1962,10,812,2:42,2:38,64,7.88,8.96,76.5,,10.4,2.50,1.45,0.33,24.4,15.4,"11,360,159","13,990",,
59,1961,8,619,2:40,2:37,57,9.21,9.05,76.4,,10.4,2.46,1.49,0.27,26.6,13.5,"8,731,502","14,105",,
60,1960,8,619,2:37,2:32,71,11.47,8.48,76.3,,10.6,2.40,1.54,0.32,26.5,15.5,"10,684,963","17,261",,
61,1959,8,620,2:34,2:31,58,9.35,8.81,76.4,,10.5,2.40,1.50,0.32,24.6,16.5,"9,994,525","16,120",,
62,1958,8,616,2:32,2:28,62,10.06,8.80,76.8,,10.5,2.53,1.55,0.29,25.9,17.8,"10,164,596","16,500",,
63,1957,8,619,2:33,2:27,82,13.25,8.77,77.4,,10.4,2.54,1.47,0.31,25.0,16.9,"8,819,601","14,248",,
64,1956,8,621,2:29,2:26,65,10.47,8.49,75.7,,10.3,2.45,1.41,0.28,25.1,16.8,"8,649,567","13,928",,
65,1955,8,616,2:29,2:25,61,9.90,9.06,76.5,,10.0,2.44,1.32,0.22,24.0,16.5,"7,674,412","12,458",,
66,1954,8,616,2:32,2:28,67,10.88,9.13,77.5,,10.0,2.38,1.26,0.28,23.5,15.4,"8,013,519","13,008",,
67,1953,8,622,2:26,2:24,43,6.91,9.51,76.6,,10.0,2.32,1.20,0.27,23.1,14.6,"7,419,721","11,928",,
68,1952,8,618,2:24,2:21,61,9.87,8.35,75.9,,9.7,2.21,1.09,0.22,23.6,16.0,"6,339,148","10,257",,
69,1951,8,622,2:22,2:19,65,10.45,8.93,77.0,,10.0,2.21,1.20,0.27,24.4,14.9,"7,244,002","11,646","$2,526,850","$315,856"
70,1950,8,618,2:20,2:18,51,8.25,9.32,77.2,,9.9,2.16,1.11,0.23,23.4,14.8,"8,320,616","13,463",,
71,1949,8,622,2:18,2:14,57,9.16,9.08,77.2,,9.9,2.21,1.18,0.20,25.1,13.6,"9,484,718","15,248",,
72,1948,8,619,2:17,2:16,33,5.33,8.86,76.7,,10.0,2.27,1.25,0.22,24.5,16.6,"9,770,743","15,784",,
73,1947,8,620,2:14,2:12,45,7.26,9.14,77.1,,9.8,2.26,1.19,0.20,23.1,17.1,"10,388,470","16,755",,
74,1946,8,621,2:10,2:00,56,9.02,7.92,76.6,,10.1,2.20,1.32,0.25,27.4,19.0,"8,902,107","14,335",,
75,1945,8,618,,,54,8.74,8.92,77.7,,9.7,2.04,1.13,0.17,25.1,16.9,"5,260,703","8,512",,
76,1944,8,623,,,66,10.59,8.50,77.0,,9.8,1.95,1.11,0.21,25.6,16.0,"3,974,588","6,379",,
77,1943,8,621,2:06,1:56,80,12.88,7.89,76.6,,9.4,1.94,0.90,0.17,23.9,15.5,"3,769,342","6,069",,
78,1942,8,613,,,80,13.05,7.80,76.4,,9.6,2.01,1.01,0.16,22.0,14.5,"4,353,353","7,101",,
79,1941,8,622,2:10,1:50,56,9.00,8.47,76.9,,9.7,2.03,1.11,0.15,24.0,16.3,"4,777,647","7,681",,
80,1940,8,617,2:06,2:01,65,10.53,8.79,77.2,,9.7,2.02,0.98,0.17,24.6,14.5,"4,389,693","7,114",,
81,1939,8,616,2:06,2:03,48,7.79,8.88,77.0,,9.6,1.99,0.95,0.17,24.5,15.0,"4,707,177","7,641","$1,499,675","$187,459"
82,1938,8,610,2:05,2:02,60,9.84,8.83,77.2,,9.4,1.94,0.92,0.13,22.8,14.0,"4,560,827","7,476",,
83,1937,8,617,2:05,2:02,50,8.10,9.02,76.6,,9.5,1.96,0.99,0.16,22.8,14.0,"4,204,228","6,813",,
84,1936,8,620,2:07,2:03,67,10.81,9.41,78.1,,9.6,1.99,0.99,0.18,21.9,14.1,"3,903,691","6,296",,
85,1935,8,617,,,59,9.56,9.41,77.3,,9.3,1.93,0.85,0.14,21.5,13.3,"3,657,309","5,927",,
86,1934,8,608,,,49,8.06,9.37,77.4,,9.5,2.01,0.96,0.15,21.9,13.6,"3,200,105","5,263",,
87,1933,8,618,,,60,9.71,7.94,75.5,,9.4,1.82,0.93,0.15,22.3,11.5,"3,162,821","5,117",,
88,1932,8,618,,,71,11.49,9.19,77.4,,9.5,1.89,0.95,0.18,22.3,12.1,"3,841,334","6,215",,
89,1931,8,618,,,50,8.09,8.96,76.7,,9.5,1.82,0.95,0.15,21.3,12.4,"4,583,815","7,417",,
90,1930,8,618,,,48,7.77,11.37,79.1,,9.5,1.97,1.01,0.15,20.8,13.9,"5,446,532","8,813","$1,563,226","$195,403"
91,1929,8,616,,,52,8.44,10.73,78.8,,9.4,1.91,0.88,0.20,23.4,14.0,"4,925,713","7,996","$1,685,488","$210,686"
92,1928,8,614,1:56,1:50,63,10.26,9.40,78.0,,9.5,1.89,0.94,0.21,22.0,13.9,"4,881,097","7,949","$1,612,598","$201,574"
93,1927,8,617,,,61,9.89,9.16,77.0,,9.4,1.79,0.88,0.18,22.0,14.6,"5,309,917","8,606","$1,600,113","$200,014"
94,1926,8,618,1:57,1:51,51,8.25,9.08,76.4,,9.6,1.82,0.98,0.20,23.8,13.1,"4,920,399","7,961","$1,469,713","$183,714"
95,1925,8,612,1:50,1:48,50,8.17,10.12,77.8,,9.5,1.79,0.89,0.17,24.1,13.4,"4,353,704","7,113","$1,347,625","$168,453"
96,1924,8,614,1:48,1:45,69,11.24,9.09,76.6,,9.4,1.77,0.69,0.14,23.0,13.8,"4,340,644","7,069","$1,244,845","$155,605"
97,1923,8,617,,,58,9.40,9.70,77.9,,9.4,1.80,0.74,0.17,22.6,13.3,"4,069,817","6,596","$1,173,899","$146,737"
98,1922,8,620,,,57,9.19,9.99,77.7,,9.3,1.83,0.82,0.14,20.8,13.0,"3,941,820","6,357","$1,096,430","$137,053"
99,1921,8,613,1:51,1:47,65,10.60,9.19,76.6,,9.3,1.75,0.77,0.15,22.0,12.9,"3,986,984","6,504","$926,434","$115,804"
100,1920,8,617,,,82,13.29,7.93,76.0,,9.2,1.62,0.60,0.10,21.5,12.4,"4,036,575","6,542","$854,019","$106,752"
101,1919,8,558,,,61,10.93,7.30,74.1,,9.0,1.56,0.57,0.13,23.5,12.8,"2,878,203","5,158","$672,852","$84,106"
102,1918,8,508,,,55,10.83,7.25,74.3,,8.9,1.45,0.53,0.10,22.1,13.1,"1,372,127","2,701",,
103,1917,8,625,,,68,10.88,7.05,73.7,,9.2,1.60,0.66,0.13,24.9,10.9,"2,361,136","3,777","$603,159","$75,394"
104,1916,8,622,1:54,1:41,77,12.38,6.90,73.5,,9.4,1.64,0.83,0.13,25.9,11.1,"3,051,634","4,906","$755,906","$94,488"
105,1915,8,624,1:52,1:49,61,9.78,7.25,73.5,,9.3,1.61,0.76,0.12,21.5,11.9,"2,430,142","3,894","$701,544","$87,693"
106,1914,8,625,1:56,1:53,54,8.64,7.68,73.9,,9.5,1.61,0.84,0.18,24.6,11.6,"1,707,397","2,731",,
107,1913,8,620,1:54,1:50,74,11.94,8.29,74.8,,9.5,1.66,0.78,0.14,26.1,14.6,"2,831,531","4,566","$672,324","$84,040"
108,1912,8,613,1:55,1:52,57,9.30,9.23,76.2,,9.2,1.63,0.73,0.12,22.9,15.4,"2,735,759","4,462","$581,721","$72,715"
109,1911,8,623,1:57,1:54,54,8.67,8.84,75.8,,9.1,1.60,0.57,0.08,22.3,15.1,"3,231,768","5,187",,
110,1910,8,621,,,54,8.70,8.06,75.0,,9.0,1.58,0.60,0.06,21.3,14.1,"2,935,758","4,727",,
111,1909,8,621,,,61,9.82,7.32,74.4,,8.8,1.45,0.49,0.04,20.9,13.3,"3,496,420","5,630",,
112,1908,8,622,,,53,8.52,6.65,72.9,,8.7,1.40,0.42,0.04,19.5,11.1,"3,512,108","5,646",,
113,1907,8,616,,,,,6.80,,,,,,,,,"2,640,220","4,286",,
114,1906,8,615,,,,,7.13,,,,,,,,,"2,781,213","4,522",,
115,1905,8,620,,,,,8.21,,,,,,,,,"2,734,310","4,410",,
116,1904,8,623,,,,,7.82,,,,,,,,,"2,664,271","4,276",,
117,1903,8,560,,,,,9.55,,,,,,,,,"2,390,362","4,268",,
118,1902,8,564,,,,,7.97,,,,,,,,,"1,683,012","2,984",,
119,1901,8,561,,,,,9.26,,,,,,,,,"1,920,031","3,422",,
120,1900,8,569,,,,,10.42,,,,,,,,,"1,829,490","3,215",,
121,1899,12,923,,,,,10.48,,,,,,,,,"2,541,485","2,753",,
122,1898,12,921,,,,,9.91,,,,,,,,,"2,372,089","2,575",,
123,1897,12,811,,,,,11.75,,,,,,,,,"2,886,842","3,559",,
124,1896,12,792,,,,,12.08,,,,,,,,,"2,900,973","3,662",,
125,1895,12,799,,,,,13.15,,,,,,,,,"2,889,271","3,616",,
126,1894,12,799,2:01,,,,14.75,,,,,,,,,"2,427,573","3,038",,
127,1893,12,785,,,,,13.14,,,,,,,,,"2,224,752","2,834",,
128,1892,12,921,,,,,10.19,,,,,,,,,"1,822,587","1,978",,
129,1891,8,552,,,,,11.08,,,,,,,,,"1,332,730","2,414",,
130,1890,8,539,,,,,11.15,,,,,,,,,"776,042","1,439",,
131,1889,8,531,,,,,11.68,,,,,,,,,,,,
132,1888,8,544,,,,,9.07,,,,,,,,,,,,
133,1887,8,508,,,,,12.15,,,,,,,,,,,,
134,1886,8,495,,,,,10.49,,,,,,,,,,,,
135,1885,8,445,,,,,9.91,,,,,,,,,,,,
136,1884,8,457,,,,,10.99,,,,,,,,,,,,
137,1883,8,395,,,,,11.56,,,,,,,,,,,,
138,1882,8,338,,,,,10.82,,,,,,,,,,,,
139,1881,8,336,,,,,10.20,,,,,,,,,,,,
140,1880,8,340,,,,,9.39,,,,,,,,,,,,
141,1879,8,321,,,,,10.60,,,,,,,,,,,,
142,1878,6,184,,,,,10.35,,,,,,,,,,,,
143,1877,6,180,,,,,11.33,,,,,,,,,,,,
144,1876,8,260,,,,,11.79,,,,,,,,,,,,
