,Year,Tms,#Fld,R/G,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,RF/9,PB,WP,SB,CS,CS%,PO
23,1997,14,583,4.93,2264,9.00,6.85,80.29,37.64,26.76,10.19,0.69,0.97,.982,20.6,0.08,0.35,0.68,0.33,32.5%,0.11
24,1996,14,599,5.39,2266,9.00,6.70,80.51,37.79,26.84,10.26,0.69,1.01,.982,20.8,0.07,0.34,0.64,0.28,30.4%,0.09
25,1995,14,595,5.06,2020,9.00,6.73,80.09,37.83,26.70,10.45,0.68,0.99,.982,20.9,0.10,0.36,0.66,0.29,30.6%,0.10
26,1994,14,503,5.23,1594,9.00,7.01,80.1,38.00,26.78,10.50,0.72,0.95,.981,20.9,0.08,0.39,0.70,0.32,31.0%,0.10
27,1993,14,573,4.71,2268,9.00,6.88,80.25,38.03,26.75,10.57,0.71,0.97,.981,21.2,0.07,0.32,0.68,0.38,36.0%,0.06
28,1992,14,546,4.32,2268,9.00,6.94,80.2,38.33,26.89,10.71,0.73,0.97,.981,21.6,0.07,0.32,0.75,0.38,33.5%,0.05
29,1991,14,571,4.49,2268,9.00,6.58,80.88,38.46,26.96,10.79,0.72,0.98,.981,21.3,0.09,0.34,0.65,0.33,34.0%,0.05
30,1990,14,562,4.30,2266,9.00,6.77,80.16,38.06,26.72,10.60,0.73,0.98,.981,21.3,0.09,0.34,0.66,0.35,34.3%,0.10
31,1989,14,548,4.29,2266,9.00,6.88,80.15,38.28,26.72,10.79,0.77,0.97,.980,21.5,0.09,0.31,0.70,0.32,31.4%,0.10
32,1988,14,533,4.36,2262,9.00,6.97,80.32,37.92,26.77,10.41,0.74,0.95,.981,21.5,0.08,0.31,0.67,0.30,31.3%,0.08
33,1987,14,526,4.90,2268,9.00,6.90,80.14,37.94,26.71,10.46,0.76,0.93,.980,21.0,0.12,0.34,0.76,0.34,30.8%,0.07
34,1986,14,524,4.61,2268,9.00,6.93,80.17,37.83,26.72,10.32,0.78,0.95,.979,21.2,0.09,0.33,0.65,0.34,34.1%,0.06
35,1985,14,519,4.56,2264,9.00,6.83,80.24,38.22,26.75,10.68,0.80,0.98,.979,21.7,0.08,0.28,0.65,0.32,32.9%,0.07
36,1984,14,503,4.42,2268,9.00,6.70,80.48,38.35,26.83,10.71,0.82,0.96,.979,21.9,0.07,0.27,0.57,0.33,36.1%,0.07
37,1983,14,506,4.48,2270,9.00,6.89,80.41,38.60,26.80,10.99,0.81,1.00,.979,22.1,0.06,0.25,0.68,0.33,32.7%,0.12
38,1982,14,501,4.48,2270,9.00,6.96,80.62,38.64,26.87,10.99,0.78,0.97,.980,22.2,0.06,0.26,0.61,0.35,36.3%,0.10
39,1981,14,482,4.07,1500,9.00,6.97,80.2,39.12,26.92,11.42,0.78,0.99,.980,22.4,0.06,0.24,0.61,0.37,37.8%,0.10
40,1980,14,490,4.51,2264,9.00,6.95,80.82,39.11,26.94,11.32,0.85,1.05,.978,22.4,0.08,0.26,0.64,0.34,34.8%,0.09
41,1979,14,492,4.67,2256,8.99,7.02,79.99,38.82,26.66,11.29,0.87,1.03,.978,22.5,0.08,0.29,0.66,0.37,35.7%,0.11
42,1978,14,483,4.20,2262,9.00,7.09,80.23,38.78,26.74,11.18,0.86,0.95,.978,22.5,0.06,0.24,0.65,0.39,37.7%,0.11
43,1977,14,501,4.53,2262,9.01,7.08,80.47,38.83,26.82,11.13,0.88,0.95,.977,22.0,0.06,0.28,0.65,0.41,39.1%,0.11
44,1976,12,403,4.01,1934,9.00,7.17,81.29,39.25,27.10,11.26,0.89,0.94,.977,22.3,0.07,0.25,0.87,0.45,33.9%,0.11
45,1975,12,428,4.30,1926,9.00,7.12,80.72,39.07,26.91,11.21,0.96,0.96,.975,22.1,0.07,0.29,0.70,0.42,37.7%,0.12
46,1974,12,416,4.10,1946,9.00,7.08,80.70,38.84,26.90,11.04,0.90,1.00,.977,22.1,0.09,0.25,0.63,0.39,38.0%,0.10
47,1973,12,414,4.28,1944,9.00,7.16,80.54,38.83,26.85,11.11,0.88,1.03,.977,21.9,0.08,0.31,0.54,0.34,38.4%,0.11
48,1972,12,426,3.47,1858,9.00,7.04,80.2,38.55,26.87,10.86,0.83,0.95,.979,21.5,0.09,0.25,0.46,0.29,38.7%,0.09
49,1971,12,419,3.87,1932,9.00,7.10,80.55,38.47,26.81,10.87,0.78,0.96,.980,21.6,0.11,0.27,0.45,0.28,38.8%,0.07
50,1970,12,426,4.17,1946,9.00,6.94,80.69,38.55,26.86,10.86,0.84,0.95,.978,21.3,0.10,0.32,0.44,0.29,39.4%,0.07
51,1969,12,434,4.09,1946,9.00,6.97,80.95,38.72,26.95,10.91,0.86,0.95,.978,21.4,0.13,0.33,0.53,0.30,35.8%,0.09
52,1968,10,349,3.41,1624,9.00,6.98,80.65,38.31,26.85,10.61,0.85,0.85,.978,21.0,0.10,0.31,0.50,0.29,36.8%,0.05
53,1967,10,358,3.70,1620,9.00,6.80,81.12,38.45,27.03,10.61,0.82,0.86,.979,20.9,0.11,0.31,0.42,0.29,41.0%,0.05
54,1966,10,353,3.89,1612,9.00,6.98,80.91,38.48,26.97,10.65,0.86,0.90,.978,21.1,0.09,0.32,0.44,0.27,37.7%,0.08
55,1965,10,354,3.94,1620,9.00,6.90,80.2,38.36,26.88,10.64,0.84,0.90,.978,21.0,0.13,0.31,0.43,0.22,33.7%,0.07
56,1964,10,343,4.06,1628,9.00,7.11,80.80,38.19,26.89,10.52,0.77,0.91,.980,20.9,0.11,0.30,0.33,0.20,37.1%,0.06
57,1963,10,351,4.08,1616,9.00,7.28,81.04,38.33,26.97,10.52,0.83,0.89,.978,21.3,0.09,0.26,0.34,0.17,32.6%,0.06
58,1962,10,365,4.44,1618,9.00,7.24,80.74,38.29,26.85,10.59,0.84,0.93,.978,21.7,0.10,0.25,0.35,0.20,36.3%,0.07
59,1961,10,356,4.53,1622,9.00,7.22,80.05,38.20,26.64,10.63,0.93,0.98,.976,21.8,0.11,0.26,0.36,0.20,36.0%,0.06
60,1960,8,289,4.39,1234,9.00,6.92,80.83,38.70,26.94,10.91,0.85,1.03,.978,22.1,0.10,0.24,0.34,0.23,40.2%,0.05
61,1959,8,289,4.36,1236,9.00,7.09,80.48,38.65,26.83,10.92,0.90,0.97,.977,22.0,0.11,0.22,0.33,0.22,40.2%,0.06
62,1958,8,282,4.17,1238,9.00,7.06,80.14,38.13,26.67,10.64,0.81,1.06,.979,22.1,0.12,0.20,0.28,0.25,46.7%,0.06
63,1957,8,279,4.23,1232,9.00,7.03,81.28,38.98,27.07,11.08,0.83,1.07,.979,22.3,0.09,0.20,0.30,0.26,47.0%,0.06
64,1956,8,285,4.66,1236,9.00,7.06,80.1,38.54,26.77,10.83,0.95,1.07,.975,22.3,0.07,0.21,0.28,0.22,44.5%,0.07
65,1955,8,317,4.44,1236,9.00,7.01,80.29,38.42,26.74,10.80,0.88,1.04,.977,22.6,0.07,0.20,0.25,0.22,46.9%,0.08
66,1954,8,267,4.19,1242,9.00,7.38,80.47,38.66,26.80,10.96,0.90,1.03,.977,22.8,0.05,0.14,0.29,0.27,48.1%,0.06
67,1953,8,269,4.46,1236,9.00,7.40,80.54,38.86,26.84,11.15,0.86,1.09,.978,23.0,0.07,0.20,0.27,0.28,51.0%,0.07
68,1952,8,281,4.18,1242,9.00,7.48,81.0,39.07,26.98,11.19,0.91,1.05,.977,22.9,0.06,0.17,0.30,0.26,46.2%,0.09
69,1951,8,272,4.63,1234,9.00,7.53,80.62,39.03,26.87,11.18,0.97,1.13,.975,23.3,0.07,0.16,0.34,0.28,45.7%,0.09
70,1950,8,266,5.04,1240,9.00,7.76,79.57,38.46,26.51,11.03,0.92,1.17,.976,23.3,0.06,0.17,0.22,0.21,48.7%,0.06
71,1949,8,261,4.67,1236,9.00,7.71,79.2,38.63,26.55,11.19,0.89,1.20,.977,23.4,0.04,0.20,0.30,0.25,45.2%,0.07
72,1948,8,251,4.73,1236,9.00,7.78,79.92,38.67,26.65,11.13,0.89,1.09,.977,23.5,0.06,0.19,0.29,0.24,44.5%,0.06
73,1947,8,257,4.14,1246,9.00,7.89,80.0,38.46,26.65,10.94,0.87,1.05,.977,23.2,0.06,0.15,0.32,0.27,45.8%,0.05
74,1946,8,307,4.06,1242,9.00,7.89,80.16,38.79,26.71,11.03,1.05,1.01,.973,22.7,0.10,0.14,0.33,0.28,45.5%,0.06
75,1945,8,260,3.90,1224,9.00,7.93,80.51,39.58,26.84,11.68,1.06,1.01,.973,23.6,0.10,0.15,0.37,0.31,45.4%,0.05
76,1944,8,255,4.09,1238,9.00,8.00,81.21,39.89,27.06,11.68,1.16,1.03,.971,23.6,0.09,0.17,0.44,0.28,38.6%,0.04
77,1943,8,250,3.89,1234,9.00,8.08,81.88,39.93,27.30,11.57,1.06,1.01,.973,23.4,0.08,0.15,0.51,0.36,41.7%,0.06
78,1942,8,252,4.26,1222,9.00,8.07,80.53,39.40,26.84,11.41,1.15,0.99,.971,23.6,0.09,0.17,0.44,0.32,42.1%,0.06
79,1941,8,260,4.74,1244,9.00,8.06,80.21,39.08,26.72,11.24,1.11,1.00,.972,23.4,0.09,0.22,0.38,0.26,40.6%,0.06
80,1940,8,245,4.97,1238,9.00,8.05,79.2,38.90,26.56,11.18,1.16,0.97,.970,23.1,0.08,0.22,0.39,0.27,41.2%,0.05
81,1939,8,259,5.21,1230,9.00,7.93,79.59,38.84,26.55,11.10,1.19,0.96,.969,23.4,0.08,0.20,0.48,0.28,36.9%,0.07
82,1938,8,247,5.37,1226,9.00,8.13,78.88,38.72,26.31,11.29,1.13,1.05,.971,23.4,0.08,0.18,0.44,0.27,37.6%,0.06
83,1937,8,246,5.23,1244,9.00,8.10,79.24,39.05,26.41,11.54,1.10,1.00,.972,23.3,0.07,0.16,0.45,0.27,37.5%,0.08
84,1936,8,237,5.67,1236,9.00,8.08,79.61,39.18,26.54,11.50,1.14,1.00,.971,23.7,0.08,0.26,0.46,0.26,36.5%,0.08
85,1935,8,242,5.09,1222,9.00,8.05,80.37,39.56,26.79,11.68,1.10,0.95,.972,23.7,0.06,0.17,0.39,0.27,40.8%,0.08
86,1934,8,247,5.13,1230,9.00,7.98,79.79,39.32,26.59,11.57,1.16,1.00,.971,23.5,0.06,0.19,0.45,0.26,36.5%,0.08
87,1933,8,230,5.00,1216,9.00,7.80,80.64,39.91,26.89,11.89,1.13,0.92,.972,23.8,0.05,0.15,0.37,0.31,45.5%,0.07
88,1932,8,240,5.23,1230,9.00,7.88,80.52,39.73,26.83,11.68,1.22,0.97,.969,23.7,0.05,0.15,0.44,0.34,43.3%,0.06
89,1931,8,243,5.14,1236,9.00,7.88,80.30,39.66,26.77,11.63,1.27,0.91,.968,23.7,0.05,0.13,0.51,0.37,42.0%,0.06
90,1930,8,252,5.41,1232,9.00,7.77,79.72,39.36,26.54,11.57,1.26,0.94,.968,23.6,0.07,0.14,0.49,0.35,41.7%,0.07
91,1929,8,245,5.01,1226,9.00,7.82,80.13,39.94,26.69,12.01,1.24,0.98,.969,24.1,0.06,0.16,0.52,0.41,43.6%,0.08
92,1928,8,254,4.76,1234,9.00,7.87,80.09,39.92,26.63,12.05,1.25,0.95,.969,24.0,0.07,0.11,0.57,0.40,41.1%,0.10
93,1927,8,255,4.92,1238,9.00,7.84,79.99,40.63,26.67,12.62,1.34,0.93,.967,24.2,0.06,0.14,0.64,0.41,39.2%,0.12
94,1926,8,241,4.73,1232,9.00,7.86,79.96,40.30,26.63,12.44,1.24,0.90,.969,24.2,0.07,0.13,0.54,0.41,43.0%,0.09
95,1925,8,261,5.20,1232,9.00,7.72,80.18,40.50,26.71,12.47,1.32,1.00,.967,24.3,0.07,0.14,0.58,0.48,45.2%,0.12
96,1924,8,268,4.97,1234,9.00,7.92,79.84,40.14,26.60,12.31,1.23,0.90,.969,24.3,0.08,0.14,0.61,0.48,44.3%,0.11
97,1923,8,249,4.78,1232,9.00,7.96,80.45,40.72,26.78,12.65,1.30,0.89,.968,24.1,0.09,0.14,0.60,0.49,45.0%,0.10
98,1922,8,244,4.75,1236,9.00,8.08,80.55,40.74,26.72,12.77,1.24,0.92,.969,24.1,0.08,0.15,0.56,0.43,43.3%,0.10
99,1921,8,243,5.12,1232,9.00,8.05,80.50,40.93,26.78,12.73,1.42,0.89,.965,24.1,0.08,0.15,0.55,0.45,44.6%,0.11
100,1920,8,256,4.76,1234,9.00,8.15,80.50,41.26,26.75,13.11,1.39,0.78,.966,24.0,0.07,0.18,0.61,0.57,48.4%,0.09
101,1919,8,244,4.09,1120,9.00,8.16,80.72,41.23,26.89,12.90,1.44,0.72,.965,23.8,0.08,0.17,0.82,0.66,44.5%,0.10
102,1918,8,240,3.64,1016,9.00,8.23,81.68,42.02,27.17,13.33,1.52,0.79,.964,24.1,0.10,0.15,0.96,0.76,44.2%,0.13
103,1917,8,244,3.65,1244,9.00,8.09,81.25,41.57,27.05,13.02,1.50,0.78,.964,23.7,0.11,0.17,1.02,0.82,44.6%,
104,1916,8,264,3.68,1250,9.00,7.92,81.28,41.78,27.05,13.25,1.48,0.77,.965,23.3,0.11,0.20,1.14,0.84,42.5%,
105,1915,8,284,3.96,1242,9.00,8.05,80.51,41.53,26.80,13.03,1.70,0.69,.959,23.1,0.13,0.23,1.16,0.86,42.5%,
106,1914,8,274,3.65,1262,8.98,8.01,80.32,41.41,26.70,13.02,1.69,0.67,.959,22.9,0.14,0.23,1.32,1.09,45.4%,
107,1913,8,292,3.93,1228,8.99,8.09,80.17,41.67,26.68,13.27,1.71,0.71,.959,23.0,0.13,0.23,1.37,1.10,44.6%,
108,1912,8,318,4.44,1238,8.99,8.23,79.48,41.78,26.65,13.13,1.99,0.66,.952,22.8,0.14,0.25,1.46,1.08,42.6%,
109,1911,8,275,4.61,1228,9.00,8.22,80.17,41.97,26.68,13.32,1.97,0.63,.953,22.8,0.16,0.25,1.39,1.14,45.0%,
110,1910,8,256,3.64,1256,9.00,8.34,80.84,42.41,26.92,13.64,1.85,0.63,.956,22.8,0.12,0.23,1.34,1.07,44.3%,
111,1909,8,257,3.44,1240,9.00,8.29,80.05,41.76,26.60,13.37,1.79,0.63,.957,23.0,0.12,0.23,1.24,1.03,45.4%,
112,1908,8,221,3.45,1244,9.00,8.31,80.63,42.15,26.79,13.57,1.79,0.54,.958,23.0,0.11,0.22,1.09,0.91,45.5%,
113,1907,8,208,3.66,1234,9.00,8.44,80.26,42.14,26.73,13.62,1.79,0.59,.957,23.3,0.15,0.21,1.14,0.90,44.1%,
114,1906,8,201,3.67,1226,9.00,8.52,79.75,41.57,26.57,13.24,1.76,0.55,.958,23.2,0.13,0.20,1.25,1.00,44.5%,
115,1905,8,202,3.68,1234,9.00,8.59,80.07,41.13,26.62,12.74,1.77,0.52,.957,22.8,0.13,0.22,1.09,0.87,44.5%,
116,1904,8,167,3.54,1252,9.00,8.73,79.68,41.39,26.55,13.15,1.69,0.55,.959,22.9,0.12,0.21,0.96,0.77,44.4%,
117,1903,8,177,4.10,1108,9.00,,79.47,41.32,26.47,12.91,1.94,0.62,.953,23.1,0.15,0.18,1.06,0.84,44.3%,
118,1902,8,188,4.89,1106,8.98,,79.20,41.88,26.36,13.38,2.13,0.73,.949,24.5,0.16,0.19,1.19,0.94,44.3%,
119,1901,8,185,5.35,1098,8.98,,78.41,41.99,26.11,13.26,2.62,0.73,.938,24.4,0.17,0.20,1.32,1.05,44.2%,
