,Year,Tms,G,Time,Time/9I,Inn,Inn%,R/G,PA/G,Pitches/PA,Batters/G,Pitchers/G,PH/G,PR/G,Batters/S,Pitchers/S,Attendance,Attend/G,Lg Payroll*,Payroll/Tm*
16,2004,14,1133,2:51,2:46,99,8.74,10.04,78.0,3.78,10.3,3.65,0.62,0.21,23.4,18.2,"32,798,075","28,947","$987,378,835","$70,527,059"
17,2003,14,1135,2:48,2:44,90,7.93,9.71,77.2,3.76,10.4,3.53,0.67,0.22,23.2,17.6,"30,906,711","27,230","$962,001,983","$68,714,427"
18,2002,14,1132,2:56,2:52,91,8.04,9.68,77.1,3.75,10.3,3.49,0.61,0.24,23.4,17.1,"30,918,426","27,313","$976,459,369","$69,747,097"
19,2001,14,1133,2:59,2:55,99,8.74,9.77,77.3,3.74,10.3,3.51,0.65,0.18,23.1,17.1,"32,853,727","28,997","$947,861,101","$67,704,364"
20,2000,14,1132,3:03,3:00,81,7.16,10.63,78.6,3.77,10.5,3.51,0.71,0.25,23.9,17.6,"31,675,798","27,982","$792,660,348","$56,618,596"
21,1999,14,1133,2:59,2:56,78,6.88,10.46,78.2,3.76,10.4,3.52,0.68,0.22,22.9,17.6,"31,816,532","28,081","$712,409,116","$50,886,365"
22,1998,14,1134,2:56,2:52,86,7.58,10.07,77.8,,10.5,3.48,0.71,0.22,23.9,16.5,"32,174,363","28,372","$641,761,798","$45,840,128"
23,1997,14,1132,3:00,2:56,89,7.86,9.90,78.0,,10.6,3.45,0.82,0.24,24.1,18.5,"31,283,321","27,635","$585,892,297","$41,849,449"
24,1996,14,1133,3:00,2:55,110,9.71,10.77,79.2,,10.7,3.36,0.83,0.25,24.0,22.1,"29,718,093","26,229","$494,271,829","$35,305,130"
25,1995,14,1010,2:59,2:55,81,8.02,10.12,78.1,,10.8,3.31,0.92,0.25,23.2,22.2,"25,358,988","25,107","$510,693,492","$36,478,106"
26,1994,14,797,3:03,2:59,70,8.78,10.45,78.5,,10.4,3.26,0.67,0.22,19.9,17.9,"24,202,197","30,366","$492,164,841","$35,154,631"
27,1993,14,1134,2:56,2:52,91,8.02,9.41,77.2,,10.6,3.19,0.78,0.25,23.0,20.3,"33,333,365","29,394","$482,530,473","$34,466,462"
28,1992,14,1134,2:57,2:53,102,8.99,8.64,76.6,3.69,10.7,3.06,0.83,0.23,22.5,18.3,"31,759,331","28,006","$438,952,631","$31,353,759"
29,1991,14,1134,2:57,2:51,117,10.32,8.97,77.0,3.70,11.0,3.11,1.01,0.28,23.4,19.6,"32,117,588","28,322","$335,098,753","$23,935,625"
30,1990,14,1133,2:54,2:51,86,7.59,8.60,76.2,,10.9,2.97,0.97,0.27,23.2,19.7,"30,332,260","26,771","$246,405,598","$17,600,399"
31,1989,14,1133,2:51,2:48,94,8.30,8.59,76.1,,10.7,2.81,0.89,0.24,23.6,18.7,"29,849,262","26,345","$199,145,517","$14,224,679"
32,1988,14,1131,2:52,2:48,93,8.22,8.72,76.1,,10.7,2.65,0.81,0.29,22.9,17.7,"28,499,636","25,198","$169,796,445","$12,128,317"
33,1987,14,1134,2:54,2:50,101,8.91,9.80,77.1,,10.8,2.73,0.92,0.24,22.5,17.5,"27,277,351","24,054","$159,129,369","$11,366,383"
34,1986,14,1134,2:51,2:47,104,9.17,9.21,76.6,,10.7,2.66,0.89,0.24,22.8,17.3,"25,172,732","22,198","$158,656,444","$11,332,603"
35,1985,14,1132,2:48,2:44,97,8.57,9.11,76.4,,11.0,2.65,1.04,0.29,21.9,17.2,"24,532,225","21,671","$136,686,954","$9,763,353"
36,1984,14,1134,2:41,2:36,101,8.91,8.84,76.6,,11.1,2.53,1.08,0.26,22.1,16.0,"23,961,427","21,130",,
37,1983,14,1135,2:41,2:38,98,8.63,8.97,76.4,,10.9,2.44,0.92,0.25,22.8,15.8,"23,991,053","21,137",,
38,1982,14,1135,2:41,2:37,103,9.07,8.95,76.7,,10.8,2.46,0.90,0.23,22.9,15.5,"23,080,449","20,335",,
39,1981,14,750,2:38,2:34,64,8.53,8.15,75.8,,11.0,2.45,1.00,0.29,21.9,14.1,"14,065,986","18,754",,
40,1980,14,1132,2:40,2:35,107,9.45,9.01,77.0,,11.0,2.39,1.00,0.29,23.2,14.9,"21,890,052","19,337",,
41,1979,14,1128,2:35,2:32,87,7.71,9.33,76.5,,10.8,2.34,0.87,0.26,22.0,16.2,"22,371,979","19,833",,
42,1978,14,1131,2:32,2:28,98,8.66,8.41,75.9,,10.8,2.22,0.82,0.33,22.6,14.7,"20,529,965","18,152",,
43,1977,14,1131,2:35,2:31,107,9.46,9.06,76.6,,10.8,2.31,0.85,0.30,23.4,16.1,"19,639,551","17,364",,
44,1976,12,967,2:33,2:28,115,11.89,8.02,76.2,,10.8,2.22,0.84,0.32,23.7,14.2,"14,657,802","15,158",,
45,1975,12,963,2:32,2:28,88,9.14,8.60,76.6,,10.9,2.19,0.84,0.38,24.1,15.3,"13,189,423","13,696",,
46,1974,12,973,2:30,2:26,90,9.25,8.20,75.9,,10.9,2.16,0.87,0.32,24.1,14.7,"13,047,294","13,409",,
47,1973,12,972,2:33,2:30,90,9.26,8.55,76.6,,10.7,2.16,0.76,0.28,23.5,15.0,"13,433,604","13,820",,
48,1972,12,929,2:28,2:24,89,9.58,6.93,74.4,,10.3,2.47,1.38,0.27,24.5,15.6,"11,438,538","12,312",,
49,1971,12,966,2:31,2:27,82,8.49,7.73,75.5,,10.1,2.55,1.39,0.19,23.9,15.0,"11,868,560","12,286",,
50,1970,12,973,2:34,2:30,96,9.87,8.33,76.3,,10.4,2.74,1.55,0.22,24.2,16.7,"12,085,135","12,420",,
51,1969,12,973,2:34,2:29,105,10.79,8.18,76.3,,10.4,2.71,1.53,0.26,25.0,17.1,"12,134,720","12,471",,
52,1968,10,812,2:34,2:30,80,9.85,6.81,74.0,,10.4,2.57,1.49,0.26,23.8,16.0,"11,317,387","13,937",,
53,1967,10,810,2:38,2:32,77,9.51,7.40,74.9,,10.5,2.64,1.49,0.32,25.2,16.7,"11,336,923","13,996",,
54,1966,10,806,2:36,2:31,83,10.30,7.79,75.0,,10.3,2.63,1.38,0.33,23.6,16.8,"10,166,738","12,613",,
55,1965,10,810,2:35,2:31,91,11.23,7.89,75.5,,10.4,2.71,1.50,0.29,23.9,16.3,"8,860,764","10,939",,
56,1964,10,814,2:36,2:31,89,10.93,8.12,75.9,,10.2,2.63,1.32,0.29,24.3,16.5,"9,235,151","11,345",,
57,1963,10,808,2:29,2:24,78,9.65,8.17,76.1,,10.0,2.52,1.25,0.27,23.3,17.3,"9,094,847","11,255",,
58,1962,10,809,2:35,2:31,75,9.27,8.88,77.1,,10.2,2.61,1.33,0.31,23.4,17.7,"10,015,056","12,379",,
59,1961,10,811,2:35,2:32,66,8.14,9.05,76.8,,10.2,2.43,1.35,0.28,26.3,17.3,"10,163,016","12,531",,
60,1960,8,617,2:38,2:34,69,11.18,8.77,77.1,,10.6,2.51,1.58,0.33,26.3,16.6,"9,226,526","14,953",,
61,1959,8,618,2:34,2:31,57,9.22,8.72,76.6,,10.4,2.38,1.39,0.28,25.6,16.6,"9,149,454","14,804",,
62,1958,8,619,2:31,2:27,48,7.75,8.33,75.7,,10.4,2.35,1.43,0.32,24.9,17.4,"7,296,034","11,786",,
63,1957,8,616,2:34,2:28,80,12.99,8.46,77.1,,10.4,2.33,1.38,0.32,24.6,16.6,"8,196,218","13,305",,
64,1956,8,618,2:34,2:31,57,9.22,9.31,78.1,,10.4,2.33,1.36,0.36,25.4,17.0,"7,893,683","12,772",,
65,1955,8,618,2:33,2:30,51,8.25,8.89,77.5,,10.4,2.37,1.40,0.31,28.4,18.5,"8,942,971","14,470",,
66,1954,8,621,2:28,2:24,58,9.34,8.38,77.0,,10.2,2.14,1.29,0.25,24.3,14.8,"7,922,364","12,757",,
67,1953,8,618,2:26,2:23,57,9.22,8.92,77.3,,10.1,2.19,1.24,0.27,25.6,15.5,"6,964,076","11,268",,
68,1952,8,621,2:26,2:21,64,10.31,8.36,77.1,,10.0,2.04,1.15,0.23,28.8,16.5,"8,293,896","13,355",,
69,1951,8,617,2:23,2:19,53,8.59,9.26,78.0,,9.9,2.09,1.11,0.24,26.5,16.0,"8,882,674","14,396",,
70,1950,8,620,2:22,2:20,47,7.58,10.09,78.6,,9.6,2.08,1.03,0.20,23.4,16.4,"9,142,361","14,745",,
71,1949,8,618,2:19,2:17,60,9.71,9.35,78.0,,9.7,2.07,1.06,0.20,23.1,14.6,"10,730,647","17,363",,
72,1948,8,618,2:13,2:10,55,8.90,9.45,78.2,,9.6,2.19,1.07,0.20,21.6,14.6,"11,150,099","18,042",,
73,1947,8,623,2:08,2:06,48,7.70,8.28,76.4,,9.5,1.99,0.96,0.17,22.6,14.0,"9,486,069","15,226",,
74,1946,8,621,2:05,1:52,54,8.70,8.11,76.5,,9.5,1.98,0.97,0.16,25.3,17.6,"9,621,182","15,493","$1,465,573","$183,196"
75,1945,8,612,2:01,1:43,65,10.62,7.80,76.4,,9.3,1.74,0.78,0.14,22.6,14.4,"5,580,420","9,118",,
76,1944,8,619,2:01,1:44,75,12.12,8.17,77.1,,9.2,1.84,0.74,0.12,22.8,13.3,"4,798,158","7,751","$1,124,900","$140,612"
77,1943,8,617,2:01,1:46,91,14.75,7.77,77.0,,9.2,1.82,0.79,0.15,21.3,14.3,"3,696,569","5,991","$1,110,070","$138,758"
78,1942,8,611,2:01,1:46,66,10.80,8.53,77.1,,9.2,1.77,0.79,0.12,21.3,14.1,"4,200,216","6,874","$1,320,850","$165,106"
79,1941,8,622,2:07,1:58,56,9.00,9.49,78.2,,9.2,1.83,0.82,0.10,21.8,14.5,"4,911,956","7,897","$1,568,382","$196,047"
80,1940,8,619,2:08,1:58,57,9.21,9.93,78.0,,9.2,1.92,0.82,0.09,19.1,14.5,"5,433,791","8,778","$1,497,572","$187,196"
81,1939,8,615,2:07,2:05,43,6.99,10.41,78.8,,9.4,1.94,0.90,0.10,21.8,16.3,"4,270,602","6,944","$1,383,566","$172,945"
82,1938,8,613,2:08,2:07,42,6.85,10.74,78.8,,9.1,1.84,0.76,0.07,20.3,14.5,"4,445,684","7,252","$1,354,710","$169,338"
83,1937,8,622,2:06,2:04,58,9.32,10.45,78.6,,9.0,1.85,0.71,0.08,20.8,13.9,"4,735,835","7,613","$1,314,783","$164,347"
84,1936,8,618,2:07,1:54,43,6.96,11.34,80.0,,9.1,1.88,0.73,0.08,19.6,14.1,"4,178,922","6,762","$1,189,000","$148,625"
85,1935,8,611,,,61,9.98,10.18,79.4,,9.2,1.90,0.79,0.12,20.5,13.8,"3,688,007","6,036","$1,038,350","$129,793"
86,1934,8,615,,,57,9.27,10.25,78.8,,9.2,1.91,0.83,0.10,21.0,13.6,"3,763,606","6,119","$1,043,617","$130,452"
87,1933,8,608,,,64,10.53,10.00,78.9,,9.4,1.93,0.84,0.15,19.6,13.1,"2,926,210","4,812","$1,123,696","$140,462"
88,1932,8,615,,,61,9.92,10.47,79.2,,9.3,1.85,0.78,0.14,22.5,14.3,"3,133,232","5,094","$1,294,976","$161,872"
89,1931,8,618,,,58,9.39,10.28,78.8,,9.4,1.84,0.82,0.14,21.8,11.9,"3,883,292","6,283","$1,382,286","$172,785"
90,1930,8,616,,,51,8.28,10.83,78.5,,9.5,1.84,0.90,0.13,24.4,12.9,"4,685,730","7,606","$1,471,438","$183,929"
91,1929,8,613,,,51,8.32,10.01,78.1,,9.6,1.79,0.97,0.11,21.5,12.8,"4,662,470","7,605","$1,310,650","$163,831"
92,1928,8,617,1:55,1:51,46,7.46,9.52,77.4,,9.5,1.76,0.91,0.13,21.6,13.5,"4,221,188","6,841","$1,314,144","$164,268"
93,1927,8,619,,,49,7.92,9.84,77.7,,9.6,1.84,0.99,0.17,22.1,13.5,"4,612,951","7,452","$1,309,217","$163,652"
94,1926,8,616,1:59,1:54,59,9.58,9.47,77.9,,9.6,1.89,1.04,0.12,21.1,12.9,"4,912,583","7,974","$1,313,550","$164,193"
95,1925,8,616,2:00,1:58,57,9.25,10.39,79.0,,9.7,1.89,1.06,0.12,23.3,13.8,"5,186,851","8,420","$1,195,300","$149,412"
96,1924,8,617,2:00,1:57,50,8.10,9.95,78.4,,9.4,1.89,0.83,0.07,21.9,14.8,"5,255,439","8,517","$1,135,413","$141,926"
97,1923,8,616,1:58,1:45,53,8.60,9.56,78.2,,9.3,1.81,0.72,0.09,21.0,13.5,"4,602,589","7,471","$966,000","$120,750"
98,1922,8,618,,,65,10.52,9.49,77.8,,9.2,1.75,0.67,0.09,20.3,13.5,"4,874,355","7,887","$913,463","$114,182"
99,1921,8,616,,,62,10.06,10.24,79.1,,9.1,1.72,0.60,0.10,21.4,13.5,"4,620,328","7,500","$759,440","$94,930"
100,1920,8,617,,,56,9.08,9.51,77.5,,9.1,1.62,0.61,0.07,21.9,14.3,"5,084,300","8,240","$687,565","$85,945"
101,1919,8,560,,,54,9.64,8.19,76.1,,9.0,1.60,0.61,0.09,19.8,15.4,"3,654,236","6,525",,
102,1918,8,508,,,70,13.78,7.29,75.4,,8.9,1.54,0.56,0.08,21.6,13.4,"1,707,999","3,362",,
103,1917,8,622,1:55,1:51,67,10.77,7.30,75.0,,9.3,1.67,0.79,0.10,22.8,11.5,"2,858,858","4,596",,
104,1916,8,625,,,80,12.80,7.36,74.9,,9.5,1.75,0.84,0.14,25.4,13.5,"3,451,885","5,523",,
105,1915,8,621,1:55,1:52,52,8.37,7.93,74.9,,9.2,1.67,0.73,0.10,25.6,16.1,"2,434,684","3,920",,
106,1914,8,631,2:00,1:56,72,11.41,7.31,73.6,,9.2,1.69,0.69,0.09,26.4,12.9,"2,747,591","4,354",,
107,1913,8,614,1:59,1:57,53,8.63,7.86,74.1,,9.2,1.63,0.66,0.09,26.8,15.1,"3,526,805","5,743",,
108,1912,8,619,1:57,1:55,47,7.59,8.88,75.1,,8.9,1.49,0.57,0.09,28.8,16.1,"3,263,631","5,272",,
109,1911,8,614,1:56,1:39,65,10.59,9.21,76.3,,9.0,1.51,0.53,0.10,25.5,13.3,"3,339,514","5,438",,
110,1910,8,628,,,75,11.94,7.29,74.0,,8.8,1.40,0.42,0.04,24.1,12.3,"3,270,689","5,208",,
111,1909,8,620,,,50,8.06,6.88,72.8,,8.8,1.40,0.47,0.03,24.3,13.8,"3,739,870","6,032",,
112,1908,8,622,,,64,10.29,6.89,73.1,,8.8,1.40,0.52,0.03,21.4,11.8,"3,611,366","5,806",,
113,1907,8,617,,,,,7.32,,,,,,,,,"3,398,764","5,508",,
114,1906,8,613,,,,,7.33,,,,,,,,,"2,938,076","4,792",,
115,1905,8,617,,,,,7.37,,,,,,,,,"3,120,752","5,057",,
116,1904,8,626,,,,,7.08,,,,,,,,,"3,024,028","4,830",,
117,1903,8,554,,,,,8.20,,,,,,,,,"2,344,888","4,232",,
118,1902,8,553,,,,,9.78,,,,,,,,,"2,206,454","3,989",,
119,1901,8,549,,,,,10.70,,,,,,,,,"1,683,584","3,066",,
