Statistic,Single-Season,Career,Active,Progressive,Yearly League,Year-by-Year Top-Tens,Category
Def. Games as CF (s.1901),/leaders/Gm_cf_season.shtml,/leaders/Gm_cf_career.shtml,/leaders/Gm_cf_active.shtml,/leaders/Gm_cf_progress.shtml,/leaders/Gm_cf_leagues.shtml,/leaders/Gm_cf_top_ten.shtml,Fielding Leaderboards
Putouts as CF (s.1901),/leaders/PO_cf_season.shtml,/leaders/PO_cf_career.shtml,/leaders/PO_cf_active.shtml,/leaders/PO_cf_progress.shtml,/leaders/PO_cf_leagues.shtml,/leaders/PO_cf_top_ten.shtml,Fielding Leaderboards
Assists as CF (s.1901),/leaders/A_cf_season.shtml,/leaders/A_cf_career.shtml,/leaders/A_cf_active.shtml,/leaders/A_cf_progress.shtml,/leaders/A_cf_leagues.shtml,/leaders/A_cf_top_ten.shtml,Fielding Leaderboards
Errors Committed as CF (s.1901),/leaders/E_cf_season.shtml,/leaders/E_cf_career.shtml,/leaders/E_cf_active.shtml,/leaders/E_cf_progress.shtml,/leaders/E_cf_leagues.shtml,/leaders/E_cf_top_ten.shtml,Fielding Leaderboards
Double Plays Turned as CF (s.1901),/leaders/DP_cf_season.shtml,/leaders/DP_cf_career.shtml,/leaders/DP_cf_active.shtml,/leaders/DP_cf_progress.shtml,/leaders/DP_cf_leagues.shtml,/leaders/DP_cf_top_ten.shtml,Fielding Leaderboards
Def. Games as RF (s.1901),/leaders/Gm_rf_season.shtml,/leaders/Gm_rf_career.shtml,/leaders/Gm_rf_active.shtml,/leaders/Gm_rf_progress.shtml,/leaders/Gm_rf_leagues.shtml,/leaders/Gm_rf_top_ten.shtml,Fielding Leaderboards
Putouts as RF (s.1901),/leaders/PO_rf_season.shtml,/leaders/PO_rf_career.shtml,/leaders/PO_rf_active.shtml,/leaders/PO_rf_progress.shtml,/leaders/PO_rf_leagues.shtml,/leaders/PO_rf_top_ten.shtml,Fielding Leaderboards
Assists as RF (s.1901),/leaders/A_rf_season.shtml,/leaders/A_rf_career.shtml,/leaders/A_rf_active.shtml,/leaders/A_rf_progress.shtml,/leaders/A_rf_leagues.shtml,/leaders/A_rf_top_ten.shtml,Fielding Leaderboards
Errors Committed as RF (s.1901),/leaders/E_rf_season.shtml,/leaders/E_rf_career.shtml,/leaders/E_rf_active.shtml,/leaders/E_rf_progress.shtml,/leaders/E_rf_leagues.shtml,/leaders/E_rf_top_ten.shtml,Fielding Leaderboards
Double Plays Turned as RF (s.1901),/leaders/DP_rf_season.shtml,/leaders/DP_rf_career.shtml,/leaders/DP_rf_active.shtml,/leaders/DP_rf_progress.shtml,/leaders/DP_rf_leagues.shtml,/leaders/DP_rf_top_ten.shtml,Fielding Leaderboards
Def. Games as OF,/leaders/Gm_of_season.shtml,/leaders/Gm_of_career.shtml,/leaders/Gm_of_active.shtml,/leaders/Gm_of_progress.shtml,/leaders/Gm_of_leagues.shtml,/leaders/Gm_of_top_ten.shtml,Fielding Leaderboards
Putouts as OF,/leaders/PO_of_season.shtml,/leaders/PO_of_career.shtml,/leaders/PO_of_active.shtml,/leaders/PO_of_progress.shtml,/leaders/PO_of_leagues.shtml,/leaders/PO_of_top_ten.shtml,Fielding Leaderboards
Assists as OF,/leaders/A_of_season.shtml,/leaders/A_of_career.shtml,/leaders/A_of_active.shtml,/leaders/A_of_progress.shtml,/leaders/A_of_leagues.shtml,/leaders/A_of_top_ten.shtml,Fielding Leaderboards
Errors Committed as OF,/leaders/E_of_season.shtml,/leaders/E_of_career.shtml,/leaders/E_of_active.shtml,/leaders/E_of_progress.shtml,/leaders/E_of_leagues.shtml,/leaders/E_of_top_ten.shtml,Fielding Leaderboards
Double Plays Turned as OF,/leaders/DP_of_season.shtml,/leaders/DP_of_career.shtml,/leaders/DP_of_active.shtml,/leaders/DP_of_progress.shtml,/leaders/DP_of_leagues.shtml,/leaders/DP_of_top_ten.shtml,Fielding Leaderboards
Def. Games as P,/leaders/Gm_p_season.shtml,/leaders/Gm_p_career.shtml,/leaders/Gm_p_active.shtml,/leaders/Gm_p_progress.shtml,/leaders/Gm_p_leagues.shtml,/leaders/Gm_p_top_ten.shtml,Fielding Leaderboards
Putouts as P,/leaders/PO_p_season.shtml,/leaders/PO_p_career.shtml,/leaders/PO_p_active.shtml,/leaders/PO_p_progress.shtml,/leaders/PO_p_leagues.shtml,/leaders/PO_p_top_ten.shtml,Fielding Leaderboards
