,Rank,Player (age that year),Assists as C,Year,Throws
340,338.,Jack Clements (27),107,1892,L
341,338.,Tom Daly (22),107,1888,R
342,338.,Tim Donahue (28),107,1898,R
343,338.,Buck Ewing+ (30),107,1890,R
344,338.,Bill Holbert (25),107,1880,R
345,338.,Al Lopez+ (27),107,1936,R
346,338.,Otto Miller (32),107,1921,R
347,338.,Charlie Reipschlager (30),107,1886,R
348,338.,Boss Schmidt (28),107,1909,R
349,338.,Farmer Vaughn (25),107,1889,R
350,338.,Jack Warner (28),107,1901,R
351,338.,Chief Zimmer (38),107,1899,R
352,353.,Tom Dolan (31),106,1886,R
353,353.,Jim Donahue (26),106,1888,R
354,353.,Jerry Harrington (22),106,1891,R
355,353.,Paddy Livingston (29),106,1909,R
356,353.,Fred Payne (29),106,1910,R
357,353.,Jimmy Peoples (23),106,1887,R
358,353.,Lew Ritter (29),106,1905,R
359,353.,Wilbert Robinson+ (25),106,1889,R
360,353.,Ossee Schrecongost (28),106,1903,R
361,353.,Hank Severeid (28),106,1919,R
362,353.,Al Shaw (34),106,1907,R
363,353.,Oscar Stanage (30),106,1913,R
364,353.,Ed Sweeney (21),106,1910,R
365,353.,Ivey Wingo (28),106,1919,R
366,353.,Bob Wood (35),106,1901,R
367,368.,Doc Bushong (31),105,1888,R
368,368.,Lou Criger (26),105,1898,R
369,368.,Lou Criger (28),105,1900,R
370,368.,Jody Davis (29),105,1986,R
371,368.,Hank Gowdy (29),105,1919,R
372,368.,John Grim (26),105,1894,R
373,368.,Rollie Hemsley (28),105,1935,R
374,368.,Charlie Hoover (23),105,1889,R
375,368.,Jack Lapp (27),105,1912,R
376,368.,Jocko Milligan (27),105,1889,R
377,368.,Heinie Peitz (34),105,1905,R
378,368.,Charlie Reipschlager (31),105,1887,R
379,368.,Pop Snyder (26),105,1881,R
380,368.,Bill Traffley (25),105,1885,R
381,368.,Walt Tragesser (30),105,1917,R
382,368.,Mack Wheat (27),105,1920,R
383,384.,Sam Agnew (31),104,1918,R
384,384.,Gary Carter+ (28),104,1982,R
385,384.,Boileryard Clarke (31),104,1900,R
386,384.,Jack Clements (23),104,1888,L
387,384.,Ted Easterly (25),104,1910,R
388,384.,Silver Flint (27),104,1883,R
389,384.,Hank Gowdy (30),104,1920,R
390,384.,Mert Hackett (24),104,1884,R
391,384.,Walt Kuhn (25),104,1912,R
392,384.,Gus Mancuso (30),104,1936,R
393,384.,Mickey O'Neil (25),104,1923,R
394,384.,Boss Schmidt (25),104,1906,R
395,384.,Hank Severeid (33),104,1924,R
396,384.,Billy Sullivan (26),104,1901,R
397,384.,Billy Sullivan (30),104,1905,R
398,399.,Johnny Bassler (29),103,1924,R
399,399.,Jack Bliss (29),103,1911,R
400,399.,John Grim (27),103,1895,R
401,399.,Gabby Hartnett+ (27),103,1928,R
402,399.,Mike Hines (20),103,1883,L
403,399.,Jason Kendall (23),103,1997,R
404,399.,Russell Martin (30),103,2013,R
405,399.,Cy Perkins (22),103,1918,R
406,399.,Bill Rariden (24),103,1912,R
407,399.,Lew Ritter (31),103,1907,R
408,399.,Muddy Ruel (29),103,1925,R
409,399.,Jim Stephens (25),103,1909,R
