,Rank,Player (age that year),Putouts as 2B,Year,Throws
157,158.,Carl Lind (24),390,1928,R
158,158.,Jackie Robinson+ (32),390,1951,R
159,158.,Frank White (32),390,1983,R
160,161.,Tito Fuentes (31),389,1975,R
161,161.,Bobby Grich (27),389,1976,R
162,161.,Bid McPhee+ (31),389,1891,R
163,161.,Juan Samuel (24),389,1985,R
164,161.,Johnny Temple (28),389,1956,R
165,166.,Juan Samuel (23),388,1984,R
166,167.,Eddie Collins+ (25),387,1912,R
167,167.,Nap Lajoie+ (35),387,1910,R
168,167.,Freddie Maguire (31),387,1930,R
169,167.,Cub Stricker (29),387,1888,R
170,167.,Aaron Ward (26),387,1923,R
171,172.,Horace Clarke (32),386,1971,R
172,172.,Tito Fuentes (29),386,1973,R
173,172.,Bobby Knoop (28),386,1967,R
174,172.,Marty McManus (23),386,1923,R
175,172.,Charlie Neal (28),386,1959,R
176,177.,Lou Bierbauer (26),385,1892,R
177,177.,Hub Collins (25),385,1889,R
178,177.,Tony Cuccinello (24),385,1932,R
179,177.,Don Johnson (32),385,1944,R
180,177.,Pete Rose (25),385,1966,R
181,182.,Jerry Coleman (25),384,1950,R
182,182.,Billy Herman+ (27),384,1937,R
183,182.,Eddie Mayo (34),384,1944,R
184,182.,Ski Melillo (30),384,1930,R
185,186.,Rod Carew+ (27),383,1973,R
186,186.,Tony Cuccinello (28),383,1936,R
187,186.,Frankie Frisch+ (30),383,1928,R
188,186.,Billy Herman+ (32),383,1942,R
189,186.,Davey Johnson (30),383,1973,R
190,186.,Otto Knabe (26),383,1910,R
191,192.,Creepy Crespi (23),382,1941,R
192,192.,Pedro Garcia (24),382,1974,R
193,192.,Jerry Priddy (27),382,1947,R
194,192.,Pete Rose (24),382,1965,R
195,196.,Johnny Evers+ (22),381,1904,R
196,196.,Bernie Friberg (26),381,1926,R
197,196.,Bobby Knoop (27),381,1966,R
198,196.,Ray Mack (26),381,1943,R
199,196.,Johnny Ray (25),381,1982,R
200,201.,Lou Bierbauer (20),380,1886,R
201,201.,Jimmy Bloodworth (23),380,1941,R
202,201.,Roy Schalk (36),380,1945,R
203,201.,Jake Wood (24),380,1961,R
204,201.,Bobby Young (27),380,1952,R
205,206.,Horace Clarke (31),379,1970,R
206,206.,Tito Fuentes (33),379,1977,R
207,206.,Kid Gleason (37),379,1904,R
208,206.,Davey Johnson (27),379,1970,R
209,206.,Felix Millan (31),379,1975,R
210,206.,Red Schoendienst+ (34),379,1957,R
211,206.,Rennie Stennett (24),379,1975,R
212,213.,Horace Clarke (34),378,1973,R
213,213.,Phil Garner (27),378,1976,R
214,213.,Tony Piet (25),378,1932,R
215,213.,Jerry Priddy (26),378,1946,R
216,213.,Bobby Richardson (26),378,1962,R
217,218.,Tom Daly (33),377,1899,R
218,218.,Charlie Gehringer+ (25),377,1928,R
219,218.,Don Gutteridge (30),377,1942,R
220,218.,Billy Herman+ (29),377,1939,R
221,218.,Julian Javier (26),377,1963,R
222,218.,John Ward+ (32),377,1892,R
223,218.,Woody Williams (31),377,1944,R
224,225.,Eddie Collins+ (34),376,1921,R
225,225.,Tony Cuccinello (23),376,1931,R
226,225.,Bobby Doerr+ (24),376,1942,R
227,225.,Bobby Doerr+ (29),376,1947,R
228,225.,Nellie Fox+ (34),376,1962,R
229,225.,George Hausmann (29),376,1945,R
230,225.,Billy Martin (25),376,1953,R
231,232.,Sandy Alomar (26),375,1970,R
232,232.,Frank Bolling (28),375,1960,R
233,232.,Rod Carew+ (28),375,1974,R
234,232.,Cupid Childs (28),375,1896,R
235,232.,Danny Murtaugh (30),375,1948,R
236,237.,Johnny Berardino (29),374,1946,R
237,237.,Jim Gantner (30),374,1983,R
238,237.,Joe Gordon+ (25),374,1940,R
239,237.,George Grantham (23),374,1923,R
240,237.,Felix Millan (30),374,1974,R
241,237.,Juan Samuel (26),374,1987,R
242,243.,Glenn Beckert (25),373,1966,R
243,243.,Horace Clarke (30),373,1969,R
244,243.,Eddie Collins+ (22),373,1909,R
245,243.,Tito Fuentes (27),373,1971,R
246,243.,Felix Millan (25),373,1969,R
247,243.,Felix Millan (27),373,1971,R
248,249.,Lou Bierbauer (24),372,1890,R
249,249.,Don Blasingame (25),372,1957,R
250,249.,Cupid Childs (22),372,1890,R
251,249.,Bobby Doerr+ (20),372,1938,R
252,249.,Freddie Maguire (32),372,1931,R
253,249.,Bobby Richardson (29),372,1965,R
254,249.,Pop Smith (28),372,1885,R
255,249.,Bill Sweeney (25),372,1911,R
256,249.,Tony Taylor (26),372,1962,R
257,258.,Cupid Childs (23),371,1891,R
258,258.,Pete Coscarart (31),371,1944,R
259,258.,Frankie Frisch+ (35),371,1933,R
260,258.,Mickey Witek (26),371,1942,R
261,262.,Tom Daly (35),370,1901,R
262,262.,Joe Gordon+ (24),370,1939,R
263,262.,Joe Morgan+ (28),370,1972,R
264,262.,Pep Young (30),370,1938,R
265,266.,Doug Flynn (28),369,1979,R
266,266.,Bid McPhee+ (28),369,1888,R
267,266.,Dick Padden (26),369,1897,R
268,269.,Chuck Cottier (26),368,1962,R
269,269.,Don Gutteridge (32),368,1944,R
270,269.,Tony Lazzeri+ (25),368,1929,R
271,272.,Chuck Hiller (27),367,1962,R
272,272.,Alex Kampouris (22),367,1935,R
273,272.,Alex Kampouris (24),367,1937,R
274,272.,Reddy Mack (23),367,1889,
275,272.,Buddy Myer (30),367,1934,R
276,272.,Ron Oester (30),367,1986,R
277,272.,Steve Sax (26),367,1986,R
278,279.,Bobby Doerr+ (30),366,1948,R
279,279.,Hobe Ferris (29),366,1904,R
280,279.,Lonny Frey (29),366,1940,R
281,279.,Kid Gleason (31),366,1898,R
282,279.,Dick Green (30),366,1971,R
283,279.,Billy Herman+ (30),366,1940,R
284,279.,Nap Lajoie+ (28),366,1903,R
285,279.,Reddy Mack (21),366,1887,
286,279.,Bill McClellan (31),366,1887,L
287,279.,Ron Oester (29),366,1985,R
288,289.,Joe Gedeon (26),365,1920,R
289,289.,Kid Gleason (38),365,1905,R
290,289.,Don Heffner (27),365,1938,R
291,289.,Rabbit Maranville+ (32),365,1924,R
292,289.,Cookie Rojas (29),365,1968,R
293,289.,Red Schoendienst+ (30),365,1953,R
294,295.,Nellie Fox+ (31),364,1959,R
295,295.,Del Pratt (25),364,1913,R
296,295.,Jerry Priddy (23),364,1943,R
297,298.,Ken Hubbs (20),363,1962,R
298,298.,Ray Mack (24),363,1941,R
299,298.,Joe Quinn (32),363,1895,R
300,301.,Gene Baker (31),362,1956,R
301,301.,Sam Barkley (28),362,1886,R
302,301.,Don Blasingame (27),362,1959,R
303,301.,Dave Cash (30),362,1978,R
304,301.,Jim Gantner (31),362,1984,R
305,301.,Tony Lazzeri+ (28),362,1932,R
306,301.,Rabbit Maranville+ (41),362,1933,R
307,301.,Ski Melillo (33),362,1933,R
308,301.,Del Pratt (34),362,1922,R
309,301.,Eddie Stanky (27),362,1943,R
310,311.,Craig Biggio+ (30),361,1996,R
311,311.,George Cutshaw (29),361,1916,R
312,311.,Tito Fuentes (28),361,1972,R
313,311.,Granny Hamner (27),361,1954,R
314,311.,Davey Johnson (28),361,1971,R
315,311.,Bobby Lowe (33),361,1899,R
316,311.,Willie Randolph (25),361,1980,R
317,311.,Connie Ryan (30),361,1950,R
318,311.,Frank White (31),361,1982,R
319,311.,Bobby Young (26),361,1951,R
320,321.,Julian Javier (27),360,1964,R
321,321.,Pete Rose (22),360,1963,R
322,321.,Roy Schalk (35),360,1944,R
323,321.,Manny Trillo (29),360,1980,R
324,325.,Craig Biggio+ (33),359,1999,R
325,325.,Marv Breeding (26),359,1960,R
326,325.,Dave Campbell (28),359,1970,R
327,325.,Hobe Ferris (26),359,1901,R
328,325.,Jackie Robinson+ (31),359,1950,R
329,330.,Charlie Gehringer+ (30),358,1933,R
330,330.,Jerry Kindall (27),358,1962,R
331,330.,Del Pratt (26),358,1914,R
332,330.,Aaron Ward (25),358,1922,R
333,334.,Bernie Allen (23),357,1962,R
334,334.,Cupid Childs (24),357,1892,R
335,334.,Horace Clarke (29),357,1968,R
336,334.,Hughie Critz (25),357,1926,R
337,334.,Bill Greenwood (30),357,1887,L
338,334.,Bobby Knoop (25),357,1964,R
339,334.,Ron Oester (28),357,1984,R
340,334.,Curt Roberts (24),357,1954,R
341,334.,Red Schoendienst+ (24),357,1947,R
342,334.,Eddie Stanky (33),357,1949,R
343,334.,Chase Utley (27),357,2006,R
344,334.,Jimmy Williams (30),357,1907,R
345,346.,Bobby Avila (30),356,1954,R
346,346.,Glenn Beckert (27),356,1968,R
347,346.,Bucky Harris+ (29),356,1926,R
348,346.,Joe Morgan+ (31),356,1975,R
349,346.,Buddy Myer (29),356,1933,R
350,346.,Joe Quinn (29),356,1892,R
351,346.,Claude Ritchey (25),356,1899,R
352,346.,Eddie Stanky (30),356,1946,R
353,346.,Eddie Stanky (35),356,1951,R
354,346.,Lou Stringer (24),356,1941,R
355,356.,Bobby Avila (28),355,1952,R
356,356.,Gene Baker (29),355,1954,R
357,356.,Marty Barrett (27),355,1985,R
358,356.,Billy Gardner (32),355,1960,R
359,356.,Charlie Gehringer+ (31),355,1934,R
360,356.,Davey Johnson (26),355,1969,R
361,356.,Jerry Lumpe (27),355,1960,R
362,356.,Bid McPhee+ (35),355,1895,R
363,356.,Fred Pfeffer (33),355,1893,R
364,356.,Willie Randolph (24),355,1979,R
365,366.,Sparky Adams (30),354,1925,R
366,366.,Mike Andrews (28),354,1972,R
367,366.,Eddie Collins+ (27),354,1914,R
368,366.,Jack Farrell (21),354,1914,R
369,366.,Phil Garner (26),354,1975,R
370,366.,Joe Gordon+ (27),354,1942,R
371,366.,Nap Lajoie+ (31),354,1906,R
372,366.,Al Myers (27),354,1891,R
373,366.,Jorge Orta (24),354,1975,R
374,366.,Del Pratt (32),354,1920,R
375,366.,Joe Quinn (30),354,1893,R
376,366.,Heinie Smith (30),354,1902,R
377,366.,Manny Trillo (27),354,1978,R
378,366.,Chase Utley (30),354,2009,R
379,380.,Tony Bernazard (25),353,1982,R
380,380.,Eddie Collins+ (30),353,1917,R
381,380.,Hughie Critz (33),353,1934,R
382,380.,Jackie Hayes (30),353,1937,R
383,380.,Tommy Helms (31),353,1972,R
384,380.,Miller Huggins+ (29),353,1907,R
385,380.,Morrie Rath (24),353,1912,R
386,380.,Jackie Robinson+ (33),353,1952,R
387,380.,Ryne Sandberg+ (25),353,1985,R
388,380.,Emil Verban (30),353,1946,R
389,380.,Davey Williams (26),353,1954,R
390,391.,Lou Bierbauer (27),352,1893,R
391,391.,Jack Crooks (24),352,1890,R
392,391.,Tom Herr (30),352,1986,R
393,391.,Gil McDougald (27),352,1955,R
394,391.,Billy Moran (29),352,1963,R
395,391.,Buddy Myer (28),352,1932,R
396,391.,Willie Randolph (27),352,1982,R
397,391.,Tony Taylor (23),352,1959,R
398,391.,Jimmy Williams (31),352,1908,R
399,400.,Tony Bernazard (29),351,1986,R
400,400.,Joe Morgan+ (33),351,1977,R
401,400.,Yank Robinson (26),351,1886,R
402,403.,Sandy Alomar (27),350,1971,R
403,403.,Sandy Alomar (28),350,1972,R
404,403.,Tommy Helms (29),350,1970,R
405,403.,Ron Hunt (22),350,1963,R
406,403.,Bobby Knoop (29),350,1968,R
407,403.,Reddy Mack (20),350,1886,
408,403.,Joe Quinn (36),350,1899,R
409,403.,Willie Randolph (22),350,1977,R
410,403.,Daryl Spencer (30),350,1959,R
411,403.,Manny Trillo (24),350,1975,R
412,403.,Bump Wills (25),350,1978,R
413,414.,Bobby Avila (27),349,1951,R
414,414.,Jimmy Bloodworth (25),349,1943,R
415,414.,Billy Gardner (30),349,1958,R
416,414.,Phil Garner (31),349,1980,R
417,414.,Charlie Gehringer+ (32),349,1935,R
418,414.,Jim Lefebvre (23),349,1965,R
419,414.,Jose Lind (27),349,1991,R
420,414.,Joe Morgan+ (26),349,1970,R
421,414.,Pete Runnels (27),349,1955,R
422,414.,Manny Trillo (25),349,1976,R
423,424.,Bobby Avila (31),348,1955,R
424,424.,Cupid Childs (25),348,1893,R
425,424.,Horace Clarke (28),348,1967,R
426,424.,Eddie Collins+ (24),348,1911,R
427,424.,Billy Goodman (29),348,1955,R
428,424.,Al Kozar (26),348,1948,R
429,424.,Joe Morgan+ (21),348,1965,R
430,424.,Harold Reynolds (30),348,1991,R
431,424.,Connie Ryan (32),348,1952,R
432,424.,Germany Schaefer (30),348,1906,R
433,424.,Ted Sizemore (32),348,1977,R
434,424.,Derrel Thomas (24),348,1975,R
435,424.,John Ward+ (33),348,1893,R
436,437.,Carlos Baerga (24),347,1993,R
437,437.,Horace Clarke (33),347,1972,R
438,437.,Eddie Collins+ (32),347,1919,R
439,437.,Eddie Collins+ (36),347,1923,R
440,437.,Bill Doran (25),347,1983,R
441,437.,Spook Jacobs (28),347,1954,R
442,437.,Mike Lansing (28),347,1996,R
443,437.,Al Myers (26),347,1890,R
444,437.,Harold Reynolds (26),347,1987,R
445,437.,Steve Sax (22),347,1982,R
446,447.,Bobby Avila (29),346,1953,R
447,447.,Eddie Collins+ (29),346,1916,R
448,447.,Johnny Evers+ (25),346,1907,R
449,447.,Miller Huggins+ (27),346,1905,R
450,447.,Tony Lazzeri+ (32),346,1936,R
451,447.,Bill Mazeroski+ (27),346,1964,R
452,447.,Jose Oquendo (25),346,1989,R
453,447.,Snuffy Stirnweiss (29),346,1948,R
454,455.,Bill Doran (27),345,1985,R
455,455.,Dick Egan (28),345,1912,R
456,455.,Mike Goliat (28),345,1950,R
457,455.,Bucky Harris+ (23),345,1920,R
458,455.,Duane Kuiper (29),345,1979,R
459,455.,Mike Lansing (30),345,1998,R
460,455.,Bobby Lowe (28),345,1894,R
461,455.,Morrie Rath (31),345,1919,R
462,455.,Ralph Young (27),345,1916,R
463,464.,Sandy Alomar (25),344,1969,R
464,464.,Craig Biggio+ (26),344,1992,R
465,464.,Jose Castillo (25),344,2006,R
466,464.,Eddie Collins+ (28),344,1915,R
467,464.,Julio Cruz (28),344,1983,R
468,464.,George Cutshaw (32),344,1919,R
469,464.,Johnny Evers+ (24),344,1906,R
470,464.,Jackie Hayes (26),344,1933,R
471,464.,John Hummel (27),344,1910,R
472,464.,Julian Javier (25),344,1962,R
473,464.,Otto Knabe (24),344,1908,R
474,464.,Bill Mazeroski+ (21),344,1958,R
475,464.,Joe Morgan+ (30),344,1974,R
476,477.,Sparky Anderson+ (25),343,1959,R
477,477.,Dave Cash (29),343,1977,R
478,477.,Rogers Hornsby+ (24),343,1920,R
479,477.,Jerry Lumpe (29),343,1962,R
480,477.,Fred Pfeffer (26),343,1886,R
481,477.,Juan Samuel (27),343,1988,R
482,477.,Manny Trillo (31),343,1982,R
483,484.,Mike Andrews (26),342,1970,R
484,484.,Lou Bierbauer (22),342,1888,R
485,484.,Frank Bolling (26),342,1958,R
486,484.,Fred Dunlap (30),342,1889,R
487,484.,Eddie Leon (23),342,1970,R
488,484.,Ski Melillo (29),342,1929,R
489,484.,Joe Morgan+ (32),342,1976,R
490,484.,Johnny Rawlings (28),342,1921,R
491,484.,Steve Sax (27),342,1987,R
492,484.,Pete Suder (32),342,1948,R
493,484.,Bill Wambsganss (25),342,1919,R
494,484.,Frank White (34),342,1985,R
495,496.,Roberto Alomar+ (21),341,1989,R
496,496.,Sam Barkley (30),341,1888,R
497,496.,Craig Biggio+ (31),341,1997,R
498,496.,Robinson Cano (27),341,2010,R
499,496.,Bobby Doerr+ (26),341,1944,R
