,Rank,Player (age that year),Errors Committed as P,Year,Throws
317,297.,Burleigh Grimes+ (29),10,1923,R
318,297.,Henry Gruber (27),10,1891,R
319,297.,John Harkins (26),10,1885,R
320,297.,Bill Hawke (23),10,1893,R
321,297.,Pink Hawley (20),10,1893,R
322,297.,Pink Hawley (23),10,1896,R
323,297.,Guy Hecker (29),10,1885,R
324,297.,Harry Howell (29),10,1906,R
325,297.,Bill James (22),10,1914,R
326,297.,Cowboy Jones (25),10,1900,L
327,297.,Oscar Jones (24),10,1904,R
328,297.,Burt Keeley (28),10,1908,R
329,297.,Brickyard Kennedy (25),10,1893,R
330,297.,Joe Kennedy (23),10,2002,L
331,297.,Frank Killen (25),10,1896,L
332,297.,Silver King (23),10,1891,R
333,297.,Silver King (24),10,1892,R
334,297.,Clay Kirby (26),10,1974,R
335,297.,Phil Knell (26),10,1891,L
336,297.,Joe Lake (27),10,1908,R
337,297.,Joe Lake (28),10,1909,R
338,297.,Kid Madden (23),10,1891,L
339,297.,Bobby Mathews (33),10,1885,R
340,297.,Al Mattern (26),10,1909,L
341,297.,Al Maul (27),10,1893,R
342,297.,John McCarty (22),10,1889,R
343,297.,Joe McGinnity+ (28),10,1899,R
344,297.,Harry McIntire (26),10,1905,R
345,297.,Win Mercer (24),10,1898,R
346,297.,Fred Mitchell (25),10,1903,R
347,297.,Ed Morris (23),10,1886,L
348,297.,Tony Mullane (23),10,1882,R
349,297.,George Mullin (22),10,1903,R
350,297.,Doc Newton (22),10,1900,L
351,297.,Jerry Nops (26),10,1901,L
352,297.,Al Orth (29),10,1902,R
353,297.,Casey Patten (28),10,1902,L
354,297.,Melido Perez (26),10,1992,R
355,297.,Old Hoss Radbourn+ (26),10,1881,R
356,297.,J.R. Richard (26),10,1976,R
357,297.,Scott Stratton (22),10,1892,R
358,297.,Elmer Stricklett (28),10,1905,R
359,297.,Willie Sudhoff (24),10,1899,R
360,297.,Willie Sudhoff (27),10,1902,R
361,297.,Mike Sullivan (26),10,1893,R
362,297.,Steve Toole (28),10,1887,L
363,297.,Hippo Vaughn (32),10,1920,L
364,297.,Rube Waddell+ (31),10,1908,L
365,297.,Mickey Welch+ (22),10,1882,R
366,297.,Gus Weyhing (32),10,1899,R
367,297.,Will White (25),10,1880,R
368,297.,Jim Whitney (28),10,1886,R
369,297.,Stump Weidman (22),10,1883,R
370,297.,George Winter (30),10,1908,R
371,297.,Weldon Wyckoff (24),10,1915,R
372,373.,Red Ames (26),9,1909,R
373,373.,Red Ames (31),9,1914,R
374,373.,Bob Barr (29),9,1886,R
375,373.,Fred Beebe (26),9,1906,R
376,373.,Chief Bender+ (19),9,1903,R
377,373.,Tommy Bond (21),9,1877,R
378,373.,Tommy Bond (22),9,1878,R
379,373.,Theodore Breitenstein (25),9,1894,L
380,373.,Charlie Buffinton (28),9,1889,R
381,373.,Bill Carrick (28),9,1902,R
382,373.,Bob Caruthers (22),9,1886,R
383,373.,Larry Cheney (27),9,1913,R
