,Rank,Player (age that year),On-Base%,Year,Bats
192,193.,Roy Cullenbine (27),.4519,1941,B
193,193.,Carl Yastrzemski+ (30),.4519,1970,L
194,195.,George Selkirk (31),.4518,1939,L
195,195.,Larry Walker+ (30),.4518,1997,L
196,197.,Mike Tiernan (29),.4517,1896,L
197,198.,Eddie Collins+ (27),.4515,1914,L
198,198.,Bill Terry+ (31),.4515,1930,L
199,200.,John McGraw+ (21),.4513,1894,L
200,201.,Lou Gehrig+ (29),.4512,1932,L
201,202.,Ty Cobb+ (29),.4510,1916,L
202,203.,Jeff Bagwell+ (26),.4509,1994,R
203,203.,Eddie Collins+ (24),.4509,1911,L
204,205.,Ferris Fain (30),.4508,1951,L
205,205.,Roy Thomas (26),.4508,1900,L
206,207.,Jeff Bagwell+ (28),.4506,1996,R
207,208.,Ed Morgan (27),.4505,1931,R
208,209.,Harry Rice (23),.4504,1925,L
209,210.,Wade Boggs+ (27),.4503,1985,L
210,210.,Eddie Collins+ (25),.4503,1912,L
211,210.,Roger Connor+ (32),.4503,1890,B
212,210.,Brian Giles (31),.4503,2002,L
213,214.,Stan Musial+ (27),.4502,1948,L
214,214.,Tommy Tucker (25),.4502,1889,B
215,216.,Lance Berkman (28),.4498,2004,B
216,216.,Manny Ramirez (30),.4498,2002,R
217,218.,Frank Chance+ (28),.4497,1905,R
218,218.,Jim Thome+ (25),.4497,1996,L
219,220.,Charlie Gehringer+ (31),.4495,1934,L
220,221.,Phil Cavarretta (28),.4494,1945,L
221,222.,Jimmie Foxx+ (25),.4493,1933,R
222,222.,Larry Walker+ (34),.4493,2001,L
223,224.,Billy Hamilton+ (34),.4492,1900,L
224,224.,George Sisler+ (27),.4492,1920,L
225,226.,Stan Musial+ (30),.4490,1951,L
226,227.,Rod Carew+ (31),.4488,1977,L
227,227.,Mel Ott+ (20),.4488,1929,L
228,229.,Mel Ott+ (30),.4487,1939,L
229,230.,Richie Ashburn+ (28),.4486,1955,L
230,231.,Jimmie Foxx+ (26),.4485,1934,R
231,232.,Rogers Hornsby+ (31),.4483,1927,R
232,233.,Mickey Mantle+ (29),.4481,1961,B
233,234.,Babe Ruth+ (39),.4480,1934,L
234,235.,Joe DiMaggio+ (24),.4479,1939,R
235,235.,Chuck Knoblauch (27),.4479,1996,R
236,237.,Miguel Cabrera (28),.4477,2011,R
237,237.,Fred Dunlap (25),.4477,1884,R
238,237.,Mel Ott+ (27),.4477,1936,L
239,240.,Bob Caruthers (22),.4476,1886,L
240,241.,Jesse Burkett+ (25),.4474,1894,L
241,241.,Edgar Martinez+ (36),.4474,1999,R
242,243.,Jose Bautista (30),.4473,2011,R
243,243.,John Olerud (29),.4473,1998,L
244,245.,Benny Kauff (24),.4470,1914,L
245,246.,Tony Gwynn+ (27),.4469,1987,L
246,247.,Charlie Keller (22),.4468,1939,L
247,248.,Joe Kelley+ (25),.4467,1897,R
248,248.,Mike Tiernan (22),.4467,1889,L
249,250.,Barry Bonds (32),.4464,1997,L
250,251.,Dolph Camilli (30),.4462,1937,L
251,251.,Piggy Ward (27),.4462,1894,B
252,253.,Jack Clements (30),.4460,1895,L
253,253.,Jack Fournier (35),.4460,1925,L
254,253.,Benny Kauff (25),.4460,1915,L
255,256.,Paul Waner+ (25),.4459,1928,L
256,257.,Max Bishop (33),.4458,1933,L
257,258.,Lou Gehrig+ (28),.4457,1931,L
258,259.,Bobby Abreu (25),.4456,1999,L
259,259.,Paul Waner+ (33),.4456,1936,L
260,261.,Bill Dahlen (24),.4454,1894,R
261,261.,Jim Thome+ (31),.4454,2002,L
262,263.,David Ortiz (31),.4453,2007,L
263,263.,Yank Robinson (27),.4453,1887,R
264,265.,Denny Lyons (25),.4452,1891,R
265,266.,Dan Brouthers+ (28),.4450,1886,L
266,266.,Harry Heilmann+ (31),.4450,1926,R
267,268.,Todd Helton (31),.4448,2005,L
268,268.,Sherry Magee (25),.4448,1910,R
269,270.,Larry Walker+ (31),.4447,1998,L
270,271.,Riggs Stephenson (31),.4446,1929,R
271,272.,Harry Heilmann+ (26),.4444,1921,R
272,272.,Hughie Jennings+ (26),.4444,1895,R
273,272.,Nap Lajoie+ (35),.4444,1910,R
274,272.,Chief Roseman (33),.4444,1890,R
275,276.,Wade Boggs+ (25),.4443,1983,L
276,277.,Ty Cobb+ (30),.4441,1917,L
277,277.,Joe Morgan+ (32),.4441,1976,L
278,279.,Al Simmons+ (29),.4440,1931,R
279,280.,Shoeless Joe Jackson (32),.4439,1920,L
280,280.,Joe Mauer (26),.4439,2009,L
281,280.,Johnny Mize+ (26),.4439,1939,L
282,283.,Jake Stenzel (28),.4437,1895,R
283,284.,Willie McCovey+ (32),.4436,1970,L
284,284.,Ed Swartwood (31),.4436,1890,L
285,286.,Ed Delahanty+ (29),.4435,1897,R
286,286.,Bill Joyce (29),.4435,1897,L
287,288.,Mickey Mantle+ (26),.4433,1958,B
288,288.,Tony Phillips (34),.4433,1993,B
289,290.,Cap Anson+ (38),.4430,1890,R
290,290.,Roger Bresnahan+ (24),.4430,1903,R
291,290.,Cupid Childs (24),.4430,1892,L
292,293.,Albert Pujols (29),.4429,2009,R
293,294.,Ray Grimes (28),.4424,1922,R
294,294.,Ted Williams+ (21),.4424,1940,L
295,296.,Manny Ramirez (27),.4422,1999,R
296,297.,Max Bishop (27),.4419,1927,L
297,298.,Goose Goslin+ (27),.4418,1928,L
298,298.,Mike Griffin (30),.4418,1895,L
299,298.,Mike Trout (25),.4418,2017,R
300,298.,Art Wilson (29),.4418,1915,R
301,302.,Cap Anson+ (29),.4417,1881,R
302,302.,Miguel Cabrera (30),.4417,2013,R
303,302.,Babe Ruth+ (38),.4417,1933,L
304,305.,Larry Doby+ (26),.4415,1950,L
305,305.,Mel Ott+ (29),.4415,1938,L
306,307.,Johnny Bassler (29),.4414,1924,L
307,307.,Eddie Collins+ (37),.4414,1924,L
308,309.,Chief Meyers (31),.4413,1912,R
309,310.,Richie Ashburn+ (27),.4412,1954,L
310,311.,Eddie Collins+ (26),.4409,1913,L
311,311.,Eddie Collins+ (39),.4409,1926,L
312,311.,Tris Speaker+ (25),.4409,1913,L
313,314.,Elmer Flick+ (24),.4408,1900,L
314,314.,Chipper Jones+ (27),.4408,1999,B
315,316.,Dolph Camilli (29),.4407,1936,L
316,317.,Ross Youngs+ (27),.4406,1924,L
317,318.,Mike Smith (26),.4405,1894,L
318,318.,Mike Trout (24),.4405,2016,R
319,320.,Jason Giambi (34),.4404,2005,L
320,320.,Stan Musial+ (23),.4404,1944,L
