,Rank,Player (age that year),Bases on Balls,Year,Throws
241,241.,Ed Daily (27),129,1890,R
242,241.,Dick Drott (20),129,1957,R
243,241.,Roy Golden (22),129,1911,R
244,241.,Bill Hutchison (35),129,1895,R
245,241.,Alex Kellner (24),129,1949,L
246,241.,Bob Lemon+ (27),129,1948,R
247,241.,Tom Lovett (27),129,1891,R
248,241.,Bill Magee (22),129,1898,R
249,241.,Herb Score (23),129,1956,L
250,241.,Luis Tiant (28),129,1969,R
251,252.,Jersey Bakley (24),128,1888,R
252,252.,Sugar Cain (27),128,1934,R
253,252.,Jim Clancy (24),128,1980,R
254,252.,Nig Cuppy (24),128,1894,R
255,252.,Jose de Jesus (26),128,1991,R
256,252.,Red Ehret (25),128,1894,R
257,252.,Eric Erickson (28),128,1920,R
258,252.,Togie Pittinger (30),128,1902,R
259,252.,Jeff Tesreau (26),128,1914,R
260,252.,Bob Turley (27),128,1958,R
261,262.,Joe Coleman (26),127,1949,R
262,262.,Jesse Duryea (29),127,1889,R
263,262.,Bob Feller+ (28),127,1947,R
264,262.,Vic Frazier (26),127,1931,R
265,262.,Bump Hadley (29),127,1934,R
266,262.,Egyptian Healy (23),127,1890,R
267,262.,Jim Hughes (23),127,1975,R
268,262.,Jack Kramer (21),127,1939,R
269,262.,Ed Lafitte (28),127,1914,R
270,262.,Jouett Meekin (29),127,1896,R
271,262.,Tony Mullane (33),127,1892,R
272,262.,Cinders O'Brien (24),127,1891,R
273,262.,Doc Scanlan (25),127,1906,R
274,262.,Ferdie Schupp (29),127,1920,L
275,262.,Ed Seward (21),127,1888,R
276,262.,Jack Stivetts (26),127,1894,R
277,262.,Adonis Terry (29),127,1894,R
278,279.,Charlie Buffinton (29),126,1890,R
279,279.,Ed Correa (20),126,1986,R
280,279.,Bill Hallahan (27),126,1930,L
281,279.,Charlie Hough (40),126,1988,R
282,279.,Jouett Meekin (25),126,1892,R
283,279.,Win Mercer (20),126,1894,R
284,279.,Bobo Newsom (31),126,1939,R
285,279.,Tom Parrott (26),126,1894,R
