,Rank,Player (age that year),Fielding % as RF (s.1901),Year,Throws
331,327.,Nick Markakis (32),.9875,2016,L
332,327.,Mel Ott+ (33),.9875,1942,R
333,327.,Al Zarilla (32),.9875,1951,R
334,335.,Kevin Bass (27),.9874,1986,R
335,335.,Enos Slaughter+ (24),.9874,1940,R
336,337.,Bing Miller (36),.9873,1931,R
337,337.,Steven Souza Jr. (27),.9873,2016,R
338,339.,Torii Hunter (37),.9872,2013,R
339,339.,Alex Rios (28),.9872,2009,R
340,341.,George Case (27),.9871,1943,R
341,341.,Al Cowens (32),.9871,1984,R
342,341.,Andre Dawson+ (34),.9871,1989,R
343,341.,Pete Fox (35),.9871,1944,R
344,341.,Willie Keeler+ (34),.9871,1906,L
345,341.,Don Mueller (25),.9871,1952,R
346,341.,Paul O'Neill (35),.9871,1998,L
347,341.,Frank Robinson+ (33),.9871,1969,R
348,341.,Frank Robinson+ (34),.9871,1970,R
349,350.,Jesse Barfield (28),.9870,1988,R
350,350.,Jose Bautista (34),.9870,2015,R
351,350.,Mike Hershberger (25),.9870,1965,R
352,350.,Ken Walters (26),.9870,1960,R
353,354.,Hank Aaron+ (31),.9869,1965,R
354,354.,Jeff Burroughs (25),.9869,1976,R
355,354.,Brian Giles (34),.9869,2005,L
356,354.,Richie Zisk (25),.9869,1974,R
357,358.,Mookie Betts (24),.9868,2017,R
358,358.,J.D. Drew (26),.9868,2002,R
359,358.,Juan Gonzalez (31),.9868,2001,R
360,358.,Tommy Henrich (29),.9868,1942,L
361,358.,Richard Hidalgo (28),.9868,2003,R
362,358.,Mark McLemore (28),.9868,1993,R
363,364.,Dwight Evans (23),.9867,1975,R
364,364.,Jeff Francoeur (24),.9867,2008,R
365,364.,Brad Hawpe (27),.9867,2006,L
366,364.,Max Kepler (27),.9867,2020,L
367,364.,Jim King (30),.9867,1963,R
368,364.,Pedro Munoz (23),.9867,1992,R
369,364.,Ichiro Suzuki (39),.9867,2013,R
370,371.,Kevin Bass (28),.9866,1987,R
371,371.,Roger Cedeno (24),.9866,1999,R
372,371.,Nelson Cruz (31),.9866,2012,R
373,371.,Tony Oliva (28),.9866,1967,R
374,375.,Albert Belle (33),.9865,2000,R
375,375.,Tom Brunansky (27),.9865,1988,R
376,375.,Tommy Holmes (29),.9865,1946,L
377,375.,Matthew Joyce (26),.9865,2011,R
378,375.,Matt Lawton (29),.9865,2001,R
379,375.,Sixto Lezcano (25),.9865,1979,R
380,375.,Tony Tarasco (24),.9865,1995,R
381,375.,Dave Winfield+ (27),.9865,1979,R
382,383.,Al Cowens (27),.9864,1979,R
383,383.,Al Cowens (30),.9864,1982,R
384,383.,Magglio Ordonez (28),.9864,2002,R
385,383.,Gary Sheffield (34),.9864,2003,R
386,383.,Nick Swisher (31),.9864,2012,L
387,388.,Gus Bell (22),.9863,1951,R
388,388.,Greasy Neale (28),.9863,1920,R
389,388.,Kirby Puckett+ (34),.9863,1994,R
390,388.,Glenn Wilson (24),.9863,1983,R
391,392.,Tommy Holmes (32),.9862,1949,L
392,392.,Ken Singleton (30),.9862,1977,R
393,392.,Rusty Staub (31),.9862,1975,R
394,395.,Bobby Bonds (31),.9861,1977,R
395,395.,Vada Pinson (31),.9861,1970,L
396,395.,Terry Puhl (27),.9861,1984,R
397,398.,Bob Bailor (27),.9860,1979,R
398,398.,Shin-Soo Choo (27),.9860,2010,L
399,398.,Reggie Jackson+ (33),.9860,1979,L
400,398.,Floyd Robinson (27),.9860,1963,R
401,402.,Andre Dawson+ (32),.9859,1987,R
402,402.,David Murphy (32),.9859,2014,L
403,402.,Taffy Wright (36),.9859,1948,R
404,405.,Andre Dawson+ (31),.9858,1986,R
405,405.,Jeff Francoeur (23),.9858,2007,R
406,405.,Carl Furillo (29),.9858,1951,R
407,405.,Don Mueller (23),.9858,1950,R
408,409.,Jose Bautista (33),.9857,2014,R
409,409.,Michael Cuddyer (28),.9857,2007,R
410,409.,Bob Kennedy (29),.9857,1950,R
411,409.,Tim Salmon (33),.9857,2002,R
412,409.,Nick Swisher (29),.9857,2010,L
413,409.,Paul Waner+ (26),.9857,1929,L
414,415.,Bobby Abreu (31),.9856,2005,R
415,415.,Danny Bautista (32),.9856,2004,R
416,415.,Jeff Francoeur (27),.9856,2011,R
417,415.,Shawn Green (34),.9856,2007,L
418,415.,Jason Heyward (22),.9856,2012,L
419,415.,Harry Hooper+ (36),.9856,1924,R
420,421.,Harold Baines+ (22),.9855,1981,L
421,421.,Hank Bauer (34),.9855,1957,R
422,421.,Max Flack (29),.9855,1919,L
423,421.,Carlos Gonzalez (31),.9855,2017,L
424,421.,Tony Gwynn+ (30),.9855,1990,L
425,426.,Roger Cedeno (28),.9854,2003,R
426,426.,Jacque Jones (30),.9854,2005,L
427,426.,Pat Mullin (29),.9854,1947,R
428,426.,Ichiro Suzuki (37),.9854,2011,R
429,426.,Jim Wynn (30),.9854,1972,R
430,431.,Albert Belle (32),.9853,1999,R
431,431.,David Justice (27),.9853,1993,L
432,431.,Delmon Young (21),.9853,2007,R
433,434.,Jeff Burroughs (30),.9852,1981,R
434,434.,Hunter Pence (26),.9852,2009,R
435,434.,Wally Post (27),.9852,1957,R
436,434.,Justin Upton (22),.9852,2010,R
437,434.,Jim Wynn (31),.9852,1973,R
438,439.,Bryce Harper (27),.9851,2020,R
439,440.,Derek Bell (30),.9850,1999,R
440,440.,Tony Gwynn+ (34),.9850,1994,L
441,440.,Stephen Piscotty (25),.9850,2016,R
442,443.,Jeff Francoeur (28),.9849,2012,R
443,443.,Chuck Klein+ (28),.9849,1933,R
444,443.,Chet Lemon (34),.9849,1989,R
445,443.,Dixie Walker (31),.9849,1942,R
446,447.,Dale Murphy (34),.9848,1990,R
447,447.,Mel Ott+ (35),.9848,1944,R
448,447.,Rusty Staub (26),.9848,1970,R
449,447.,Larry Walker+ (23),.9848,1990,R
450,447.,Dave Winfield+ (28),.9848,1980,R
451,452.,Felipe Alou (28),.9847,1963,R
452,452.,Lonnie Chisenhall (27),.9847,2016,R
453,452.,Jayson Werth (31),.9847,2010,R
454,455.,Jay Bruce (30),.9846,2017,L
455,455.,Shin-Soo Choo (32),.9846,2015,L
456,455.,Stan Musial+ (23),.9846,1944,L
457,455.,Paul O'Neill (32),.9846,1995,L
458,455.,Chief Wilson (30),.9846,1914,R
459,460.,Jose Bautista (29),.9845,2010,R
460,460.,Rocky Colavito (25),.9845,1959,R
461,460.,Sam Crawford+ (26),.9845,1906,L
462,460.,Torii Hunter (36),.9845,2012,R
463,460.,Geoff Jenkins (30),.9845,2005,R
464,460.,Al Kaline+ (21),.9845,1956,R
465,460.,Hunter Pence (31),.9845,2014,R
466,467.,Tom Brunansky (23),.9844,1984,R
467,467.,Kole Calhoun (28),.9844,2016,L
468,467.,Jermaine Dye (25),.9844,1999,R
469,467.,Justin Upton (24),.9844,2012,R
470,471.,Larry Walker+ (34),.9843,2001,R
471,471.,Devon White (24),.9843,1987,R
472,473.,Jody Gerut (26),.9842,2004,L
473,473.,Tommy Henrich (25),.9842,1938,L
474,473.,Reggie Sanders (27),.9842,1995,R
475,476.,Harold Baines+ (27),.9841,1986,L
476,476.,Ollie Brown (23),.9841,1967,R
477,476.,Corey Hart (26),.9841,2008,R
478,479.,Bobby Bonds (26),.9840,1972,R
479,479.,Tom Brunansky (24),.9840,1985,R
480,479.,Jeromy Burnitz (36),.9840,2005,R
481,479.,Ken Henderson (30),.9840,1976,R
482,483.,Earl McNeely (30),.9839,1928,R
483,483.,Don Mueller (26),.9839,1953,R
484,483.,Dave Philley (34),.9839,1954,R
485,483.,Larry Walker+ (31),.9839,1998,R
486,487.,Roberto Clemente+ (33),.9838,1968,R
487,487.,Cliff Heathcote (28),.9838,1926,L
488,487.,Sammy Sosa (35),.9838,2004,R
489,487.,Larry Walker+ (35),.9838,2002,R
490,491.,Lee Lacy (37),.9837,1985,R
491,491.,Ken Singleton (26),.9837,1973,R
492,491.,Ken Singleton (33),.9837,1980,R
493,491.,Dave Winfield+ (34),.9837,1986,R
494,495.,David Justice (29),.9836,1995,L
495,495.,Reggie Sanders (34),.9836,2002,R
496,497.,Kole Calhoun (30),.9835,2018,L
497,497.,Junior Felix (26),.9835,1994,R
498,497.,Raul Mondesi (24),.9835,1995,R
499,497.,Paul O'Neill (34),.9835,1997,L
